wavelength,Back_SicRaim,Belly_SicRaim,Breast_SicRaim,Crissum_SicRaim,Crown_SicRaim,DorTail_SicRaim,Patch10_SicRaim,Rump_SicRaim,Throat_SicRaim,WingTip_SicRaim
822.36,33.1153333333,54.8943333333,41.4216666667,57.325,26.6076666667,28.7116666667,27.8393333333,25.8663333333,45.2363333333,28.401
822.67,33.238,55.5943333333,41.8146666667,57.6353333333,26.6073333333,29.0183333333,27.7073333333,25.7613333333,45.146,28.458
822.97,33.5026666667,56.3246666667,41.9076666667,57.7856666667,27.035,29.258,27.9876666667,25.8706666667,45.591,28.755
823.27,33.5273333333,56.1296666667,42.3313333333,57.884,27.2303333333,29.3943333333,28.1453333333,25.9823333333,45.7966666667,29.109
823.58,33.659,56.173,42.3793333333,58.0806666667,27.1376666667,29.562,28.0806666667,25.9596666667,46.083,29.3775
823.88,33.3096666667,55.802,42.0156666667,57.5313333333,27.0126666667,29.4573333333,28.0143333333,25.7126666667,45.9986666667,29.3385
824.18,33.773,56.3526666667,42.7943333333,57.9813333333,27.22,29.947,28.0083333333,25.811,46.1676666667,29.275
824.49,33.9826666667,56.421,42.8453333333,58.2696666667,27.0956666667,30.3276666667,28.0553333333,26.277,46.4013333333,29.3605
824.79,34.1156666667,56.859,43.657,58.4233333333,27.3583333333,30.1423333333,27.9213333333,26.4196666667,47.114,29.212
825.09,33.712,56.9266666667,43.7616666667,58.63,27.293,29.9773333333,28.119,26.3296666667,46.997,29.066
825.39,33.6906666667,57.3553333333,44.413,59.1043333333,27.0506666667,30.2673333333,27.7843333333,25.978,47.5546666667,29.2605
