wavelength,Back_TanMexm,Belly_TanMexm,Breast_TanMexm,Crissum_TanMexm,Crown_TanMexm,DorTail_TanMexm,Patch10_TanMexm,Patch11_TanMexm,Rump_TanMexm,Throat_TanMexm,WingTip_TanMexm
789.00,2.9368,62.9563,13.9166666667,52.8508339182,4.36886666667,4.5031,5.5764,11.1074666667,15.9734666667,13.4094666667,10.0557333333
789.31,2.2638,62.1722,13.2756666667,52.2237824561,3.55033333333,3.83596666667,5.10626666667,10.5665333333,15.2353333333,12.7149333333,9.57853333332
789.62,2.47586666667,61.9379,13.3720666667,52.5324729045,3.85346666667,4.09866666667,5.30773333334,10.8609333333,15.4212666667,12.9262666667,9.82260000001
789.92,2.3308,61.9612,13.3993333333,52.5575705653,3.6354,4.02436666667,5.24820000001,10.8768666667,15.2969333333,13.124,9.61686666666
790.23,2.14093333333,62.0079,13.3438666667,52.0940350877,3.31933333333,3.79726666667,4.77080000001,10.5746,15.1573333333,13.0808,9.53766666667
790.54,2.01406666666,62.4485,13.3151333333,51.9371748538,3.13893333333,3.38933333334,4.71726666667,10.5976,15.0100666667,12.9248,9.65513333333
790.85,2.29766666667,62.3589333333,13.3518,52.2252793372,3.2598,3.7979,5.00853333334,11.0533333333,15.3748666667,13.2264,10.1674
791.16,1.5648,62.1907,12.7162666667,52.0421224172,2.4252,3.41346666667,4.30800000001,10.6214666667,14.8294,12.4622666667,9.54786666667
791.47,0.932066666666,62.0307,12.2302,51.7278046784,1.94613333333,3.222,3.57306666667,10.3918666667,14.3438666667,12.0160666667,8.9108
791.78,1.0498,62.2434,12.2746,52.1636705653,2.05973333333,3.19683333334,3.27973333334,10.4987333333,14.2835333333,12.2442666667,8.57286666666
792.08,1.1602,62.2660333333,12.2302666667,51.8517,1.90253333333,3.11513333333,2.9776,10.475,14.1736,12.3562,8.40626666668
792.39,0.757133333333,61.8542333334,12.1342,51.8250962963,1.711,3.1987,2.6766,10.6438,14.1374,12.0544,8.29493333332
792.70,1.6888,62.2790333333,13.2275333333,52.587677193,2.60613333333,4.32233333333,3.31766666667,11.4962,15.0564,13.0992,8.81746666666
793.01,1.98166666667,63.0054333333,13.5914666667,52.9877339181,2.74293333333,4.33123333333,3.479,11.4785333333,15.2992,13.128,8.78386666667
793.32,2.13626666667,63.5767666667,14.0596,53.5178194932,3.08446666667,4.6886,3.26146666667,11.6493333333,15.6659333333,13.1396,8.78226666666
793.62,2.43793333333,64.2512666667,14.3166666667,54.182608577,3.46833333333,5.01853333334,3.64686666667,12.2715333333,16.2559333333,13.4882,8.942
793.93,3.47366666667,64.2834666667,15.2086666667,54.6007177388,4.58113333333,6.15693333333,4.4368,12.9474,17.1670666667,14.6021333333,9.94093333333
794.24,3.88326666667,64.1538333333,15.9748,54.4959040936,5.12186666667,6.54116666666,5.13193333333,13.3707333333,17.4076666667,15.2134,10.3825333333
794.55,3.83593333333,63.5758,15.6395333333,53.8467966862,4.75353333334,6.02453333333,4.51906666667,13.0556666667,17.0572,14.8508,10.1214
794.86,4.8218,64.1132333333,16.6900666667,54.5714619883,5.46653333333,6.85650000001,5.60433333333,13.7470666666,18.2592666667,15.6012,11.1155333333
795.16,5.46526666667,64.3031333333,17.3364,54.4529795322,5.96366666667,7.49136666666,6.41146666667,14.3558,18.9366,15.9971333333,11.7658666667
795.47,5.88160000001,64.7072,17.6934,54.576119883,6.45373333333,7.92473333334,7.00413333334,14.5994,19.5456,16.4779333333,12.3944
795.78,6.19153333333,64.8584666667,18.0387333333,54.492102924,6.56813333333,8.03493333333,7.11693333334,14.6801333333,19.5748,16.7262666667,12.2233333333
796.09,5.88186666667,64.2254,17.5224,53.8649362573,6.1192,7.42939999999,6.69866666667,14.0334,19.0840666667,16.2244,12.0740666667
796.40,5.46953333333,63.8164,17.1856666667,53.4405516569,5.86686666667,7.27903333333,6.29586666667,13.7554,18.8677333333,16.0587333333,12.055
796.70,5.83866666667,63.4619666667,17.2787333333,53.4566918129,6.05713333333,7.46459999999,6.60153333333,13.7331333333,18.904,16.3376666667,12.431
797.01,5.88006666667,62.3532333333,17.2018666667,52.8876645224,6.2676,7.64380000001,6.62766666667,13.6581333333,18.6505333333,16.0873333333,12.7752666667
797.32,5.41366666667,62.3641333333,16.9302,52.8510962963,5.80433333333,7.44589999999,6.618,13.4144,18.4510666667,15.6580666667,12.6886666667
797.63,5.25186666667,62.4431,16.5852666667,52.8556473684,5.28546666667,7.07056666667,6.22413333333,13.2802,18.1956666667,15.1826,12.3808666667
797.93,6.01813333334,63.2988333333,17.1850666667,53.6951181287,6.19413333333,7.8605,7.25986666666,13.961,19.0902666667,16.2096666667,13.0948666667
798.24,5.61113333333,62.7635333333,16.2673333333,53.0665838207,5.26533333333,7.26493333334,6.48653333333,13.322,18.2866666667,15.8358666667,12.6176
798.55,5.319,62.7159666667,15.7781333333,53.3130469786,4.88226666667,6.93930000001,5.99180000001,12.9539333333,17.9023333333,15.702,12.2159333333
798.85,5.51066666667,62.9525666667,15.8723333333,53.8178602339,5.07913333333,6.96479999999,5.98286666667,13.2901333333,17.9911333333,15.8476,12.1784666666
799.16,5.02786666667,63.0693,15.1609333333,53.7841709552,4.66006666666,6.73483333333,5.83506666667,12.9152,17.7102666667,15.396,11.9424666667
799.47,5.51533333333,63.4884666667,15.5334666667,54.0159212476,5.23186666667,7.54169999999,6.38446666667,13.5346666667,18.4534666667,15.785,12.4247333333
799.78,5.49046666667,63.2626333333,15.4395333333,54.1231567251,5.11093333333,7.42580000001,6.4592,13.7895333333,18.2162,15.6968,12.4338
800.08,4.3934,63.3518,14.6929333333,53.7672844055,4.211,6.59300000001,5.8174,13.2077333333,17.5554,14.7976,11.6264
800.39,3.78773333333,64.0239,14.5634666667,54.0486044834,3.6846,6.08496666667,5.35893333333,12.9810666667,17.3432,14.5473333333,11.1727333333
800.70,3.4168,63.548,13.9455333333,53.7667161793,3.13266666667,5.23403333334,4.66353333333,12.6518666667,16.6942,14.1297333333,10.3804666667
801.00,3.05293333333,63.6597666667,13.7622666667,53.9515136452,2.93726666667,4.91313333333,4.4614,12.3764666667,16.6963333333,14.0614,9.78526666667
801.31,2.66053333333,63.5539,13.8521333333,53.8470424951,2.64626666667,4.52576666667,4.1266,12.0994,16.2328,13.5361333333,9.58366666665
801.62,2.34413333333,62.5998666667,14.0299333333,53.2003645224,3.06653333333,4.5598,4.27393333333,12.0829333333,16.0566,13.2494,9.24153333333
801.92,1.9852,61.7375666667,13.9037333333,52.3237469786,2.7788,4.32603333333,4.06066666667,11.6876,15.5739333333,12.629,8.79246666667
802.23,2.37286666667,61.5036666667,14.1806,52.338354191,2.99206666667,4.7533,4.28213333333,11.8154666667,15.7684,12.6748666667,9.14293333333
802.54,3.56,61.699,15.2044666667,52.9029580897,3.94833333333,5.56253333333,5.1308,12.6505333333,16.6228666667,13.3881333333,10.1341333333
802.84,3.27126666667,61.9676333333,15.1055333333,53.2058483431,3.92946666667,5.256,4.94073333333,12.6934,16.4550666667,13.3758,9.94793333334
803.15,3.65193333333,62.7183,15.4601333333,53.1771578947,4.18486666667,5.48363333333,5.29746666667,12.9560666667,16.848,13.828,9.53619999999
803.46,4.2112,62.8281333333,15.8876666667,53.0632701754,4.75026666667,5.60326666667,5.64500000001,13.5859333333,17.3451333333,14.4679333333,10.0738666667
803.76,3.9658,62.3528,15.8674,52.4394276803,4.761,5.2982,5.5766,13.2001333333,17.0614,14.3346,9.80153333333
804.07,3.83086666667,62.6118,16.0028666667,52.5843725146,4.66886666667,5.59596666666,5.46233333333,13.1554,17.1299333333,14.0221333334,9.76286666667
804.38,3.96613333333,62.6296333333,16.0322,52.3597091618,5.3206,6.11263333334,5.51513333333,13.4019333333,17.2969333333,14.1241333333,10.3426
804.68,4.57313333333,62.6622666667,16.2416666667,52.5980873295,6.03513333333,6.6755,6.19226666667,13.7216666667,17.8704,14.5286666667,10.8844666667
804.99,5.35633333333,62.9108,16.8610666667,52.8199060429,6.81413333334,7.19206666667,6.88306666667,13.9584,18.5156,14.9959333333,11.4448666667
805.30,6.10833333333,64.2381666667,17.3134,53.7718725146,7.47646666667,7.92916666665,7.66913333335,14.8038666667,19.2445333333,15.8665333333,12.243
805.60,5.64553333333,63.6171666667,16.9270666667,53.3111723197,6.70426666667,7.50873333335,7.43499999999,14.4492,19.1531333333,15.5178,11.6848
805.91,4.78106666666,63.3453333333,16.2473333333,53.2695319688,5.81840000001,6.73183333334,6.72513333333,14.0496666667,18.5542,15.1872666667,10.8366
806.21,4.64946666667,62.7525333333,16.0370666667,52.8839469786,5.38813333333,6.72503333334,6.52753333333,13.7606,18.2122666667,14.9876666667,10.625
806.52,4.8852,63.1478666667,16.3926666667,53.6171009746,5.82986666667,7.13913333333,6.7388,14.1878666667,18.7995333333,15.4278666667,11.3936666667
806.83,5.21313333333,62.992,16.661,53.8104598441,5.81986666667,7.50083333333,6.882,14.1612666667,18.8118,15.4178,11.3623333333
807.13,6.57673333333,63.8809333333,17.367,54.7769161793,6.452,8.69750000001,7.9708,15.385,19.6272666667,16.569,12.7135333333
807.44,7.62286666667,63.9842666667,18.0207333333,54.9882647174,7.28233333333,9.58576666667,8.93479999999,16.1662666667,20.2308,17.6084,13.5000666667
807.74,6.83199999999,64.1348666666,17.3289333333,55.1204107212,6.3046,8.80646666667,8.26039999999,15.6693333334,19.4754666667,17.1837333333,12.9139333333
