wavelength,Back_HapUnif,Belly_HapUnif,Breast_HapUnif,Crissum_HapUnif,Crown_HapUnif,DorTail_HapUnif,Patch10_HapUnif,Rump_HapUnif,Throat_HapUnif,WingTip_HapUnif
781.57,10.3131333333,33.9225666667,27.4728666667,26.1706,11.8760666667,15.3704333333,18.4806,14.6511333333,23.3673333333,18.8713333333
781.88,10.3801333333,33.7547,28.0355333333,25.9948666667,11.9708666667,15.8460333333,18.7072666667,14.81,23.5106666667,18.8147333333
782.19,10.4412666667,33.8067666667,27.9806,25.9838666666,12.0644,16.0258666667,18.9564,14.8501666667,23.6651333333,18.8726666667
782.50,10.7020666667,34.0617333333,28.4514,26.5945333334,12.08,16.5714333333,18.97,15.0296333333,23.3135333333,18.9108666667
782.81,11.0735333333,33.9396333333,28.582,26.7262666667,12.0544,16.4347666667,19.2578,15.1359666666,23.1212666667,19.324
783.12,11.1066,33.8046333333,28.9070666667,26.7485333333,11.7896666667,16.3045333333,19.7746666667,15.5601666667,23.5041333333,19.3238
783.43,12.9706,34.6136333333,30.2486,27.9435333333,13.0847333333,18.2962666667,21.5458,16.8044333333,25.2083333333,20.6655333333
783.74,14.5381333333,36.1648333333,32.0750666667,29.3374,14.4444666667,20.3012333333,23.1056666667,18.2999333333,27.3561333333,22.5034666667
784.05,15.9628,37.5067,33.3200666667,30.4118666666,15.8167333333,21.3214333333,24.1434,19.3624333333,28.7782666667,23.8181333333
784.36,16.2441333333,37.9007,33.5613333333,31.4622666667,16.4318666667,21.8076,24.3394,19.6815,29.5908666667,23.9704666667
784.67,17.6956,39.2872666667,34.6587333333,32.7006,17.6956666667,23.49,25.4212666667,20.9557333333,30.7293333333,25.0882
784.98,18.5245333333,39.9201333334,35.2606666667,33.546,18.0392666667,24.0977666667,26.2744,21.7048666667,31.2396,25.5832
785.29,18.4826,40.5907333333,35.8174,33.9107333333,17.9658666666,24.0954666667,26.4316666666,21.9839,31.7153333333,26.0555333333
785.60,18.2524,40.8367,36.0393333333,34.5074666667,17.8003333333,23.7617666667,26.2550666667,22.1592333333,32.0378,26.0390666667
785.91,19.0677333333,41.5585,36.3771333333,35.4578666667,18.5081333334,24.2457,27.0928666667,22.8039,33.1468666667,27.0262
786.22,19.3235333333,41.8717666667,37.3136,35.4876666667,18.9819333333,24.7651,27.179,22.9458333333,33.7732666667,27.468
786.53,18.6289333333,41.4035666667,36.8486,34.8473333333,18.1611333333,24.2169666667,26.2574,22.0663333333,33.2554666667,27.0890666667
786.84,17.7777333333,41.2085,36.6212666667,34.3079333333,17.9336666667,23.317,25.9388666667,21.7511666667,32.9045333333,26.7640666667
787.14,16.9901333333,39.9743,35.6642666667,33.2501333333,17.3486,21.8604666667,25.2706,20.7621666667,31.4825333333,25.9175333333
787.45,15.6852666667,39.7244666667,35.2056666667,32.9252,16.4950666667,21.1532666667,24.7813333333,20.1457666667,30.7160666667,25.0599333333
787.76,16.3403333333,39.9136333334,35.4511333333,32.7704666667,16.4236666666,21.3500333333,25.0606666667,20.4767,30.5822,25.2526
788.07,15.3514,39.1167,34.6420666667,32.1405333333,15.2289333334,19.9741333333,24.3132666667,19.3489,29.884,23.9908
788.38,14.6280666667,38.4444333333,34.0676666667,31.4976,14.9566666667,19.3268,23.7166,18.3575,29.6038666667,23.0981333333
788.69,14.3966666667,37.8795666667,33.4734,30.7672666667,14.5113333333,18.9557,23.4766,17.8127666667,29.2262666667,22.3941333333
789.00,14.2602,37.7788,33.3908,30.9238,14.7394,19.1147333333,23.2278666667,17.4144666667,28.9805333333,22.3203333333
789.31,12.4236666667,36.2572333333,32.2223333333,29.4736,13.1968666667,17.3814,21.6114666667,15.7440333333,27.5309333333,20.3118
789.62,11.1505333333,34.7960666666,30.9795333333,28.4812,12.2223333334,16.4365666667,20.6639333333,14.3590666667,26.0354,18.7048
789.92,11.3202,34.9248,30.7123333333,28.6731333333,12.7647333333,16.8822666667,20.9542666667,14.7940666666,26.0392,18.7906666667
790.23,11.25,35.1747,30.6518666667,28.8039333333,12.6074666667,17.0935,20.6114666667,14.1833666667,26.0619333333,18.1989333333
790.54,11.1434,35.6548333333,30.9563333333,28.7873333333,12.668,17.3597,20.8246,14.4732,26.4794666667,17.7892666667
790.85,12.9711333333,36.4611,31.8912666667,29.6414,13.619,18.9412,21.846,15.3222333333,27.6489333333,18.5998
791.16,12.1604666666,35.8813,31.6986,29.0262666667,13.2267333333,18.4825666667,21.3858,14.8010333333,27.2779333333,18.0524666667
791.47,12.5253333333,36.1292333333,32.2438666667,29.4806,13.7373333333,18.8599666667,21.9334666667,15.1263666667,27.4747333333,18.5064
791.78,12.1245333333,36.4813,32.5248666667,29.6924,13.4519333333,18.8468666667,21.8317333333,15.4097,27.6530666667,18.6282
792.08,11.9177333333,36.0224,32.2996666667,29.9251333333,13.3033333333,18.8764,21.2809333333,14.9063666667,27.3857333333,17.9025333333
792.39,12.3203333333,35.7431,32.4394,30.0484,13.4303333333,18.6963666667,21.5344666667,15.486,27.6648666667,17.7504666667
792.70,14.0848666667,37.0838666667,34.1224,31.3793333333,15.047,20.8418333333,23.4423333333,17.5198,29.4400666667,19.5264
793.01,15.7858666667,39.0355333333,35.7478666667,33.5990666667,16.9248,22.6082333333,25.3684,19.7077,31.8071333333,21.3591333333
793.32,16.9598,39.8919333333,37.3842666667,34.7223333333,17.5386,23.3179333333,26.0493333333,20.4512666667,32.8319333333,21.9367333333
793.62,16.9583333333,39.6382333333,37.6119333333,35.0524666667,17.8218,23.7845,26.0522,20.8634,32.8355333333,22.0302666667
793.93,16.8564,39.3108666667,37.383,35.5013333333,17.2356666667,23.8250333333,25.7297333333,20.4645333334,32.7448,21.8428
794.24,16.3260666667,38.5341333333,36.8542,35.5299333333,17.0914666667,23.0845666667,25.465,20.0727333333,32.216,21.7067333333
794.55,17.1824,39.0956666667,37.1898,36.4499333333,17.8251333333,23.7854666667,26.4872,20.695,33.0492666667,22.5784666667
794.86,16.6924,38.5973666667,36.4414,36.1976666667,17.4086,23.4958333333,25.9431333333,20.4169,32.6614,22.5690666667
