wavelength,Back_ButAurm,Belly_ButAurm,Breast_ButAurm,Crissum_ButAurm,Crown_ButAurm,DorTail_ButAurm,Patch10_ButAurm,Patch11_ButAurm,Patch12_ButAurm,Rump_ButAurm,Throat_ButAurm,WingTip_ButAurm
194.75,55.8333333333,108.0,105.333333333,77.8333333333,108.833333333,128.333333333,99.8333333333,96.9999999999,103.833333333,94.3333333333,129.833333333,101.333333333
195.13,65.8466,117.8836,118.201133333,89.1270666667,120.740666667,146.217,109.3386,102.460266667,114.232733333,111.534266667,134.100666667,109.3386
195.51,78.1055999999,133.4162,131.863333333,103.654333333,136.231866667,168.6128,129.089066667,116.811533333,137.287666666,136.314733333,147.826133333,115.0104
195.89,97.3333333333,166.0,165.333333333,129.333333333,164.666666667,209.666666667,162.333333333,139.0,174.0,170.0,183.666666667,133.666666667
196.27,91.1943999999,200.638866667,191.7222,144.833333333,192.083333333,241.7778,183.2222,156.416666667,204.805533333,190.333266667,217.194466667,152.361066667
196.65,84.1666,276.944466667,262.7778,178.333333333,244.444466667,315.2778,221.666733334,183.0556,257.777733333,238.333266667,285.555533333,196.944466667
197.03,538.5186,-594.074066667,-593.333400001,34.0741333332,-113.333333333,-162.963000001,297.777733333,-72.5926666659,63.7038000008,225.925933333,-478.518466667,-518.5186
197.40,118.518466667,208.1482,159.999933333,169.629666667,211.851733333,285.9258,234.074133333,149.629666667,245.925866667,264.444466667,224.4444,108.148266667
197.78,300.0,736.666666666,513.333333333,596.666666667,746.666666666,1106.66666667,833.333333334,413.333333333,843.333333333,929.999999999,800.0,276.666666667
198.16,162.095266667,516.761933333,393.5238,312.5714,404.380933333,568.380933333,409.714266667,274.666666667,438.666666667,488.952333333,508.0,275.047666667
198.54,438.0,1102.66666667,668.666666666,676.000000001,852.0,1166.66666667,887.333333333,652.666666667,974.666666667,1070.0,1116.0,464.000000001
198.92,396.0606,1037.57573333,567.575733334,578.484866667,708.787866668,1049.69693333,783.030266665,579.999999999,878.787933334,953.333333333,1059.39393333,329.999999999
199.30,215.111133333,527.111066667,300.444466667,305.0,311.888933333,498.666666667,376.444466667,328.111066667,408.4444,414.2222,531.777733333,215.7778
199.68,88.3333333335,285.5556,169.444533333,147.2222,156.6666,227.222333333,176.6666,148.333333333,180.0,182.777733333,257.7778,118.333266667
200.06,57.8432000001,276.666533333,176.0784,125.8824,159.656933333,193.235333333,145.9804,126.617666667,145.2942,144.8038,228.578466667,132.009866667
200.44,94.1666666667,259.391066667,163.301266667,144.038466667,156.5064,201.6026,161.089733333,136.9872,166.923066667,155.705133333,226.0898,131.185866667
200.82,99.9038666667,255.5128,161.826933333,141.7308,144.807733333,200.641,157.5,144.070466666,163.333333334,153.429533333,224.4872,130.192333333
201.19,130.499333333,248.744866667,149.257733333,160.269933333,140.782733333,210.418466667,170.877133333,144.534333333,181.511466667,167.719266667,241.214733333,127.611533333
201.57,161.111066667,307.3334,181.333333333,187.7778,168.2222,237.333333333,215.555533333,189.555533333,221.555533333,201.777733333,305.555533333,161.555533333
201.95,620.5556,1088.88886667,373.333333333,627.777800001,444.444466666,773.888933333,669.999999999,572.777733334,810.555533332,691.111066667,1169.4444,417.7778
202.33,-48.8095333335,-25.0,114.404733333,-33.8095333335,89.8808666668,-43.2142666665,4.5237333332,100.357133333,-47.3809999999,-29.8809333333,-97.1427999999,92.1428666668
202.71,227.619133333,880.476200001,821.428666667,245.238133334,785.714266667,469.999999999,493.333266667,860.476266667,262.857133333,385.714333333,574.285666667,689.047533333
203.09,-254.509866667,-1020.7844,-746.6668,-254.509866667,-806.6666,-585.490199999,-539.607800001,-789.803933333,-431.372466667,-443.921533333,-714.902000001,-700.392133333
203.47,-102.222266667,-362.666866666,-245.333333334,-105.7778,-283.111133333,-202.666666667,-197.777666667,-260.444266666,-193.777733333,-166.222133333,-324.000066666,-250.666666666
