wavelength,Back_ChlRief,Belly_ChlRief,Breast_ChlRief,Crissum_ChlRief,Crown_ChlRief,DorTail_ChlRief,Patch10_ChlRief,Patch11_ChlRief,Patch12_ChlRief,Rump_ChlRief,Throat_ChlRief,WingTip_ChlRief
328.41,4.8238,15.9886666667,9.82633333332,3.91833333333,4.03446666667,3.91246666667,34.3157333333,-1.08853333333,23.1451333333,11.2477333333,0.0072666666674,3.1372
328.78,4.57333333333,15.8087333333,9.72246666667,3.71300000001,3.7648,3.55613333333,34.3446,-1.3992,22.9564666667,11.1379333333,-0.344999999999,2.85286666667
329.14,4.2956,15.6668333333,9.5444,3.4688,3.41593333333,3.24313333333,34.3168,-1.62526666666,22.8161333333,10.9803333333,-0.666133333332,2.471
329.51,4.57153333333,15.9669666667,9.81160000001,3.78800000001,3.726,3.517,34.6222666667,-1.28573333333,23.0512,11.2957333333,-0.3464,2.72523333333
329.88,4.46733333333,15.9401333333,9.78320000001,3.79126666667,3.67073333333,3.54686666667,34.7727333333,-1.30806666667,23.0372,11.1539333333,-0.436600000001,2.53523333333
330.24,4.30053333333,15.8723333333,9.75953333333,3.62646666667,3.39053333333,3.36726666667,34.9251333333,-1.55473333333,22.8905333333,10.9888,-0.729666666665,2.31383333333
330.61,4.39393333333,15.9305,9.76126666667,3.70486666667,3.39446666667,3.44373333333,35.2167333333,-1.57286666667,22.9927333333,11.0884666667,-0.730666666667,2.278
330.98,4.18526666666,15.7747333333,9.5856,3.55900000001,3.23746666667,3.1462,35.2194666667,-1.90306666667,22.8386,10.9972666667,-0.966333333331,2.03533333333
331.34,4.17833333333,15.7505666667,9.6078,3.4698,3.20773333333,3.10193333333,35.4782,-2.02246666667,22.7522,11.0397333333,-1.00893333333,1.93813333333
331.71,4.30373333334,15.9942666667,9.80926666665,3.55133333334,3.2824,3.23986666667,35.7602,-1.96053333333,22.8858666666,11.2834,-0.945133333333,2.08583333333
332.08,4.4666,16.2779666667,10.0770666667,3.63673333333,3.47346666667,3.39693333333,36.0202666667,-1.8616,23.0,11.6064,-0.858133333332,2.1695
332.44,4.54373333334,16.3496333333,10.2478,3.61793333334,3.53966666667,3.38786666666,36.1697333333,-1.92673333333,22.9722666667,11.6879333333,-0.9318,2.12143333333
332.81,4.6332,16.4323,10.331,3.46346666666,3.69193333333,3.33273333333,36.5044666667,-1.87646666667,22.9325333333,11.7797333333,-0.890333333334,2.1885
333.18,4.95926666667,16.6731333333,10.6284,3.65979999999,3.9902,3.4692,36.9199333333,-1.61433333333,23.0928,12.071,-0.560933333331,2.55046666667
333.54,4.6996,16.3538666667,10.4280666667,3.27179999999,3.64673333333,3.04673333333,36.8428666667,-2.00106666667,22.7284,11.8388,-0.874466666666,2.25496666667
333.91,4.7314,16.4144666667,10.5080666667,3.21773333333,3.648,2.97653333333,37.0767333333,-2.10353333333,22.7734666667,12.0074666667,-0.916599999998,2.27246666667
334.28,4.85146666667,16.5638333333,10.6472666667,3.2588,3.72533333333,3.04766666667,37.3569333333,-2.0538,22.8241333333,12.1463333333,-0.801933333334,2.26846666667
334.64,5.29526666667,17.1619666667,11.2299333333,3.75639999999,4.1986,3.54413333333,38.0122,-1.52513333333,23.2435333333,12.6081333333,-0.337466666666,2.7484
335.01,5.79846666667,17.7061333333,11.7566666666,4.16306666667,4.703,4.05733333333,38.5948666667,-0.960466666665,23.6192,13.1217333333,0.167333333332,3.23623333333
335.38,6.0678,18.0956,12.0018666667,4.46993333334,4.95086666667,4.3826,38.9984,-0.643866666666,23.7996666667,13.4286,0.370866666667,3.44386666667
335.74,6.34873333333,18.4229,12.3222,4.69126666667,5.18186666667,4.62446666667,39.4859333333,-0.396333333333,23.9704666667,13.6800666667,0.622666666668,3.58526666667
336.11,6.41666666667,18.5717666667,12.5118666667,4.81400000001,5.274,4.7364,39.7939333333,-0.3122,23.9991333333,13.7763333334,0.719066666665,3.58336666667
336.47,6.7502,18.9879333333,12.7882,5.09393333334,5.58146666666,5.1312,40.3296,0.0360000000002,24.3217333333,14.1504,1.0454,3.8805
336.84,7.0844,19.2581333333,13.0289333333,5.50266666667,5.8072,5.52293333333,40.4969333333,0.322133333333,24.481,14.4330666667,1.35893333333,4.10856666667
337.21,7.0666,19.382,13.041,5.53580000001,5.82066666667,5.56566666667,40.6635333333,0.277333333333,24.4398,14.393,1.27086666667,4.00933333333
337.57,7.42973333333,19.8511333333,13.3632666666,5.91586666667,6.16906666667,5.9258,41.1439333333,0.605466666665,24.7733333333,14.7676666667,1.53486666667,4.31846666667
337.94,7.61806666667,20.1048333333,13.5765333333,6.10133333334,6.3434,6.094,41.5328,0.820666666667,24.8586666667,14.9686,1.67966666667,4.50646666667
338.31,7.76626666667,20.2979666667,13.6724666667,6.29080000001,6.5266,6.22193333333,41.7581333333,0.958266666668,24.9221333333,15.1332666667,1.87366666667,4.72056666666
338.67,7.6196,20.1202333333,13.5283333333,6.05226666666,6.41766666667,6.0118,41.7905333333,0.734733333333,24.6836666667,15.059,1.68266666667,4.49783333333
339.04,7.40546666667,19.9919,13.3822666667,5.78213333334,6.16193333333,5.8052,41.8439333333,0.475399999999,24.4171333333,14.947,1.4594,4.23216666667
339.40,7.39406666667,19.9322,13.3806666667,5.75406666667,6.1826,5.7456,41.8555333333,0.5084,24.2822666667,14.9853333333,1.49593333333,4.30286666667
