wavelength,Back_DacAlbm,Belly_DacAlbm,Breast_DacAlbm,Crissum_DacAlbm,Crown_DacAlbm,DorTail_DacAlbm,Patch10_DacAlbm,Rump_DacAlbm,Throat_DacAlbm,WingTip_DacAlbm
240.04,10.3355833333,2.18558333334,-0.620333333333,-1.05754166667,5.90825,-0.479583333333,-7.28983333334,6.458,9.08066666668,-3.21475
240.42,12.549,3.95825,1.56858333333,1.489125,8.88474999999,2.42633333333,-3.61516666666,9.08099999999,11.9975833333,-0.13475
240.79,15.1495,6.51716666667,4.34833333333,4.08633333334,11.8055,5.33125,0.0961666666667,11.8695833333,14.9038333333,2.78858333333
241.17,15.6670833333,7.526,4.64258333333,4.93079166666,12.7739166667,5.68041666666,0.634499999998,12.8125,15.4748333333,3.62358333333
241.54,15.3350833333,7.44841666667,4.30408333333,4.49316666667,12.2251666667,5.01725,0.369416666665,12.5171666667,14.6993333333,3.213
241.92,15.8064166667,7.31958333334,4.60825,4.8425,12.35025,5.10741666667,0.737166666666,12.90325,14.6851666667,3.70958333333
242.29,16.45575,8.15041666667,5.5345,6.01612500001,13.5723333333,5.77358333333,1.81425,13.706,15.4710833333,4.64141666667
242.67,16.3465,7.61283333333,5.331,5.85470833333,13.6108333333,5.491,1.97466666667,13.5708333333,15.5455833333,4.45683333334
243.05,15.66725,6.80816666667,4.582,5.143375,13.1880833334,4.91291666667,1.5965,13.3370833333,15.0311666666,4.07575
243.42,15.1600833333,6.36266666667,4.03633333333,4.79279166667,12.85275,4.47491666666,1.42391666667,13.20875,14.4675,3.85841666667
243.80,14.8219166667,5.82508333333,3.35475,4.55841666667,12.6549166666,3.73383333333,1.15625,12.9265833333,14.0446666667,3.19683333333
244.17,14.9258333333,5.66241666667,3.60733333333,5.12191666667,12.9210833333,3.53833333334,1.12491666667,13.4113333333,14.3476666667,2.98508333333
244.55,14.5214166667,5.25808333333,3.11266666667,4.96954166667,12.5000833333,2.72191666667,0.793750000001,13.12625,14.0499166667,2.51741666667
244.92,13.5625,4.35166666667,2.38766666667,4.30691666666,11.88525,1.49825,-0.310416666665,12.4760833333,13.3955,1.56408333333
245.30,13.4240833333,3.71858333333,2.22891666667,3.735375,11.7775,1.08083333333,-0.761583333332,12.33775,13.2449166667,0.912833333333
245.67,14.2686666667,4.0,2.73616666666,4.356625,12.7809166667,1.53983333333,-0.296583333335,13.1085833333,14.14375,1.44108333333
246.05,14.5676666667,4.2075,3.00183333333,4.44520833333,13.1315833333,1.80591666667,-0.0287499999975,13.5784166667,14.8414166667,1.46008333333
246.42,14.8648333333,4.31891666667,3.21966666667,4.28604166667,13.2440833333,1.91675,0.1015,13.84475,15.3108333334,1.34258333333
246.79,15.3264166667,4.69308333334,3.50258333333,4.529125,13.6094166667,2.14991666667,0.401000000001,14.3989166667,15.6585,1.62375
247.17,16.0580833333,5.25333333334,4.00991666667,5.06041666667,14.1723333333,2.62666666666,0.854166666666,14.8905,16.2281666667,2.18433333334
247.54,16.6738333333,5.73425,4.42558333333,5.42658333333,14.6894166667,2.93708333333,1.27258333333,15.1854166667,16.8716666667,2.531
247.92,17.21425,6.16775,4.81633333333,5.920125,15.3015,3.54825,1.7395,15.5856666667,17.3525833333,3.05275
