wavelength,Back_SalMamf,Belly_SalMamf,Breast_SalMamf,Crissum_SalMamf,Crown_SalMamf,DorTail_SalMamf,Patch10_SalMamf,Patch11_SalMamf,Patch12_SalMamf,Rump_SalMamf,Throat_SalMamf,WingTip_SalMamf
191.33,34.9820666667,87.3835333334,62.6523333333,53.3332666667,49.1038000001,99.4623999999,54.1219333334,52.5447333333,64.9464000001,31.1589407407,37.1325999999,43.0824
191.71,28.6111333333,78.4722666667,56.1110666667,45.2778,41.9444,86.007,44.9306,48.1944666667,56.2498666666,26.049362963,30.2778666667,32.0833333333
192.09,25.2898666667,76.0868666666,55.942,39.855,37.971,83.587,43.1159333333,47.4636666667,54.6375999999,23.7761925926,27.4636666666,30.5797333333
192.47,11.0822,70.0432,53.2468,29.7835333333,22.9436666667,80.4762333333,33.7663333333,35.5843333333,50.8224666667,11.0822,19.9999333333,23.8096
192.85,2.037,61.6666666667,51.6665333334,21.7592666667,14.5371333333,75.1851333333,27.2222,27.1296666667,45.7406666666,2.77786666667,15.9259333333,18.5184
193.23,10.9236666667,60.5622666667,52.9317333333,27.3896,19.5984666667,68.7549666667,32.7710666667,35.8233333333,46.4258,11.3967259259,26.2650666667,23.6948666667
193.61,7.04760000001,64.0000000001,59.6189333333,28.0954,15.7143333333,68.2380666667,35.5238,36.6666,51.5238666666,8.32802962962,28.9522666666,20.6665333333
193.99,-5.912,66.2894,66.9182,23.3962666667,2.38993333333,69.3711333333,35.3459333333,35.4716666667,58.1131333333,0.18158518524,20.6290666666,14.5910666666
194.37,-16.2666666667,65.9999999999,64.8,13.4666666667,-4.26666666666,61.2666666667,33.7333333334,32.0,53.6,-1.18518518525,16.5333333333,4.53333333334
194.75,-12.7868,54.7540666666,54.5354,5.1366,-7.65033333332,42.4590333333,24.1529333333,24.0439333333,40.7650666667,-1.37228148149,12.3498666667,1.42066666666
195.13,-20.7272,59.7577333334,58.0606,-1.33340000001,-10.9092,39.5756666667,17.2122,20.2423333333,40.3636666667,-6.77442222216,14.788,-8.60620000002
195.51,-56.1402666667,54.5614666667,60.3509333332,-30.5264666667,-44.0352,23.0702,1.22806666665,-4.91239999999,33.8596,-42.5730740741,-7.36840000008,-46.6666666666
195.89,-102.933333333,68.2666666667,77.8666666669,-60.2666666667,-87.2,21.7333333333,-12.5333333333,-27.4666666667,31.7333333334,-86.5185185185,-20.8,-72.2666666667
196.27,-115.277733334,45.5554666667,46.9444666667,-80.0000666665,-100.000066667,0.555533333334,-33.0556000001,-43.0555333333,21.9444666665,-101.049414815,-40.8333333335,-89.7222000001
196.65,-87.4358000002,48.4614666667,28.7180000001,-73.5898000001,-84.359,4.48726666668,-31.5383333333,-29.7434666666,24.6154000001,-86.6952148148,-33.0769999998,-88.9744000001
197.03,-140.784333333,67.8432666666,10.5881999999,-125.490133333,-162.745133333,-13.7255,-81.9607333333,-56.8626666667,27.0589333335,-146.623140741,-61.9608,-165.882466667
