wavelength,Back_CamHelf,Belly_CamHelf,Breast_CamHelf,Crissum_CamHelf,Crown_CamHelf,DorTail_CamHelf,Rump_CamHelf,Throat_CamHelf,WingTip_CamHelf
183.73,22.731,17.269,23.3734,25.2610333333,11.245,44.4547666667,43.2128666667,50.5219666667,13.7490637681
184.11,10.5472666667,4.1790666666,14.5770666667,8.30833333333,-2.68646666667,38.6258923077,39.4029666667,49.6019666666,-1.70008405798
184.49,19.3073333333,17.1429333333,29.4372666667,25.0649666667,8.05200000001,46.3536871795,45.7143333333,55.1946666667,12.267942029
184.87,12.0001333333,11.4509333334,21.4902666667,21.098,0.235333333326,32.392125641,39.3726333334,43.0981,-1.88576811592
185.25,3.29326666665,8.51399999999,12.5301333333,13.6947333334,-12.0480666667,20.1019,36.3856666667,40.0402,-2.69951014493
185.63,18.5034,17.6870666667,21.9048333333,26.6665333333,0.340066666673,28.6210923077,46.6325666667,48.5033999999,14.6642463768
186.01,15.814,7.90700000007,17.0153666667,23.7984333333,-9.22473333335,22.1765410256,41.3952,46.8604333333,9.73702028984
186.39,22.1754666667,13.4737333333,20.4562,25.6491,-3.92993333333,28.0402948718,41.9648,52.0000666667,18.4683855072
186.77,24.8,19.0666666667,20.3,26.9,3.20000000001,34.1205128205,43.1,49.4666666667,29.4492753623
187.15,20.9092,19.1667333333,15.7198666667,23.8258333333,-2.27273333332,36.5035358974,43.1819,50.8714,22.7503623188
187.53,17.3333333333,17.9259333334,10.4444333333,19.9629,-6.2964,30.2706846154,38.8148,50.1851,21.8067826087
187.91,16.2868666667,19.0717333333,14.7257666667,17.4682,-12.9957333333,32.3239820513,38.5231333333,56.8354333334,20.5430521739
188.29,22.1164,32.8043333333,21.8518,27.6721666667,-10.7937333333,38.436974359,48.6772,79.3651666667,37.1196115943
188.67,14.3938666667,36.8182000001,14.3182000001,13.9392666667,-17.2727333333,37.5058538461,54.9999333334,95.5303,44.8091681159
189.05,-3.63626666666,27.6768666666,-0.60596666666,-9.69696666666,-33.9395333333,34.9572769231,45.5556000001,104.6465,57.6987507247
189.43,-46.2745333333,-2.7451333336,-37.2547333334,-53.3334000001,-79.2157333334,63.1071025641,35.0978666667,169.8038,69.087710145
189.81,-593.333266666,-373.333266665,-565.555599999,-700.000033333,-724.444466667,-8.034123077,-110.000066667,606.666933333,91.9806579704
190.19,2286.66666667,1140.0,1980.0,2610.0,2246.66666667,157.435897436,200.000000002,-1283.33333333,-313.913043477
190.57,132.0988,74.0740000001,103.2099,125.555633333,122.962933333,42.8775717948,48.8888999999,13.4568,23.8111275363
190.95,155.757533333,93.1312,117.878766667,150.1012,158.181866667,91.6782102563,78.8889666667,48.2827666667,70.0308666667
191.33,135.666666667,85.0000000001,94.2499999999,137.0,143.5,103.08974359,72.4166666665,57.0833333334,58.2898550724
191.71,106.666666667,69.3988666667,81.8032333333,104.4808,105.792333333,88.4532333334,56.2294666667,53.3333666667,61.3683768116
192.09,113.793133333,79.0803999999,95.0575000001,111.609166667,107.1264,101.595897436,60.2874333334,56.4942999999,65.1574086957
192.47,264.8148,189.259266667,207.0371,262.5926,278.148,218.205233333,100.3703,127.407366667,114.814742029
192.85,772.0,585.333333333,608.000000001,786.666666667,873.333333333,582.410256411,196.666666667,280.0,262.086956522
193.23,-454.666666667,-341.333333333,-310.0,-583.333333333,-649.333333333,-420.41025641,61.9999999999,31.3333333334,65.9130434782
193.61,-163.888933333,-128.888866667,-113.888766667,-218.0556,-279.444466667,-209.081174359,50.2778,21.3889666668,62.9227246377
193.99,-444.0,-241.333333333,-358.666666667,-484.666666667,-692.000000001,-547.794871795,114.666666667,42.6666666666,181.449275362
194.37,-50.9090666667,-15.4544666667,-52.4242999999,-60.7576333333,-128.4848,-95.1049717948,49.0909666666,42.8786999999,76.9169594203
194.75,-23.2381333333,-3.80953333334,-30.1906666667,-42.1904333333,-68.1904666668,-69.6703487179,31.5237333333,33.8094999999,55.3622376812
195.13,-28.6666666667,-24.0,-35.4999999999,-54.6666666667,-113.0,-133.153846154,50.1666666667,32.5,112.695652174
195.51,23.4482,10.8046,15.6323000001,18.6206666665,-33.1034,-32.4668871795,73.4480666667,69.5402666667,134.302765217
