wavelength,Back_OryMaxm,Belly_OryMaxm,Breast_OryMaxm,Crissum_OryMaxm,Crown_OryMaxm,DorTail_OryMaxm,Rump_OryMaxm,Throat_OryMaxm,WingTip_OryMaxm
410.06,4.807,4.7945,4.29416666666,3.61016666667,4.25266666667,5.728,4.95716666666,4.27033333333,5.56066666666
410.42,4.80316666667,4.78166666667,4.30216666667,3.63333333333,4.23666666667,5.7345,4.96783333333,4.27116666667,5.5645
410.77,4.7895,4.81316666666,4.33766666667,3.6715,4.25716666667,5.769,4.98166666666,4.34383333333,5.59666666666
411.13,4.77216666667,4.7615,4.2885,3.67583333333,4.24433333333,5.76266666667,4.97816666667,4.329,5.57833333333
411.49,4.73833333333,4.73666666667,4.23733333333,3.62166666666,4.2225,5.72033333333,4.955,4.2985,5.555
411.85,4.721,4.69783333333,4.23283333333,3.5865,4.23466666667,5.67866666667,4.94733333334,4.294,5.533
412.21,4.71616666667,4.72083333334,4.22916666666,3.5965,4.258,5.65916666666,4.96183333333,4.3,5.51966666667
412.57,4.7225,4.7145,4.20983333334,3.63666666666,4.30583333334,5.6755,4.98666666667,4.321,5.531
412.92,4.73883333334,4.74583333333,4.24916666667,3.685,4.35183333333,5.6855,4.99716666667,4.33283333333,5.5605
413.28,4.718,4.73966666667,4.2515,3.678,4.3595,5.70416666667,5.0075,4.3685,5.589
413.64,4.7225,4.718,4.2635,3.63816666666,4.33916666667,5.71066666667,5.05666666667,4.34983333333,5.60366666667
414.00,4.66166666667,4.6645,4.18566666666,3.5925,4.277,5.63333333333,5.00683333333,4.31983333333,5.54016666666
414.36,4.604,4.58633333334,4.1255,3.5275,4.20583333333,5.55233333333,4.96083333333,4.25166666666,5.48
414.72,4.57466666667,4.56616666666,4.06883333333,3.496,4.15116666667,5.49533333333,4.91416666667,4.1885,5.45366666667
415.07,4.481,4.51216666667,3.98733333334,3.36333333333,4.01683333333,5.38833333333,4.83933333333,4.07766666667,5.35433333334
415.43,4.40616666667,4.45616666667,3.9505,3.3275,3.9425,5.34683333333,4.82,4.02833333333,5.30433333334
415.79,4.39283333334,4.43883333334,3.904,3.2825,3.881,5.36033333333,4.78883333333,3.97,5.2555
416.15,4.36633333333,4.41983333334,3.865,3.27983333334,3.83066666666,5.33333333334,4.73733333334,3.93683333333,5.23483333334
416.51,4.39833333333,4.496,3.9415,3.35833333334,3.84383333333,5.38283333334,4.79233333333,3.9695,5.27766666666
416.86,4.35066666667,4.4495,3.90433333333,3.32033333334,3.77466666667,5.3725,4.75116666667,3.93866666667,5.231
417.22,4.31966666667,4.45816666666,3.875,3.281,3.755,5.354,4.7135,3.905,5.19316666667
417.58,4.25416666667,4.43783333333,3.83216666667,3.2375,3.7095,5.29083333333,4.60433333333,3.84916666666,5.11083333334
417.94,4.2605,4.44733333334,3.87133333333,3.28166666667,3.72016666667,5.30366666667,4.5965,3.84066666667,5.108
418.29,4.273,4.46716666667,3.90083333334,3.31183333334,3.74366666666,5.31883333333,4.58433333333,3.86583333333,5.12416666666
418.65,4.268,4.44083333333,3.88466666666,3.32783333333,3.72333333333,5.301,4.56283333333,3.84216666667,5.09633333334
419.01,4.23133333333,4.385,3.84333333333,3.2995,3.69166666667,5.25266666667,4.4905,3.795,5.04183333334
419.37,4.27733333333,4.40883333334,3.86766666666,3.32133333333,3.718,5.27366666667,4.49416666667,3.813,5.05983333333
419.73,4.277,4.41016666666,3.88816666667,3.3565,3.71883333334,5.27183333333,4.49966666667,3.83283333333,5.065
420.08,4.28366666666,4.41283333333,3.90616666667,3.34933333333,3.7295,5.28416666666,4.51483333333,3.84666666667,5.0645
420.44,4.24633333334,4.3575,3.86016666667,3.29333333334,3.6785,5.239,4.46716666667,3.79816666666,5.01316666667
420.80,4.255,4.34933333334,3.84333333333,3.28333333334,3.68166666666,5.222,4.461,3.78583333333,5.0015
421.16,4.24233333333,4.324,3.82983333333,3.25733333333,3.66233333333,5.21366666667,4.45666666667,3.77833333333,4.98383333333
421.51,4.27866666666,4.33483333333,3.85733333334,3.30216666667,3.68783333333,5.2445,4.49883333333,3.79516666667,5.008
421.87,4.3025,4.35716666667,3.8755,3.32316666667,3.70366666667,5.2645,4.52933333333,3.8295,5.03733333333
422.23,4.323,4.38433333333,3.88916666666,3.33516666667,3.719,5.27966666667,4.565,3.834,5.04416666667
422.58,4.32083333333,4.39633333333,3.90066666666,3.323,3.72383333333,5.28483333333,4.5735,3.83983333334,5.03083333333
422.94,4.354,4.42866666667,3.94716666667,3.387,3.75166666666,5.335,4.61533333333,3.88733333333,5.07166666667
423.30,4.336,4.41516666667,3.91933333334,3.37566666666,3.73816666667,5.31233333333,4.5865,3.87266666667,5.04983333334
423.66,4.32233333333,4.4085,3.9,3.346,3.73316666666,5.317,4.58116666667,3.85566666666,5.0455
424.01,4.32033333334,4.4095,3.89883333334,3.34766666666,3.73783333333,5.3315,4.59116666667,3.8545,5.04033333333
424.37,4.3355,4.40783333333,3.89566666667,3.35066666667,3.75466666666,5.34466666667,4.6,3.8755,5.03533333334
424.73,4.31466666666,4.3935,3.88766666667,3.33133333333,3.74483333334,5.31916666666,4.60133333333,3.87283333334,5.02
425.08,4.32283333333,4.40466666667,3.90033333334,3.3655,3.7545,5.31183333334,4.61183333334,3.8805,5.033
425.44,4.3105,4.3975,3.8785,3.35633333333,3.7675,5.297,4.59766666667,3.89133333333,5.041
425.80,4.28016666667,4.36416666666,3.8605,3.337,3.757,5.289,4.58033333334,3.881,5.0095
426.16,4.26566666667,4.33983333334,3.85083333334,3.32583333333,3.735,5.28133333333,4.5735,3.88366666667,4.9975
426.51,4.2405,4.3025,3.82,3.30583333333,3.7055,5.249,4.56383333334,3.8605,4.9845
426.87,4.23116666666,4.29733333333,3.79916666667,3.27383333334,3.68683333334,5.2385,4.56966666667,3.84133333334,4.984
427.23,4.20683333334,4.27233333333,3.78683333334,3.25566666667,3.668,5.24066666666,4.58616666667,3.8175,4.96933333333
427.58,4.18,4.22466666666,3.75816666667,3.24683333333,3.61266666667,5.20783333333,4.538,3.78333333333,4.93933333333
427.94,4.19316666667,4.22566666667,3.77033333334,3.25316666666,3.60666666667,5.18583333333,4.51783333334,3.7785,4.953
428.30,4.181,4.25433333333,3.7795,3.25683333333,3.60183333333,5.17533333334,4.518,3.765,4.98
428.65,4.1865,4.27083333334,3.79116666667,3.28783333333,3.59566666667,5.19916666667,4.50733333333,3.766,5.00716666667
429.01,4.16466666667,4.25466666666,3.76116666667,3.24766666667,3.5495,5.20133333334,4.46333333333,3.74083333333,4.96833333333
429.37,4.16733333333,4.262,3.773,3.22783333333,3.51616666667,5.21633333334,4.46016666667,3.72683333333,4.96966666666
429.72,4.1885,4.27766666667,3.7595,3.20333333333,3.487,5.19216666666,4.43833333333,3.703,4.978
430.08,4.21566666666,4.3095,3.7895,3.2225,3.52283333333,5.22483333334,4.466,3.73533333334,5.01016666667
430.44,4.22583333333,4.31733333334,3.81733333334,3.2445,3.5425,5.263,4.47433333334,3.77,5.0155
430.79,4.249,4.33333333334,3.83066666666,3.26833333333,3.569,5.28133333333,4.49216666666,3.78516666667,5.03333333333
431.15,4.28866666667,4.349,3.87016666666,3.31483333333,3.60833333334,5.31216666667,4.51683333333,3.83783333333,5.05866666667
431.50,4.337,4.39516666667,3.92633333334,3.35933333333,3.66533333333,5.34783333333,4.571,3.90716666666,5.09283333334
431.86,4.33083333334,4.4015,3.925,3.3815,3.67083333333,5.37366666667,4.58516666666,3.91116666667,5.098
432.22,4.33983333334,4.38133333334,3.9305,3.38716666667,3.68133333333,5.39216666667,4.58133333333,3.92083333333,5.08233333333
432.57,4.33966666666,4.365,3.93333333333,3.37416666667,3.696,5.38583333333,4.59333333333,3.90783333333,5.083
432.93,4.37766666667,4.37366666666,3.96666666667,3.41133333333,3.74883333333,5.40383333333,4.634,3.9165,5.10833333334
433.29,4.37683333333,4.39816666667,3.96216666666,3.44516666667,3.78016666667,5.42083333334,4.654,3.92883333334,5.114
433.64,4.3665,4.418,3.962,3.45266666667,3.79783333334,5.43566666666,4.67516666667,3.93466666667,5.118
434.00,4.3355,4.41216666667,3.913,3.43316666667,3.77216666667,5.42683333333,4.6375,3.9365,5.09983333333
434.35,4.35516666667,4.42316666666,3.90566666667,3.42766666666,3.7795,5.44666666667,4.6515,3.94583333333,5.12416666666
434.71,4.3595,4.41916666667,3.911,3.43383333334,3.795,5.46666666667,4.67166666667,3.9675,5.1325
435.07,4.3885,4.44833333333,3.922,3.44183333333,3.816,5.474,4.6885,3.99866666667,5.15766666666
435.42,4.366,4.44666666667,3.91833333334,3.438,3.8255,5.474,4.68483333333,3.99966666667,5.1605
435.78,4.34933333334,4.4305,3.89633333333,3.4085,3.79966666666,5.4375,4.6745,3.9995,5.14933333333
436.13,4.332,4.44133333333,3.88633333334,3.39416666666,3.76966666667,5.42933333334,4.671,3.99366666667,5.16266666667
436.49,4.34166666667,4.46,3.86066666666,3.41883333333,3.76733333334,5.44583333333,4.67766666666,4.00933333334,5.14666666667
436.84,4.31933333333,4.45383333333,3.82583333333,3.394,3.745,5.431,4.64666666667,3.99633333333,5.12616666667
437.20,4.33716666667,4.44916666667,3.84583333334,3.3885,3.73733333334,5.44666666667,4.6715,4.00333333334,5.13716666666
437.56,4.367,4.4515,3.879,3.437,3.75983333333,5.48216666666,4.67133333333,4.0265,5.142
437.91,4.40816666667,4.46983333333,3.92866666666,3.4665,3.79866666666,5.49333333334,4.725,4.01166666667,5.17566666667
438.27,4.42033333333,4.50433333334,3.95816666667,3.48966666666,3.8355,5.512,4.75133333333,4.02383333333,5.18783333333
438.62,4.41783333334,4.5205,3.9595,3.4865,3.84433333333,5.48933333333,4.73116666667,4.002,5.18433333334
438.98,4.39466666666,4.52616666667,3.97183333333,3.48433333333,3.837,5.50166666667,4.735,3.97433333334,5.177
439.33,4.41633333334,4.54133333334,3.97516666667,3.4835,3.84966666667,5.5,4.746,3.96433333334,5.18383333334
439.69,4.44916666667,4.5685,3.99716666667,3.50416666667,3.87266666667,5.5155,4.76916666667,3.978,5.189
440.04,4.50783333334,4.5875,4.04833333334,3.5545,3.9275,5.543,4.81666666667,4.01833333333,5.21783333333
440.40,4.54233333333,4.6225,4.10233333334,3.57966666667,3.94583333333,5.55966666667,4.84033333333,4.06716666667,5.26033333333
440.75,4.57533333334,4.66033333334,4.155,3.62133333333,3.97633333333,5.58333333334,4.884,4.104,5.304
441.11,4.609,4.69233333334,4.192,3.6505,4.0205,5.5935,4.90266666666,4.13883333334,5.32933333334
441.47,4.64316666666,4.72816666667,4.19833333334,3.65133333333,4.05183333333,5.60933333333,4.928,4.184,5.3645
441.82,4.647,4.74166666667,4.19833333333,3.66083333333,4.06866666666,5.6235,4.91916666667,4.20833333333,5.36933333333
442.18,4.6655,4.7495,4.21333333333,3.67066666667,4.08783333334,5.62716666667,4.916,4.21733333334,5.3945
442.53,4.70016666667,4.76166666667,4.22666666667,3.685,4.10366666667,5.64383333333,4.92783333333,4.24916666667,5.41416666667
442.89,4.74866666666,4.79733333333,4.25033333333,3.7045,4.12716666666,5.66633333333,4.96516666667,4.29016666666,5.45316666667
443.24,4.78933333333,4.84216666666,4.27833333334,3.71933333333,4.1525,5.701,4.99683333333,4.33766666666,5.4775
443.60,4.80366666667,4.85116666666,4.29866666666,3.736,4.18766666666,5.73316666667,5.01066666666,4.352,5.49666666666
443.95,4.81166666667,4.89216666667,4.302,3.754,4.197,5.75466666667,5.03633333333,4.37966666667,5.52216666667
444.31,4.78633333333,4.87066666667,4.29616666667,3.73333333333,4.19266666666,5.74283333333,5.01166666667,4.34816666666,5.48866666667
444.66,4.79983333333,4.87383333333,4.30966666667,3.74883333333,4.20866666666,5.76116666667,5.026,4.35433333334,5.48783333334
445.02,4.77566666667,4.8675,4.28583333333,3.75083333334,4.1895,5.74566666667,5.01333333333,4.3325,5.48066666666
445.37,4.76183333333,4.85116666666,4.29383333333,3.75066666667,4.18516666667,5.7315,5.007,4.30433333334,5.472
445.72,4.74566666667,4.85316666667,4.29,3.75316666667,4.17333333334,5.725,5.01183333333,4.2975,5.47483333333
446.08,4.74933333333,4.87566666666,4.30316666666,3.76466666666,4.17116666667,5.7235,5.0225,4.32666666666,5.47216666667
446.43,4.7425,4.88516666667,4.31866666667,3.7835,4.1875,5.73283333333,5.0515,4.33466666667,5.46933333334
446.79,4.69916666667,4.8595,4.29016666667,3.7625,4.16883333333,5.697,5.0155,4.295,5.43433333333
447.14,4.67766666667,4.8345,4.281,3.76233333333,4.16216666666,5.685,4.99983333334,4.272,5.43
447.50,4.696,4.8545,4.3065,3.78733333333,4.1865,5.7025,5.0145,4.29666666667,5.459
447.85,4.67183333333,4.8455,4.299,3.77766666667,4.1765,5.696,4.98366666667,4.2895,5.43383333334
448.21,4.68183333333,4.85016666667,4.308,3.78866666666,4.19416666667,5.694,5.00133333333,4.28883333333,5.44533333333
448.56,4.69483333333,4.85483333333,4.297,3.802,4.19783333333,5.68633333333,5.0055,4.30633333334,5.458
448.92,4.73483333333,4.8775,4.328,3.82433333333,4.23566666666,5.71533333333,5.02933333333,4.34483333333,5.49066666667
449.27,4.75466666666,4.88483333334,4.32633333334,3.8335,4.24,5.71916666667,5.044,4.36066666666,5.50833333333
449.62,4.80216666667,4.90983333333,4.35733333333,3.84316666666,4.26083333334,5.73833333333,5.06233333334,4.37916666667,5.50283333333
449.98,4.84833333334,4.93116666666,4.377,3.88883333333,4.28933333333,5.76316666667,5.092,4.38116666666,5.52283333333
450.33,4.84633333334,4.9275,4.37483333333,3.863,4.255,5.7585,5.07833333333,4.3635,5.51666666666
450.69,4.92633333333,4.97833333333,4.42816666666,3.9185,4.29633333334,5.81183333334,5.125,4.43066666666,5.57566666667
451.04,4.96516666667,5.00516666667,4.468,3.95016666666,4.31666666667,5.835,5.17683333333,4.47716666667,5.59833333333
451.40,4.97383333333,5.02283333334,4.464,3.9455,4.3105,5.84533333333,5.20433333334,4.48916666666,5.57916666666
451.75,5.016,5.0345,4.47916666667,3.94766666667,4.3425,5.82766666667,5.24383333334,4.489,5.60633333333
452.10,5.05683333333,5.05283333333,4.48633333334,3.9465,4.35516666666,5.86033333334,5.26766666667,4.50166666667,5.619
452.46,5.02116666666,5.032,4.45866666667,3.88166666666,4.32083333333,5.83483333334,5.23333333333,4.45216666667,5.57883333333
452.81,5.014,5.02916666666,4.44766666667,3.87033333334,4.27666666667,5.82916666666,5.21883333333,4.4345,5.5735
453.17,5.01516666667,5.06083333333,4.476,3.88683333333,4.28583333333,5.83883333333,5.23516666667,4.44583333333,5.57433333333
453.52,5.02266666666,5.0645,4.478,3.8955,4.30366666667,5.84416666667,5.25866666667,4.45483333333,5.596
453.87,5.00266666667,5.04866666666,4.47316666666,3.87833333334,4.30016666666,5.83616666667,5.25416666667,4.43966666666,5.6025
454.23,5.03566666666,5.07266666667,4.50266666667,3.91583333333,4.349,5.878,5.2765,4.48283333333,5.63833333333
454.58,5.00833333333,5.07016666667,4.48833333333,3.91733333333,4.34533333334,5.86016666667,5.27616666667,4.46766666667,5.62966666667
454.93,5.033,5.09916666666,4.489,3.92633333333,4.36383333334,5.87583333333,5.2795,4.47416666666,5.64566666667
455.29,5.05783333334,5.1325,4.52116666667,3.96016666667,4.40183333334,5.896,5.29916666667,4.49283333333,5.699
455.64,5.095,5.167,4.546,3.985,4.43866666667,5.96716666667,5.31033333334,4.52616666667,5.7275
456.00,5.06933333333,5.18916666667,4.55083333333,4.01333333333,4.43016666667,5.93933333333,5.3135,4.54883333333,5.72933333333
456.35,5.09416666667,5.21383333333,4.5665,4.05166666666,4.443,5.97183333333,5.32866666666,4.582,5.75716666667
456.70,5.105,5.22133333333,4.59616666667,4.05283333334,4.46833333333,5.98833333333,5.33,4.59866666667,5.75683333334
