wavelength,Back_TriMelm,Belly_TriMelm,Breast_TriMelm,Crissum_TriMelm,Crown_TriMelm,DorTail_TriMelm,Patch10_TriMelm,Rump_TriMelm,Throat_TriMelm,WingTip_TriMelm
801.31,19.6909333333,58.3622666667,49.633,54.0054666667,81.2284666666,17.6824,13.7273333334,20.031,62.4643333333,22.0624
801.62,19.7528,58.0378666667,48.7756,54.1598666667,80.8265333333,17.8754666667,13.6036666667,20.1852666667,62.4179333333,22.0933333333
801.92,18.7471333333,56.9992,47.8731333333,53.1400666667,79.4895333333,16.6511333333,13.2869333333,19.3271333333,61.477,21.0364666667
802.23,18.0157333333,56.7137333333,47.4197333333,52.4627333333,79.0038,15.9296,12.2275333333,18.6353333333,60.7058666667,20.4156666667
802.54,17.3787333333,55.4224,46.4788666667,51.2909333333,77.77,15.4930666667,11.205,17.9343333333,59.5071333333,19.6009333333
802.84,16.1858666667,55.3130666667,46.0283333333,51.2726666667,78.3919333333,14.7637333334,9.57573333333,16.9212,59.3858666667,18.5616
803.15,14.9692666667,55.2066,45.6932,51.1083333333,78.7401333333,14.3640666667,9.16153333333,16.4744666667,59.133,18.4539333333
803.46,13.6987333333,54.3712,45.4626666667,50.1287333333,78.9208,12.9680666667,7.84546666667,15.3757333333,58.5306,17.2935333333
803.76,14.0869333333,54.9151333333,45.8467333333,50.559,78.6086666667,12.9772,8.48039999999,15.5196666667,58.2442666667,17.4823333333
804.07,13.3754,55.0231333333,46.1455333333,50.66,78.9407333333,12.6860666667,8.40693333333,15.1660666667,58.2008666667,17.0744666667
804.38,12.1334,54.1276666667,45.6950666667,49.3874,78.3692666666,11.804,7.68906666667,14.1192666667,57.237,16.0709333333
804.68,12.3447333333,54.2966,46.0159333333,49.5142666667,78.9439333333,12.2856666667,7.57073333333,14.2205333333,57.3552666667,16.1807333333
804.99,12.9854,53.8385333333,46.145,49.5982666667,78.4016666667,13.0102,8.50506666668,14.3105333333,57.1180666667,16.4886666667
