wavelength,Back_HapRusm,Belly_HapRusm,Breast_HapRusm,Crissum_HapRusm,Crown_HapRusm,DorTail_HapRusm,Rump_HapRusm,Throat_HapRusm,WingTip_HapRusm
404.31,9.18253333333,15.1112666667,13.1989666667,16.2387333333,8.03173333333,7.9608,9.72546666666,13.3108666667,8.76566666668
404.67,9.13846666666,15.0491333333,13.1744333333,16.1842666667,7.98233333333,7.924,9.67566666666,13.2293333333,8.70406666667
405.03,9.10980000001,14.9887333333,13.1021333333,16.1383333333,7.95133333333,7.884,9.63546666666,13.1818,8.67346666667
405.39,9.03239999999,14.9171333333,13.022,16.0663333333,7.8698,7.8138,9.55973333333,13.1092666667,8.6134
405.75,8.9994,14.9139333333,12.9991333333,16.0458666667,7.82573333333,7.79266666667,9.53833333333,13.0934666667,8.55873333333
406.11,9.02973333333,14.9456,13.0421333333,16.0969333333,7.8416,7.8106,9.57140000001,13.1285333333,8.58773333334
406.47,9.0066,14.9226666667,13.0351,16.0827333333,7.86266666667,7.8106,9.56433333333,13.1362,8.58106666666
406.83,8.92466666667,14.8600666667,12.9446,16.0094,7.78933333333,7.73693333333,9.49646666667,13.0674666667,8.50759999999
407.19,8.89606666667,14.8498666667,12.9166666667,16.0067333333,7.75526666667,7.7072,9.46599999999,13.0677333333,8.48153333333
407.55,8.8886,14.8664666667,12.9125333333,16.0219333333,7.76233333333,7.71826666667,9.46793333334,13.0612,8.48253333333
407.90,8.836,14.8292,12.8811666667,15.9899333333,7.7472,7.679,9.434,13.0378,8.44873333333
408.26,8.91666666667,14.9156666667,12.9679666667,16.1054666667,7.79873333333,7.76666666666,9.54086666667,13.1092,8.50493333334
408.62,8.8814,14.9045333333,12.9529666667,16.1121333334,7.7622,7.7348,9.52906666666,13.1296666667,8.49499999999
408.98,8.87713333333,14.9182,13.0056333333,16.1352666667,7.7376,7.74273333333,9.5308,13.14,8.51166666667
409.34,8.91613333333,14.9532,13.0469333333,16.1929333333,7.7672,7.78993333333,9.57633333333,13.1793333333,8.56299999999
409.70,8.93586666667,14.9202,13.0321,16.1939333333,7.78046666667,7.79126666667,9.57166666667,13.1917333333,8.58193333333
410.06,8.88766666667,14.8925333333,12.9571333333,16.1421333333,7.7616,7.7854,9.52526666666,13.1404,8.54293333333
410.42,8.85053333333,14.8652,12.9351666667,16.1285333333,7.7104,7.752,9.50840000001,13.0976666667,8.50626666667
410.77,8.971,14.9847333333,13.0668,16.2312666667,7.81933333333,7.84373333333,9.61179999999,13.1782,8.60406666667
411.13,8.9548,14.9622666667,13.0711,16.2021333333,7.8152,7.82,9.59126666667,13.1733333333,8.582
411.49,8.96653333333,14.9861333334,13.0987333333,16.2244,7.79133333333,7.81046666667,9.56866666667,13.2035333333,8.57920000001
411.85,9.00226666667,15.0037333333,13.1349333333,16.2564666667,7.81346666667,7.82213333333,9.58073333333,13.2262666667,8.59866666667
412.21,8.94066666667,14.953,13.0838666667,16.2116,7.7608,7.75913333333,9.51953333334,13.1987333333,8.56506666667
412.57,9.00393333333,15.0182,13.1393333333,16.2739333333,7.84873333333,7.81193333333,9.55120000001,13.2307333334,8.62553333333
412.92,8.99926666667,15.0511333333,13.1317333333,16.2778666667,7.83806666667,7.82446666667,9.54733333333,13.2348666667,8.61600000001
413.28,9.00746666667,15.0785333333,13.1523333333,16.3124,7.84446666667,7.81866666667,9.54226666667,13.2218666667,8.60760000001
413.64,8.98873333333,15.1127333333,13.1589666667,16.338,7.8506,7.82473333333,9.54086666667,13.2216,8.60213333334
414.00,9.03926666667,15.148,13.2504333333,16.3901333333,7.87246666667,7.844,9.58953333334,13.2712,8.61193333334
414.36,9.09646666667,15.2214666667,13.2889,16.4398,7.9016,7.89153333333,9.62113333333,13.3408,8.67173333334
414.72,9.04686666667,15.1792,13.2260333334,16.3964,7.84686666667,7.8326,9.574,13.3042,8.61759999999
415.07,9.0698,15.2174666667,13.2398,16.41,7.8864,7.87306666667,9.59113333333,13.3247333334,8.65573333334
415.43,9.0802,15.2201333333,13.2426666667,16.4224,7.91986666667,7.89213333333,9.62753333333,13.34,8.69599999999
415.79,9.05966666667,15.2192666667,13.21,16.3993333333,7.8746,7.8934,9.597,13.3131333333,8.68813333333
416.15,9.1074,15.2740666667,13.244,16.4388,7.92433333333,7.96113333333,9.65633333333,13.3517333333,8.73026666667
416.51,9.11646666667,15.2848666667,13.2415666667,16.4167333333,7.89273333333,7.97046666667,9.6534,13.3443333333,8.7212
416.86,9.17026666666,15.3299333333,13.2885,16.4682666667,7.9616,8.01593333334,9.70946666666,13.384,8.78506666667
