wavelength,Back_GeoMagm,Belly_GeoMagm,Breast_GeoMagm,Crissum_GeoMagm,Crown_GeoMagm,DorTail_GeoMagm,Patch10_GeoMagm,Rump_GeoMagm,Throat_GeoMagm,WingTip_GeoMagm
186.77,75.9064666665,65.5555000001,93.0994666666,95.0878,85.0293333334,69.4736666667,95.0875333332,52.1637333334,65.1460333334,80.4093333333
187.15,69.7917333333,60.2085333333,75.8333333333,88.3334,72.9169333333,65.6251333333,83.5416666667,41.2499333334,55.5209333333,71.4583
187.53,80.5714,75.5237333333,89.9999333333,101.5238,82.9524,82.1904666667,93.8094,62.2857333333,75.3809333333,75.7619666667
187.91,88.1356,88.7002333333,90.9603999999,109.378533333,87.9096,88.3615333333,102.937933333,64.9718000001,83.7853000001,83.0509333334
188.29,80.5848000001,85.2046666667,83.0409999999,94.6200666667,78.3626,81.2864666667,105.614133333,56.8421333333,74.2105333333,82.9237666667
188.67,116.6666,125.595366667,131.666733334,137.3808,115.7144,123.214266667,144.166666667,100.595133333,114.226266667,125.297533333
189.05,117.654466667,128.4566,134.4444,136.049333333,119.3828,121.234666667,146.0494,102.4692,119.814733333,134.506133333
189.43,138.6326,156.9228,161.880266667,157.094133333,143.076933333,152.136933333,172.307733333,118.632533333,138.632466667,170.427466667
189.81,182.0,211.3333,205.7778,214.222066667,192.6666,199.3332,234.2224,157.3334,183.888866667,231.888933333
190.19,223.448333333,235.977033333,237.701133333,238.390666667,211.494333334,235.172533333,274.4828,193.333266666,227.126466667,272.069066667
190.57,393.968266667,406.5079,378.0952,400.9524,358.730133333,391.1112,468.888866667,333.968266667,394.7619,453.492066667
190.95,853.333333334,852.916666668,802.499999999,879.166666667,790.0,846.666666667,1016.66666667,700.833333332,888.333333333,975.833333332
191.33,444.444466667,402.222233333,397.7778,478.6666,403.555666666,402.2222,530.2222,371.555533334,486.888866667,484.222266667
191.71,790.833333334,650.833333335,657.5,835.0,681.666666666,759.166666665,930.833333334,633.333333334,842.083333334,900.833333333
192.09,489.2308,409.4873,417.948866667,527.692333333,458.974466667,471.794866667,590.7692,397.4358,573.8461,584.6153
192.47,359.259333333,280.9259,298.888933333,390.3704,334.814733333,371.481466667,413.333466667,301.852,449.814966667,427.2221
192.85,875.555533335,523.888866666,486.666666667,927.777666667,734.444466667,796.666466667,985.555533333,633.3334,1070.55563333,996.111066667
193.23,1631.11106667,886.666733333,842.2222,1673.3332,1253.33333333,1453.33346667,1871.11113333,939.999933335,2014.44443333,1638.88886667
193.61,-459.333333333,-219.0,-186.666666667,-526.0,-328.666666667,-396.666666667,-510.666666667,-230.666666667,-569.333333333,-404.333333333
193.99,-283.8888,-69.4444666666,-73.3334000001,-315.000066667,-173.333333333,-241.666666667,-313.888933333,-69.9999333333,-355.0,-234.444466667
194.37,906.666666667,371.999999999,365.333333334,972.0,673.333333333,780.000000001,948.000000001,346.666666667,1037.33333333,714.666666667
194.75,648.000000001,140.666666667,73.3333333333,702.666666667,460.000000001,570.666666667,657.333333333,178.666666667,778.000000001,466.0
195.13,477.7778,188.5185,124.444466667,467.407466667,343.703733333,402.962933334,494.074066667,236.2962,527.777733333,368.888833333
195.51,262.222266667,108.333333333,100.000066667,226.666466667,187.7778,240.7408,264.074,146.6666,263.703766667,189.999966667
195.89,164.444333333,67.4073333334,57.0369333334,146.666533333,116.5432,141.234533334,183.950466667,94.8148666667,163.703633333,111.975333333
196.27,106.533333333,53.6,52.8000000001,97.8666666667,78.9333333334,89.6,120.0,76.6666666667,105.666666667,79.2
196.65,89.7355333333,51.1112,44.5502666667,81.0582666667,59.4708666667,66.2432666667,95.3438666667,61.4813333333,78.6244,62.1163999999
197.03,79.6348000001,48.7671000001,41.2785333333,68.493,50.1369333334,56.2558666666,82.3745333333,54.9771333333,70.8675,54.338
197.40,78.2374666666,54.3295666667,41.8391333333,70.498,48.8891333333,59.004,79.0038666667,65.0576000001,72.7586333333,54.9808666667
197.78,70.3874666667,45.31,33.3333333333,57.9845333333,37.8294666667,45.659,70.7753333333,57.9844666667,67.4805,49.8061333333
198.16,77.9310666666,49.4635666667,34.7126,65.2107333333,42.2221333333,52.7202,75.1724666665,64.5976000001,78.5057666667,59.272
198.54,84.2922000001,51.3698,31.5981333333,75.2510666667,40.5478666666,55.6163999999,78.2647333333,72.1460000001,86.4383333334,65.1598
198.92,77.0213333334,45.071,37.1631333333,68.227,35.532,52.6241333333,71.2056000001,61.4894,75.7448,60.9928
199.30,79.2438666667,46.0480333333,39.3126666667,70.5154,33.5395333333,53.1272,72.9896666667,58.8314666667,78.7628333333,59.7939666667
199.68,83.4568666666,47.9010666667,34.4033333333,78.7654666666,29.5474666667,49.3826666667,77.4483999999,59.5885333333,87.7365999999,63.5802333333
200.06,91.1712,49.3692666667,36.0359333333,81.3512666666,33.7836666667,53.2432666667,85.4052666667,66.1260666667,98.4233,72.9728333334
200.44,98.2759333333,38.3908,18.7357333333,80.1150666667,20.6895333333,58.3907333334,83.6781333334,64.7125333335,102.471233333,65.9769333334
200.82,92.8103333333,30.1307,13.8562666667,76.0786,12.026,54.902,82.2222,63.3986666665,111.1111,69.0196999999
201.19,111.357933333,-8.5185333332,-40.7406,65.926,-40.4937999999,48.1482666667,96.0494000001,50.8641999999,126.172766667,69.1356000001
201.57,117.777866667,-57.5927666665,-89.6297333333,60.0000666666,-80.0000666666,31.4814666668,96.6667999999,30.3704666667,145.7409,81.1112666667
