wavelength,Back_SicLebm,Belly_SicLebm,Breast_SicLebm,Crissum_SicLebm,Crown_SicLebm,DorTail_SicLebm,Rump_SicLebm,Throat_SicLebm,WingTip_SicLebm
230.65,49.3766666667,53.271,24.6106666667,44.2366666667,39.2523333333,17.4456666667,39.564,23.3645,22.43
231.02,38.9358333333,40.6163333333,18.4873333333,36.9746666667,34.4536666667,8.68366666667,35.5743333333,20.168,15.126
231.40,32.8043333333,30.9523333333,20.106,32.54,28.0426666667,4.76166666667,35.4496666667,14.6825,16.667
231.78,27.4928333333,27.0653333333,19.3736666667,32.1936666667,22.792,-3.13433333333,28.205,13.6755,5.556
232.15,26.1705,28.9256666667,23.1406666667,33.3333333333,27.8236666667,-0.550666666667,26.997,16.5285,13.223
232.53,35.0746666667,36.3186666667,34.5773333333,40.796,35.5723333333,7.96033333333,29.3533333333,19.403,22.015
232.90,34.8838333333,34.884,40.827,45.478,34.367,5.42666666667,28.9406666667,20.155,16.667
233.28,29.3058333333,30.5556666667,42.2223333333,53.0556666667,28.889,3.88866666667,21.9443333333,17.917,10.0
233.66,22.4515,21.212,39.3943333333,45.179,26.9973333333,0.275666666667,15.1516666667,12.8095,6.6115
234.03,11.8056666667,20.8333333333,34.4446666667,39.1666666667,29.4446666667,-4.72233333333,16.389,11.25,7.0835
234.41,1.28183333333,17.9486666667,28.2046666667,42.3076666667,23.718,-14.7436666667,7.05133333333,0.0,0.0
234.78,-6.4235,15.625,29.861,42.3613333333,18.7503333333,-13.889,-5.55566666667,-8.854,1.5625
235.16,-14.2278333333,5.691,30.4876666667,36.9916666667,14.228,-20.7316666667,-17.4796666667,-20.122,1.8295
235.54,-24.5096666667,-1.96066666667,10.2943333333,31.3726666667,11.7646666667,-27.4513333333,-32.843,-29.4115,-10.294
235.91,-18.3096666667,-5.16433333333,11.2673333333,29.5776666667,13.1453333333,-18.779,-16.9016666667,-29.5775,-0.704
236.29,-23.8806666667,-14.9253333333,10.9456666667,28.3583333333,12.9353333333,-27.861,-16.418,-31.3435,-8.9555
236.66,-79.9145,-72.6493333333,-29.06,11.9656666667,-3.41866666667,-69.2306666667,-47.863,-89.7435,-47.436
237.04,-110.345,-90.8046666667,-50.5746666667,0.0,-12.6433333333,-87.3563333333,-58.6206666667,-118.9655,-32.7585
237.41,-171.4285,-103.174666667,-85.7146666667,-39.6823333333,19.0476666667,-100.000333333,-33.333,-178.5715,-9.5235
237.79,-568.333333333,-393.333333333,-466.666666667,-323.333333333,-213.333333333,-366.666666667,-243.333333333,-530.0,-210.0
238.17,-180.357333333,-142.857,-178.571,-89.2856666667,-101.190666667,-110.714666667,-100.0,-201.786,-58.929
238.54,-191.3795,-163.218666667,-191.954,-109.195333333,-122.988333333,-136.781666667,-125.287666667,-229.3105,-67.2415
238.92,-179.798166667,-149.495,-196.969666667,-109.091,-103.030333333,-126.262666667,-95.9596666667,-204.5455,-66.667
239.29,-108.823166667,-70.588,-122.222,-54.902,-47.7126666667,-49.0196666667,-47.059,-122.549,-34.314
239.67,-84.7456666667,-39.548,-98.305,-39.548,-32.7683333333,-26.5536666667,-25.4236666667,-98.305,-5.085
240.04,-54.4943333333,-17.9776666667,-71.5353333333,-12.3593333333,-12.734,-2.24733333333,-14.9813333333,-56.1795,1.1235
240.42,-21.6535,-5.24933333333,-40.945,4.98666666667,0.262333333333,8.13666666667,-5.77433333333,-32.677,12.2045
240.79,-10.9305,6.277,-27.4893333333,6.92633333333,4.762,11.6886666667,2.814,-18.5065,14.286
241.17,-10.8735,-0.713,-27.4513333333,2.852,6.06066666667,8.02133333333,1.604,-19.786,7.4865
241.54,-5.2445,0.144,-22.5573333333,3.44833333333,6.75266666667,12.3563333333,3.01733333333,-11.638,8.836
241.92,6.93033333333,10.5383333333,-7.21633333333,13.9746666667,15.12,18.5566666667,12.2566666667,-0.1715,17.354
242.29,8.03116666667,11.7713333333,-1.21033333333,13.7513333333,17.6016666667,16.0613333333,13.0913333333,2.8055,18.647
242.67,12.04,12.8356666667,5.07466666667,15.5223333333,20.597,20.6966666667,16.617,8.9555,19.851
243.05,12.7281666667,12.8723333333,7.973,14.7933333333,19.5966666667,21.4213333333,16.3303333333,8.3575,20.317
243.42,11.9111666667,9.873,7.88033333333,12.8623333333,16.9383333333,17.3006666667,15.217,5.9785,18.2065
243.80,8.594,4.774,5.72933333333,11.198,13.4546666667,15.278,11.8053333333,3.2555,13.932
244.17,8.57233333333,4.78666666667,7.48433333333,9.57366666667,12.0106666667,15.8396666667,10.444,1.697,13.1855
244.55,7.35933333333,2.94366666667,5.368,8.48466666667,11.5153333333,17.3163333333,10.6493333333,1.169,12.4675
244.92,9.21566666667,2.03933333333,5.33333333333,8.86266666667,10.1176666667,18.5883333333,8.07833333333,2.0,11.8825
245.30,11.1458333333,5.94,7.05766666667,11.74,11.2506666667,20.9643333333,10.9016666667,6.604,15.304
245.67,8.0505,4.05866666667,4.79,9.71366666667,9.38133333333,18.4966666667,9.38133333333,4.1915,13.8725
