wavelength,Back_TerVirm,Belly_TerVirm,Breast_TerVirm,Crissum_TerVirm,Crown_TerVirm,DorTail_TerVirm,Rump_TerVirm,Throat_TerVirm,WingTip_TerVirm
377.63,44.7783666667,59.2162666667,63.0421333333,48.8278,65.9782,8.01686666667,48.5544666667,6.05286666667,8.08306666667
377.99,44.8662333333,59.4137333333,63.157,48.9858,66.1727333333,8.12393333333,48.6364,6.127,8.1611
378.35,44.7230666667,59.3296,63.0,48.8822,65.9992666667,8.03353333333,48.4498,6.09496666666,8.09973333333
378.71,44.6946,59.313,62.9828,48.9018,65.9858,7.93553333333,48.3229333333,6.02533333333,8.0177
379.07,44.6701333333,59.4492666667,62.9882666667,49.0048666667,66.0585333333,7.93286666667,48.1856,6.01536666667,8.0173
379.44,44.6339333333,59.4959333334,62.9552666666,49.0684,66.0483333333,7.86806666667,48.0588,5.98226666667,7.91926666667
379.80,44.5916666667,59.6336666666,63.0078,49.1578,66.1810666667,7.83566666667,47.9622666666,5.9539,7.87063333333
380.16,44.5857,59.8116,63.0964666667,49.284,66.3244666667,7.8296,47.9090666666,5.96066666667,7.85166666667
380.52,44.6738333333,59.9904666667,63.1896666667,49.4760666667,66.4725333333,7.87846666667,47.8927333333,6.0304,7.8866
380.88,44.5439,59.9512,63.0268666667,49.5114666667,66.3936666667,7.8992,47.7023333333,6.08056666667,7.9455
381.24,44.4536666667,59.9306666667,62.8896,49.5269333333,66.3459333333,7.85313333333,47.4942666667,6.08023333333,7.96026666667
381.61,44.5396666667,60.2009333333,62.9894,49.7037333333,66.5403333333,7.83806666667,47.5067333333,6.0975,8.01746666667
381.97,44.5543666667,60.3058666667,63.0008666667,49.8096,66.5374666667,7.79333333333,47.3773333333,6.10293333333,8.0141
382.33,44.4794,60.3687333333,62.9366,49.8955333333,66.4768666667,7.93713333333,47.2618666667,6.22286666667,8.1006
382.69,44.4594,60.5540666667,62.9347333333,50.0053333333,66.5498666666,7.9796,47.2254,6.2487,8.1333
383.05,44.3290666667,60.5839333333,62.8768,50.046,66.4584,7.94533333334,47.1312,6.2229,8.088
383.41,44.2963666667,60.7654,62.9345333333,50.1938666667,66.4939333333,7.918,47.0665333333,6.19093333333,8.0776
