wavelength,Back_LanAurm,Belly_LanAurm,Breast_LanAurm,Crissum_LanAurm,Crown_LanAurm,DorTail_LanAurm,Patch10_LanAurm,Patch11_LanAurm,Rump_LanAurm,Throat_LanAurm,WingTip_LanAurm
785.91,45.4598666667,52.5664666667,49.382,43.9974666667,5.7574,11.7367333333,44.8712,31.0581333333,45.9752666667,5.22933333333,10.6138
786.22,45.5843333333,52.5596,49.4072666667,43.9219333333,6.15646666667,12.1070666667,45.0864333333,31.4444,46.247,5.59666666667,10.7818
786.53,45.771,52.7901333333,49.7143333333,44.0,6.43566666667,12.3403333333,45.2684333333,31.5138,46.5654666667,6.04666666667,11.1326
786.84,45.9674,52.9876,49.841,44.3424666667,6.70646666667,12.9598666667,45.6118333333,31.8632666667,46.8178,6.60326666667,11.4580666667
787.14,46.1154666667,53.1026,50.1818,44.6294666667,6.83873333333,13.2160666667,45.6951333334,31.9297333333,46.7449333333,6.81906666667,11.5817333333
787.45,46.2690666667,53.1634,50.1681333333,44.8215333333,6.8096,13.2986,45.9737,31.9398,46.7477333333,6.73226666667,11.6657333334
787.76,46.2212,52.7842666666,50.0037333333,44.3586666667,6.19433333333,12.8610666667,45.6297666667,31.7742,46.7702666667,6.2406,11.298
788.07,46.4640666667,53.0044666666,50.2582666667,44.3373333333,6.12726666667,12.882,46.0204,31.9182,46.9191333333,6.24593333333,11.4323333333
788.38,46.7881333333,53.1966666667,50.6074,44.4723333333,6.49199999999,13.3144,46.2148666667,32.2134,47.0046,6.75773333333,11.7313333333
788.69,46.4053333333,52.7727333333,50.087,43.8826,6.03786666667,13.1402,45.5567666667,31.6590666667,46.3484666667,6.303,11.2274
789.00,46.3868,52.8541333333,50.2090666667,43.6994666667,5.70439999999,12.9998666667,45.2981,31.5276666667,46.2985333333,5.75426666667,10.8030666667
789.31,46.2425333333,53.3967333333,50.5588666667,43.5513333333,4.68886666666,12.3543333333,45.2794,31.3674,46.3219333333,4.8236,10.0792
789.62,46.6179333334,53.6866,50.7633333333,43.5526666667,4.49046666667,12.2818,45.406,31.4291333333,46.5245333333,4.51473333333,10.0242666667
789.92,46.4272,53.5563333334,50.5262,43.3022666667,4.54079999999,12.2269333333,45.2342333333,31.4550666667,46.2168,4.3262,10.0724
790.23,46.1302,53.6782,50.3958666667,43.2780666667,4.1848,11.6518666667,45.1702333333,31.2004666667,45.8706666667,3.88673333333,9.59126666666
790.54,46.2173333333,53.6962,50.3781333333,43.4003333334,4.57113333334,12.02,45.2862333333,31.3199333334,46.2693333333,4.19526666667,9.89846666667
790.85,46.0879333334,53.4835333333,50.3247333333,43.2913333333,4.43573333334,11.9019333333,44.9194666667,31.2658,46.2866,3.99373333333,9.83866666666
791.16,45.1188666667,52.8218666667,49.7220666667,42.9932,4.32726666667,11.9146,44.1493,30.7316,45.3236,3.976,9.78440000001
791.47,45.0342666667,52.6265333334,49.4619333333,43.1646666667,4.0402,11.6599333333,44.0516,30.3282666667,45.221,3.68893333333,9.42099999999
791.78,44.8086,52.4744,49.0103333333,42.9598666667,3.42206666666,11.1391333333,44.0477333333,29.6871333333,45.0559333333,2.8572,9.06626666666
792.08,45.7812666667,53.267,50.0568666667,44.0719333333,4.43180000001,12.0170666667,45.3740666667,30.5492,46.3258,3.7784,10.0758
792.39,46.7678,53.9447333333,50.9219333333,44.9868,5.15526666667,12.8279333333,46.3803,31.3503333333,47.4465333333,4.61126666667,10.8977333333
792.70,47.5797333333,54.3842666667,51.5073333333,45.5016,6.74266666667,14.2226,47.2277333333,32.4202666667,48.3358666666,6.13406666667,12.3158
793.01,47.1518,53.7432,50.9353333333,45.3852,6.71366666667,14.1578,46.8173666667,32.1178,47.7927333333,6.25213333333,12.2025333333
793.32,47.2714,53.5396666666,50.5672666667,45.2742666667,6.72760000001,14.2896666667,46.5214,31.9738,47.9419333333,6.3854,12.0394666667
