wavelength,Back_RamMelm,Belly_RamMelm,Breast_RamMelm,Crissum_RamMelm,Crown_RamMelm,DorTail_RamMelm,Rump_RamMelm,Throat_RamMelm,WingTip_RamMelm
775.67,12.1803333333,13.8383333333,27.8016666667,36.5234666667,12.9609333333,12.3200666667,47.2681333333,22.2306666667,11.5324666666
775.98,12.0122666667,13.3946,27.4102666667,36.1668,12.4562,12.0412,47.0709333333,22.014,11.2940666667
776.30,11.6284666667,12.7334666667,26.8412666667,35.7468666667,11.7739333333,11.5522,46.7358,21.7411333333,10.8104666667
776.61,11.3531333333,12.3542,26.168,35.5370666666,11.419,11.2833333333,46.3989333334,21.6245333333,10.5794
776.92,10.8535333333,11.7989333333,25.8826,35.5654666667,10.9024,10.8385333333,46.6254666667,21.6206666666,10.227
777.23,10.2521333333,11.2450666667,25.3666,35.1638,10.271,10.3998666667,46.299,21.1255333333,9.66846666666
777.54,9.69740000001,10.7816,24.9502,34.8544,9.58246666667,9.95013333334,46.0766,20.7126666667,9.19533333333
777.85,9.49466666668,10.4166,24.4368,34.4638666667,9.30159999999,9.7646,45.8296666667,20.2739333333,8.835
778.16,9.63580000001,10.4582666667,24.6298,34.9236,9.2088,9.96086666667,46.502,20.5993333333,9.00900000001
778.47,10.1043333333,10.9459333333,25.0383333333,35.3274666667,9.53393333334,10.3715333333,46.8946666667,20.9400666667,9.26660000001
778.78,10.3854,11.2862,25.1926,35.6096,9.71746666667,10.9109333333,47.1012666667,21.3712666667,9.63453333333
779.09,10.8123333333,11.7565333333,25.4101333333,36.1384666667,9.91606666668,11.3965333333,47.6310666667,21.6446,9.82393333333
779.40,11.385,12.3712666667,25.9530666667,36.6286666667,10.4429333333,11.9824,48.0778,22.0886,10.467
779.71,11.7573333333,12.7569333333,26.316,36.8884,10.7938666667,12.2651333333,48.4078666667,22.2571333333,10.7539333333
780.02,12.2727333333,13.1392,26.9702,37.2636,11.1839333333,12.6492,48.8728666667,22.376,10.9005333333
780.33,12.4356,13.4144666667,27.0972666667,37.2496666667,11.4198,12.8702666667,48.8806666667,22.3482666667,11.0014666667
780.64,12.9828666667,14.075,27.8606666667,37.9054,12.0824,13.4148,49.4660666667,23.1621333333,11.6055333333
780.95,12.7952666667,13.8344666667,27.558,37.749,11.982,13.1771333333,49.3899333333,23.1134666667,11.5384
781.26,12.4086,13.5273333333,27.4592666667,37.5356,11.5789333333,12.6358,48.8792666667,22.7946,11.2859333333
781.57,12.4514,13.6082,27.4666666667,37.3046,11.8604666667,12.7466666667,48.2503333333,22.7405333333,11.4133333333
781.88,12.0332,13.3333333333,27.2191333333,37.0925333333,11.6429333333,12.6229333333,48.0498,22.3924,11.082
782.19,11.9532,13.1158666667,27.1141333333,37.0682,11.8318666667,12.4968,47.8084666667,22.0117333333,11.0497333333
782.50,11.7962,12.9638666667,27.2994,37.0614666666,11.8810666667,12.5859333334,47.843,22.1911333333,10.9299333333
782.81,11.5139333333,12.7785333333,27.2774,36.9505333333,11.858,12.456,47.7590666667,22.1420666667,10.6149333333
783.12,11.6982,13.0636666666,27.4408,37.295,12.1244666667,12.8027333333,47.9104666667,22.5221333333,10.772
783.43,11.7038,13.2853333333,27.5534666667,37.3000666667,12.3941333333,13.1716666667,47.8855333333,22.8703333333,11.0311333333
