wavelength,Back_PorCaef,Belly_PorCaef,Breast_PorCaef,Crissum_PorCaef,Crown_PorCaef,DorTail_PorCaef,Rump_PorCaef,Throat_PorCaef,WingTip_PorCaef
208.01,26.6667333334,-55.2380666667,-61.3332666667,10.0952000001,-58.4761999998,-56.3808666667,-0.47616666666,-46.4760666667,-82.6668000001
208.39,14.3434666667,-68.0807999999,-79.5960666665,-3.4344,-67.8788666667,-67.4749333334,-4.94950000001,-66.4646000001,-96.5655333333
208.77,25.8666666667,-19.8666666667,-35.7333333333,14.2666666667,-24.5333333333,-25.4666666667,14.6666666667,-32.5333333333,-45.2
209.14,41.8333333333,-19.6666666666,-35.6666666667,15.3333333333,-20.5,-26.4999999999,16.3333333333,-28.5,-58.8333333333
209.52,63.3331999999,-24.2856000001,-42.8571999999,21.6666666667,-41.9047999999,-27.1428666667,21.5476,-26.4284666666,-76.9048666667
209.90,11.7333333333,-84.8,-98.1333333333,-11.2,-103.733333333,-80.0000000001,-17.3333333334,-88.7999999999,-132.0
210.28,6.41973333336,-63.7035999999,-94.8148666668,-15.8024666667,-93.3333333333,-64.4445333334,-8.14813333334,-69.8764666667,-119.753066667
210.66,3.67806666667,-60.9195333335,-94.9425333333,-37.0114666667,-101.149333333,-56.7816000001,-9.77010000008,-72.1839333333,-126.896733333
211.03,-43.3333333333,-105.3844,-146.9232,-90.5127999999,-142.820466667,-109.4872,-64.1023333334,-116.153933333,-182.307666667
211.41,-64.1666666667,-118.333333333,-145.0,-99.5833333334,-145.0,-111.041666667,-89.8958333334,-117.083333333,-179.583333333
211.79,-225.714333333,-349.5238,-371.904733333,-281.428533333,-428.571466667,-327.142866667,-303.3333,-344.7618,-494.285533333
212.17,-320.0,-448.0,-492.666666667,-378.0,-619.333333333,-447.333333333,-438.666666667,-480.666666667,-714.666666667
212.55,-281.538533333,-373.333333333,-394.358866667,-328.205133333,-538.974466667,-363.077,-379.743566667,-407.692333333,-573.846133333
212.92,-475.5558,-574.814866666,-637.7778,-553.333266667,-862.963000002,-585.925866667,-603.3334,-653.3332,-899.259266667
213.30,-247.1112,-285.333333333,-334.2222,-274.2222,-475.111133333,-291.999933333,-282.888766667,-345.777733333,-467.5556
213.68,-2273.33333333,-2483.33333333,-2940.0,-2470.0,-3793.33333333,-2636.66666667,-2520.0,-3043.33333333,-3876.66666667
