wavelength,Back_TacDelm,Belly_TacDelm,Breast_TacDelm,Crissum_TacDelm,Crown_TacDelm,DorTail_TacDelm,Rump_TacDelm,Throat_TacDelm,WingTip_TacDelm
426.87,5.572,5.8186,5.28893333333,5.46166666667,6.2264,7.14536666667,5.56490666667,5.0778,7.9265
427.23,5.6088,5.85826666667,5.33783333333,5.51576666667,6.2724,7.17373333333,5.60262666667,5.14973333333,7.9881
427.58,5.68013333333,5.9476,5.4065,5.56443333333,6.33,7.2483,5.67156666667,5.2194,8.05676666667
427.94,5.7362,5.99093333333,5.44676666667,5.5948,6.36133333333,7.2813,5.73602,5.2724,8.08933333333
428.30,5.79046666667,6.01293333333,5.4854,5.61893333333,6.3826,7.2865,5.78283333333,5.30753333333,8.1309
428.65,5.8686,6.105,5.56173333333,5.69126666667,6.435,7.33746666667,5.86731333333,5.38593333333,8.21536666666
429.01,5.84693333333,6.111,5.54943333333,5.6714,6.40273333333,7.3102,5.85606,5.35046666667,8.20163333333
429.37,5.8724,6.16053333333,5.56983333333,5.69833333333,6.44,7.3183,5.90266666667,5.3656,8.2518
429.72,5.9456,6.24466666667,5.6183,5.74426666667,6.49246666666,7.3635,5.95582666667,5.4636,8.30046666667
430.08,5.9476,6.24353333333,5.6368,5.7255,6.48126666667,7.35966666667,5.9424,5.4678,8.32043333333
430.44,5.883,6.20433333333,5.5726,5.65246666667,6.404,7.29103333333,5.84948,5.3914,8.2485
430.79,5.95646666667,6.25866666667,5.6454,5.7049,6.4702,7.35063333333,5.89387333333,5.4654,8.30416666667
431.15,5.9592,6.22946666667,5.6196,5.6617,6.43713333333,7.33976666667,5.86604666667,5.41193333333,8.2463
431.50,5.9106,6.17333333334,5.56246666666,5.6116,6.36613333333,7.2909,5.80726666667,5.34066666667,8.21256666667
431.86,5.88633333333,6.16886666666,5.56193333333,5.58333333333,6.3376,7.27256666667,5.76525333333,5.318,8.2068
432.22,5.83966666667,6.104,5.51683333333,5.5455,6.28806666667,7.2612,5.70003333333,5.2454,8.15346666667
432.57,5.86693333333,6.1206,5.52896666667,5.5942,6.3306,7.2944,5.72316666667,5.25413333333,8.17786666667
432.93,5.8718,6.10713333333,5.5261,5.5934,6.33553333333,7.28516666667,5.70828,5.25913333333,8.1576
433.29,5.88033333333,6.05666666667,5.51846666667,5.5837,6.32013333333,7.26153333333,5.69994666666,5.26133333333,8.14656666667
433.64,5.81086666667,5.96886666667,5.45446666667,5.52893333333,6.24886666667,7.18773333333,5.64346666667,5.17473333333,8.07973333333
434.00,5.80273333333,5.96906666667,5.47046666667,5.54323333333,6.2402,7.17066666667,5.65038,5.16926666667,8.06966666667
434.35,5.79273333333,5.93346666667,5.44153333333,5.49403333333,6.20706666667,7.14916666667,5.64769333333,5.1422,8.05696666667
434.71,5.74993333333,5.88,5.41003333333,5.45016666667,6.14573333333,7.11016666667,5.61586,5.09086666667,8.02733333333
435.07,5.70453333333,5.8704,5.39316666667,5.4421,6.11193333333,7.09566666667,5.59894,5.06506666667,8.0173
435.42,5.74546666667,5.90066666667,5.4338,5.47746666667,6.15346666667,7.12033333333,5.64319333333,5.12513333333,8.04746666667
435.78,5.7518,5.90886666667,5.44443333333,5.49366666667,6.17253333333,7.16716666667,5.66750666666,5.1474,8.06483333333
436.13,5.7838,5.95393333333,5.4685,5.54123333333,6.20633333333,7.16993333333,5.72368,5.20393333333,8.11473333333
436.49,5.74,5.91706666667,5.415,5.48993333333,6.16573333333,7.13993333333,5.69130666666,5.18906666667,8.0689
436.84,5.75953333333,5.9358,5.42096666667,5.52413333333,6.19826666667,7.17586666667,5.73381333333,5.20846666667,8.13173333333
437.20,5.80513333333,6.00613333333,5.47433333333,5.5743,6.22246666667,7.23113333333,5.77540666667,5.25313333333,8.17256666667
437.56,5.84593333333,6.06006666667,5.50523333333,5.62146666667,6.261,7.26063333333,5.81423333333,5.3002,8.23233333333
437.91,5.87573333333,6.10193333333,5.53633333333,5.6644,6.2956,7.2909,5.84685333333,5.34873333333,8.29066666667
438.27,5.90213333333,6.13106666667,5.558,5.7134,6.3154,7.2933,5.87361333333,5.3664,8.3179
438.62,5.9284,6.1566,5.5753,5.74703333333,6.34693333333,7.32753333333,5.90566666667,5.40993333333,8.34813333333
438.98,6.02846666667,6.24473333333,5.6725,5.84346666667,6.4528,7.39856666667,5.99860666667,5.50986666667,8.4259
439.33,6.03946666667,6.25166666667,5.70236666667,5.86053333333,6.46246666667,7.40963333333,6.01672,5.51733333333,8.44166666667
439.69,6.0666,6.27113333333,5.71076666667,5.88843333333,6.469,7.40566666667,6.02310666667,5.5246,8.45536666667
440.04,6.0908,6.31386666667,5.74773333333,5.91703333333,6.49873333333,7.45163333333,6.04346,5.54733333333,8.4816
440.40,6.07753333333,6.28033333333,5.74323333333,5.89153333333,6.47493333333,7.43363333333,6.02126,5.51573333333,8.463
440.75,6.10666666667,6.3212,5.7815,5.9115,6.49726666667,7.4632,6.04930666667,5.55753333334,8.46076666667
441.11,6.11153333333,6.3338,5.7805,5.92473333333,6.52906666667,7.4771,6.05988,5.5814,8.4655
441.47,6.113,6.34593333333,5.7922,5.91856666667,6.52593333333,7.50013333333,6.05804666667,5.58626666667,8.45033333333
441.82,6.13586666667,6.36366666667,5.7955,5.93266666667,6.5548,7.5305,6.07597333333,5.5902,8.45643333333
442.18,6.16466666667,6.39333333333,5.8256,5.97536666667,6.60006666667,7.56586666667,6.11006,5.63053333333,8.49413333333
442.53,6.18453333333,6.42393333333,5.84946666667,6.00636666667,6.63093333333,7.5537,6.12163333333,5.6478,8.50546666667
442.89,6.14886666667,6.37713333333,5.81426666667,5.96633333333,6.5932,7.5321,6.09078,5.625,8.50066666667
443.24,6.1548,6.36466666667,5.78746666667,5.95963333333,6.59133333333,7.54536666667,6.08684666667,5.63526666667,8.49586666667
