wavelength,Back_CorCucm,Belly_CorCucm,Breast_CorCucm,Crissum_CorCucm,Crown_CorCucm,DorTail_CorCucm,Patch10_CorCucm,Rump_CorCucm,Throat_CorCucm,WingTip_CorCucm
208.39,-419.333333333,-467.333333334,-390.333333333,-227.333333333,-59.3333333335,-307.333333333,-32.0,-406.666666666,-503.333333333,-360.222222222
208.77,-409.6296,-485.185066667,-350.000033333,-197.777866667,-14.8148666666,-305.1852,-31.8520000002,-478.518466667,-511.851933333,-368.888977778
209.14,389.523866667,441.428533333,339.0476,271.4286,125.7144,331.4284,145.7144,436.190533333,441.428666667,364.603022222
209.52,214.444466667,242.6666,177.0001,151.7778,76.2221999999,187.111133333,101.5556,233.555466667,221.777866667,196.740755555
209.90,136.470533333,152.745066667,93.3333333333,79.2158,14.3138666667,113.921533333,35.4901333333,153.3334,132.352933333,114.509777778
210.28,364.999999999,455.833333333,212.083333333,157.5,-162.5,217.5,-75.8333333328,448.333333333,387.5,300.0
210.66,146.6666,235.1112,86.8888666666,51.1111333333,-128.0,93.7778,-62.6666666666,215.111066667,180.444466667,125.037044444
211.03,120.000000001,534.999999999,-40.0000000007,-119.999999999,-801.666666666,146.666666667,-536.666666667,556.666666665,361.666666667,188.888888889
211.41,-0.95233333312,148.095266667,-36.1905333335,-81.4286666667,-278.095133333,-4.7618666668,-176.6668,126.190333333,38.5713333332,34.4443333333
211.79,-83.1110666667,76.8890000001,-75.7778,-123.111133333,-321.333266667,-70.2222666667,-216.444333333,72.8890000001,-26.2222,-22.8147777779
212.17,-149.5238,0.95240000008,-174.2857,-207.142733333,-426.1906,-146.6666,-313.3332,10.4761999998,-103.3334,-113.968377778
212.55,-49.3826666666,16.7902,-61.7284333334,-74.5679333333,-192.345866667,-57.0370666667,-135.308533333,26.6666666668,-33.3332,-40.9052666666
212.92,-8.3333333332,32.7083333334,-27.3958333333,-43.3333333333,-138.958333333,-42.2916666665,-91.8749999999,18.3333333334,-9.16666666668,-16.25
213.30,-75.0,5.8333333334,-111.458333333,-150.833333333,-331.25,-124.166666667,-211.666666667,-17.5000000001,-75.8333333335,-71.8055555555
213.68,-110.5882,-27.8432666665,-140.784266667,-172.549066667,-331.372533333,-168.627466667,-239.607866667,-45.0979333333,-100.000066666,-91.7648666666
214.06,-230.476133333,-39.0475333332,-305.238166667,-365.714333333,-763.8094,-366.666666667,-543.809600001,-87.6191999994,-200.000133333,-158.730111111
214.44,-61.4815333334,9.25926666674,-97.2222999998,-103.7038,-272.222133333,-102.592733333,-170.740866667,-17.7777999998,-55.9260666665,-35.8024888889
214.81,-104.444533333,-28.8889333332,-220.740766667,-242.9628,-531.111,-265.185133333,-349.629599999,-56.2964,-140.740733334,-86.1729333336
215.19,41.5386,55.1281333334,-10.2564000001,-22.3076,-124.615466667,-39.9999999999,-68.7180666666,25.641,14.6152666667,35.299111111
215.57,202.222066667,134.444400001,-116.6667,-122.222333334,-556.666666667,-204.4444,-317.777733333,31.111133332,1.11106666674,145.926022222
215.95,139.999999999,-360.000000001,-1813.33333333,-1926.66666667,-4280.0,-2040.0,-2893.33333334,-740.0,-1186.66666667,51.111111112
216.32,60.3174666667,39.0476000001,-19.5238333331,-18.0951333333,-134.603266667,-22.5396000001,-56.1906000001,25.3967999998,-6.3492,67.1957111112
216.70,31.6049999999,17.5308,-30.1234666667,-29.6297333333,-116.543266667,-29.8766000001,-62.2223999999,3.7037333332,-4.69146666674,47.9012
217.08,-6.66680000014,-1.7648,-38.5295333333,-38.0392666668,-112.352933333,-29.4120000002,-66.0786666667,-4.50993333326,-9.80393333326,37.9738666667
