wavelength,Back_DubTaem,Belly_DubTaem,Breast_DubTaem,Crissum_DubTaem,Crown_DubTaem,DorTail_DubTaem,Patch10_DubTaem,Patch11_DubTaem,Rump_DubTaem,Throat_DubTaem,WingTip_DubTaem
350.37,11.3301333333,17.0204,15.6589666667,9.64563333333,24.6076666667,6.77046666667,33.0505333333,7.16966666667,10.9558666667,3.6082,6.39613333333
350.73,11.4258666667,17.1039666667,15.7934,9.7654,24.7724,6.81363333333,33.1369333333,7.2704,10.9897333333,3.7584,6.40253333333
351.10,11.3951333333,17.0540333333,15.8225,9.74076666667,24.7888666667,6.68986666667,33.2188,7.28186666667,10.9779333333,3.65193333333,6.33006666667
351.46,11.4933333333,17.12,15.8957333333,9.78669999999,24.7700666667,6.6802,33.2942,7.41306666667,11.0439333333,3.66893333333,6.43386666666
351.83,11.7496,17.2836,16.1181666667,10.0038333333,25.0308666667,6.82756666667,33.4597333333,7.65566666667,11.2692,3.84233333333,6.6354
352.19,11.9906666667,17.4711333333,16.3422666667,10.2788666667,25.3112,6.998,33.7349333333,7.85066666667,11.4823333333,4.0404,6.91193333333
352.55,12.1542666667,17.6265666667,16.4613666667,10.4314666667,25.5068666667,7.0663,33.9048,8.01806666667,11.5872666667,4.13413333333,7.01773333333
352.92,12.1932666667,17.608,16.4786666667,10.4680333333,25.5635333333,7.03063333333,33.9090666667,8.075,11.5890666667,4.10346666667,6.98346666667
353.28,12.1534666667,17.5383666667,16.5316333333,10.3671333333,25.6466,6.90573333333,34.0584,7.98006666667,11.5376666667,3.91793333333,6.86613333333
353.65,12.1291333333,17.5742666667,16.4679333333,10.2803666667,25.7038666667,6.81596666667,34.1118,7.9698,11.5212,3.85853333334,6.81746666667
354.01,12.0814,17.5519,16.4477333333,10.2535,25.7374,6.77573333333,34.1212,7.98533333334,11.4891333333,3.8728,6.8482
354.38,12.1084,17.6447666667,16.4904,10.3240333333,25.9000666667,6.84743333333,34.2958,8.07846666667,11.5003333333,3.91046666667,6.9132
354.74,12.1661333333,17.7543666667,16.5188,10.3533666667,25.9749333333,6.9139,34.5085333334,8.17426666667,11.5934,3.9044,7.00813333333
355.11,12.2708,17.8724666667,16.6121,10.4982,26.1792,7.03513333333,34.7575333333,8.32873333333,11.761,4.06306666667,7.1706
355.47,12.3111333333,17.8943333333,16.6815,10.5819666667,26.335,7.07016666667,34.8786,8.4212,11.8044666667,4.09913333333,7.2194
355.83,12.2147333333,17.7956,16.5766,10.4776,26.2769333333,6.96346666667,34.8724,8.25653333333,11.7160666667,3.9424,7.0856
356.20,11.9740666667,17.5658,16.3342666667,10.2426333333,26.099,6.6932,34.8266,8.02973333333,11.4405333333,3.66153333333,6.7794
356.56,11.8302666667,17.4132,16.1541666667,10.1301333333,26.0358,6.55093333333,34.7747333333,7.87206666667,11.2684666667,3.49986666667,6.64213333333
356.93,11.7435333333,17.3695,16.0376,10.0192333333,26.0095333333,6.4423,34.7406666667,7.80233333333,11.2081333333,3.43873333333,6.57993333333
357.29,11.7066666667,17.3516666667,15.9498,10.0173,26.0054,6.38026666667,34.7125333333,7.7364,11.1842666667,3.43986666667,6.60033333333
357.66,11.6828666667,17.2342666667,15.8803666667,9.98570000001,26.0256666667,6.33093333333,34.7184666667,7.69706666667,11.1178,3.3814,6.49366666667
358.02,11.5301333334,16.9944333333,15.6459333333,9.77330000001,25.9239333333,6.1313,34.741,7.49493333333,10.9472666667,3.11313333333,6.2436
358.38,11.4261333333,16.7739333333,15.4889333333,9.65263333333,25.9028666667,5.9499,34.7336,7.36893333333,10.8291333333,2.92433333333,6.0822
358.75,11.3122,16.4635666667,15.3225,9.50843333333,25.9386,5.73013333333,34.6544,7.19813333333,10.6837333333,2.73713333333,5.9126
359.11,11.2918,16.3674666667,15.2951333333,9.42776666666,26.0125333333,5.62003333333,34.7340666667,7.14053333333,10.5814666667,2.61326666666,5.8446
359.48,11.3173333333,16.2839,15.2502,9.45310000001,26.1358666667,5.5833,34.8668666667,7.1096,10.6033333333,2.5928,5.78653333333
359.84,11.3909333334,16.2362,15.2043,9.48446666667,26.2490666667,5.567,35.0145333333,7.166,10.6207333333,2.6646,5.80786666667
360.20,11.4841333333,16.1369,15.2308,9.5215,26.364,5.59806666667,35.0895333333,7.20386666667,10.6868,2.72586666667,5.82433333333
360.57,11.4963333334,16.0105666667,15.2226333333,9.51780000001,26.4117333334,5.51446666667,35.1102666667,7.1486,10.6682666667,2.64353333333,5.73413333333
360.93,11.5123333333,15.9006666667,15.2121,9.50086666666,26.4577333333,5.49406666667,35.1528,7.12553333333,10.6145333333,2.54546666667,5.6538
