wavelength,Back_ThrCypm,Belly_ThrCypm,Breast_ThrCypm,Crissum_ThrCypm,Crown_ThrCypm,DorTail_ThrCypm,Patch10_ThrCypm,Patch11_ThrCypm,Rump_ThrCypm,Throat_ThrCypm,WingTip_ThrCypm
361.66,11.8901333334,30.1010666667,25.4773333333,15.2586666667,15.4866666667,12.5676666667,20.141,38.5714666667,15.5265333333,24.5328666667,7.298
362.02,11.9598666667,30.1859333333,25.5469333333,15.3250666667,15.5559333333,12.6162,20.1754,38.5610666667,15.5745333333,24.5937333333,7.33673333333
362.39,11.9549333333,30.1263333333,25.6136,15.3337333333,15.5157333333,12.5982666667,20.1433333333,38.3422666667,15.4900666667,24.5744,7.28506666667
362.75,12.0903333333,30.2132,25.7074,15.5034,15.6609333333,12.7247333333,20.2449333333,38.2820666667,15.4996666667,24.7478666667,7.43546666667
363.11,12.3342666667,30.4137333333,25.9094,15.7468,15.8579333333,12.8856,20.4132,38.1732666667,15.7059333333,24.9094,7.6706
363.48,12.4063333333,30.4461333333,26.0110666667,15.8767333333,15.9771333334,13.0271333333,20.508,38.0362,15.8118666667,25.0184666667,7.77586666667
363.84,12.4358666667,30.5034,26.0168666667,15.8188,16.0369333333,12.9630666667,20.4374,37.9262,15.8034,25.0530666667,7.65993333333
364.20,12.4636666667,30.4639333333,25.9660666666,15.7752,16.0500666667,12.9251333334,20.3788666666,37.7321333333,15.7626,25.01,7.67033333333
364.57,12.5926666667,30.6136666667,26.1256,15.9523333333,16.2000666667,13.0519333333,20.5214,37.8019333333,15.8376666667,25.2555333333,7.763
364.93,12.7711333334,30.74,26.2740666667,16.0522,16.3093333334,13.1669333333,20.5741333333,37.8053333333,15.9505333333,25.4238,7.88453333333
365.29,12.8366,30.7763333333,26.4172666667,16.0996666667,16.3459333333,13.1686,20.5742,37.7204666667,16.0191333333,25.5152666667,7.92666666667
365.66,12.8810666667,30.7812666667,26.5304,16.1840666667,16.4032,13.2333333333,20.5512,37.6064,16.0306666667,25.5521333333,7.93053333333
