wavelength,Back_SpoSchm,Belly_SpoSchm,Breast_SpoSchm,Crissum_SpoSchm,Crown_SpoSchm,DorTail_SpoSchm,Patch10_SpoSchm,Patch11_SpoSchm,Rump_SpoSchm,Throat_SpoSchm,WingTip_SpoSchm
339.40,7.8622,26.1773333333,13.6884,25.9389333333,6.31293333333,7.61773333333,13.2432666667,15.5724,8.09046666667,10.0113333333,6.78093333333
339.77,7.83993333333,26.2736,13.6812,26.0238666667,6.28233333333,7.55753333333,13.259,15.487,8.10833333333,9.94446666667,6.78386666667
340.14,7.75766666667,26.3150666667,13.6361333333,26.1249333333,6.2788,7.49613333333,13.2532666667,15.4404666667,8.07186666667,9.85493333334,6.7856
340.50,7.79346666667,26.3918,13.6812,26.1676,6.3522,7.5346,13.3246666667,15.4965333333,8.1278,9.89099999999,6.83753333333
340.87,7.80413333333,26.5362,13.6777333333,26.2854,6.3752,7.53606666667,13.3284,15.4927333333,8.1164,9.87273333335,6.82893333333
341.23,7.83933333333,26.7142,13.7191333334,26.3988666667,6.36346666667,7.5434,13.3588,15.6188,8.1948,9.87033333334,6.8456
341.60,7.9636,26.8794666667,13.8157333333,26.4742666667,6.43926666667,7.5462,13.4067333333,15.7059333333,8.26926666667,9.93426666667,6.88333333333
341.96,7.9328,26.938,13.6902666667,26.4275333333,6.36806666667,7.44733333333,13.3546,15.6392666667,8.18613333333,9.83520000001,6.86773333334
342.33,7.95913333333,27.0726,13.7309333333,26.5692666667,6.40626666667,7.46073333334,13.3663333334,15.6860666666,8.21953333333,9.89213333332,6.8826
342.70,8.19693333333,27.4354,14.0117333333,26.9799333333,6.64926666667,7.6318,13.6905333333,15.9315333333,8.53446666666,10.2057333333,7.0678
343.06,8.1532,27.5821333333,13.9816,27.0749333333,6.60746666667,7.622,13.7371333333,15.9615333333,8.53286666667,10.2638666667,7.0454
343.43,7.89773333333,27.5023333333,13.7513333333,26.9891333333,6.37806666667,7.36626666667,13.5906,15.8462,8.33133333333,10.0634666667,6.86326666666
343.79,8.1068,27.7625333333,13.9746,27.2250666667,6.5684,7.565,13.8166,16.0702,8.51286666667,10.3294,7.044
344.16,8.2366,27.9572,14.0320666667,27.3698666667,6.51706666667,7.58053333333,13.8650666667,16.1744,8.5468,10.4038666667,7.04233333333
344.52,8.38453333333,28.1334,14.1448,27.5978666667,6.58146666667,7.67766666667,13.9896,16.2278666667,8.6776,10.5280666667,7.1086
344.89,8.36693333333,28.2644666667,14.1562666667,27.7277333333,6.55686666667,7.65813333333,14.0461333333,16.2568666667,8.6872,10.555,7.09793333333
345.25,8.2658,28.3104666667,14.0479333334,27.7572,6.41706666667,7.5194,13.9673333333,16.1271333333,8.51126666667,10.4396666667,6.9556
345.62,8.24053333333,28.4466666667,14.0794666666,27.9076,6.39293333333,7.5112,14.0436666667,16.1608666667,8.50593333333,10.4740666667,6.934
345.99,8.23073333333,28.5855333333,14.1637333333,28.0612666667,6.40893333333,7.514,14.1596,16.1909333333,8.53693333333,10.5451333333,6.954
346.35,8.23033333333,28.8660666667,14.3057333333,28.2822,6.45333333333,7.54833333333,14.3427333333,16.3024666667,8.65046666667,10.6420666667,6.99926666667
346.72,8.2038,28.9016,14.2926666667,28.2246666667,6.419,7.5584,14.3064,16.3209333333,8.64533333333,10.5386666667,6.99653333334
347.08,8.22333333333,29.0371333333,14.3546666667,28.4656,6.403,7.48386666667,14.3738,16.3954,8.6616,10.5298666667,6.9944
347.45,8.18993333333,29.114,14.3362666667,28.4973333333,6.3584,7.46553333333,14.3532666667,16.3642666666,8.61133333333,10.5254,6.93966666667
347.81,8.1078,29.1857333334,14.2301333333,28.5031333333,6.2906,7.3834,14.3608,16.3441333333,8.51593333333,10.4896666666,6.8584
348.18,8.10186666667,29.2563333333,14.2669333333,28.5894666667,6.41706666667,7.48493333333,14.4954,16.3198666666,8.59806666666,10.5804666667,6.9206
348.54,7.97446666667,29.3274,14.1939333333,28.6338666667,6.32626666667,7.39453333333,14.4476,16.3439333333,8.49373333333,10.4929333334,6.82066666667
348.91,8.15013333333,29.6167333333,14.4228,28.9478,6.52826666666,7.5474,14.7016666666,16.5634,8.6624,10.7080666667,7.04693333333
349.27,8.1402,29.6592,14.4602666667,29.0275333333,6.59673333333,7.53286666667,14.6882,16.5886666666,8.73493333333,10.7574,7.0832
349.64,8.15106666667,29.7188,14.4231333333,29.1396666666,6.5802,7.5254,14.6744,16.5574666667,8.70166666667,10.7518,7.03686666667
350.00,8.1556,29.8202,14.3668,29.3271333334,6.5848,7.49633333333,14.6340666667,16.6184,8.6824,10.7466,7.01366666667
350.37,8.2436,29.8724,14.3977333333,29.3891333333,6.70093333333,7.54973333333,14.6644,16.6629333333,8.70893333334,10.8065333333,7.10213333333
350.73,8.12886666667,29.9734666667,14.2976666667,29.4966,6.6822,7.46513333333,14.6906666667,16.6039333334,8.59126666667,10.7512666667,6.98186666666
351.10,7.92033333333,29.9558666667,14.1296666667,29.4152666667,6.6204,7.3654,14.5787333333,16.5186666667,8.5028,10.596,6.86293333333
351.46,7.95433333333,30.1562,14.2217333333,29.6483333333,6.68706666667,7.36166666667,14.6374,16.5965333333,8.53266666666,10.63,6.90826666667
351.83,7.98846666667,30.3182,14.2865333333,29.8864,6.74613333333,7.38253333333,14.6562,16.608,8.56586666666,10.6206,6.915
352.19,7.8962,30.4396666667,14.1790666667,29.9248,6.62206666667,7.2068,14.5162,16.5610666667,8.41906666667,10.5158,6.80473333333
352.55,7.8666,30.4691333333,14.0924666667,29.8972666667,6.56606666667,7.1116,14.4800666667,16.4622666667,8.3006,10.4683333333,6.716
352.92,7.72946666667,30.4422666667,13.9032666667,29.8063333333,6.41733333333,6.9992,14.3702,16.3224666667,8.18946666667,10.2578666667,6.5274
353.28,7.72953333333,30.5264,13.8391333333,29.8622666667,6.30086666667,6.96906666667,14.4248666667,16.294,8.148,10.2092666667,6.47033333333
353.65,7.66593333333,30.6442,13.8144666667,29.8614,6.24346666667,6.89973333333,14.4814666667,16.2478666667,8.16553333333,10.1729333333,6.4816
354.01,7.5508,30.6665333333,13.7792666667,29.8103333333,6.09813333333,6.80853333333,14.4587333333,16.1324666667,8.1086,10.0332666667,6.39546666667
354.38,7.5226,30.6713333333,13.7129333333,29.8573333333,5.98953333333,6.74946666667,14.4060666667,16.0656,8.04673333333,9.9134,6.2966
354.74,7.5792,30.8284666667,13.8223333333,29.9831333333,6.00466666667,6.78166666667,14.4732,16.1253333333,8.1262,10.0132,6.34313333333
355.11,7.76653333333,31.0622,13.9299333333,30.174,6.0756,6.8426,14.5844666667,16.2066,8.189,10.1236666667,6.43386666667
355.47,7.753,31.1569333333,13.9326,30.2130666667,6.07453333333,6.83526666667,14.6458,16.1988,8.20526666667,10.1324666667,6.4344
355.83,7.55133333333,31.1061333333,13.7366,30.1124,5.85566666667,6.63593333333,14.4498666667,16.0463333333,8.03113333333,9.96493333333,6.252
356.20,7.56193333333,31.2203333333,13.7288666667,30.2080666667,5.90133333333,6.72186666667,14.5330666667,16.0991333333,8.10026666667,9.98286666666,6.29006666667
356.56,7.6082,31.3592,13.8150666667,30.3949333333,5.9878,6.81906666667,14.6456,16.1934,8.16906666667,10.0538666667,6.38446666667
356.93,7.5428,31.4434666667,13.7754666667,30.4479333333,5.95246666667,6.77626666667,14.5901333333,16.1538,8.10113333333,10.0314666667,6.2916
357.29,7.50573333334,31.5740666667,13.8383333333,30.5302666667,6.00046666667,6.809,14.6667333334,16.1746666666,8.12793333334,10.0672,6.25813333333
357.66,7.4914,31.6833333333,13.8593333333,30.6628666666,6.00386666667,6.82613333333,14.6638666667,16.22,8.11126666667,10.0630666667,6.24586666667
358.02,7.56246666667,31.8315333333,13.8849333333,30.7928,6.0518,6.85833333333,14.7432,16.2731333333,8.17253333333,10.1734,6.2396
358.38,7.54653333333,31.987,13.9102,30.9509333333,6.05906666667,6.85053333333,14.7774666667,16.3242,8.16446666667,10.2254666667,6.20993333333
358.75,7.55886666667,32.1483333333,13.9561333333,31.1264,6.05553333333,6.86853333333,14.8507333333,16.3518,8.15926666667,10.2433333333,6.2108
359.11,7.56166666667,32.3244,14.0373333333,31.2515333333,6.0582,6.9138,14.962,16.4066,8.274,10.3002,6.22413333333
359.48,7.66113333333,32.5841333333,14.1686666667,31.5732,6.16566666667,7.0194,15.0852,16.5991333333,8.3526,10.4114,6.32066666667
359.84,7.77406666667,32.7991333333,14.2981333333,31.7932666667,6.281,7.15026666667,15.2936,16.7492,8.50506666667,10.5072666667,6.4368
360.20,7.847,32.8792,14.3751333333,31.9273333333,6.27566666667,7.1586,15.3566666667,16.7738666667,8.5302,10.5506,6.45853333333
360.57,7.92806666667,33.1032,14.4576,32.1428666667,6.34286666667,7.18993333333,15.4587333333,16.8711333333,8.6466,10.6164666667,6.52466666667
360.93,8.08526666667,33.2674,14.5697333333,32.3249333333,6.44786666667,7.29946666667,15.6094666667,17.028,8.77586666667,10.737,6.6646
361.29,8.20753333333,33.4153333333,14.6766,32.5524666667,6.53466666667,7.34466666667,15.7102,17.1667333333,8.861,10.8118666667,6.7512
361.66,8.33666666667,33.6112,14.762,32.7604666667,6.65913333333,7.41873333333,15.8418,17.3051333333,8.96733333334,10.92,6.81706666667
362.02,8.40273333333,33.7007333333,14.8271333333,32.8615333333,6.75833333333,7.48,15.9124666667,17.4196,9.02060000001,10.9686666667,6.89253333333
362.39,8.47166666667,33.8422,14.8723333333,32.9418,6.82353333333,7.51433333333,15.9708,17.4666666667,9.0596,11.012,6.96393333333
362.75,8.46366666667,33.8541333333,14.8088666667,32.97,6.8186,7.45886666667,15.9338666667,17.4589333333,9.07720000001,10.9667333333,6.9618
363.11,8.44646666667,33.8616,14.7608,33.0702,6.80166666667,7.42033333333,15.9013333333,17.4545333333,8.99913333333,10.9586,6.94106666667
363.48,8.45013333333,33.8086,14.7076,33.0079333333,6.7716,7.38453333333,15.8664666666,17.3995333333,8.952,10.8846666667,6.84966666667
363.84,8.4016,33.8246666667,14.6166666667,33.0030666667,6.7466,7.31033333333,15.8098,17.3519333333,8.84586666667,10.8678666666,6.7718
364.20,8.37546666667,33.9872666666,14.6074666667,33.1312,6.76353333333,7.2718,15.8738666667,17.4194,8.83366666667,10.8684,6.76673333333
364.57,8.32446666667,34.0705333333,14.5960666667,33.1662666667,6.73973333333,7.208,15.8706666667,17.3869333333,8.7814,10.8236666667,6.7284
364.93,8.29986666667,34.2499333333,14.6442,33.2909333334,6.7548,7.16806666667,15.9092,17.3887333333,8.78966666667,10.8278,6.72886666667
365.29,8.318,34.3391333333,14.5906,33.3152666667,6.7848,7.19906666667,15.9231333333,17.3956,8.79973333333,10.8532666667,6.74053333333
365.66,8.2136,34.3898,14.5462666667,33.3137333333,6.72926666667,7.1504,15.8468666667,17.327,8.75926666667,10.8016666667,6.67993333333
366.02,8.25326666667,34.5304,14.5975333333,33.4566,6.73246666667,7.1708,15.9186,17.3259333333,8.79093333334,10.823,6.70226666667
366.38,8.08693333333,34.4690666667,14.4656666667,33.4288,6.5872,7.01233333333,15.8478666667,17.1966,8.6748,10.7041333333,6.557
366.75,8.11986666666,34.5724,14.5242666667,33.5321333333,6.63566666667,7.07786666667,15.9364666667,17.2488,8.68613333333,10.7716666667,6.61866666667
367.11,8.138,34.6552,14.5630666667,33.5465333333,6.6724,7.1102,15.9671333333,17.2932666667,8.71886666666,10.7810666667,6.6562
367.47,8.1408,34.7683333333,14.6036,33.6663333333,6.68153333333,7.119,16.0288,17.2444666667,8.7336,10.8211333333,6.6902
367.84,8.16073333334,34.8900666667,14.6841333333,33.7259333333,6.67586666667,7.1398,16.0839333333,17.2472,8.78833333333,10.8214,6.7002
368.20,8.16546666667,34.9739333333,14.7167333333,33.7944,6.69873333333,7.15166666667,16.0561333333,17.2380666667,8.82026666667,10.8050666667,6.6596
368.56,8.18866666667,35.009,14.7216,33.8493333333,6.69593333333,7.1812,16.0807333333,17.2654666667,8.86266666667,10.8299333333,6.60753333334
368.93,8.22193333334,35.0410666666,14.7289333333,33.8890666667,6.72633333333,7.25413333333,16.1437333333,17.2860666667,8.87753333333,10.8415333333,6.57586666667
369.29,8.21653333333,35.116,14.7892666667,33.9558,6.7218,7.28353333333,16.2022,17.2728666666,8.88913333333,10.842,6.5728
369.65,8.28893333333,35.2732,14.8584666667,34.153,6.75733333333,7.3612,16.3276666667,17.3698666666,8.9074,10.8734,6.6364
370.01,8.19626666666,35.3835333333,14.7739333333,34.2414,6.70166666667,7.3212,16.2915333333,17.3838,8.85273333333,10.8131333333,6.56993333333
370.38,8.3596,35.6172,14.9321333333,34.4196,6.82733333333,7.518,16.4734666667,17.5476666667,9.017,10.9497333333,6.71313333333
370.74,8.459,35.8471333333,15.0083333333,34.6252666667,6.9062,7.60713333333,16.6028666667,17.6517333333,9.09933333333,11.0398666667,6.7798
371.10,8.5692,36.0263333333,15.0533333333,34.7383333333,6.99326666667,7.709,16.7367333333,17.7279333333,9.19386666667,11.1048,6.84393333333
371.46,8.55353333333,36.1463333333,15.0168666667,34.8201333333,6.9614,7.66173333333,16.7472666666,17.7787333333,9.21720000001,11.1025333333,6.85273333333
371.83,8.6384,36.3249333333,15.1006,35.0214666667,7.07133333333,7.73813333333,16.8771333333,17.9184666667,9.31233333333,11.1413333333,6.97226666667
372.19,8.68893333333,36.4428666667,15.1478666667,35.1267333334,7.12933333333,7.779,16.9558666667,17.9676666667,9.33666666667,11.2098,7.03686666667
372.55,8.73593333333,36.5655333333,15.2044,35.2429333333,7.22506666667,7.8388,17.027,18.0122,9.38840000001,11.2462,7.1274
372.92,8.62513333333,36.5535333333,15.0863333333,35.2066,7.1068,7.67866666667,16.9085333333,17.9364,9.29733333333,11.1455333333,7.05593333334
373.28,8.59533333333,36.7113333333,15.0673333333,35.3936666667,7.1102,7.6596,16.8906666667,17.9703333334,9.26253333333,11.1148666667,7.04986666666
