wavelength,Back_CamPsim,Belly_CamPsim,Breast_CamPsim,Crissum_CamPsim,Crown_CamPsim,DorTail_CamPsim,Rump_CamPsim,Throat_CamPsim,WingTip_CamPsim
767.88,15.1928444444,43.6321333333,7.94966666667,46.6785,8.61320000001,16.8238,18.6447333333,11.0408666667,18.7673666667
768.20,15.5938555555,43.6823333333,8.16539999999,46.93525,8.83906666665,17.0546666667,18.8178666667,11.1996666667,18.7789
768.51,15.4978777778,43.7043,8.478,47.2679583334,8.94879999999,17.2224,19.1284,11.4738,18.6675666667
768.82,15.7229111111,43.6105,8.8421,46.982875,9.12446666667,17.4408666667,19.1683333333,11.6700666667,18.6121666667
769.13,15.1894,43.0439333333,8.53426666667,46.8013333333,8.73873333333,17.0894,18.6416666667,11.3340666667,18.0129333333
769.44,15.1567111111,42.5053,8.49879999999,46.707625,8.60106666667,16.7265333333,18.4496,11.3072,18.1464666667
769.76,14.8989777778,42.048,8.03226666667,46.985625,8.02853333333,16.3856,18.0358,10.5512666667,17.7035333333
770.07,14.5501555556,41.5605,7.46266666667,46.621,7.49446666667,16.0364666667,17.6324666667,9.97386666668,17.3994
770.38,14.7194,40.9835,7.65756666666,46.4632083333,7.4292,16.2402666667,17.8106,9.84526666668,17.0535666667
770.69,14.4984666667,41.0595333333,7.7051,46.680125,7.4542,15.9659333333,17.9039333333,9.83206666667,16.7555666667
771.00,15.1983555555,41.6256666667,8.30796666666,46.9115416667,7.9624,16.4871333333,18.509,10.3746,17.4081666667
771.32,15.0915888889,41.7161333333,8.11589999999,46.58725,7.7698,16.1922,18.2482,10.2096666667,17.0324
771.63,15.6892333334,42.682,8.84753333334,47.136125,8.45853333332,16.7289333333,19.1541333333,10.7395333333,17.6828333333
771.94,15.7289222222,42.4985333333,8.44406666666,46.7549166667,8.10479999999,16.2909333333,19.0372,10.1728,17.6172
772.25,15.8696777778,42.5934333333,8.27170000001,47.0795,7.9374,16.0709333333,19.0762,9.87673333334,17.5611333333
772.56,15.7327333333,42.2491333333,8.06010000001,46.836375,7.67386666667,15.2580666667,18.9414666667,9.43220000001,17.0016333333
772.87,15.1017444444,41.9677,7.24659999999,46.5009166667,6.89433333333,14.5326,18.3540666667,8.575,15.9466
773.18,15.2191555555,42.4398,7.53776666666,46.4045,7.08546666667,14.6346,18.8992,8.66313333335,16.3279
773.50,15.6926222222,43.2922333333,8.00586666667,47.0185416666,7.79433333333,15.0479333333,19.3544,9.16786666668,16.4483333333
773.81,16.4373,44.1763333333,8.79700000001,47.6730833333,8.67626666667,15.8168,20.0546666667,10.2076,17.1860666667
774.12,17.3914444444,45.6173666667,9.79866666667,48.4880416666,9.70273333333,17.2793333333,21.2848,11.4448666667,18.1711
774.43,16.7443444444,45.5534,9.35570000001,48.757,9.29513333333,16.8908,20.9058,11.0272,17.6635
774.74,16.4612111111,45.5459666667,8.75810000001,49.0841666666,9.07919999998,16.5738,20.8422,10.7876,17.2781666667
775.05,15.8076444444,44.93,7.9323,48.9130416667,8.26580000001,16.2222,20.2269333333,10.3575333333,16.9419333333
775.36,16.2981,45.5710666667,8.01810000001,49.7262916667,8.66573333334,16.4058,20.4579333333,11.3096666667,17.0335
775.67,16.3727888889,45.6762,8.31833333333,49.8885833333,8.68753333333,16.8994666667,20.733,11.6392666667,17.3921
775.98,16.5797,46.1977333333,8.52819999999,50.2016666667,8.79633333333,17.6916666667,21.2113333333,12.0029333333,17.9821333333
