wavelength,Back_TanChrm,Belly_TanChrm,Breast_TanChrm,Crissum_TanChrm,Crown_TanChrm,DorTail_TanChrm,Patch10_TanChrm,Patch11_TanChrm,Patch12_TanChrm,Patch13_TanChrm,Rump_TanChrm,Throat_TanChrm,WingTip_TanChrm
765.07,7.61653333333,46.0492666667,18.6712666667,43.4334608696,7.65120000001,8.2634,12.4922,41.0985333333,41.4701333333,4.9904,20.431,36.5598666667,14.8546
765.39,7.694,46.2106666667,18.6649333333,43.5047144927,7.6670952381,8.22633333333,12.5457333333,41.1038666667,41.4354333333,5.2444,20.4952,36.5402666667,14.9018666667
765.70,7.8178,46.3732666667,18.8304666667,43.5470115942,7.86931428571,8.43026666667,12.6844,40.9838666667,41.6362333333,5.394,20.626,36.7868666667,15.1450666667
766.01,7.60693333333,46.1989666667,18.6550666667,43.2852942029,7.61109523809,8.3098,12.3858666667,40.7342666667,41.6418333333,5.26826666667,20.4579333333,36.6799333333,14.9013333333
766.32,8.17806666667,46.6155333333,19.0782666667,43.7870362319,8.07128571428,8.70153333333,12.7180666667,41.131,42.1422666667,5.75266666667,20.835,37.2603333333,15.1999333333
766.64,7.9724,46.1361666667,18.7741333333,43.2665666667,7.97617142857,8.52806666667,12.5674,40.6089333333,41.739,5.5524,20.6594666667,36.9924666667,15.0645333333
766.95,7.51133333333,45.2324,18.2886,42.3475565217,7.58808571429,7.91726666667,12.0444666667,39.734,41.0325,5.09273333333,20.1014666667,36.232,14.6606
767.26,7.01526666667,45.0886333333,18.0274666667,42.0808217391,7.26295238095,7.32153333333,11.618,39.6083333333,40.8405666667,4.68266666667,19.7370666667,35.9746666667,14.2654
767.57,6.7316,44.856,17.8200666667,41.6836188406,7.22083809524,7.16573333333,11.4991333333,39.2290666667,40.6514,4.3656,19.5539333333,35.7614,14.1160666667
767.88,6.51786666667,44.5387666667,17.5774666667,41.4717362319,7.18013333334,7.01273333333,11.3843333333,38.989,40.2914333333,4.1742,19.3928,35.5736666667,13.9161333333
768.20,6.29826666667,44.3746,17.4925333333,41.3301623188,6.96874285713,6.9008,11.3723333333,38.8102666667,40.0234333333,4.10633333333,19.2912666667,35.4940666667,13.8393333333
768.51,5.5678,43.8184666667,16.8320666666,40.6792710145,6.38207619047,6.04986666667,10.9558,38.1847333333,39.3366,3.50193333333,18.7084,34.8690666667,12.9992666667
768.82,5.08786666667,43.5472,16.4742666666,40.3201362319,5.98495238096,5.486,10.6699333333,37.8142666667,38.8805333333,3.02486666667,18.3979333333,34.7527333333,12.5704666667
769.13,4.649,42.6940666667,15.8833333333,39.8728115942,5.37456190475,4.82206666667,10.0474666667,37.1312,38.0212333333,2.7434,17.9959333333,33.9844,12.0582666667
769.44,5.11393333333,43.0262,16.0352,40.0294652174,5.67131428571,4.70673333333,10.2864,37.4016666667,37.9295333333,3.06766666667,18.3988666667,33.8509333333,12.2222
769.76,4.60813333333,42.4039333333,15.6128666667,39.5570492753,5.37251428572,4.2996,10.0473333333,36.6824,37.4155,2.72493333333,18.0326,33.1616,11.8884666667
770.07,4.70206666667,42.9741666667,15.8541333333,40.1133231884,5.64143809523,4.31906666667,10.3754666667,37.2915333333,37.8476333333,3.01926666667,18.3026,33.5139333333,12.1522666667
770.38,4.2886,43.0490666667,15.4608,40.3008217391,5.29182857142,3.98586666667,10.1552,37.6818,37.8818666667,2.74453333333,17.951,33.4866666667,11.935
770.69,3.76253333333,42.6407,14.6880666667,39.6835985507,4.71882857142,3.61766666667,9.62033333333,37.3708,37.1379666667,2.24393333333,17.5654,33.1272666667,11.5015333333
771.00,3.43813333333,42.1861,14.2518666667,39.3609884058,4.17061904762,3.0738,9.18986666665,37.0930666667,36.6782666667,1.92653333333,17.1241333333,32.6396,10.8913333333
771.32,3.17313333333,41.8876333333,14.2634,38.7760652174,3.93782857143,2.93866666667,9.08166666666,36.7683333333,36.0786,1.98113333333,17.0184,32.2196666667,10.7308
771.63,3.05813333333,42.157,14.2104666667,38.8025869565,3.73943809524,2.8946,8.94746666667,36.9936666667,35.6419,1.92593333333,16.9737333333,32.3365333333,10.5581333333
771.94,3.4664,42.5665666667,14.7618,39.1489072464,4.06493333334,3.293,9.37846666667,37.5262,36.0717,2.43753333333,17.3204666666,32.5463333334,11.1662
772.25,3.54846666667,42.6143333333,14.7673333333,39.4764797101,4.07988571429,3.60573333333,9.41213333334,37.7012666667,36.2774,2.54066666667,17.3038666667,32.649,11.2190666667
772.56,3.43426666667,43.2555,14.9307333333,39.8104637681,4.09129523809,3.57293333333,9.71419999999,38.2767333333,36.8032,2.29513333333,17.335,33.1651333333,11.1096666667
772.87,3.27686666667,42.6997333333,14.8438,39.2642637681,4.08462857143,3.90173333333,9.81333333333,37.9106,36.7904666667,2.40413333333,16.9877333333,33.0017333333,10.9962666667
773.18,2.8246,43.0457333333,14.5869333333,39.2635855073,3.46415238095,3.71766666667,9.50846666667,38.0769333333,36.6474333333,1.9876,16.6086666667,32.9298666667,10.6544666667
773.50,1.7844,41.9874,13.8172666667,38.2634521739,2.32576190476,3.03313333333,8.45093333333,36.9842,35.7808333333,0.9722,15.5195333333,31.8556666667,9.51393333335
773.81,1.81233333333,42.3055333333,14.0417333333,38.6143594203,2.43124761905,3.355,8.60486666667,36.8883333333,35.9365333333,1.1646,15.8845333333,32.0207333333,9.59133333333
774.12,1.88766666667,42.5611333333,14.1692666667,39.0481913044,2.58359047619,3.39713333333,8.66879999999,36.9461333333,36.2332666667,1.219,16.1672,32.2111333333,9.6986
774.43,1.97466666667,42.8485666667,14.4140666667,39.1820376811,2.79941904762,3.5536,8.73919999999,37.0958,36.5377666667,1.36546666667,16.2419333333,32.4438,9.88233333333
774.74,1.8526,42.7585666667,13.9283333333,39.3088144928,2.60545714286,3.21386666667,8.32093333333,36.6374,36.7635333333,0.869799999999,15.6998,32.4858666667,9.38940000001
775.05,2.08093333333,42.7409666667,14.0946,39.521126087,3.06114285714,3.26126666667,8.37386666665,36.1260666667,37.268,0.927866666665,15.7297333333,32.2792,9.54959999999
775.36,2.16486666667,42.6123666667,14.1198,39.4200043478,3.42287619047,3.36726666667,8.30286666666,35.8373333333,37.4238,0.764066666668,15.6699333333,32.6192,9.49153333333
775.67,2.37666666667,43.4226333333,14.6089333333,40.0414391304,4.02529523809,3.5514,8.61659999999,36.4808666667,37.8804333333,0.825866666669,16.1918666667,33.0856,9.78666666665
775.98,3.208,44.2037,15.4978,40.6185971015,4.88768571429,4.52013333333,9.1364,36.8832,38.3961,1.68153333333,17.0106666667,33.7252666667,10.6585333333
776.30,3.17833333333,44.6794333333,15.4059333333,41.117515942,4.94837142858,4.4646,8.93373333335,36.8634666667,38.6421,1.39253333333,17.0762,34.0319333333,10.7656666667
776.61,3.0038,44.4034333333,15.0464666667,40.7956289855,4.71738095237,3.77446666667,8.32866666667,36.4438666667,38.4051,0.756866666666,16.8664,33.9926,10.3388666667
776.92,3.352,44.9483,15.1972,41.4451318841,4.9711047619,3.83106666667,8.42240000001,36.6760666667,38.7838666667,0.7418,17.3239333333,34.1783333333,10.5962666667
777.23,3.03753333333,44.7669,14.7480666667,41.1758550724,4.67198095237,3.66693333333,7.89673333333,36.5366666667,38.5828,0.430533333333,17.0524,34.0950666667,10.2862666667
777.54,3.13946666667,44.6454,14.974,41.0039811594,4.77190476191,3.94333333333,8.19866666667,36.5721333334,38.8156666667,0.718666666666,16.9644,34.052,10.3262
777.85,3.00433333334,44.8497333333,14.8545333333,41.2975681159,4.60110476191,3.8006,8.13526666667,36.5617333333,38.7029666667,0.672466666667,17.0099333334,34.0963333333,10.2336666667
778.16,2.59633333333,44.6677666667,14.7157333333,41.2098289855,4.12411428571,3.49233333333,7.66866666666,36.5751333333,38.4923666667,0.452800000001,16.7677333333,33.8198,9.86519999998
778.47,1.8212,43.8092666667,14.0386666667,40.3378594203,3.27609523809,2.94206666667,7.08206666667,36.2609333333,37.7101333333,0.029133333334,16.2560666667,33.3961333333,9.11593333335
778.78,1.824,43.9551333333,14.0795333333,40.7802608696,3.19233333333,2.85766666667,7.15440000001,36.2888,37.9566,0.117133333333,16.5764666667,33.4502666667,9.28060000001
779.09,1.5004,43.2871,13.4935333333,40.0179231884,2.74064761905,2.44226666667,6.92893333333,35.4406666666,37.2079666667,-0.3204,16.0668666667,32.9011333333,8.98753333333
779.40,1.2378,42.768,13.2114,39.7869173913,2.60436190476,2.1246,6.77386666667,35.0732,36.9639,-0.502,15.8480666667,32.6704666667,8.64033333334
