wavelength,Back_DolFrif,Belly_DolFrif,Breast_DolFrif,Crissum_DolFrif,Crown_DolFrif,DorTail_DolFrif,Patch10_DolFrif,Rump_DolFrif,Throat_DolFrif,WingTip_DolFrif
419.73,6.07333333333,26.9611666667,9.70000000001,19.3257777778,5.797,6.34166666667,5.72611111111,5.30774074074,9.82244444446,6.86261111111
420.08,6.07888888889,26.9666666666,9.69377777779,19.3364444445,5.79088888889,6.34244444444,5.72522222222,5.302,9.81900000001,6.84788888889
420.44,6.10811111111,27.0333333334,9.73244444442,19.3945555556,5.82588888889,6.35811111111,5.76588888889,5.32181481482,9.8418888889,6.87994444444
420.80,6.10344444444,27.0815,9.73666666666,19.4111111111,5.82255555555,6.35744444445,5.76066666666,5.31559259259,9.8561111111,6.86566666667
421.16,6.08666666667,27.1151666667,9.75,19.443,5.81344444444,6.36355555555,5.76155555556,5.30674074074,9.86444444443,6.87333333333
421.51,6.13655555556,27.1876666666,9.79866666667,19.5138888889,5.84266666667,6.388,5.80077777778,5.33740740741,9.90066666668,6.87902777778
421.87,6.14155555556,27.1788333333,9.80177777778,19.5412222222,5.86433333333,6.40833333334,5.80988888889,5.32103703704,9.91472222222,6.89222222222
422.23,6.07844444444,27.1695,9.75655555554,19.5308888889,5.81266666667,6.35777777778,5.76055555556,5.27737037037,9.85833333332,6.84844444444
422.58,6.10722222222,27.2451666667,9.79566666666,19.5956666667,5.82866666667,6.38044444445,5.77866666667,5.30940740741,9.88666666667,6.8625
422.94,6.15688888889,27.2838333334,9.83255555556,19.6498888889,5.86977777778,6.42133333333,5.81822222222,5.34111111111,9.91322222222,6.88725
423.30,6.15666666667,27.3203333333,9.85366666667,19.7011111111,5.86688888889,6.41233333333,5.81455555555,5.34048148148,9.93122222221,6.87925
423.66,6.15733333333,27.3826666667,9.88422222222,19.7587777778,5.86866666667,6.39866666667,5.82011111111,5.34507407407,9.94805555557,6.88063888889
424.01,6.15622222222,27.4433333334,9.89855555557,19.8144444445,5.87255555556,6.38855555556,5.834,5.35725925926,9.95816666666,6.89405555556
424.37,6.16722222222,27.4928333333,9.91877777779,19.8662222222,5.88277777778,6.40711111111,5.85433333333,5.36892592592,9.98755555554,6.89838888889
424.73,6.19888888889,27.5713333334,9.98899999999,19.9628888889,5.92711111111,6.43466666667,5.91166666667,5.40988888889,10.0372777778,6.9335
425.08,6.22344444445,27.6305,10.0241111111,20.0154444444,5.95866666667,6.46155555556,5.945,5.4317037037,10.0810555555,6.94525
425.44,6.23044444444,27.7085,10.0238888889,20.0718888889,5.969,6.46866666667,5.95144444444,5.42581481482,10.0855,6.96022222222
425.80,6.22422222222,27.7265,10.0444444444,20.0857777778,5.96511111111,6.45533333333,5.95066666667,5.43896296296,10.1037777778,6.95413888889
426.16,6.28011111111,27.8208333334,10.1114444444,20.1671111111,6.03333333333,6.49188888889,6.01311111111,5.5087037037,10.1923888889,7.02975
426.51,6.29933333333,27.8445,10.1243333333,20.2276666666,6.04111111111,6.49988888889,6.03155555555,5.51237037037,10.2102222222,7.0565
426.87,6.27144444444,27.8471666667,10.1135555556,20.2452222222,6.00966666667,6.47222222222,6.01877777778,5.49992592593,10.2073333333,7.05494444444
427.23,6.26122222222,27.8598333334,10.0953333333,20.2731111111,5.99522222222,6.44588888889,5.99988888889,5.49477777778,10.1998888889,7.04302777778
427.58,6.24777777778,27.8855,10.0832222222,20.2956666667,5.98344444444,6.43944444444,5.98766666667,5.47677777778,10.2143333333,7.01441666667
427.94,6.26877777778,27.964,10.1407777778,20.3795555556,6.014,6.47822222222,6.00088888889,5.49481481482,10.2702777778,7.05133333333
428.30,6.24777777778,27.9595,10.1286666666,20.3858888889,6.00688888889,6.45255555556,5.97211111111,5.47733333333,10.2276111111,7.03969444445
428.65,6.226,27.9303333333,10.0947777778,20.3853333333,5.97977777778,6.42755555556,5.92788888889,5.44492592593,10.1835555556,7.01211111111
429.01,6.23533333333,27.9741666666,10.0623333333,20.4005555556,5.96144444444,6.403,5.89811111111,5.43514814815,10.1717777778,6.99330555555
