wavelength,Back_TanCyvf,Belly_TanCyvf,Breast_TanCyvf,Crissum_TanCyvf,Crown_TanCyvf,DorTail_TanCyvf,Patch10_TanCyvf,Patch11_TanCyvf,Rump_TanCyvf,Throat_TanCyvf,WingTip_TanCyvf
229.14,35.8533333333,41.9816666667,54.5247777778,52.7492222222,32.9897777778,43.528,30.4695555556,27.1478888889,49.0836666667,31.0995555556,38.2016666667
229.52,38.4496666667,43.2557777778,55.504,50.1807777778,37.6226666667,43.9792222222,32.4546666667,31.4727777778,49.4574444445,34.315,39.0696666667
229.89,39.3163333333,40.9252222222,53.2428888889,46.4052222222,36.0986666667,40.724,30.0654444445,29.5122222222,44.2433333333,31.674,38.2103333333
230.27,42.2327777778,42.3382222222,54.1337777778,50.237,38.1778888889,44.3916666667,30.911,30.1736666666,46.1293333333,32.1746666667,40.5475555555
230.65,43.57,43.7244444445,55.3497777778,50.823,40.895,44.5986666667,33.2818888889,30.2467777778,45.9363333333,34.3621111111,40.8436666667
231.02,45.4501111111,45.5461111111,56.6091111111,53.5918888889,44.1092222222,46.0247777778,34.8658888889,35.1532222222,45.4501111111,38.3142222222,44.8275555556
231.40,45.5464444444,44.766,53.9486666666,50.8725555556,41.6437777778,44.1687777778,35.0322222222,34.9401111111,42.562,39.6694444444,44.4902222222
231.78,41.5377777778,42.5223333333,53.399,49.5076666667,39.1466666667,40.7877777778,33.849,33.0051111111,40.5533333333,36.7557777778,43.0378888889
232.15,34.367,37.9845555556,52.2995555556,44.1344444444,34.4184444444,35.5554444444,27.9586666667,28.6306666667,36.3822222222,34.8836666667,37.4678888889
232.53,38.3283333333,40.3668888889,53.2108888889,47.0438888889,39.6023333333,38.7868888889,32.6707777778,32.3138888889,41.1314444445,38.8378888889,40.0102222222
232.90,36.8271111111,41.2371111111,54.6965555556,46.7925555555,40.3207777778,35.7961111111,29.7251111111,30.9278888889,40.607,36.197,39.977
233.28,34.245,37.6638888889,52.0227777778,45.4702222222,36.4103333333,34.017,29.1165555555,27.6354444444,34.1311111111,32.0797777778,36.9231111111
233.66,36.9801111111,39.7721111111,56.3533333333,48.661,34.8147777778,35.5555555556,33.5613333333,27.2935555556,35.3847777778,31.8518888889,38.4046666666
234.03,39.7435555556,42.2542222222,59.7223333333,51.4957777778,37.9807777778,41.8268888889,36.0042222222,29.9145555556,40.6515555556,38.0875555556,39.6366666667
234.41,36.6138888889,39.1006666667,56.7725555556,45.7142222222,33.5977777778,37.0898888889,33.6507777778,25.1322222222,37.8307777778,35.4498888889,35.4495555556
234.78,34.034,36.7365555556,53.2033333333,41.0411111111,30.3804444444,31.7317777778,31.7817777778,25.3255555555,35.035,32.132,31.9318888889
235.16,33.3333333333,35.9096666667,51.4761111111,38.3253333333,24.4228888889,27.6435555556,29.737,21.256,32.206,29.9516666667,28.5025555556
235.54,34.8008888889,36.3734444445,53.8785555556,43.3961111111,26.7294444445,29.2453333333,30.5556666667,23.4276666667,33.6478888889,32.2327777778,31.9182222222
235.91,32.0512222222,34.4551111111,47.3824444444,37.5001111111,20.5126666667,27.1366666667,25.5875555555,17.8954444444,26.8696666667,29.2735555556,28.1517777778
236.29,40.1636666667,42.1837777778,52.0924444444,44.2521111111,26.888,35.4978888889,32.9004444444,26.6956666667,35.6903333333,32.9003333334,36.5561111111
236.66,37.9142222222,39.1812222222,50.4872222222,42.2027777778,23.9277777778,32.115,31.7738888889,24.8051111111,29.9708888889,31.4327777778,36.7446666667
237.04,36.8907777778,35.8674444445,48.2942222222,39.2786666667,18.1773333333,29.4347777778,29.5321111111,20.7115555555,26.1694444444,30.7992222222,34.7953333333
237.41,40.3147777778,40.0688888889,50.9342222222,43.2646666667,19.764,32.3992222222,33.3824444445,24.1887777778,29.5968888889,33.8247777778,38.3481111111
237.79,37.3048888889,37.5724444444,44.6674444445,41.2762222222,20.7048888889,31.8162222222,31.9945555556,24.8995555555,27.2201111111,34.0027777778,37.9293333333
238.17,33.1547777778,36.7246666667,40.4282222222,39.0451111111,14.9041111111,26.5061111111,27.6661111111,22.7132222222,21.6421111111,28.023,36.1891111111
238.54,30.869,35.3218888889,38.8672222222,38.7807777778,12.7106666667,25.8107777778,24.946,18.5906666667,17.8986666667,26.5887777778,35.7114444444
238.92,29.52,32.6362222222,36.6542222222,39.6472222222,12.956,26.814,23.37,17.671,18.204,25.8711111111,37.1463333333
239.29,29.342,31.3196666667,36.2458888889,37.2168888889,16.6485555555,28.1913333333,22.8694444445,20.1726666667,18.6621111111,25.1707777778,35.4908888889
239.67,26.8318888889,30.3407777778,35.1565555556,33.3333333333,14.6542222222,25.5247777778,21.1902222222,19.6767777778,18.2318888889,22.9103333333,33.0582222222
240.04,25.0925555555,28.8271111111,35.71,32.4692222222,15.6481111111,24.7221111111,20.5554444444,19.2592222222,18.2715555556,22.8704444444,32.068
240.42,23.7347777778,26.3235555556,32.7805555556,29.2613333333,14.4851111111,22.6585555556,17.8591111111,16.9286666667,15.6194444445,21.4077777778,28.8252222222
240.79,20.2195555556,25.8984444444,31.9615555556,26.9684444445,12.2906666667,18.985,15.0617777778,15.3361111111,14.3483333333,17.723,25.6791111111
241.17,19.5468888889,24.2466666667,31.3568888889,25.934,12.7982222222,19.2094444445,15.57,15.9313333333,14.5096666667,18.7033333333,24.5842222222
241.54,16.9602222222,21.7706666667,30.4878888889,22.6061111111,10.1626666667,16.6665555555,13.5502222222,13.5501111111,12.6693333334,16.4634444445,22.4705555556
241.92,15.8605555556,21.22,30.6755555556,21.5904444444,8.71455555556,15.2723333333,11.7427777778,10.9368888889,11.3506666667,14.88,21.3071111111
242.29,13.0844444444,17.6747777778,28.3784444444,18.2111111111,5.59855555555,12.8698888889,9.65244444444,8.27966666667,9.58822222222,12.5912222222,17.1384444445
242.67,13.5378888889,17.3082222222,29.1416666667,17.9303333333,7.42077777779,12.6553333333,10.8904444444,9.76744444446,11.7126666667,12.7956666667,16.8672222222
243.05,12.8024444445,16.9321111111,28.7904444445,16.0275555555,6.80433333334,11.8583333333,9.77388888888,8.73166666668,11.17,11.8977777778,15.8897777778
243.42,11.5226666667,16.8332222222,28.0424444444,15.0696666667,5.80044444444,10.6798888889,9.70022222222,6.89777777778,11.0523333333,10.8367777778,15.4026666667
243.80,12.6601111111,17.862,28.7245555556,16.5041111111,7.17166666668,12.0672222222,11.3024444444,8.01288888888,11.8761111111,11.4936666667,16.0832222222
244.17,12.7091111111,18.0107777778,28.84,15.7361111111,6.73066666667,11.3367777778,11.299,8.36622222221,11.4118888889,11.0922222222,16.1497777778
244.55,10.589,17.6121111111,28.9755555556,14.6406666667,5.07855555556,10.3187777778,10.5528888889,7.63544444446,10.1745555556,10.805,15.7933333333
244.92,10.6958888889,16.725,27.8858888889,13.8516666667,4.99911111111,11.7257777778,10.8784444444,7.6398888889,9.93188888889,11.1443333333,15.6783333333
245.30,11.4968888889,18.3025555556,29.8148888889,14.4753333333,6.62055555554,13.7962222222,11.8671111111,8.91977777777,11.6512222222,11.8982222222,17.3456666667
245.67,12.8888888889,19.3611111111,30.5555555555,15.5138888889,8.77777777779,15.5555555556,12.625,10.2638888889,12.8055555555,12.9166666667,19.125
246.05,12.5162222222,18.974,30.8583333333,14.8748888889,8.61033333334,15.2102222222,12.5806666666,10.4923333333,13.0574444444,12.7224444444,18.7161111111
246.42,14.0631111111,20.3801111111,32.5304444444,16.6725555556,10.5206666667,16.4953333333,13.579,11.8905555556,14.4644444444,14.5,20.9234444445
246.79,13.1007777778,19.7294444445,32.0478888889,15.8171111111,9.98200000001,15.9288888889,12.967,11.972,13.5702222222,13.8944444444,20.065
247.17,12.7323333333,19.1744444444,32.2848888889,15.3697777778,9.72755555556,15.5965555556,12.7107777778,11.5434444445,13.1215555556,13.8563333333,19.8118888889
247.54,12.8765555556,19.3563333333,33.1775555556,16.1162222222,10.3426666667,16.4693333333,13.4371111111,12.326,13.7071111111,14.4653333333,20.675
247.92,11.8961111111,18.1245555556,31.7023333333,14.7806666667,9.13333333331,15.5656666667,11.8348888889,11.4782222222,12.6401111111,13.6391111111,20.051
248.29,12.1474444444,19.0211111111,32.7383333333,15.574,9.59277777777,16.2305555556,12.5577777778,11.973,13.6657777778,14.2608888889,20.2524444444
248.67,11.8462222222,18.2944444444,32.1572222222,15.3957777778,9.61966666669,15.942,12.3714444445,11.7098888889,13.6212222222,13.4951111111,19.9118888889
249.04,10.9657777778,17.9186666666,32.1932222222,14.6881111111,9.15477777776,15.3476666667,11.6923333333,11.1111111111,13.6261111111,13.5703333333,19.3047777778
249.42,11.3356666667,18.9362222222,32.376,15.1773333334,10.1065555556,15.2717777778,12.0684444444,12.1748888889,14.2315555556,14.1843333333,19.8462222222
249.79,10.0777777778,17.9997777778,31.4197777778,14.1215555556,9.19755555556,13.8794444444,11.3153333333,11.9147777778,13.8027777778,13.471,18.7396666667
250.17,9.60888888889,17.7425555556,30.7753333333,13.6962222222,9.16244444445,13.5607777778,10.9215555556,12.1261111111,13.2088888889,13.3847777778,18.7847777778
250.54,8.125,16.193,29.3567777778,12.0728888889,7.73766666667,12.1446666666,9.81922222223,10.8671111111,12.6616666667,11.714,17.126
250.92,5.55555555556,14.4778888889,27.4564444444,9.948,4.86688888889,9.76433333335,6.933,8.80022222222,10.4071111111,9.198,15.1362222222
251.29,5.15511111111,14.2071111111,26.1353333333,9.66533333334,5.06044444445,9.36666666666,6.72655555556,9.4138888889,9.53955555555,8.628,14.2071111111
251.66,3.37722222222,13.5426666667,24.4848888889,7.143,2.61744444444,7.14288888889,4.10333333333,7.78444444445,7.64944444443,6.99088888889,11.9384444445
252.04,2.94111111111,13.2437777778,24.3375555555,6.32977777778,2.45955555555,6.77677777778,4.07633333333,7.37866666666,6.8971111111,6.38122222223,10.9734444444
252.41,2.19788888889,11.5472222222,22.8326666667,5.285,2.42466666667,6.419,3.45355555555,6.76788888889,5.45955555555,5.09333333333,10.0472222222
252.79,2.53344444444,12.215,22.7832222222,4.54211111111,1.88188888889,5.93566666667,2.69622222222,6.09833333334,5.35655555556,4.88622222221,9.77200000001
253.16,3.427,12.2473333333,23.3584444445,5.37522222222,2.14644444444,6.36733333333,2.90422222222,6.20488888889,5.55555555556,4.347,9.99288888888
