wavelength,Back_ChrChrm,Belly_ChrChrm,Breast_ChrChrm,Crissum_ChrChrm,Crown_ChrChrm,DorTail_ChrChrm,Patch10_ChrChrm,Rump_ChrChrm,Throat_ChrChrm,WingTip_ChrChrm
601.88,3.184,62.3906666667,64.5787777778,54.3741111111,58.2177777778,5.81355555556,4.74366666667,63.8915555556,57.9895,5.69011111111
602.21,3.17677777778,62.4688888889,64.6237777778,54.3784444445,58.2363333333,5.82122222222,4.73177777778,63.9223333333,58.0521666666,5.674
602.55,3.19711111111,62.5358888889,64.6731111111,54.4323333333,58.3238888889,5.86077777778,4.74433333333,63.9768888889,58.1095,5.72622222222
602.88,3.18588888889,62.6216666667,64.7144444444,54.4744444444,58.3076666667,5.85455555555,4.73155555556,64.0654444444,58.0975,5.70833333333
603.22,3.15244444444,62.7574444444,64.848,54.5215555555,58.4346666667,5.85177777778,4.69877777778,64.1873333333,58.1913333334,5.718
603.56,3.184,62.809,64.8694444444,54.6013333333,58.4863333334,5.87111111111,4.71111111111,64.2366666667,58.2635,5.73911111111
603.89,3.22022222222,62.8133333334,64.924,54.6187777778,58.5068888889,5.92622222222,4.74111111111,64.2204444445,58.3363333333,5.77944444444
604.23,3.23022222222,62.8132222222,64.9267777778,54.5814444444,58.4911111111,5.95344444444,4.75533333334,64.2164444444,58.2991666666,5.78677777778
604.56,3.23333333333,62.8106666667,64.9243333333,54.5821111111,58.5441111111,5.98077777778,4.76911111111,64.1981111111,58.315,5.82755555556
604.90,3.22333333333,62.7905555556,64.8631111111,54.5563333333,58.5366666667,5.96811111111,4.78666666667,64.1833333333,58.2965,5.83177777778
605.23,3.22644444444,62.7983333333,64.8958888889,54.5904444444,58.5871111111,5.98088888889,4.77977777778,64.223,58.306,5.81922222222
605.57,3.21655555555,62.8145555555,64.9088888889,54.6376666667,58.5918888889,6.00288888889,4.81455555556,64.2828888889,58.3493333333,5.84066666667
605.90,3.169,62.749,64.8524444445,54.5775555555,58.5238888889,5.95488888889,4.76122222222,64.2022222222,58.2963333334,5.78788888889
606.24,3.14455555556,62.7058888889,64.8335555556,54.5763333333,58.4832222222,5.93788888889,4.763,64.1896666667,58.254,5.77311111111
606.58,3.14333333333,62.6715555556,64.8851111111,54.5423333333,58.5641111111,5.93933333333,4.75888888889,64.1817777778,58.2916666667,5.815
606.91,3.14488888889,62.56,64.7784444444,54.4992222222,58.4742222222,5.96344444445,4.80144444444,64.1115555555,58.1881666667,5.813
607.25,3.06833333333,62.4315555556,64.7102222222,54.3865555555,58.3847777778,5.93388888889,4.75933333333,64.0026666667,58.0745,5.75055555555
607.58,2.98966666667,62.4223333333,64.7582222222,54.3756666667,58.441,5.87966666666,4.72488888889,64.0644444444,58.052,5.67222222222
607.92,2.89155555555,62.2974444444,64.623,54.2537777778,58.3603333333,5.78777777778,4.67744444445,63.9725555555,57.9616666667,5.56344444445
608.25,2.84277777778,62.2881111111,64.6314444444,54.221,58.3704444445,5.73166666667,4.64344444444,63.9788888889,57.992,5.479
608.59,2.79988888889,62.1646666667,64.5143333333,54.1236666667,58.2847777778,5.70055555556,4.60844444444,63.8448888889,57.9386666667,5.43477777778
608.92,2.71766666667,62.0614444445,64.3736666667,54.0246666667,58.2045555556,5.62111111111,4.55566666667,63.769,57.8358333333,5.34577777778
609.26,2.58222222222,61.836,64.1505555556,53.83,58.1296666667,5.47,4.43211111111,63.5683333334,57.7256666666,5.15755555556
609.59,2.38044444444,61.7321111111,64.0444444444,53.7286666666,58.0928888889,5.29277777778,4.26477777778,63.513,57.6798333333,4.95222222222
609.93,2.23211111111,61.5424444444,63.8448888889,53.5172222222,57.9718888889,5.155,4.16866666667,63.306,57.5658333333,4.78277777778
610.26,2.12522222222,61.3666666667,63.6136666667,53.3642222222,57.9045555556,5.06555555556,4.10377777778,63.1207777778,57.4836666666,4.63966666667
610.60,2.00766666667,61.2642222222,63.5718888889,53.3148888889,57.9245555556,4.949,3.99555555556,63.0572222222,57.5136666666,4.49766666667
610.93,1.88977777778,61.1598888889,63.4026666667,53.2153333333,57.8526666667,4.83877777778,3.90166666666,62.9667777778,57.4195,4.35411111111
611.27,1.82655555555,61.0383333333,63.2446666667,53.1817777778,57.7458888889,4.78455555556,3.86,62.8084444444,57.417,4.26577777778
611.60,1.791,61.0075555556,63.227,53.181,57.7364444444,4.73611111111,3.816,62.727,57.4223333333,4.19733333334
611.93,1.745,60.835,63.0684444444,53.1174444444,57.6375555556,4.71777777778,3.81588888889,62.5768888889,57.3143333333,4.16244444444
612.27,1.71344444445,60.7815555556,63.0215555556,53.0613333333,57.6175555556,4.64977777778,3.79766666667,62.5431111111,57.3193333334,4.11633333333
612.60,1.70922222222,60.8493333333,63.1185555556,53.0998888889,57.7115555556,4.676,3.819,62.6053333333,57.4513333334,4.16522222222
612.94,1.76844444444,60.9737777778,63.2463333333,53.2172222222,57.7882222222,4.73244444444,3.863,62.7482222222,57.5213333334,4.25688888889
613.27,1.96366666667,61.0637777778,63.422,53.4041111111,57.9395555556,4.90011111111,4.03933333333,62.8854444445,57.706,4.46333333333
613.61,2.09155555556,61.2101111111,63.5733333333,53.6293333334,58.1167777778,5.02522222222,4.13966666667,63.0356666667,57.841,4.59033333333
613.94,2.2,61.45,63.8086666667,53.8231111111,58.2165555556,5.14533333333,4.22622222222,63.2442222222,57.9865,4.74066666667
614.28,2.29444444444,61.6197777778,63.9097777778,53.9372222222,58.3401111111,5.237,4.29977777778,63.4014444444,58.1408333334,4.861
614.61,2.35577777778,61.7253333333,64.0735555555,54.0331111111,58.4955555556,5.29122222222,4.35366666667,63.4835555556,58.2973333333,4.95933333333
614.94,2.39288888889,61.8455555556,64.1847777778,54.1377777778,58.6007777778,5.30022222222,4.35977777778,63.6352222222,58.3446666666,4.99188888889
615.28,2.51022222222,61.9445555555,64.3275555556,54.2817777778,58.686,5.41155555555,4.44466666667,63.7892222222,58.4238333334,5.14866666667
