wavelength,Back_PhrPunf,Belly_PhrPunf,Breast_PhrPunf,Crissum_PhrPunf,Crown_PhrPunf,DorTail_PhrPunf,Rump_PhrPunf,Throat_PhrPunf,WingTip_PhrPunf
812.02,15.2905,36.433,28.7183333333,34.2923333334,14.498,12.6913333333,20.7533333333,18.3765,19.683
812.32,14.3201666666,35.8495,27.9756666666,33.5595,13.4718333333,11.6623333333,19.607,17.2746666667,18.4193333333
812.63,13.8125,35.4846666666,27.0653333334,33.4768333334,13.1956666667,11.1016666667,19.3631666667,16.6521666667,17.1831666667
812.93,14.2693333334,34.7031666667,26.9265,33.5046666666,13.7128333333,11.2441666666,19.5205,16.6666666667,17.1375
813.24,14.6338333334,34.5445,27.3358333333,34.0253333333,13.6535,10.8273333333,19.305,16.8685,17.5603333333
813.54,14.1598333333,33.7808333333,26.8726666667,33.9301666666,13.1901666667,9.22099999999,18.323,16.1295,17.0098333333
813.85,13.7318333334,32.6595,26.9841666667,33.6928333333,12.5038333333,8.80516666667,17.76,15.7981666667,16.8165
814.15,13.6828333333,32.61,26.989,34.0868333333,12.4925,8.695,17.9625,15.913,16.7568333333
814.46,14.8761666666,33.2736666667,28.0066666666,34.542,13.1155,9.66866666667,19.2928333333,16.7115,17.6515
814.76,15.2096666667,32.5455,27.7581666666,34.1361666666,13.7525,9.55983333331,19.447,17.1423333333,17.648
815.07,15.095,32.6956666666,27.743,33.956,13.6565,9.62350000001,19.573,16.6518333333,17.8085
815.37,14.9818333333,32.6411666667,27.3015,33.7095,12.9811666667,8.99533333331,19.1035,16.2758333334,17.87
815.68,16.0908333333,33.4661666666,28.1958333333,34.5583333333,14.349,9.97933333334,19.9885,17.4046666667,19.2795
815.98,17.4898333333,34.0986666667,28.784,35.3265,15.4245,11.655,20.4505,18.3853333333,20.7105
816.29,18.3886666666,35.1266666666,29.5046666666,36.1086666666,16.1258333333,12.8093333333,21.4348333333,18.9866666667,21.6483333333
816.59,18.7428333333,35.1991666667,29.3491666666,35.8726666667,16.0635,13.2438333334,21.661,18.9533333333,21.7593333333
816.89,19.2423333333,35.2685,29.3951666666,35.405,15.7265,14.091,21.7088333333,19.3515,22.1316666667
817.20,19.4843333334,35.5395,29.1865,34.782,15.8295,14.6596666667,21.6905,19.1785,22.2755
817.50,19.5106666667,35.2805,28.9906666667,33.7433333333,15.8466666667,14.8986666667,21.4578333333,18.6778333334,22.0855
