wavelength,Back_ThrEpim,Belly_ThrEpim,Breast_ThrEpim,Crissum_ThrEpim,Crown_ThrEpim,DorTail_ThrEpim,Patch10_ThrEpim,Patch11_ThrEpim,Rump_ThrEpim,Throat_ThrEpim,WingTip_ThrEpim
398.20,22.0623333333,40.7024666667,37.6155333333,34.5177333333,34.4668666666,11.9946,19.7138666667,66.9849333333,38.1112,37.7146666667,8.0482
398.56,22.1682,40.7902,37.6948,34.5853333333,34.4712,12.0666666667,19.7552,67.2068666667,38.179,37.7916666667,8.1322
398.92,22.112,40.7431333333,37.6666666667,34.5513333333,34.4038666667,12.0600666667,19.7397333333,67.2673333333,38.1653,37.7582,8.13746666667
399.28,22.173,40.8043333333,37.7484,34.6080666667,34.4664,12.1266666667,19.7856,67.4962,38.2617666667,37.8046666667,8.20566666667
399.64,22.1461333333,40.7298666667,37.7155333333,34.5923333333,34.3931333333,12.1058666667,19.7171333333,67.5407333333,38.2076666667,37.7598,8.172
400.00,22.0784666667,40.6954,37.6643333333,34.5409333333,34.2922666667,12.0803333333,19.6936,67.5494,38.1383666667,37.7056666667,8.12266666667
400.36,22.1141333333,40.7458,37.6821333333,34.584,34.3034666667,12.0943333333,19.7172666667,67.7544,38.1733666667,37.7574666667,8.16413333333
400.72,22.1403333333,40.7808666667,37.7075333333,34.6038666667,34.2512666667,12.1244666667,19.7198,67.8760666667,38.1949666667,37.7931333333,8.1898
401.08,22.0604666667,40.7299333333,37.7105333334,34.5343333334,34.1152,12.0752666667,19.7147333333,67.9934,38.1656666667,37.7804666667,8.13073333333
401.44,22.0118,40.6636,37.7158666666,34.51,34.0513333333,12.0422,19.6534,68.0658,38.1511666667,37.7112666667,8.09693333333
401.80,22.052,40.7172,37.7319333333,34.5514,34.0488,12.0753333333,19.7095333333,68.2596666667,38.2161666667,37.7541333333,8.14186666667
402.16,21.9705333333,40.6845333333,37.6876,34.4846,33.9238,12.0841333333,19.6538666667,68.2219333333,38.1522,37.6586666667,8.13873333333
402.52,21.8648666667,40.6258,37.6450666667,34.4144666667,33.8183333333,12.0450666667,19.5970666667,68.2661333333,38.1117,37.6126666667,8.08613333333
402.88,21.8688,40.6816666667,37.6416666667,34.4589333333,33.7728666667,12.0587333333,19.5665333333,68.4263333333,38.1144,37.6408666667,8.08533333333
