wavelength,Back_DacBerm,Belly_DacBerm,Breast_DacBerm,Crissum_DacBerm,Crown_DacBerm,DorTail_DacBerm,Rump_DacBerm,Throat_DacBerm,WingTip_DacBerm
217.83,-75.9258888888,-84.3618888888,-3.90955555553,-75.1030000002,-13.5801111111,-64.8146666668,-112.14,-75.7202222222,-48.1482222221
218.21,-70.021,-79.455,-3.77366666668,-71.2787777778,-11.111,-56.1844444445,-111.530555556,-73.3752222222,-50.3146666667
218.59,-29.7385555556,-42.3203333333,14.8692222222,-30.0653333333,18.1371111111,-23.6928888889,-65.5227777778,-33.8236666667,-21.2418888889
218.97,-14.6914444445,-24.5678888889,14.0741111111,-19.6295555556,20.7408888889,-15.432,-41.2346666667,-24.1974444444,-8.14822222222
219.34,-6.87288888891,-23.7113333333,10.0803333333,-16.7241111111,19.8166666667,-15.4638888889,-37.457,-21.535,-6.0711111111
219.72,4.2591111111,-9.07388888887,20.3703333333,-2.22222222222,26.6666666667,-3.7961111111,-13.5186666667,-2.22211111111,8.24066666667
220.10,10.3942222222,0.985666666667,27.5987777778,4.03244444444,32.7958888889,6.00344444442,-3.31533333332,3.853,16.8457777778
220.47,9.7928888889,2.16577777779,29.6608888889,4.70811111112,32.6742222222,9.03955555556,-4.51988888889,4.99055555556,16.9492222222
220.85,13.2275555556,1.41077777778,29.1004444444,5.02633333334,32.7158888889,13.2276666667,-0.352777777777,6.34922222222,17.0193333333
221.23,23.3596666667,7.96133333334,40.5074444444,14.8731111111,43.0445555555,21.5222222222,5.77422222221,16.5352222222,25.022
221.61,12.5858888889,-2.55644444447,34.3165555556,8.06311111111,39.528,14.7492222222,0.491555555557,10.9145555556,18.5841111111
221.98,16.1257777778,1.27833333332,38.4464444444,14.1592222222,40.6096666667,20.5505555556,4.71977777777,16.3224444444,23.4022222222
222.36,21.1382222222,5.4201111111,38.3015555555,14.7244444444,41.3732222222,23.0353333333,10.9304444444,19.7831111111,25.2934444444
222.74,18.067,2.25844444443,38.4822222222,10.9304444444,36.3143333333,22.132,6.95566666667,19.0604444444,25.3838888889
223.11,19.6504444445,2.57200000001,41.9754444444,12.2427777778,40.8434444444,27.0573333333,7.819,22.7366666667,27.0576666667
223.49,23.1931111111,8.52199999999,45.3073333333,15.7496666666,47.8965555555,34.7356666667,11.7583333333,28.5866666666,32.2545555556
223.87,25.5291111111,12.566,48.6771111111,13.6242222222,55.4232222222,42.9893333333,7.53966666663,28.0423333333,33.2011111111
224.24,14.8592222222,3.61433333333,33.1994444444,6.29200000003,46.5864444445,33.8687777778,-5.62255555555,16.5996666667,20.3481111111
224.62,0.15422222221,-13.889,18.0556666667,-19.1357777778,32.253,16.358,-26.0803333334,-0.771555555567,0.771666666667
225.00,-1.15444444446,-7.93644444445,14.8627777778,-19.1918888889,29.5814444444,14.1413333333,-21.645,4.76200000001,-2.59755555553
225.38,-3.65855555556,-4.87811111113,2.84555555553,-23.0353333333,22.2223333333,10.1625555556,-18.2927777778,-2.981,-7.72344444444
225.75,4.7791111111,5.8542222222,10.872,-11.589,31.1826666667,17.9212222222,-9.08011111113,8.60233333335,6.45155555557
226.13,-0.109,3.59477777779,2.8321111111,-10.2396666667,27.8867777778,12.636,-11.7647777778,3.70377777778,0.32666666669
226.51,-8.48266666666,-2.98677777779,-2.62833333332,-17.0848888889,20.5494444444,8.72166666667,-21.8638888889,-5.85422222221,-9.67733333333
226.88,-1.95355555556,1.00008890058e-11,-6.83755555556,-20.0245555556,22.7105555556,8.30277777779,-19.0477777778,-7.57022222222,-14.8962222222
227.26,2.77777777777,-1.00999999999,-3.40899999997,-17.803,28.914,11.9948888889,-12.6263333333,-5.17677777778,-15.2778888889
227.64,4.65944444443,-0.119333333343,-2.38966666666,-17.2043333333,23.8947777778,13.6203333333,-6.09333333333,-6.21277777778,-14.4565555556
228.01,7.3716666667,-5.02122222223,-1.92311111112,-11.9655555556,19.658,9.72244444442,-3.84611111112,-7.37188888889,-17.9487777778
228.39,14.946,-4.22822222222,3.245,-7.57144444443,19.2723333333,15.6342222222,0.491666666677,-1.18000000001,-11.8976666667
228.76,20.707,0.673555555557,10.6061111111,4.79800000001,25.8416666667,18.4343333333,11.1112222222,7.74411111113,-2.18844444444
229.14,21.2747777778,-2.92844444444,9.64688888889,5.68455555557,22.3944444445,17.657,13.609,4.0482222222,-1.63655555556
229.52,22.0538888889,0.757444444447,15.7407777778,6.64977777779,20.7912222222,19.1922222222,12.8787777778,6.39733333332,-0.336777777777
229.89,22.1398888889,-0.164666666668,16.4608888889,6.502,17.1193333333,16.1316666667,12.9217777778,6.58433333333,-4.19755555557
230.27,23.8752222222,-5.326,20.6612222222,3.03011111111,14.6924444444,16.529,13.4068888889,6.24422222222,-5.87699999999
230.65,24.2666666667,-5.86666666668,21.6888888889,3.2,17.0666666667,15.7333333333,16.3555555556,9.77777777777,-6.13333333333
231.02,19.0477777778,-13.7894444444,19.5436666667,1.00008890058e-12,17.3612222222,9.5238888889,15.2777777778,2.87711111111,-10.3175555556
231.40,22.0525555556,-5.93722222223,23.8337777778,6.53099999999,17.6421111111,14.3342222222,21.1194444444,11.535,-0.000222222199999
231.78,20.5881111111,-7.3531111111,22.9576666666,6.04577777778,14.2156666666,12.745,19.4446666667,10.2938888889,-2.04244444447
232.15,24.744,-0.315333333347,29.6296666667,10.2442222222,16.4697777778,15.9178888889,23.877,15.918,1.655
232.53,26.917,6.96411111112,34.2722222222,16.5102222222,23.2393333333,18.4662222222,30.4381111111,19.2488888889,5.55544444443
232.90,34.2533333333,19.6744444444,38.075,22.3637777778,30.4317777778,29.8653333333,35.6688888889,27.3177777778,15.2866666667
233.28,33.754,25.3453333334,39.3993333333,24.865,32.6725555556,32.7928888889,38.0181111111,30.9911111111,19.7597777778
233.66,31.6872222222,20.1056666667,36.7432222222,22.9866666667,31.7461111111,34.3327777778,40.2115555556,30.7466666667,18.0481111111
234.03,32.3722222222,19.0391111111,36.3964444445,22.7027777778,31.7115555556,37.1771111111,41.0211111111,29.7297777778,18.2582222222
234.41,31.867,17.5407777778,33.728,23.3504444444,31.6975555555,33.8972222222,39.6503333333,27.6932222222,16.6385555556
234.78,31.6037777778,19.6541111111,31.9182222222,25.7337777778,30.9223333333,35.587,39.5177777778,26.9392222222,19.4968888889
235.16,33.428,22.4114444444,34.6574444444,26.7138888889,28.9834444444,39.1961111111,39.8108888889,28.4633333333,21.6548888889
235.54,30.3634444444,17.7163333333,29.903,23.3485555555,24.7822222222,37.0711111111,35.6886666667,24.7823333333,14.9002222222
235.91,30.5164444444,16.8491111111,29.0556666667,25.352,26.0303333333,37.5587777778,34.533,26.9692222222,14.1888888889
236.29,27.0151111111,11.9825555556,24.074,22.0042222222,23.7474444445,36.7646666667,31.4815555556,24.183,12.146
236.66,22.1137777778,6.55822222223,18.374,13.7126666667,17.7234444444,31.9784444445,26.6123333333,19.8916666667,7.15466666667
237.04,13.917,-4.26488888889,11.1673333333,6.06066666667,8.92244444444,22.8393333333,17.4523333333,11.5601111111,-1.62733333332
237.41,7.61911111111,-15.1746666667,1.90466666667,-3.30155555556,2.34933333333,14.9842222222,7.11111111111,4.50811111112,-12.3811111111
237.79,7.42755555556,-14.6135555556,3.56277777778,-2.41544444444,3.32122222222,9.29966666667,6.52166666668,3.14011111111,-13.3454444445
238.17,8.55555555554,-14.2222222222,2.38888888889,-2.55555555555,1.44444444444,5.1111111111,7.55555555554,0.777777777778,-14.3333333333
