wavelength,Back_CyaNitm,Belly_CyaNitm,Breast_CyaNitm,Crissum_CyaNitm,Crown_CyaNitm,DorTail_CyaNitm,Patch10_CyaNitm,Rump_CyaNitm,Throat_CyaNitm,WingTip_CyaNitm
248.67,18.52425,20.4403333334,17.789,2.22508333334,14.9343333334,2.04125,11.5245,18.8018333334,1.23975,0.723333333333
249.04,18.369,20.4755833334,17.4834166667,1.79933333333,14.8066666667,1.87191666666,11.36175,18.6924166667,1.09575,0.3195
249.42,18.2616666667,20.3440833333,17.0761666666,0.888083333333,14.6663333333,1.40975,11.1441666667,18.7058333334,0.663999999999,-0.185333333333
249.79,18.43275,20.5343333333,17.3105833333,0.924666666667,14.9190833333,1.61408333333,11.3960833333,18.911,0.901416666667,-0.147166666668
250.17,18.3739166667,20.0514166667,17.2901666667,0.559166666668,14.62275,1.33125,11.2085,18.8343333333,0.485083333334,-0.296999999999
250.54,17.8565,19.2905,16.6504166666,-0.527083333333,14.0210833333,0.309666666666,10.8810833334,18.2801666667,-0.342249999999,-1.29283333333
250.92,17.86625,19.0543333333,16.7308333333,-0.649583333332,14.0331666667,0.356916666667,11.0075833334,18.4925,-0.608666666666,-1.504
251.29,17.4461666667,18.3741666667,16.4376666667,-1.0765,13.6785,-0.0866666666667,10.8820833334,18.399,-1.07633333333,-1.73233333333
251.66,16.7375,17.5695833333,15.6475,-2.30258333333,13.0095,-1.19958333333,9.97808333335,17.3245833333,-2.15425,-2.65733333333
252.04,16.5674166667,17.824,15.5555,-2.68516666666,12.8571666667,-1.46825,9.49075000002,17.2155833334,-2.31491666667,-2.74466666667
252.41,15.9193333333,17.76675,15.0635833333,-3.04241666666,12.7954166667,-1.58916666667,9.05308333333,17.0536666667,-2.53316666667,-2.94075
252.79,15.6355,17.7396666667,14.6809166667,-3.39333333333,13.1200833333,-1.78366666667,9.00225,17.0988333333,-2.70333333334,-3.09366666667
253.16,15.6628333333,17.6915833333,15.10825,-3.37716666667,13.3036666667,-1.79025,9.239,16.91225,-2.63266666667,-2.66766666667
253.54,16.0213333333,17.7609166667,15.6705833333,-2.49016666667,13.8538333333,-1.396,9.56791666666,16.9050833333,-2.13941666667,-1.85191666666
253.91,16.8984166667,18.571,16.4566666667,-1.69425,14.5958333334,-1.01375,10.3243333333,17.5063333333,-1.7375,-1.31766666667
254.28,16.89,19.1763333334,16.0038333333,-1.88433333333,14.67075,-0.960833333334,10.72375,17.21025,-1.48191666667,-1.48933333333
254.66,17.1326666666,19.5308333333,16.1854166667,-1.55816666667,14.2835,-0.649249999999,10.7319166667,16.9645833333,-1.3215,-1.25275
255.03,17.72725,20.08175,16.948,-1.334,14.6495,-0.450166666668,10.6958333333,17.2694166667,-0.95616666667,-0.988416666665
255.41,17.7115,19.78425,16.8970833333,-1.19283333333,14.5855,-0.296083333333,10.1595,17.0285833333,-0.871916666665,-0.896749999998
255.78,17.2660833333,19.3724166667,16.6584166666,-0.990666666667,14.4106666667,-0.241416666667,9.77358333333,17.2243333333,-0.665833333332,-0.965833333332
256.15,17.10075,18.2698333333,16.02375,-1.51133333333,13.6438333333,-0.910166666667,8.659,16.1489166667,-1.28583333334,-1.80366666666
256.53,16.4565833333,17.3375,15.3250833333,-2.32783333333,12.7626666667,-1.7865,7.89691666667,14.9450833333,-2.01283333334,-2.74008333333
256.90,17.2065833333,17.79175,15.6465833333,-1.83775,12.78875,-1.59025,8.43841666667,15.4516666667,-1.50008333333,-2.10766666667
257.28,17.4965,18.2175833333,15.6665833333,-1.17691666667,12.91825,-1.21083333333,8.43533333334,15.99325,-1.07475,-1.53741666667
257.65,17.6073333333,18.88325,15.8996666666,-0.814666666668,13.1860833333,-0.521166666668,8.7705,16.3370833334,-0.664750000002,-1.14425
258.02,17.1758333333,18.6420833334,15.787,-1.00308333333,13.1944166667,-0.42175,8.42083333333,16.5173333333,-0.858916666667,-1.2295
258.40,17.08225,18.8285,16.1140833333,-0.517166666668,13.5499166667,-0.061833333334,8.56783333333,16.9098333333,-0.778166666668,-1.23333333333
258.77,17.2610833334,19.1869166667,16.4891666667,-0.0656666666668,14.0805833333,0.320333333333,8.92775,17.3499166667,-0.281833333332,-0.787499999998
259.15,17.8839166667,20.0869166666,17.0148333334,0.672333333333,14.5600833333,1.06875,9.89516666667,18.09725,0.441083333334,-0.103416666668
259.52,18.6400833333,20.9045,17.76725,1.48958333333,15.2466666667,1.80908333333,10.9171666667,18.9848333333,1.14166666667,0.540750000001
259.89,19.1261666667,21.55575,18.3458333333,1.92841666667,15.55725,2.23983333333,11.4959166667,19.47025,1.54566666667,1.06808333333
260.27,19.4930833334,22.1279166667,18.8236666666,2.44025,15.96875,2.629,12.0236666666,20.0195,1.77641666667,1.49058333333
260.64,19.6669166666,22.23725,19.0245,2.65941666667,16.11625,2.87758333334,12.13275,20.25375,1.96375,1.70416666667
261.01,20.0328333333,22.8805,19.51425,3.16266666667,16.67775,3.3775,12.539,20.705,2.34566666667,2.12783333333
261.39,20.3840833333,23.2064166667,19.82025,3.41983333333,17.1426666667,3.66075,12.8614166667,20.9735833333,2.58966666667,2.26675
261.76,20.4708333334,23.28,19.95125,3.39625,17.1011666667,3.53708333333,12.82125,20.9785833333,2.45983333334,2.14275
262.13,21.1608333333,23.8640833333,20.5835,4.01941666667,17.5264166667,4.09675,13.4823333333,21.39975,2.98275,2.71875
262.51,21.9394166667,24.4984166667,21.3098333333,4.58933333334,17.9831666666,4.64283333333,14.111,21.9931666667,3.51166666666,3.35025
262.88,22.3100833333,24.8848333333,21.71625,4.73058333333,18.1100833333,4.88283333334,14.5296666667,22.4324166666,3.65833333333,3.625
263.25,22.6036666666,25.1400833333,22.2208333333,4.73075,18.2724166667,4.96125,14.711,22.76425,3.74675,3.88683333333
263.63,22.6440833334,25.2296666667,22.3513333333,4.53608333333,18.19375,5.20733333333,14.67125,22.883,3.88275,4.20725
264.00,22.771,25.3035833333,22.3299166666,4.33583333333,18.2148333333,5.2665,14.4573333334,22.8639166667,3.73816666667,4.01225
264.37,22.4375833333,25.01025,21.924,3.8895,17.82075,5.15541666667,14.0938333333,22.5695833333,3.75741666666,3.80816666667
264.75,22.6138333333,25.4593333333,22.1384166667,3.90575,17.972,5.25275,14.1605,22.9845,3.69683333333,3.96841666667
265.12,21.9565833334,24.7894166666,21.9156666667,3.62433333333,17.186,4.99175,13.67975,22.4141666667,3.71691666667,3.52675
265.49,21.5698333334,24.4048333333,21.61025,3.29408333333,16.4901666667,4.56008333334,13.20625,21.9734166667,3.30425,2.98116666667
265.87,21.5339166667,24.28225,21.661,3.45641666667,16.5006666667,4.70133333333,13.17125,21.8755,3.60758333334,2.98766666667
266.24,21.03825,24.1145,21.1465,2.82175,15.93175,4.06533333333,12.672,21.4621666667,3.20808333333,2.38366666667
266.61,21.0296666667,24.2004166666,20.9018333334,2.47616666667,16.0818333333,3.81941666667,12.5548333334,21.5734166667,3.12958333333,2.34383333333
266.98,21.05775,24.142,20.6793333334,2.51683333333,16.17825,3.87608333333,12.33275,21.5020833333,3.06675,2.44633333333
267.36,21.0669166667,24.01875,20.4171666667,2.5145,16.2248333333,4.11133333333,12.4319166667,21.5638333333,2.98583333333,2.38275
267.73,21.0268333333,24.168,20.382,2.45466666667,16.2715,3.85258333333,12.3399166666,21.4345,2.70841666667,2.14258333333
268.10,21.4264166666,24.5653333333,20.6668333333,2.7495,16.5894166667,4.10591666667,12.7436666667,21.7145833333,3.119,2.41633333333
268.48,21.5165,24.69025,20.6545,2.85991666667,16.7936666667,4.25408333334,12.8575833333,21.8145833334,3.16566666666,2.56608333333
268.85,21.9190833333,25.0464166666,21.1255833333,3.52608333333,17.3555,4.77625,13.3845,22.0815833333,3.75066666667,3.0655
269.22,21.9855833334,24.9655833333,21.0615833333,3.56658333334,17.3300833333,4.49466666667,13.2229166667,22.1275833333,3.3785,2.88775
269.59,22.2336666667,25.4249166666,21.5156666667,3.95058333333,17.9145833333,4.91291666666,13.5656666667,22.5944166667,3.85291666667,3.43566666667
269.97,22.40325,25.6721666666,21.6164166667,4.10008333333,18.2180833333,4.92375,13.7189166666,22.8355,3.908,3.5315
270.34,22.2185833334,25.4276666667,21.5059166667,4.02033333333,18.2565833333,4.68575,13.611,22.679,3.73166666667,3.38816666667
270.71,22.3084166667,25.5064166667,21.7381666667,4.317,18.4481666667,5.02183333333,13.8263333334,22.5845833333,3.92375,3.506
271.09,22.55425,25.7934166666,21.9875,4.5375,18.7860833333,5.27966666667,14.20025,22.8394166666,4.22508333333,3.60683333334
271.46,22.2366666667,25.52,21.6733333333,4.3,18.5566666667,4.85,13.86,22.4266666667,3.87333333334,3.32
271.83,22.05825,25.50175,21.6868333333,4.31,18.5920833334,4.9095,13.8975833333,22.4655833333,3.86033333333,3.1925
272.20,21.7335,25.2071666667,21.6921666666,4.21291666667,18.378,4.74191666667,13.7318333334,22.4696666667,3.58516666666,3.0115
272.58,22.0911666667,25.5283333333,22.3709166667,4.60691666667,18.6886666667,5.06616666667,14.17925,22.8113333333,3.85533333333,3.371
272.95,22.0114166666,25.2525,22.2573333333,4.25383333333,18.2995833333,4.9425,14.0113333334,22.7031666666,3.59016666667,3.08833333334
273.32,22.1675,25.4368333334,22.5485833333,4.46566666667,18.5941666667,5.41708333334,14.4415833333,22.95775,3.9265,3.45533333334
273.69,21.7934166667,25.1945,22.3235,4.00966666666,18.1759166667,5.15808333333,14.1944166666,22.6405833333,3.445,3.12816666667
274.06,21.55925,25.1174166667,22.233,3.8475,17.9533333333,5.29608333333,14.1125,22.7220833333,3.3485,3.24691666666
274.44,21.6609166667,25.2865833333,22.6623333333,4.09266666667,18.2283333333,5.80891666667,14.3935,23.18725,3.513,3.55491666667
274.81,21.6559166667,25.399,22.7245,4.22433333333,18.2924166666,5.82383333333,14.4836666667,23.4534166667,3.41975,3.51533333333
275.18,21.65375,25.6700833333,23.10525,4.53383333334,18.5850833333,5.8905,14.6875,23.6535,3.39683333334,3.57975
275.55,22.1004166667,26.173,23.7921666667,5.14475,19.051,6.22041666666,15.0794166667,24.2029166667,3.815,4.03441666666
275.93,22.0824166667,26.162,23.6781666667,5.07458333334,18.9161666666,5.91325,14.9361666667,24.0155,3.63541666666,3.9125
276.30,22.1329166667,26.1694166667,23.5773333334,5.16216666667,19.1030833333,5.75216666667,15.1099166667,23.95,3.6525,4.00725
276.67,21.9339166666,25.979,23.1779166667,4.96166666667,18.9265833333,5.34083333333,14.7416666667,23.8036666667,3.32366666666,3.55566666667
