wavelength,Back_PooWhif,Belly_PooWhif,Breast_PooWhif,Crissum_PooWhif,Crown_PooWhif,DorTail_PooWhif,Patch10_PooWhif,Patch11_PooWhif,Patch12_PooWhif,Rump_PooWhif,Throat_PooWhif,WingTip_PooWhif
388.11,8.42236666667,27.5406666667,4.5224,15.002,8.5642,7.1393,15.1448666667,5.83346666667,28.5517,9.53739999999,10.9583333333,8.71996666667
388.47,8.58156666667,27.7395333333,4.56266666666,15.1608666667,8.70413333334,7.2416,15.3118,5.96493333333,28.7244666667,9.65446666667,11.0984666667,8.87066666667
388.83,8.67409999999,27.9064666667,4.6482,15.3296,8.84986666667,7.3457,15.4615333333,6.09953333333,28.8320333333,9.7868,11.2194,8.9957
389.19,8.70696666667,28.0509333333,4.64966666667,15.4358,8.88953333333,7.3796,15.5492,6.15393333333,28.9889333333,9.82333333333,11.2641333333,9.0369
389.55,8.65003333333,28.0582666667,4.58566666667,15.4136,8.84686666667,7.35066666667,15.5326666667,6.087,28.998,9.70993333333,11.2065333333,9.0312
389.91,8.70373333333,28.2117333333,4.62586666667,15.4454,8.93439999999,7.3792,15.6408666667,6.15906666667,29.1151333333,9.78733333332,11.2508666667,9.11646666667
390.27,8.6423,28.2586666667,4.60106666667,15.3772,8.88486666667,7.32103333333,15.6387333333,6.1222,29.0403,9.73346666667,11.2264666667,9.04463333333
390.63,8.56286666666,28.2373333333,4.5734,15.3486,8.84953333334,7.28836666667,15.5992666667,6.0684,28.9512,9.65953333334,11.1868,8.95436666667
391.00,8.56896666666,28.2476666667,4.58366666667,15.3456666667,8.83413333333,7.2684,15.6057333333,6.0132,28.9304333333,9.63793333334,11.173,8.8604
391.36,8.56183333333,28.2756,4.5592,15.3222,8.79506666668,7.23046666667,15.589,5.957,28.9446666667,9.58246666666,11.1354,8.80006666667
391.72,8.57319999999,28.3183333333,4.6288,15.3854666667,8.8604,7.304,15.6820666667,5.9964,29.0116333334,9.64966666667,11.2018666667,8.80913333333
392.08,8.5615,28.3319333333,4.6026,15.3962666667,8.849,7.27326666667,15.7062666667,5.9588,28.9931333333,9.63786666666,11.1503333333,8.79893333333
392.44,8.49723333333,28.3162,4.60306666667,15.365,8.814,7.2171,15.6689333333,5.89693333333,28.9472,9.59926666667,11.1006,8.76513333333
392.80,8.47613333334,28.3276666667,4.58766666666,15.3654,8.75666666667,7.16593333333,15.6554,5.89793333333,28.8824333333,9.57533333333,11.0978,8.74543333333
393.16,8.48543333334,28.3670666667,4.62306666667,15.3624666667,8.75006666666,7.1573,15.7026666667,5.89466666666,28.7732333333,9.59033333333,11.0924,8.76273333333
393.52,8.47873333333,28.4574,4.596,15.3564666667,8.75859999999,7.13426666667,15.7153333333,5.89086666667,28.7328666667,9.60433333333,11.0869333333,8.74433333333
393.88,8.4589,28.4617333333,4.58546666667,15.3608666667,8.74666666668,7.1055,15.6984,5.85626666667,28.6716333333,9.57246666667,11.0894,8.73116666667
394.24,8.55596666667,28.5893333333,4.67186666667,15.4777333333,8.86479999999,7.21436666667,15.8402,5.94666666667,28.7706666667,9.63966666667,11.181,8.8473
394.60,8.60833333334,28.6649333333,4.69193333333,15.5044,8.84926666667,7.19366666667,15.8987333333,5.94493333333,28.7943,9.64800000001,11.1882666667,8.86936666667
394.96,8.6678,28.7975333333,4.75766666667,15.5737333334,8.90713333333,7.23003333333,15.9872666667,6.0542,28.8572333333,9.73806666667,11.2666666667,8.9791
395.32,8.6591,28.8263333333,4.77606666667,15.6002,8.92086666667,7.2265,16.0111333333,6.05146666667,28.8329333333,9.73873333334,11.2526,8.98673333333
395.68,8.65456666667,28.9606,4.70513333333,15.6008,8.88693333333,7.16813333333,16.027,6.03006666667,28.8476333333,9.70026666666,11.2137333333,8.99553333333
396.04,8.56246666666,28.9858666667,4.6416,15.5274666667,8.83499999999,7.09123333333,15.9838666667,5.9338,28.7558333333,9.61593333333,11.1573333333,8.9268
396.40,8.59403333334,29.0874,4.65126666666,15.571,8.84439999999,7.11593333333,16.0617333333,5.96773333333,28.7987666667,9.67466666666,11.2051333333,8.93033333333
396.76,8.58863333333,29.1788666667,4.59066666667,15.5338666667,8.83573333333,7.07573333333,16.0796666667,5.91426666667,28.8037333333,9.6434,11.1684666667,8.8825
397.12,8.62123333334,29.2866666667,4.6218,15.5975333333,8.88913333335,7.11596666667,16.1324666667,5.9346,28.9348666667,9.68846666667,11.2294,8.91246666667
397.48,8.76796666667,29.4466666667,4.7594,15.7306666667,9.01373333335,7.23976666667,16.2811333333,6.07646666667,29.0791666666,9.83460000001,11.339,9.03323333333
397.84,8.78159999999,29.5776,4.78373333333,15.7778666667,9.0078,7.21803333333,16.3253333333,6.06893333333,29.1100666667,9.82039999999,11.3331333333,8.96033333333
398.20,8.83346666667,29.6586666667,4.83113333333,15.8134666667,9.01446666667,7.236,16.3475333333,6.13153333333,29.0924333333,9.90399999999,11.374,9.00733333333
398.56,8.90926666666,29.8168666667,4.90953333333,15.9176666667,9.09286666667,7.34053333333,16.4586666667,6.19706666667,29.2187666666,9.98206666666,11.445,9.07666666667
398.92,8.8686,29.8778,4.8484,15.9342666667,9.06466666667,7.31693333333,16.4264666667,6.13406666667,29.1908333333,9.95813333333,11.4292666667,9.05713333333
399.28,8.88896666667,29.9674666667,4.8596,15.9968666667,9.0876,7.3715,16.4936666667,6.14006666667,29.2245666667,10.0076,11.4902666667,9.07656666667
399.64,8.97686666666,30.0489333333,4.9652,16.1003333333,9.18519999999,7.4726,16.5938666667,6.21813333333,29.3071666667,10.1075333333,11.6002666667,9.1373
400.00,9.08833333333,30.1968,5.0522,16.2098666667,9.24633333334,7.58763333333,16.7084,6.31693333333,29.4725666667,10.1765333333,11.6962,9.1969
400.36,9.15063333334,30.3146666667,5.1248,16.2974666667,9.31653333333,7.63356666667,16.7723333333,6.38393333333,29.5047333333,10.2217333333,11.7384,9.24
400.72,9.13743333333,30.3546666667,5.1738,16.3425333334,9.33239999999,7.6402,16.8336,6.3828,29.5539666667,10.2674,11.7523333333,9.24636666667
401.08,9.06626666667,30.3617333333,5.12153333333,16.3002666667,9.2676,7.58546666667,16.838,6.33126666667,29.4948333333,10.2016666667,11.6556,9.17086666667
401.44,9.0646,30.4401333333,5.1158,16.3329333334,9.264,7.5935,16.9048666667,6.33586666667,29.5487,10.2507333333,11.6923333333,9.14253333333
