wavelength,Back_DigCaef,Belly_DigCaef,Breast_DigCaef,Crissum_DigCaef,Crown_DigCaef,DorTail_DigCaef,Rump_DigCaef,Throat_DigCaef,WingTip_DigCaef
800.08,5.43441666667,29.5690833333,18.311,22.1096666667,4.02391666667,7.12191666667,5.27,16.49375,10.0121666667
800.39,5.47658333333,29.1446666667,17.98975,22.4325833333,3.55766666667,6.67725,5.3715,16.3161666666,9.60391666666
800.70,4.27858333333,28.005,16.75625,21.5644166667,1.72216666667,5.48983333333,3.96466666667,14.7290833333,8.27949999999
801.00,4.31991666667,27.48925,16.4773333333,21.7171666667,1.54216666667,4.97841666667,3.64366666667,14.2495833333,8.16200000001
801.31,4.15758333333,27.5128333333,16.2555833333,21.7655,1.8915,4.57775,3.62766666667,14.227,8.24183333334
801.62,3.58725,26.628,15.5075833333,20.3459166666,0.919833333335,3.76183333333,2.70425,12.822,7.33083333332
801.92,2.78416666667,26.0579166667,14.97775,19.7011666667,0.25975,3.08091666667,2.21791666666,12.11025,6.91358333334
802.23,3.01791666667,25.5105,14.8066666667,19.256,0.765833333332,2.92675,2.29758333333,11.9985833333,7.01133333333
802.54,3.83933333334,25.8095,15.2203333333,18.9319166667,0.89175,3.67533333333,2.62,12.4271666667,7.87849999999
802.84,4.25366666667,26.3721666667,15.514,19.173,1.45425,4.38166666666,2.70758333333,13.4101666667,8.48883333332
803.15,3.28091666667,25.9,14.9230833333,18.3725833333,0.506166666667,3.77758333333,1.706,12.7391666667,7.52716666668
803.46,3.71433333333,26.257,15.4666666667,19.2191666667,0.723916666667,4.17141666667,2.32383333334,13.26675,8.038
803.76,3.38575,26.6783333333,15.91,19.39275,1.07691666667,3.7835,1.67841666667,12.7183333333,8.20716666668
804.07,4.30508333333,27.2813333333,16.5138333333,19.578,2.59633333333,4.429,2.78733333333,13.3638333333,9.18283333333
804.38,4.61033333334,28.2073333334,17.2585,19.9980833333,3.36958333333,5.34558333334,3.46508333333,14.1656666667,9.46941666666
804.68,5.05666666666,28.211,17.60825,19.8965,3.32408333333,6.40316666667,3.71008333333,14.2183333333,9.86824999999
804.99,6.04591666667,29.3659166667,18.5268333333,20.8616666667,4.68875,7.26066666667,4.47033333333,15.3664166667,10.9529166667
805.30,6.15525,29.4318333333,18.4563333333,20.6725,4.74416666667,7.65124999999,3.92983333333,15.4166666667,10.7860833333
805.60,7.60366666668,30.1720833333,19.0701666667,21.9696666667,5.64908333333,8.96008333332,5.27508333333,16.2645,11.8593333333
805.91,7.05199999999,30.0305,18.8591666667,22.4658333333,5.54291666667,9.15908333334,5.01141666667,16.2206666667,11.67425
806.21,6.97950000001,30.1266666667,18.6636666667,22.8591666667,5.18425,9.18775,5.09808333333,15.534,11.07925
806.52,7.20549999999,30.065,18.4729166667,23.2416666667,5.49508333333,8.94491666666,5.72433333333,15.7971666666,11.0665
806.83,8.20108333333,30.5556666667,18.8775833333,23.5544166666,6.23583333333,9.76941666667,6.42474999999,16.4210833334,11.4985833333
807.13,8.249,29.95875,18.18525,23.1534166666,6.17733333334,9.99241666666,6.75866666666,16.5825,11.3236666667
807.44,7.87666666667,29.9751666667,17.8844166667,23.4398333333,6.17375,9.64608333334,6.878,16.73325,11.0160833333
807.74,7.71208333333,30.10325,17.565,22.8785833334,5.84858333334,9.61399999998,7.13874999999,16.1315,11.09525
