wavelength,Back_TanChrf,Belly_TanChrf,Breast_TanChrf,Crissum_TanChrf,Crown_TanChrf,DorTail_TanChrf,Patch10_TanChrf,Patch11_TanChrf,Patch12_TanChrf,Patch13_TanChrf,Rump_TanChrf,Throat_TanChrf,WingTip_TanChrf
446.08,3.39616666666,7.96283333333,17.0715,6.03016666667,3.35133333333,4.14016666667,10.804375,7.75391666666,5.51591666666,1.8985,20.3226666667,13.1616666667,5.78791666666
446.43,3.39375,7.97333333333,17.1055,6.04416666667,3.35508333334,4.13833333333,10.8228333333,7.77566666666,5.5285,1.89925,20.37425,13.1913333333,5.79
446.79,3.39483333333,7.98308333334,17.1490833333,6.0605,3.36466666667,4.13941666667,10.8307916667,7.7915,5.53816666667,1.89258333333,20.4159166666,13.2149166667,5.79191666667
447.14,3.4145,8.00733333333,17.2006666667,6.08308333333,3.3765,4.15916666667,10.85125,7.8335,5.57083333333,1.91141666667,20.4783333333,13.2619166667,5.79883333334
447.50,3.42541666667,8.02616666667,17.2444166667,6.10291666667,3.38775,4.1775,10.8851666666,7.88183333333,5.58775,1.91958333333,20.53075,13.3046666667,5.81166666667
447.85,3.42891666667,8.046,17.2755833333,6.116,3.39833333333,4.1775,10.9011666667,7.91358333333,5.606,1.92616666666,20.5805833333,13.3454166667,5.81225
448.21,3.44233333334,8.07591666667,17.3353333333,6.14125,3.41425,4.18983333333,10.927375,7.96041666667,5.636,1.94433333333,20.64325,13.38825,5.82041666667
448.56,3.44058333333,8.09341666667,17.3848333333,6.15916666667,3.41358333333,4.195,10.9405416667,7.99958333333,5.64375,1.95033333333,20.7085833333,13.4186666667,5.80841666666
448.92,3.43066666667,8.09758333333,17.428,6.15875,3.42533333333,4.19383333334,10.946375,8.02291666666,5.653,1.9535,20.73525,13.437,5.79441666666
449.27,3.43158333333,8.11533333333,17.47875,6.18175,3.43958333333,4.1865,10.9702916667,8.06175,5.66783333333,1.96508333333,20.77975,13.4684166667,5.80008333333
449.62,3.44425,8.13608333333,17.5275833334,6.19291666667,3.4435,4.19216666667,10.995875,8.09958333333,5.69583333333,1.96833333333,20.8370833333,13.5123333333,5.80691666667
449.98,3.45516666667,8.17883333333,17.6168333333,6.23258333334,3.45625,4.21866666667,11.0471666667,8.16333333333,5.72825,1.974,20.9374166667,13.5909166666,5.84341666667
450.33,3.43666666667,8.17916666667,17.6700833333,6.2285,3.43583333333,4.19608333334,11.0699166667,8.17291666667,5.73016666667,1.95516666666,21.0013333333,13.6370833333,5.82008333333
450.69,3.44141666667,8.20408333333,17.7601666667,6.23725,3.43875,4.1955,11.1202916667,8.23,5.75775,1.94966666666,21.11425,13.7085,5.79833333333
451.04,3.43975,8.23091666666,17.83,6.245,3.44333333334,4.19341666667,11.16325,8.26225,5.764,1.94608333333,21.19525,13.7639166667,5.807
451.40,3.40925,8.215,17.8815833333,6.2295,3.40716666666,4.16141666667,11.164875,8.25566666667,5.75766666667,1.91641666666,21.2573333333,13.7934166667,5.78466666667
451.75,3.40058333334,8.248,17.9630833333,6.2435,3.40716666667,4.1625,11.191,8.29408333333,5.77458333333,1.906,21.3475833333,13.849,5.78316666667
452.10,3.36883333333,8.23708333334,17.9950833333,6.23633333334,3.37508333333,4.12658333333,11.1862083334,8.292,5.74825,1.86425,21.3868333333,13.8705833333,5.76141666667
452.46,3.36116666667,8.25716666667,18.06875,6.24591666666,3.36875,4.12708333334,11.2214583333,8.30641666667,5.75858333333,1.862,21.4671666667,13.9286666667,5.76325
