wavelength,Back_TanIctf,Belly_TanIctf,Breast_TanIctf,Crissum_TanIctf,Crown_TanIctf,DorTail_TanIctf,Patch10_TanIctf,Patch11_TanIctf,Rump_TanIctf,Throat_TanIctf,WingTip_TanIctf
344.52,5.67077777778,14.1212222222,9.53411111111,12.2151111111,4.27672222222,7.19622222222,6.44566666667,5.85366666667,5.68311111111,10.3256666667,8.3001111111
344.89,5.681,14.2012222222,9.60277777779,12.2832222222,4.34488888889,7.39922222222,6.59422222222,5.854,5.78488888889,10.4384444444,8.25922222223
345.25,5.61511111111,14.1198888889,9.53388888889,12.3244444444,4.31805555555,7.41877777778,6.525,5.84566666667,5.80122222222,10.4783333333,8.29633333333
345.62,5.45911111111,14.0245555556,9.37166666667,12.2091111111,4.18438888889,7.33088888889,6.35988888889,5.70833333333,5.662,10.3811111111,8.18155555556
345.99,5.27166666667,13.79,9.29377777779,11.9686666667,4.05522222222,7.10088888889,6.11522222222,5.57166666667,5.51544444444,10.2114444444,8.00244444443
346.35,5.25633333333,13.846,9.34977777779,12.0426666667,4.07144444445,7.04744444444,6.13211111111,5.57744444444,5.52766666667,10.2335555556,8.03288888888
346.72,5.07877777778,13.6785555556,9.20711111111,11.8766666667,3.85388888889,6.82622222222,5.99033333334,5.42533333333,5.38711111111,10.0387777778,7.88455555556
347.08,5.21,13.8012222222,9.39855555555,12.0706666667,4.05127777778,7.02677777778,6.18333333333,5.58044444445,5.47833333333,10.2338888889,7.97422222221
347.45,5.22122222222,13.7818888889,9.42899999999,12.1621111111,4.05627777778,7.03366666667,6.22766666666,5.617,5.51833333334,10.2992222222,7.98211111111
347.81,5.10977777778,13.7578888889,9.40033333334,12.197,4.044,6.93155555555,6.13077777778,5.58888888889,5.45344444445,10.2821111111,7.90222222222
348.18,5.04322222222,13.6873333333,9.39777777778,12.1034444445,3.9475,6.74033333333,5.94644444444,5.52733333333,5.33066666666,10.1206666667,7.75711111111
348.54,5.13288888889,13.8071111111,9.46888888889,12.0415555556,3.96794444444,6.71433333334,5.97822222222,5.65455555555,5.37366666667,10.1403333333,7.75988888889
