wavelength,Back_SpoNicf,Belly_SpoNicf,Breast_SpoNicf,Crissum_SpoNicf,Crown_SpoNicf,DorTail_SpoNicf,Rump_SpoNicf,Throat_SpoNicf,WingTip_SpoNicf
465.53,8.38353333333,23.1150666667,12.3665333333,12.9596666667,6.5384,8.65739999999,9.1282,12.9115333333,10.5079333333
465.88,8.3984,23.2026,12.4124666667,12.9998,6.5702,8.6942,9.14386666667,12.9386666667,10.5096666667
466.23,8.414,23.2740666667,12.4314,13.0359333333,6.58066666667,8.68826666666,9.15213333333,12.9774,10.5066
466.58,8.42326666667,23.3465333334,12.4432,13.0628,6.57553333333,8.67113333334,9.15086666667,13.0139333334,10.4743333333
466.94,8.447,23.4306,12.4909333333,13.1202,6.62013333333,8.7054,9.17879999999,13.0686666667,10.5084666667
467.29,8.45833333333,23.5344666667,12.5051333333,13.1607333334,6.64613333333,8.698,9.18566666667,13.1008,10.4976666667
467.64,8.42973333333,23.6002,12.4956,13.1768666667,6.64013333333,8.67293333333,9.16486666667,13.1051333333,10.4736
467.99,8.46026666667,23.7293333333,12.5304,13.2392,6.6888,8.69053333333,9.19,13.1714666667,10.4921333333
468.35,8.49413333333,23.8043333333,12.5744666667,13.3026,6.72293333333,8.69853333333,9.2202,13.2391333333,10.5056666667
468.70,8.52886666666,23.8950666667,12.6198,13.3786666667,6.76873333333,8.73853333333,9.24980000001,13.3132666667,10.5496
469.05,8.49406666667,23.9648666667,12.6092,13.3990666667,6.75386666667,8.7008,9.22346666667,13.317,10.5125333333
469.40,8.51926666667,24.0748666667,12.6677333333,13.4583333333,6.78486666667,8.72626666667,9.24219999999,13.3668666667,10.5284
469.75,8.4786,24.1077333333,12.6495333333,13.4716,6.7386,8.65746666666,9.21860000001,13.3651333333,10.4903333333
470.11,8.50239999999,24.2038,12.6868666667,13.5234,6.75853333333,8.65766666668,9.23533333334,13.402,10.4955333333
470.46,8.53086666667,24.2922,12.7212,13.5774,6.79686666667,8.69466666667,9.25806666667,13.4576,10.5404
470.81,8.56786666667,24.3866666667,12.7606,13.6176666667,6.82933333333,8.73546666667,9.2982,13.5273333333,10.5736
471.16,8.54159999999,24.3799333333,12.7685333333,13.6248666667,6.82306666667,8.70880000001,9.29106666667,13.5226666667,10.5454
471.51,8.60900000001,24.4636,12.8486,13.7160666666,6.88613333333,8.77206666666,9.35233333334,13.6115333333,10.6119333333
471.87,8.63146666667,24.4999333333,12.8840666667,13.7625333333,6.9246,8.81393333333,9.39933333333,13.6745333333,10.6577333333
472.22,8.66186666667,24.5578666667,12.911,13.8116,6.96146666667,8.84639999999,9.43259999999,13.72,10.6927333333
472.57,8.65979999999,24.5896666667,12.9324666667,13.8217333333,6.9634,8.83940000001,9.43613333333,13.7264666667,10.6953333333
472.92,8.692,24.5776,12.9463333333,13.8489333333,6.98753333333,8.87960000001,9.46719999999,13.7644,10.7164
473.27,8.70046666667,24.5545333333,12.9336666667,13.8606666667,6.97846666667,8.86873333333,9.45906666665,13.7696666667,10.7216
473.62,8.74960000001,24.6139333333,12.9832666667,13.9240666667,7.03533333333,8.94040000001,9.5142,13.8374666667,10.7736
473.98,8.74526666666,24.5932,12.9692,13.9356666667,7.03646666667,8.94513333332,9.53433333333,13.8586,10.7827333334
474.33,8.73086666666,24.5626666667,12.9805333333,13.9434666666,7.01986666667,8.95239999999,9.53386666667,13.8505333333,10.7736666666
474.68,8.73826666667,24.5147333333,12.9773333333,13.9605333333,7.00593333333,8.93726666667,9.52606666665,13.8425333333,10.7727333333
475.03,8.78626666666,24.5190666667,12.9918,13.9943333333,6.9938,8.99313333333,9.5634,13.856,10.8255333333
475.38,8.75133333333,24.4694,12.9492,13.9512,6.9544,8.96693333335,9.52320000001,13.7974666667,10.7958
475.73,8.73666666666,24.3929333333,12.9262,13.9150666667,6.89253333334,8.94019999999,9.48153333333,13.7296666667,10.7686666667
