wavelength,Back_DacCaym,Belly_DacCaym,Breast_DacCaym,Crissum_DacCaym,Crown_DacCaym,DorTail_DacCaym,Rump_DacCaym,Throat_DacCaym,WingTip_DacCaym
468.70,6.0846,43.0413333333,36.6507333333,38.8560666667,34.8692666667,5.343,40.6313333333,8.07866666666,5.46486666667
469.05,6.09326666667,43.0725333333,36.6901666667,38.8967333333,34.9398,5.34633333333,40.6780666667,8.09366666666,5.476
469.40,6.11526666667,43.1818,36.7764333333,38.9690666667,35.0193333333,5.36646666666,40.749,8.12453333333,5.50646666667
469.75,6.1266,43.2479333333,36.8332333333,39.0422666667,35.0982,5.36666666666,40.8311333333,8.1512,5.52386666667
470.11,6.13586666667,43.3159333333,36.8945333333,39.1456,35.1721333333,5.37746666667,40.9258666667,8.16486666667,5.53273333333
470.46,6.1466,43.3756,36.9596666667,39.2031333333,35.2644,5.39146666667,40.99,8.17666666666,5.54633333333
470.81,6.18973333333,43.451,37.0003666667,39.2484,35.3456666667,5.40146666667,41.0365333333,8.21453333334,5.5782
471.16,6.26426666667,43.5486,37.0626666667,39.3469333334,35.4530666667,5.45946666667,41.1199333333,8.29233333334,5.6436
471.51,6.27606666667,43.619,37.1192,39.4250666667,35.5374,5.47766666667,41.2074666667,8.31986666667,5.6732
471.87,6.31606666667,43.6636,37.1639666667,39.489,35.6298,5.5188,41.2556666667,8.35253333334,5.72006666667
472.22,6.34706666667,43.6670666667,37.1891,39.4882,35.654,5.55253333333,41.2803333333,8.38466666666,5.7692
472.57,6.37946666667,43.7813333333,37.2599333333,39.5715333333,35.7928666667,5.57553333333,41.3963333333,8.43819999999,5.81193333333
472.92,6.39746666667,43.853,37.3174,39.6303333333,35.8630666667,5.58906666667,41.4679333333,8.46766666667,5.82273333333
473.27,6.3958,43.8629333334,37.3399333333,39.6473333333,35.9158666667,5.59213333334,41.4763333333,8.46773333333,5.80493333333
473.62,6.4006,43.8807333333,37.3736333333,39.6582,35.9784666667,5.60133333333,41.511,8.47933333333,5.7818
473.98,6.39773333333,43.9111333333,37.4095333333,39.6801333333,36.048,5.59,41.5611333333,8.48273333334,5.77233333333
474.33,6.4036,43.96,37.4687666667,39.7371333333,36.1333333333,5.59846666667,41.6284,8.52293333334,5.77386666666
474.68,6.39173333333,44.003,37.5537333333,39.7714,36.1994,5.59646666667,41.6709333333,8.53353333334,5.7696
475.03,6.40433333333,44.0776,37.6464,39.8396,36.3112,5.61533333333,41.7684,8.56126666666,5.77853333333
475.38,6.40546666667,44.128,37.7311333333,39.8943333333,36.4061333333,5.61733333333,41.8532666667,8.57226666667,5.768
475.73,6.398,44.1842666667,37.7568333333,39.9366666667,36.4878,5.62753333333,41.9093333333,8.59766666668,5.76146666667
476.08,6.3468,44.1572666667,37.7578,39.925,36.5092,5.57033333333,41.8952666667,8.55419999999,5.69273333333
476.44,6.3184,44.1900666667,37.8140666667,39.9586,36.5584666667,5.5576,41.9164666667,8.52839999999,5.6524
476.79,6.3128,44.235,37.8681,39.9873333333,36.632,5.54793333333,41.9800666666,8.50880000001,5.64146666667
