wavelength,Back_SpoCasf,Belly_SpoCasf,Breast_SpoCasf,Crissum_SpoCasf,Crown_SpoCasf,DorTail_SpoCasf,Patch10_SpoCasf,Patch11_SpoCasf,Rump_SpoCasf,Throat_SpoCasf,WingTip_SpoCasf
686.08,17.335,51.1181333333,33.4919333333,50.9949333333,16.0962666667,14.724,20.6412666667,32.4017333333,22.4640666667,34.3873333334,16.4674666667
686.40,17.3528666667,51.1822666667,33.5254,51.0077333333,16.06,14.7304333333,20.6288666667,32.3923333333,22.4346,34.3759333333,16.4507333333
686.72,17.3292666667,51.3426666667,33.6951333334,51.2496,16.0826666667,14.725,20.6358,32.505,22.5258,34.5065333333,16.4341333333
687.05,17.3171333333,51.3053333333,33.7582,51.2062,16.0664666667,14.7119666667,20.6292,32.5024666667,22.5605333333,34.532,16.4633333334
687.37,17.3012666667,51.3671333333,33.7877333333,51.2735333333,16.0886,14.736,20.6543333333,32.5649333333,22.6154666667,34.4456,16.4986
687.70,17.3801333333,51.3795333333,33.8363333334,51.3425333333,16.1929333333,14.8655666667,20.7494,32.7154,22.7059333333,34.5178666667,16.6358
688.02,17.4155333333,51.4092666667,33.855,51.3456,16.2542666667,14.9196,20.8246666667,32.748,22.7514,34.5944,16.6889333333
688.34,17.3452666667,51.2737333334,33.8281333334,51.2322,16.1697333333,14.8156,20.7586666667,32.651,22.7100666667,34.5746666667,16.6057333333
688.67,17.2469333333,51.2516,33.7859333333,51.2428666667,16.1586,14.7356333333,20.7445333333,32.6402666667,22.7311333333,34.4791333333,16.5652
688.99,17.2318,51.2634666667,33.8062666667,51.2627333333,16.2131333333,14.6985666667,20.7273333333,32.6814,22.7262,34.4969333333,16.6121333333
689.32,17.1514,51.1196,33.7554666667,51.1778666667,16.1734,14.6027333333,20.6836666667,32.6188,22.6228,34.4049333333,16.5470666667
689.64,17.1041333333,51.1786,33.7819333333,51.1527333333,16.2050666667,14.5770666667,20.6527333334,32.6296666667,22.6710666667,34.4331333333,16.5333333333
689.96,17.081,51.0811333333,33.7346666667,51.0783333333,16.2174666667,14.6222666667,20.5965333333,32.6098,22.6787333333,34.4473333333,16.6312
690.29,17.1588666667,51.0470666666,33.6516,50.9528,16.2633333333,14.6685333333,20.6009333333,32.5528666667,22.6552,34.384,16.6658
