wavelength,Back_SpoAmem,Belly_SpoAmem,Breast_SpoAmem,Crissum_SpoAmem,Crown_SpoAmem,DorTail_SpoAmem,Rump_SpoAmem,Throat_SpoAmem,WingTip_SpoAmem
399.28,4.7972,35.5936666667,6.47113333334,29.7124666667,2.9094,5.8262,17.372,28.9005333333,6.15066666667
399.64,4.86526666667,35.6773333333,6.51066666667,29.7848666667,2.9818,5.91493333333,17.451,28.9788666667,6.18026666667
400.00,4.95133333333,35.7697333333,6.54226666667,29.8834666667,3.05333333333,5.9712,17.5035333333,29.0527333333,6.2102
400.36,4.94926666667,35.8298,6.5468,29.9224666667,3.06386666667,5.9598,17.5096666667,29.0593333333,6.22626666666
400.72,4.9424,35.9522,6.55246666667,29.9776666667,3.0654,5.97186666667,17.5618666667,29.096,6.2432
401.08,4.9666,36.0352,6.56800000001,30.0314666667,3.06813333333,5.98173333333,17.5810666667,29.099,6.25353333333
401.44,5.00026666666,36.1586,6.59986666666,30.1448666666,3.12886666667,6.04073333333,17.6528,29.2187333333,6.2976
401.80,4.964,36.152,6.5366,30.1086,3.0882,5.9876,17.6107333333,29.2076,6.25766666667
402.16,4.9556,36.2392,6.49686666666,30.169,3.08066666667,5.96053333333,17.6156666667,29.2444666667,6.2088
402.52,4.98,36.3990666667,6.52013333333,30.2907333333,3.104,5.95333333333,17.6824,29.3456666667,6.226
402.88,4.9534,36.5052666667,6.49366666668,30.3383333333,3.0714,5.9104,17.6723333333,29.3829333333,6.19886666667
403.24,4.9722,36.5652666667,6.49419999999,30.3656,3.06693333333,5.8864,17.6968666667,29.4136,6.19866666667
403.60,4.96466666667,36.6373333333,6.53393333333,30.445,3.0808,5.8818,17.6981333333,29.4594,6.21533333333
403.95,4.9296,36.697,6.52073333332,30.5011333333,3.057,5.86973333333,17.7009333334,29.4973333333,6.2094
404.31,4.91766666667,36.7763333333,6.49233333333,30.563,3.03386666667,5.86313333333,17.7122,29.5257333333,6.19866666667
404.67,4.95313333333,36.8592,6.52813333333,30.6464666667,3.06833333333,5.88933333333,17.7516,29.5242666667,6.23146666667
405.03,4.95373333333,36.9038,6.54106666667,30.6914,3.07873333333,5.8998,17.7541333333,29.5587333333,6.24206666667
405.39,4.9564,36.9164666667,6.5504,30.7274666667,3.069,5.869,17.7478666667,29.5349333333,6.24346666666
405.75,4.9598,36.9904,6.58333333333,30.7857333333,3.0758,5.89053333333,17.7744666666,29.5812,6.24853333333
406.11,4.99353333333,37.0379333333,6.62186666667,30.8138,3.09593333333,5.92173333333,17.7955333333,29.6078666667,6.3028
406.47,5.05193333333,37.1278,6.68999999999,30.8970666666,3.13613333333,5.99206666667,17.8829333333,29.6914666667,6.3738
406.83,5.03513333333,37.1464666667,6.68766666667,30.8931333333,3.13006666667,5.98526666667,17.8810666667,29.669,6.3648
407.19,5.0508,37.2241333333,6.71500000001,30.9610666667,3.14466666667,6.02453333333,17.91,29.6979333333,6.38426666666
407.55,4.98793333333,37.2369333333,6.62740000001,30.9018,3.06826666666,5.947,17.8764,29.6510666667,6.30206666667
407.90,4.9998,37.3177333333,6.6266,30.9908666667,3.0826,5.92573333333,17.8928666666,29.6746,6.30993333333
408.26,5.02426666666,37.3548,6.64706666667,31.0392666667,3.10666666667,5.93206666667,17.9510666667,29.7371333333,6.35426666667
408.62,5.03786666667,37.387,6.65666666666,31.0690666667,3.14606666667,5.95033333333,17.9820666667,29.822,6.37326666667
408.98,5.06546666667,37.4644,6.6712,31.1335333333,3.161,5.9754,18.0131333333,29.8493333333,6.40026666667
409.34,5.0602,37.5657333333,6.65299999999,31.1886666667,3.15346666667,5.97406666667,18.027,29.8902,6.3824
409.70,5.0586,37.649,6.61413333334,31.2121333333,3.1228,5.95653333333,18.0253333333,29.9036666667,6.3686
410.06,5.07146666667,37.7964,6.631,31.3125333333,3.14773333333,5.97206666667,18.0747333333,29.9717333333,6.36673333333
410.42,5.0404,37.8171333333,6.60386666667,31.3282,3.12826666667,5.94693333333,18.0159333333,29.9544666667,6.33853333333
410.77,5.03273333333,37.8842,6.58466666667,31.3777333334,3.11373333333,5.9494,18.0144666667,29.9842,6.33513333333
411.13,4.99053333333,37.9166,6.54280000001,31.4042,3.08073333333,5.90453333333,17.9839333333,29.9846,6.30886666667
411.49,5.05266666667,38.0119333333,6.60146666667,31.522,3.1596,5.978,18.0462,30.0358666667,6.39946666667
411.85,5.0566,38.0598,6.6024,31.5163333334,3.15953333333,5.99106666666,18.0611333333,30.0480666667,6.39193333333
412.21,5.038,38.1474666667,6.5782,31.5648,3.1204,5.97406666667,18.0187333333,30.0701333333,6.3584
412.57,5.03006666667,38.1933333333,6.57113333334,31.6102,3.07873333333,5.94526666667,18.0074666667,30.0520666667,6.35153333333
412.92,5.02193333333,38.2726666667,6.57233333333,31.6813333333,3.0776,5.93933333333,18.0581333333,30.1078,6.34893333333
413.28,5.0226,38.3511333333,6.59026666666,31.7664666666,3.07966666667,5.96106666667,18.1118,30.1592666667,6.364
413.64,5.03053333333,38.3986,6.61866666666,31.8381333333,3.11973333333,5.97873333333,18.1258,30.1839333333,6.38313333333
414.00,4.9992,38.3338,6.58393333333,31.7976,3.09426666667,5.9248,18.103,30.1430666667,6.34793333333
414.36,4.976,38.3301333333,6.51840000001,31.773,3.04866666667,5.8872,18.1035333333,30.0984,6.2928
414.72,5.03466666667,38.4338,6.57793333334,31.8770666667,3.1042,5.9424,18.2146,30.2086666667,6.34273333333
415.07,5.05173333333,38.543,6.59413333333,31.9604666667,3.118,5.97693333333,18.2775333333,30.255,6.3554
415.43,5.0452,38.5796,6.60253333334,31.9922666667,3.09226666667,5.95893333333,18.2893333333,30.2516666667,6.32486666667
415.79,5.06946666667,38.6356666667,6.64493333333,32.0181333333,3.11766666667,5.98146666667,18.3303333333,30.2600666667,6.3566
416.15,5.082,38.6841333333,6.67559999999,32.0498666667,3.15026666667,5.988,18.3644666667,30.261,6.37413333333
416.51,5.05733333333,38.8082666667,6.66393333334,32.1015333333,3.13786666667,5.97333333333,18.39,30.3112666667,6.35393333333
416.86,5.07533333334,38.8719333333,6.68986666666,32.1115333333,3.1434,5.99506666667,18.3969333333,30.3498,6.37646666667
417.22,5.05026666667,38.8512,6.6494,32.0714,3.11473333333,5.94886666667,18.3588,30.2886666667,6.34866666667
417.58,5.05753333333,38.8638,6.64406666668,32.0727333333,3.1058,5.93986666667,18.3724666667,30.284,6.347
417.94,5.0678,38.9688,6.66046666667,32.1309333333,3.115,5.96826666667,18.3836,30.343,6.35466666667
418.29,5.08926666667,39.0448666667,6.69526666667,32.1855333333,3.1398,5.98586666667,18.4194666667,30.3660666667,6.3916
418.65,5.06386666666,39.0724,6.67099999999,32.1982666667,3.10986666667,5.9552,18.3918,30.3172666667,6.371
419.01,5.05873333333,39.1138666667,6.65493333333,32.2134,3.08753333333,5.92953333333,18.3936666667,30.3171333333,6.3608
419.37,5.07086666667,39.1490666667,6.65299999999,32.2332,3.1002,5.9478,18.3959333333,30.3408,6.37726666667
419.73,5.0564,39.1606666667,6.62946666667,32.2507333333,3.08953333333,5.94206666667,18.3871333333,30.3486666667,6.36486666667
420.08,5.0722,39.2247333333,6.64273333333,32.3035333333,3.11073333334,5.9728,18.4107333333,30.3788666667,6.37686666667
420.44,5.10033333333,39.2345333333,6.65546666666,32.3335333333,3.14306666667,6.00946666667,18.4141333333,30.3850666667,6.41313333333
420.80,5.09686666667,39.2568666667,6.6414,32.3624,3.14973333333,5.99073333333,18.4050666667,30.3664,6.39493333333
421.16,5.1096,39.3096,6.65986666666,32.3891333333,3.17146666667,6.01566666667,18.4322666667,30.3853333333,6.40673333333
421.51,5.0996,39.3316,6.6544,32.4163333334,3.17006666667,6.01526666667,18.4336666667,30.3873333333,6.3994
421.87,5.10693333333,39.3462666667,6.64553333332,32.4426,3.17713333334,6.0228,18.4409333333,30.3764,6.40173333333
422.23,5.1066,39.4026666667,6.64546666667,32.4826666667,3.18566666667,6.03106666667,18.4506,30.3954,6.39486666667
422.58,5.10386666667,39.4393333333,6.64499999999,32.5077333333,3.19673333333,6.04013333333,18.4549333333,30.4194,6.39446666667
422.94,5.1274,39.4586666667,6.66733333334,32.5190666667,3.22886666667,6.06286666667,18.4688666666,30.4325333333,6.4106
423.30,5.11993333333,39.4989333333,6.67619999999,32.541,3.23386666667,6.0564,18.4864666667,30.4255333333,6.40786666666
423.66,5.1292,39.5578,6.67960000001,32.5772666667,3.23886666667,6.05493333333,18.4944666667,30.4516,6.41026666667
424.01,5.10793333333,39.5733333333,6.65806666667,32.5722666667,3.21373333333,6.024,18.4797333334,30.4446,6.39226666667
424.37,5.0938,39.6127333333,6.65199999999,32.5994666667,3.20493333333,6.00686666667,18.49,30.4456,6.36746666667
424.73,5.07933333333,39.6804,6.65186666666,32.6395333334,3.18646666667,5.99846666667,18.5055333333,30.4632,6.36193333333
425.08,5.07906666667,39.7212666667,6.6438,32.6627333333,3.18446666667,5.9836,18.5119333333,30.4904,6.364
425.44,5.096,39.7984666667,6.66439999999,32.6992666667,3.20426666667,5.99286666667,18.5375333333,30.5058666667,6.37326666667
425.80,5.10333333333,39.8487333333,6.6844,32.7411333333,3.21666666666,5.98813333333,18.5614,30.5230666667,6.38953333334
426.16,5.11846666667,39.8831333333,6.70220000001,32.7746,3.23553333333,5.98966666667,18.5682,30.5371333333,6.4106
426.51,5.13186666667,39.9321333333,6.71519999999,32.7968666667,3.2542,5.99613333333,18.5767333333,30.5304,6.422
426.87,5.10966666667,39.9748,6.71193333333,32.8366666667,3.24226666667,5.97253333333,18.5818666667,30.5289333333,6.42006666667
427.23,5.11093333333,40.0738,6.72046666666,32.9185333333,3.2466,5.98366666667,18.6158666667,30.5837333333,6.42553333333
427.58,5.13773333333,40.1405333333,6.76066666667,32.9636,3.27893333333,6.00933333333,18.6586666667,30.593,6.45266666667
