wavelength,Back_TanVasf,Belly_TanVasf,Breast_TanVasf,Crissum_TanVasf,Crown_TanVasf,DorTail_TanVasf,Patch10_TanVasf,Patch11_TanVasf,Rump_TanVasf,Throat_TanVasf,WingTip_TanVasf
766.64,4.22391666666,12.65875,14.04675,10.1434166667,14.5451666667,6.38641666667,8.59358333333,3.80141666667,11.9446833333,13.8465833333,11.9855833333
766.95,4.88608333333,13.16725,14.55075,10.75525,15.14325,7.07041666667,9.157,4.53458333334,12.6328833333,14.4986666666,12.6595833333
767.26,4.897,13.0351666667,14.351,10.60525,15.0375,7.06791666667,8.96616666666,4.60425,12.4887666667,14.4318333333,12.6885
767.57,4.72683333333,13.0011666667,14.18375,10.4695833333,14.9084166666,7.07466666667,8.85349999999,4.52908333333,12.3552833333,14.4646666667,12.69925
767.88,4.54091666667,13.024,14.2286666667,10.4398333333,14.945,7.12141666666,8.8965,4.78316666667,12.5200833333,14.5208333333,12.8349166667
768.20,3.69083333333,12.57225,13.5050833333,9.91783333332,14.4379166667,6.44158333334,8.43691666667,4.2575,12.1027166667,14.0270833333,12.3649166667
768.51,3.55241666666,12.3474166667,13.2210833333,9.75658333335,14.301,6.10116666666,8.29149999999,4.19708333333,11.8498833333,13.7745,12.15275
768.82,3.92891666667,12.4766666667,13.3340833333,9.86916666667,14.3981666667,6.11558333333,8.38783333333,4.31866666667,11.9769666667,13.7706666667,12.27
769.13,3.69266666667,12.24175,13.1860833333,9.50958333334,14.22625,5.91283333333,8.00133333333,4.09675,11.6715666667,13.3501666667,12.0019166667
769.44,3.53458333333,12.4241666666,13.4183333334,9.44191666666,14.4410833334,5.60041666667,8.14916666668,4.06241666667,11.6544,13.353,12.0439166667
769.76,3.00766666667,12.0216666667,12.8363333333,8.94725000001,14.0768333333,5.03766666667,7.48108333332,3.513,11.1211,13.0075833333,11.50775
770.07,2.41258333333,11.752,12.434,8.41425000001,13.6998333333,4.32233333333,6.90533333332,3.11183333333,10.4570333333,12.6385,10.9675833333
770.38,1.64308333333,11.0935,11.9129166667,7.641,13.0785,3.42183333333,6.375,2.10308333333,9.80203333332,11.9874166666,10.18225
770.69,1.75483333333,11.1170833333,11.9856666667,7.59408333333,13.08575,3.20691666667,6.44941666667,1.65691666666,9.87616666669,11.9944166667,10.28875
771.00,1.6605,10.9475833333,11.8655,7.39283333333,12.8825,2.907,6.29966666666,1.5435,9.71373333333,11.7305,10.1015
771.32,1.55075,10.8548333333,11.6694166667,7.28433333333,12.70475,2.65958333333,6.22583333333,1.35283333333,9.61536666667,11.74775,9.89316666668
771.63,1.56033333333,10.4448333333,11.7993333333,7.21225,12.71975,2.49458333333,6.25466666667,1.42941666667,9.51140000001,11.9208333334,9.86541666666
771.94,1.3235,10.1626666667,11.6279166667,7.057,12.5826666667,2.36825,5.92275,1.18166666667,9.47821666667,11.9353333333,9.95475000001
772.25,0.912416666668,10.115,11.7080833333,6.98616666667,12.7028333333,2.38991666667,5.99166666668,1.12491666667,9.49966666666,12.1573333333,10.1968333333
772.56,1.11933333333,10.3371666667,12.13575,7.48291666667,13.0401666667,2.52675,6.59825,1.48591666666,9.80541666665,12.77625,10.5866666667
772.87,0.204166666668,9.05516666667,10.9319166667,6.55116666666,11.6538333333,1.593,5.461,0.1295,8.63098333334,11.6486666667,9.53808333333
773.18,0.445333333333,9.03658333333,11.28325,6.84083333333,11.7285,1.96325,5.80849999999,0.273250000002,8.83136666666,11.86,9.84116666666
773.50,0.617083333334,8.78716666666,11.16875,6.85441666667,11.69425,2.147,5.83441666666,0.117249999998,8.81899999999,11.7451666667,9.75633333334
773.81,0.969083333332,8.82049999999,11.21475,6.88758333333,11.88325,2.51875,5.81458333333,0.399083333333,8.89619999999,11.6761666666,9.971
774.12,1.15516666667,9.38883333334,11.6153333333,7.20441666667,12.2978333333,3.00891666667,6.05433333334,1.10783333333,9.20709999999,11.88825,9.96649999999
774.43,1.28383333333,9.45783333331,11.6911666667,7.33066666667,12.40725,3.08708333333,6.06825000001,1.29425,9.19903333333,11.97225,10.0253333333
774.74,1.66341666667,9.62191666668,11.6708333333,7.51475,12.4259166667,3.13158333333,6.12049999999,1.35725,8.98808333334,11.7765,10.1289166667
775.05,2.26366666667,10.3548333334,12.0340833333,7.75966666666,12.4763333333,3.59016666667,6.32775,1.44766666667,9.07254999999,11.7393333333,10.5443333333
775.36,3.06366666667,10.9839166667,12.4685,8.28116666666,13.0385,4.219,7.11008333334,1.91875,9.55874999999,11.925,10.9106666667
775.67,3.05458333333,10.6046666667,12.1084166667,7.90516666667,12.5314166667,3.88475,6.91833333333,1.59258333333,9.04966666667,11.4975,10.3330833333
775.98,3.81416666667,10.9765,12.381,8.2815,13.00275,4.43616666667,7.42116666667,2.23883333333,9.63095,11.9144166667,10.7898333334
776.30,5.13175,12.33275,13.4033333333,9.62533333334,14.38125,5.72375,8.73474999999,3.80383333333,10.83695,13.2488333333,12.0701666667
776.61,5.73508333333,13.2996666666,14.2066666667,10.20925,15.2933333333,6.41683333333,9.41491666667,4.67425,11.5868333334,13.889,12.6949166667
776.92,6.31383333333,14.0553333333,14.846,10.67925,15.968,7.04308333333,9.93991666667,5.41125,12.1491166667,14.3970833334,13.47925
