wavelength,Back_ParNigm,Belly_ParNigm,Breast_ParNigm,Crissum_ParNigm,Crown_ParNigm,DorTail_ParNigm,Patch10_ParNigm,Rump_ParNigm,Throat_ParNigm,WingTip_ParNigm
572.15,5.12066666667,49.7493333334,45.7396666667,44.3735,6.16716666667,8.25316666667,6.54933333333,6.036,5.1435,7.578
572.49,5.18066666667,49.7424166667,45.769,44.3396666667,6.24066666667,8.28,6.62541666667,6.08966666667,5.19716666667,7.61633333334
572.83,5.1305,49.7855,45.7761666667,44.3233333333,6.25016666666,8.26091666667,6.62816666666,6.04866666667,5.15833333333,7.59866666667
573.17,5.11666666667,49.8613333334,45.7915,44.3545,6.27233333334,8.25225,6.65091666666,6.05433333333,5.18316666667,7.62
573.51,5.11733333333,49.879,45.7161666667,44.3201666667,6.30333333333,8.22525,6.64325,6.05666666667,5.22583333333,7.61083333333
573.85,5.12466666667,49.7914166667,45.6543333333,44.3186666667,6.35,8.21425,6.65991666666,6.03933333333,5.2605,7.62483333334
574.19,5.07966666667,49.7401666666,45.6401666667,44.2843333333,6.33016666667,8.18391666667,6.63758333333,6.01983333333,5.26016666667,7.598
574.53,5.019,49.7400833334,45.6463333333,44.2435,6.311,8.11183333333,6.56175,5.97816666667,5.21866666666,7.54066666667
574.87,5.01533333334,49.8319166667,45.7391666667,44.3045,6.347,8.08791666667,6.59325,6.00666666666,5.25283333333,7.52233333334
575.21,5.026,49.8650833334,45.842,44.3446666667,6.40016666667,8.109,6.60466666667,6.00516666666,5.25783333334,7.51866666667
575.55,5.0695,49.9411666666,45.8753333333,44.3856666667,6.47983333333,8.12366666667,6.64,6.0225,5.3285,7.567
575.89,5.12716666666,50.0526666666,45.9903333334,44.4228333333,6.61,8.17116666667,6.67358333333,6.05783333333,5.38666666667,7.63766666667
576.22,5.0985,50.0936666667,45.9513333333,44.4591666666,6.656,8.17266666667,6.65116666667,6.00916666667,5.372,7.638
576.56,5.11233333334,50.07,45.9616666667,44.5001666667,6.71566666667,8.1885,6.67516666666,6.059,5.44083333334,7.649
576.90,5.15216666667,49.9906666667,45.9663333334,44.4865,6.8135,8.21066666667,6.71583333334,6.1155,5.51766666666,7.687
577.24,5.18833333334,50.0038333334,46.0398333334,44.5503333333,6.89533333333,8.25466666667,6.80108333333,6.1845,5.60016666667,7.72966666667
577.58,5.17866666667,49.98275,46.0366666666,44.4601666667,6.9205,8.248,6.77258333333,6.181,5.603,7.687
577.92,5.20966666667,50.06325,46.0976666666,44.5721666667,7.049,8.32458333333,6.789,6.18116666666,5.67683333333,7.7315
578.26,5.27483333333,50.0649166666,46.1468333333,44.6533333334,7.16366666667,8.39791666667,6.82891666667,6.2135,5.74883333333,7.765
578.60,5.3135,50.05875,46.1448333333,44.6711666667,7.26716666667,8.4835,6.85025,6.24933333333,5.8225,7.82183333334
578.94,5.32933333333,50.03025,46.2031666667,44.7203333333,7.385,8.54008333333,6.89216666667,6.27833333334,5.91266666667,7.84566666667
579.28,5.31333333333,50.03775,46.2268333334,44.724,7.4575,8.51825,6.90016666666,6.29666666666,5.9635,7.84766666667
579.61,5.35033333333,49.8513333333,46.0855,44.6825,7.52816666665,8.56641666667,6.93683333334,6.29616666667,6.02033333333,7.83116666667
579.95,5.34266666667,49.8618333333,46.1393333333,44.6868333333,7.55283333334,8.54558333333,6.95433333334,6.30666666667,6.06433333333,7.85083333333
580.29,5.36816666667,49.8935,46.1333333334,44.6821666667,7.62366666667,8.61375,6.97983333333,6.32316666666,6.13,7.90683333333
580.63,5.311,49.94325,46.1845,44.7283333334,7.62749999998,8.58141666666,6.9485,6.2505,6.08166666667,7.85683333333
580.97,5.23616666666,49.8695833334,46.1323333334,44.6606666667,7.63816666665,8.52758333334,6.815,6.12583333333,6.00583333333,7.8295
581.31,5.30483333333,50.0021666666,46.3005,44.82,7.78666666669,8.6145,6.89925,6.17883333333,6.12866666666,7.93633333333
581.65,5.29883333333,50.0550833333,46.384,44.7488333333,7.89616666665,8.59225,6.896,6.2085,6.18716666667,7.964
581.98,5.269,50.0143333333,46.3768333333,44.742,7.94016666667,8.58933333334,6.88175,6.19266666666,6.14983333333,7.93466666667
582.32,5.21966666666,49.9173333334,46.3926666667,44.6938333333,7.97633333333,8.51416666666,6.7915,6.1135,6.11216666667,7.883
582.66,5.16966666666,49.958,46.2833333334,44.613,8.02466666667,8.46333333333,6.74475,6.0955,6.08816666666,7.86733333333
583.00,5.23183333333,49.942,46.3261666666,44.6525,8.14233333331,8.56733333334,6.77816666667,6.12616666667,6.16883333333,7.86533333334
583.34,5.2075,50.0808333334,46.3611666667,44.7085,8.20066666665,8.52516666667,6.79116666666,6.13316666666,6.28,7.84366666666
583.68,5.182,50.1395833334,46.4111666667,44.7173333333,8.29516666665,8.57866666667,6.72983333333,6.0895,6.33183333334,7.79933333334
584.01,5.24216666666,50.18275,46.4886666666,44.8941666667,8.44783333331,8.61291666667,6.73108333334,6.10816666667,6.4135,7.83416666667
584.35,5.28183333334,50.2201666667,46.4725,44.8345,8.59266666669,8.65875,6.70808333334,6.1895,6.5145,7.87
584.69,5.31083333334,50.24175,46.544,44.8513333333,8.69583333331,8.68508333334,6.71966666667,6.22583333333,6.6435,7.89883333334
585.03,5.22683333333,50.1006666666,46.367,44.8046666667,8.68816666665,8.60908333334,6.62366666667,6.1595,6.6085,7.77616666666
585.37,5.32133333333,50.2093333334,46.4323333334,44.9121666667,8.849,8.71016666666,6.7345,6.21116666667,6.756,7.8305
585.70,5.29483333334,50.2165,46.3818333334,44.8895,8.93116666668,8.71591666667,6.713,6.15733333333,6.83466666667,7.81866666667
586.04,5.293,50.3750833333,46.4775,44.948,9.06633333332,8.75025,6.77083333334,6.14233333333,6.9325,7.8415
586.38,5.29533333333,50.36,46.5181666667,44.9608333333,9.1135,8.72625,6.81275,6.10216666667,6.977,7.8395
586.72,5.21166666666,50.3578333334,46.3935,44.9543333334,9.13016666665,8.621,6.72933333333,6.0245,6.99433333333,7.85066666667
587.06,5.18683333334,50.32025,46.3758333334,44.9026666667,9.21100000001,8.5295,6.61208333333,5.99016666666,6.94,7.81783333334
587.39,5.20483333334,50.341,46.4181666667,45.0056666667,9.35683333332,8.49391666667,6.6305,6.03533333334,7.03,7.8165
587.73,5.1765,50.2983333334,46.3858333333,44.83,9.43499999998,8.48933333334,6.66675,6.0205,7.09716666667,7.79833333333
588.07,5.20733333334,50.3589166667,46.4316666667,44.9273333333,9.57966666665,8.49525,6.68841666667,5.988,7.15916666667,7.80916666666
588.41,5.2605,50.4188333334,46.492,45.0883333334,9.77366666668,8.52508333334,6.75258333334,6.05783333333,7.22716666667,7.85883333333
588.74,5.293,50.56925,46.6283333333,45.1048333334,9.97616666666,8.572,6.78816666667,6.1185,7.3095,7.93466666667
589.08,5.25316666666,50.4289166666,46.461,44.9878333333,10.011,8.48916666666,6.74316666667,6.10433333333,7.29866666666,7.878
589.42,5.29766666667,50.4930833334,46.5141666667,45.0443333333,10.1928333333,8.54258333334,6.80433333334,6.183,7.45116666666,7.92916666666
589.76,5.33266666667,50.4996666667,46.3586666666,45.064,10.3571666667,8.576,6.829,6.25783333334,7.59066666667,7.95833333334
590.09,5.3785,50.54975,46.3913333333,45.1215,10.527,8.58416666667,6.827,6.32266666667,7.69033333333,8.006
590.43,5.38783333333,50.5631666666,46.4805,45.1216666667,10.6411666667,8.57508333333,6.83666666666,6.32216666666,7.69866666666,7.95533333334
590.77,5.44083333334,50.5488333334,46.4848333333,45.1201666667,10.7896666667,8.675,6.9105,6.39616666666,7.85316666666,8.04966666667
591.11,5.44433333333,50.6051666666,46.4775,45.0986666667,10.9013333333,8.69533333334,6.93266666666,6.4,7.90933333334,8.06716666666
591.44,5.40766666667,50.6036666666,46.4216666667,45.091,11.0281666667,8.61908333334,6.87433333334,6.324,7.92316666667,8.04733333334
