wavelength,Back_TacSurm,Belly_TacSurm,Breast_TacSurm,Crissum_TacSurm,Crown_TacSurm,DorTail_TacSurm,Patch10_TacSurm,Patch11_TacSurm,Rump_TacSurm,Throat_TacSurm,WingTip_TacSurm
754.73,3.924,5.3482,4.754,6.40525666667,44.713,8.64906666667,54.9427333333,3.45486666667,44.7708666667,6.06033333333,10.6700666667
755.05,3.82073333333,5.34193333334,4.80253333333,6.46626666667,44.6714,8.63526666667,55.0443333333,3.3248,44.7612666667,5.97646666667,10.6186666667
755.36,3.59886666667,5.0974,4.67606666667,6.27346,44.3162,8.3756,54.8390666667,3.09713333333,44.456,5.70933333333,10.442
755.67,3.5996,5.11093333333,4.5906,6.35585,44.3392666667,8.30613333333,54.8152,3.2422,44.5042666667,5.64346666666,10.3647333333
755.99,3.48173333333,5.09273333333,4.5558,6.31073666667,44.1821333333,8.25293333333,54.8601333333,3.25406666667,44.5584,5.57793333333,10.3736
756.30,3.7108,5.25013333333,4.7584,6.45539333333,43.9419333333,8.30693333334,54.5236666667,3.487,44.355,5.68313333333,10.5718666667
756.62,3.4832,5.0184,4.59086666667,6.25870666667,43.5985333333,8.0644,54.1881333333,3.26946666667,43.9819333333,5.53433333333,10.2774666667
756.93,3.37413333333,4.95866666667,4.581,6.19602666667,43.4975333333,7.98473333333,54.2786666667,3.1692,44.1095333333,5.5536,10.2874
757.24,3.64393333333,5.31993333333,4.98066666667,6.51662333333,43.889,8.28820000001,54.737,3.65886666667,44.6492666667,5.81986666667,10.6943333333
757.56,3.7264,5.39566666667,5.16813333333,6.65000333333,44.0924666667,8.36793333334,54.8022,3.81553333333,44.827,5.98913333333,10.8184666667
757.87,3.9552,5.48406666667,5.42306666667,6.80954,43.8965333333,8.4516,54.5232666667,4.01113333333,44.5916666667,6.26926666667,11.0338666667
758.18,3.86646666667,5.28726666667,5.3022,6.67495,43.9546,8.39326666667,54.4926666667,3.83453333333,44.7761333333,6.10893333333,10.9218666667
758.50,4.21326666667,5.55913333333,5.5422,6.86258333333,44.1061333333,8.61873333333,54.5966666667,4.14993333333,44.9263333333,6.31853333333,11.1622666667
758.81,4.24993333333,5.54593333333,5.3976,6.74249333333,44.1479333333,8.54113333334,54.605,4.07726666666,44.9865333333,6.22413333333,10.9774
759.13,4.4766,5.735,5.6094,6.74666,44.1258666667,8.67520000001,54.5311333333,4.2056,45.0792666667,6.44653333333,11.1433333334
759.44,4.80233333333,6.01146666667,5.876,6.92249666667,44.3912666666,8.92280000001,54.7599333333,4.45646666667,45.2568666667,6.54573333333,11.3432
759.75,4.82046666667,6.0456,5.95106666667,7.05214333333,44.8058,9.09013333333,55.2062,4.493,45.672,6.5552,11.5551333333
760.07,5.13233333333,6.25393333333,6.3146,7.43085666667,45.2465333333,9.53873333333,55.7757333333,4.68066666667,46.2369333333,6.77833333333,11.896
760.38,5.33373333333,6.46226666667,6.6402,7.64761666667,45.4516666667,9.82319999999,56.0183333333,4.9176,46.4526,6.9746,12.0823333333
760.69,5.39666666667,6.44286666667,6.51106666666,7.69848333333,45.4035333333,9.81966666666,55.7606666667,4.87566666667,46.2236666667,7.0084,12.0538
761.01,5.1638,6.4352,6.23373333333,7.59716333333,45.5227333333,9.57506666667,55.8503333333,4.6962,46.4302666667,6.8542,11.9555333333
761.32,4.8594,6.21486666667,5.87186666667,7.25204,45.7742666666,9.19393333335,56.0468,4.3574,46.5894666667,6.43266666667,11.6394
761.63,4.7292,6.20753333333,5.82273333333,7.17951333333,45.8248666667,8.94713333334,55.9702666667,4.38186666667,46.5355333333,6.4218,11.7109333333
761.94,4.30326666667,5.95893333334,5.5228,6.89206666667,45.6998666667,8.61293333334,55.8631333333,4.03993333333,46.4222666667,6.18866666667,11.4882666667
762.26,4.39673333333,6.06686666667,5.6812,7.00166,45.9033333333,8.70639999999,55.9305333333,4.1482,46.602,6.42046666667,11.7034666667
762.57,4.58206666667,6.27113333333,5.95766666667,7.25761,46.0470666666,8.99086666667,56.2576666667,4.34833333333,46.8518,6.70573333333,11.9540666667
762.88,4.39666666667,6.07006666667,5.85086666667,7.17184,46.2873333333,8.84893333334,56.3769333333,4.14146666667,47.0784,6.7486,11.8564
763.20,4.3454,6.0798,5.82366666667,7.12973,46.3154,8.81973333334,56.1648666667,4.166,47.0572666667,6.80493333334,11.7502666667
763.51,4.32046666667,6.12753333333,5.8312,7.02052,46.2086,8.73113333333,55.8724666667,4.25613333333,46.9446,6.847,11.76
763.82,4.21106666667,5.97033333333,5.587,6.88204666667,46.1896,8.56773333333,55.7687333333,4.04893333333,46.9264,6.67413333333,11.5703333333
764.14,3.8764,5.7162,5.37213333333,6.60066,45.8984,8.34273333333,55.6286666666,3.66626666667,46.7672,6.41166666667,11.25
764.45,4.071,5.8412,5.59566666667,6.74586,45.9545333333,8.55213333333,55.7986,3.80453333333,46.8593333333,6.60426666667,11.4687333333
764.76,4.295,6.08246666667,5.8496,7.00890333333,46.0708,8.90833333333,56.002,4.06786666667,47.1304666667,6.95773333333,11.771
765.07,4.38433333333,6.25946666667,6.0208,7.17345666667,46.0369333333,9.13553333333,55.9507333333,4.2558,47.1821333333,7.16206666667,11.8893333333
765.39,5.01426666667,6.80026666667,6.55613333333,7.73979666667,46.4267333333,9.82993333334,56.2734,4.85126666667,47.6286,7.7538,12.4570666667
765.70,5.363,7.11646666667,6.94540000001,8.16207666667,46.7369333333,10.2963333333,56.5,5.1898,47.9329333333,8.1216,12.8725333333
766.01,5.32033333333,7.09766666666,6.80106666667,8.01245,46.8103333333,10.1797333333,56.4662666667,5.14886666667,47.8901333333,7.99446666667,12.856
766.32,5.498,7.37766666667,6.83706666667,8.16145666667,46.8639333334,10.2921333333,56.5180666667,5.24466666667,47.9742666667,8.14226666667,13.0482666666
766.64,5.31893333333,7.2394,6.5722,7.97449666667,46.5618,9.98340000001,56.448,4.89186666667,47.8122666667,7.90426666667,12.9292666667
766.95,5.30506666667,7.259,6.37453333333,7.93922,46.6210666666,9.95573333331,56.6868,4.68846666667,47.9666666667,7.84346666667,12.9231333333
767.26,5.49813333333,7.58153333334,6.57019999999,8.13763666667,46.4902,10.2328,56.5907333333,4.9662,47.8214666667,8.10533333333,13.2258666667
767.57,6.23466666667,8.19146666667,7.21726666666,8.66663333333,46.6441333334,10.7157333333,56.6681333333,5.66713333333,48.1096,8.76453333333,13.9376
767.88,6.50433333333,8.46366666667,7.50719999999,8.95609666666,46.8029333333,10.9825333333,56.5246666667,5.92746666667,48.084,9.09273333333,14.1507333333
768.20,6.41773333333,8.4504,7.5052,8.90618000001,46.6400666667,11.0223333333,56.1837333333,5.8844,47.8636,8.98966666667,14.0681333333
768.51,6.66346666667,8.5934,7.59626666667,9.07645333333,47.1421333333,11.2104,56.4781333333,5.87826666667,48.1944666667,9.1088,14.2230666667
768.82,5.9546,7.8608,6.91566666667,8.36518666667,46.8839333333,10.4374666667,56.4336,5.1374,47.9183333333,8.32693333333,13.4579333333
769.13,4.87746666667,6.94833333333,5.89126666666,7.24752,46.2789333333,9.38046666665,55.9310666667,4.11526666667,47.2465333333,7.25313333333,12.4023333333
769.44,3.94426666667,6.06426666667,5.1902,6.60185,46.2879333333,8.67673333334,55.6703333333,3.19046666666,47.0282,6.4154,11.7261333333
769.76,3.36873333334,5.38,4.66946666667,6.04328333333,45.9914666667,8.04533333333,55.4825333333,2.62986666667,46.649,5.87126666667,11.2584
770.07,3.31706666667,5.16913333333,4.471,5.89184666667,46.1964666667,8.07026666667,55.7751333333,2.56113333333,46.7354,5.907,11.1267333333
770.38,2.88133333333,4.73713333333,3.96526666667,5.49237,45.9315333333,7.60759999999,55.3290666667,2.15733333333,46.3027333333,5.6084,10.7020666666
770.69,2.406,4.19233333333,3.4208,5.00451333333,46.3816,7.07726666666,55.6138666667,1.76726666667,46.4955333333,5.33266666667,10.2659333333
771.00,2.04046666667,3.8942,2.94393333333,4.84795333333,46.8263333333,6.7486,55.736,1.4954,46.5458666667,4.87926666667,9.92206666666
771.32,1.73253333333,3.4292,2.49906666667,4.40782,46.8263333333,6.38306666667,55.8683333333,1.22953333333,46.8144,4.3592,9.50500000001
771.63,1.7638,3.25353333333,2.3204,4.16919666667,47.2724,6.22873333333,56.1204,1.23586666667,47.1619333333,4.35033333333,9.48626666667
771.94,2.0268,3.5954,2.48913333333,4.36742333333,47.1743333334,6.51386666667,56.3921333333,1.72146666667,47.4632666667,4.6606,9.6264
772.25,2.67166666666,4.21486666667,3.06166666667,5.01961,47.7287333333,7.00273333333,56.3989333333,2.37286666667,47.8322666667,5.34746666667,10.3296666667
772.56,3.76913333333,5.21793333333,4.13853333333,6.20369333333,48.4308666667,8.14853333333,57.0236,3.50346666667,48.6094666667,6.538,11.6022666667
772.87,4.64346666667,5.99493333333,5.04973333333,7.02041333333,48.7727333333,9.00499999999,57.471,4.42793333333,49.0546666666,7.50813333333,12.1725333333
773.18,4.89126666667,6.02173333333,5.38106666667,7.28589333333,49.1792666667,9.36766666666,57.4706666667,4.61473333333,49.4136666667,7.634,12.2446
773.50,4.5744,5.77293333333,5.2224,7.13037,48.9793333333,9.09766666667,57.086,4.265,49.1316666667,7.18766666667,11.9354666667
773.81,4.74713333333,5.99526666667,5.70266666667,7.43102333333,49.5244666667,9.417,57.6499333333,4.70406666667,49.8084666667,7.35973333333,12.1325333333
774.12,4.67133333333,5.7316,5.66686666667,7.31241666667,49.0196,9.21346666667,57.2548666667,4.55066666667,49.7737333333,7.23113333333,12.006
774.43,4.8394,5.90813333333,5.96,7.45702333333,48.4895333333,9.36866666667,56.9618666667,4.80933333333,49.6485333333,7.57166666667,12.1783333333
774.74,5.40533333333,6.4456,6.42833333333,8.00127333334,48.9248666667,9.83513333333,57.3386,5.18853333333,50.0174,8.0538,12.6094666666
775.05,6.07106666667,6.92986666667,6.88246666666,8.56635999999,48.8241333333,10.3172666667,57.3247333333,5.5058,50.1402,8.37973333332,13.0270666667
775.36,5.3018,6.01466666667,6.34739999999,7.79348333333,48.3333333333,9.46626666666,56.8459333333,4.63253333333,49.8293333333,7.55466666667,12.5416666667
775.67,4.85653333333,5.6204,5.88073333333,7.20868666667,48.0352,9.17879999999,56.7593333333,4.159,49.5363333333,7.18326666667,12.0220666667
775.98,4.34833333333,4.98673333333,5.09306666667,6.47617666667,47.1632,8.49273333333,56.2100666667,3.51053333333,48.7676666667,6.60453333333,11.1390666667
776.30,4.33026666667,4.71733333333,4.87753333333,6.12953,46.8580666667,8.21093333333,55.8388666667,3.45346666667,48.5136,6.2482,11.2104
776.61,4.42086666667,5.09173333334,4.95913333333,6.24161,46.2872666667,8.38746666667,55.4334666667,3.90033333333,48.0035333333,6.25633333333,11.423
776.92,5.13166666667,5.79386666667,5.6536,6.84102,46.4474666667,9.00440000001,55.7148666667,4.5218,48.3902666667,7.0966,12.1798
777.23,5.38733333333,5.7572,5.71373333333,6.97321,45.8485333333,9.0992,55.1478666667,4.33866666667,48.0026,7.30633333333,12.3889333333
777.54,6.23020000001,6.74966666667,6.65786666667,7.91253,46.5836666667,10.0742,55.7984666667,4.99993333333,48.7172666667,8.18066666667,13.3596
777.85,5.6724,6.2028,6.2824,7.60392333333,46.8390666667,9.71066666666,55.7412,4.3296,48.7564666667,7.64746666667,12.9709333333
778.16,4.6596,5.34926666667,5.19806666667,6.81312,45.8076666667,8.76286666667,54.8776666667,3.31113333333,47.846,6.59553333333,12.2207333333
778.47,3.5908,4.38586666666,4.24126666666,6.00661666667,45.3614666667,7.8862,54.4987333333,2.44806666667,46.9648,5.62786666667,11.4318666667
778.78,3.50886666667,4.42933333333,4.1924,6.01823,45.5412,8.1386,54.6048,2.4698,46.9536666667,5.65053333333,11.3010666667
779.09,3.58093333333,4.39706666667,4.3558,5.94376333333,45.4561333333,8.11106666666,54.5712,2.37033333333,47.0564,5.54786666667,11.4443333333
779.40,3.6556,4.26346666667,4.5442,5.78763333333,45.3408,7.93733333333,54.1021333333,2.127,47.0166,5.23933333333,11.5469333333
779.71,2.8026,3.5708,3.60326666667,5.14737,44.5670666667,7.0764,53.2774,1.24773333333,46.5176,4.53433333333,10.7262666667
780.02,2.91846666667,3.56913333333,3.569,5.01988333333,44.6487333334,7.05806666667,53.3804,1.1362,46.9779333333,4.6958,10.8862666667
780.33,2.3512,3.197,3.13986666667,4.48557333333,44.5638666667,6.71926666667,53.19,0.874666666666,46.7719333333,4.28666666667,10.4612666667
780.64,3.27053333333,4.12086666667,4.03866666667,5.55796666666,45.6666,7.68113333333,54.2319333333,2.06286666667,47.6232666667,5.18353333334,11.3042666667
780.95,2.70453333333,3.58813333333,3.44733333333,4.82325,45.0060666667,7.22013333333,53.5470666667,1.79166666667,46.7445333333,4.32633333333,10.7113333333
781.26,3.19646666667,4.20333333333,3.82213333333,5.14930333333,45.3275333333,8.10853333334,54.1006,2.61,46.9354,4.9854,11.3538
781.57,2.4894,3.64953333333,3.5998,4.34947666666,45.4516666667,7.767,54.0352666667,2.09606666667,46.9902666667,4.79966666667,10.7096
781.88,2.14873333333,3.50106666667,3.56113333333,3.9559,44.9686,7.3428,53.4686666667,1.90333333333,46.8570666667,4.8736,10.328
782.19,2.69593333333,3.9658,4.0614,4.36728333333,45.3818666667,7.59893333333,53.5953333333,2.2676,47.105,5.1448,11.0304666667
782.50,2.6252,3.8284,3.87913333333,4.39763333333,45.0926666667,7.6162,53.2927333333,2.29,46.9358,5.03673333333,11.0586666667
782.81,1.95933333333,3.66593333333,3.59893333333,4.43310333333,45.2487333333,7.605,53.4828666667,2.21706666667,46.8420666667,4.97046666667,10.8018666667
783.12,2.30853333333,4.2858,4.20286666667,5.37151666667,46.0042,8.58180000001,54.0889333333,2.91933333333,47.3033333333,5.53833333333,11.4079333333
783.43,2.47853333333,4.4166,4.35953333333,5.85764333333,46.1520666667,8.79726666665,54.2894,3.22153333333,47.3784666667,5.7002,11.3692
783.74,2.78773333333,4.53673333334,4.54193333333,6.25577333333,46.2594666667,8.95333333333,54.3460666667,3.3412,47.3923333334,5.70093333333,11.6314666667
