wavelength,Back_MelNigm,Belly_MelNigm,Breast_MelNigm,Crissum_MelNigm,Crown_MelNigm,DorTail_MelNigm,Patch10_MelNigm,Rump_MelNigm,Throat_MelNigm,WingTip_MelNigm
364.57,4.41893333333,4.65166666667,3.88193333333,4.43613333333,4.09673333333,5.302,31.2250666667,5.25266666667,3.13046666667,7.5076
364.93,4.44573333333,4.7254,3.9166,4.50606666667,4.15273333333,5.34453333333,31.3655333333,5.2784,3.19586666667,7.56593333333
365.29,4.4654,4.76346666667,3.93626666667,4.55106666667,4.1722,5.39583333333,31.4606,5.29266666666,3.23606666667,7.61246666667
365.66,4.3376,4.61206666667,3.82206666667,4.46313333333,4.04753333333,5.23883333333,31.4174,5.1664,3.11946666667,7.47486666667
366.02,4.31246666667,4.56546666667,3.78693333333,4.45613333333,4.0002,5.21733333333,31.4093333333,5.154,3.10646666667,7.43313333333
366.38,4.3116,4.55653333333,3.77526666667,4.47566666667,3.99526666667,5.1932,31.4156666667,5.1188,3.0914,7.43133333333
366.75,4.34146666667,4.59506666667,3.8242,4.51186666667,4.02346666667,5.1982,31.4893333333,5.14066666666,3.12306666667,7.46533333334
367.11,4.23313333333,4.48046666667,3.7006,4.38413333333,3.91213333333,5.0786,31.4736666667,5.0222,3.03933333334,7.33626666667
367.47,4.15086666667,4.39566666667,3.61086666667,4.321,3.8596,4.99983333333,31.5863333333,4.958,2.99273333334,7.27433333333
367.84,4.17413333333,4.391,3.6068,4.35526666667,3.8974,5.03023333333,31.6778666667,4.97293333333,3.00546666667,7.30633333333
368.20,4.20653333333,4.40306666667,3.6338,4.3952,3.91493333333,5.04786666667,31.7577333333,4.98706666666,3.02126666667,7.3158
368.56,4.1712,4.34953333333,3.59533333333,4.35446666666,3.86673333333,5.01283333333,31.826,4.93653333333,2.98133333333,7.29906666667
368.93,4.1524,4.33646666667,3.58466666667,4.32006666667,3.873,4.94746666667,31.8996666667,4.91613333333,2.95966666667,7.27246666667
369.29,4.0894,4.25493333333,3.508,4.24866666667,3.81046666667,4.85486666667,31.9358666667,4.8268,2.89253333333,7.1752
369.65,4.1728,4.36993333333,3.57886666667,4.28093333333,3.9012,4.9648,32.0941333333,4.89073333333,2.97973333333,7.27493333333
370.01,4.20693333333,4.40233333333,3.61306666667,4.28386666667,3.93746666667,4.98013333333,32.2134,4.91666666667,3.01853333333,7.30566666667
370.38,4.24146666667,4.43286666667,3.63853333333,4.31546666667,3.96866666667,5.01316666667,32.3362666667,4.98146666667,3.02573333333,7.31793333333
370.74,4.25406666667,4.43986666666,3.6474,4.33286666667,3.9868,5.0332,32.4669333333,5.00566666667,3.04493333333,7.33573333333
371.10,4.36173333333,4.5248,3.76566666667,4.43606666667,4.0994,5.16466666667,32.6588,5.116,3.14673333333,7.4358
371.46,4.48346666667,4.6,3.8642,4.51633333333,4.1948,5.26906666667,32.758,5.2034,3.23053333333,7.53713333334
371.83,4.54746666667,4.66726666667,3.94913333333,4.5738,4.2596,5.3453,33.0033333333,5.27613333333,3.28013333333,7.62893333333
372.19,4.5548,4.68446666667,3.95653333333,4.58526666667,4.29346666667,5.34736666667,33.0782666667,5.29526666667,3.32,7.67113333333
372.55,4.6574,4.77506666667,4.05953333333,4.68733333333,4.39613333333,5.41793333333,33.1908,5.37866666667,3.40386666667,7.74
372.92,4.64226666667,4.7418,4.06533333333,4.6948,4.38193333333,5.43733333333,33.251,5.36833333333,3.37526666667,7.73166666667
373.28,4.722,4.82866666667,4.17586666667,4.79673333333,4.48586666667,5.57256666667,33.3916666667,5.49106666667,3.47093333333,7.83293333333
373.64,4.7214,4.83006666667,4.18053333333,4.82226666667,4.48433333333,5.5933,33.4752,5.5072,3.45753333333,7.8246
374.00,4.75526666667,4.84013333333,4.18373333333,4.854,4.4958,5.62106666667,33.5445333333,5.5116,3.4552,7.82733333333
374.37,4.75426666667,4.83113333333,4.17646666667,4.8704,4.5102,5.6059,33.6527333333,5.50246666667,3.47906666666,7.851
374.73,4.6634,4.73293333333,4.0816,4.7596,4.39686666667,5.52343333333,33.6896666667,5.39006666667,3.36953333333,7.7468
375.09,4.59173333333,4.70693333334,4.01113333333,4.7234,4.32693333333,5.43933333333,33.6810666667,5.34906666667,3.30753333334,7.69806666667
375.45,4.53986666667,4.70233333333,3.9782,4.69993333333,4.29486666667,5.44563333333,33.7854,5.35206666667,3.2882,7.66293333333
