wavelength,Back_TanJohm,Belly_TanJohm,Breast_TanJohm,Crissum_TanJohm,Crown_TanJohm,DorTail_TanJohm,Patch10_TanJohm,Patch11_TanJohm,Patch12_TanJohm,Rump_TanJohm,Throat_TanJohm,WingTip_TanJohm
586.38,18.336,30.4811111111,56.4202222222,27.3133333333,33.3051555555,13.0576666666,17.7338888889,8.89044444445,29.7348888889,78.1743333333,6.90288888889,13.3266666667
586.72,18.2863333333,30.3852222222,56.1146666667,27.3616666666,33.2128666667,13.0836666667,17.6847777778,8.8858888889,29.551,78.051,6.90222222222,13.3552222222
587.06,18.1803333333,30.2626666667,55.7514444444,27.329,33.0168444444,13.0823333333,17.608,8.89,29.3511111111,77.8277777778,6.94077777778,13.3365555555
587.39,18.0901111111,30.2411111111,55.4347777778,27.2401111111,32.8684666667,13.0931111111,17.5677777778,8.89100000001,29.1696666667,77.6286666666,6.98011111111,13.3064444445
587.73,18.0275555555,30.2266666667,55.1223333334,27.2423333333,32.7574444445,13.0492222222,17.5212222222,8.97633333332,28.9951111111,77.497,6.97444444445,13.3481111111
588.07,17.9665555556,30.2866666667,54.8701111111,27.2844444444,32.6590222222,13.0491111111,17.5476666667,8.99555555557,28.8507777778,77.4063333333,7.02211111111,13.3781111111
588.41,17.8283333333,30.173,54.5754444444,27.2875555555,32.5385777778,12.973,17.378,8.94177777779,28.6753333333,77.2712222222,6.956,13.3231111111
588.74,17.7772222222,30.0986666667,54.3275555556,27.2695555556,32.3773333333,12.9763333333,17.3136666667,8.978,28.5051111111,77.2157777778,6.96955555556,13.3755555556
589.08,17.7266666667,30.0047777778,54.0161111111,27.2808888889,32.2365333333,12.9776666667,17.2675555555,9.01833333333,28.372,77.0101111111,6.99566666667,13.3983333333
589.42,17.6833333333,29.8735555555,53.6536666667,27.2667777778,32.0631333333,12.9616666667,17.1975555555,9.02544444443,28.1907777778,76.8486666667,6.94577777778,13.3994444444
589.76,17.6625555556,29.8296666667,53.3663333333,27.2573333333,31.8839777778,12.9691111111,17.0926666667,9.02777777779,27.9906666666,76.6415555556,6.93855555555,13.4312222222
590.09,17.5611111111,29.7361111111,53.0933333334,27.2366666666,31.7254666666,12.9063333333,17.0076666667,8.97777777779,27.7922222222,76.4743333333,6.85788888889,13.3513333333
590.43,17.4758888889,29.6646666667,52.8151111111,27.1904444444,31.5181111111,12.8592222222,16.9001111111,8.94922222223,27.5878888889,76.4187777778,6.879,13.3513333333
590.77,17.53,29.6924444444,52.7566666667,27.3517777778,31.4864,12.9446666667,16.873,9.02022222221,27.52,76.4725555556,6.93688888889,13.435
591.11,17.4973333334,29.632,52.5461111111,27.3961111111,31.3369777778,12.9156666667,16.794,8.95744444446,27.3511111111,76.4475555555,6.86811111111,13.4256666667
591.44,17.3406666666,29.4905555555,52.2206666667,27.317,31.1044888889,12.8527777778,16.6156666667,8.84644444446,27.1234444445,76.1955555556,6.786,13.3078888889
591.78,17.3085555555,29.4428888889,51.9538888889,27.2678888889,30.9313111111,12.7985555555,16.5157777778,8.82499999999,26.8944444444,76.1343333333,6.734,13.2747777778
592.12,17.3518888889,29.4624444444,51.6703333333,27.3237777778,30.7839111111,12.8275555556,16.5537777778,8.89922222222,26.7311111111,76.0176666667,6.84366666666,13.3857777778
592.46,17.2731111111,29.411,51.3848888889,27.2842222222,30.6286444444,12.7852222222,16.4446666667,8.85422222221,26.5834444444,75.932,6.79133333333,13.3264444445
592.79,17.1411111111,29.3575555556,51.1475555556,27.2281111111,30.4834222222,12.6987777778,16.3612222222,8.77744444446,26.3663333333,75.8407777778,6.73333333333,13.2532222222
593.13,17.0954444444,29.4133333333,50.9873333333,27.2522222222,30.4137555555,12.6767777778,16.3282222222,8.767,26.201,75.9525555556,6.74222222222,13.2307777778
593.47,16.9853333333,29.2968888889,50.6164444444,27.2385555556,30.2719777778,12.6038888889,16.2826666667,8.738,26.0307777778,75.7643333333,6.74411111111,13.2225555556
593.80,16.935,29.2051111111,50.2006666667,27.1581111111,30.0527333333,12.5715555555,16.2324444445,8.77777777778,25.8483333333,75.4496666667,6.76122222222,13.2224444445
594.14,16.8366666667,29.1948888889,49.8957777778,27.0913333334,29.9199555556,12.5,16.1801111111,8.75977777778,25.6557777778,75.2373333333,6.73088888889,13.1998888889
594.48,16.7175555556,29.092,49.3475555556,26.9128888889,29.6798666667,12.4003333333,16.0997777778,8.70422222221,25.408,74.8932222222,6.68577777778,13.189
594.81,16.622,29.0172222222,48.9442222222,26.8482222222,29.5186222222,12.3553333333,16.0342222222,8.73100000001,25.2212222222,74.7152222222,6.675,13.2186666666
595.15,16.6493333333,29.0075555556,48.6788888889,26.899,29.4138222222,12.3868888889,16.0482222222,8.77855555557,25.1111111111,74.6851111111,6.69633333333,13.2892222222
595.49,16.5368888889,28.8888888889,48.4171111111,26.8895555556,29.2687777778,12.3646666667,15.9791111111,8.7581111111,24.9525555556,74.5211111111,6.69977777778,13.2857777778
595.82,16.4848888889,28.8312222222,48.1875555556,26.8612222222,29.1542888889,12.3664444444,15.9197777778,8.76711111112,24.8691111111,74.4376666667,6.67411111111,13.31
596.16,16.4717777778,28.8331111111,47.9746666667,26.8741111111,29.0759333334,12.3401111111,15.886,8.74877777778,24.7524444445,74.3965555555,6.67866666667,13.3267777778
596.50,16.4592222222,28.8465555555,47.7382222222,26.9014444444,29.0115111111,12.3988888889,15.885,8.834,24.6706666667,74.3566666667,6.74,13.3867777778
596.83,16.4154444444,28.8317777778,47.5304444445,26.8501111111,28.8732888889,12.3408888889,15.7983333333,8.78988888888,24.5717777778,74.1935555556,6.71122222222,13.3992222222
597.17,16.4316666667,28.8947777778,47.4814444444,26.9361111111,28.8043333334,12.4244444445,15.8797777778,8.88455555557,24.5336666667,74.2466666667,6.80533333333,13.4991111111
597.51,16.364,28.8582222222,47.3242222222,26.9716666667,28.7016888889,12.374,15.7842222222,8.82666666665,24.3831111111,74.317,6.80688888889,13.4574444445
597.84,16.3865555555,28.8523333333,47.1835555556,27.0438888889,28.6272666667,12.4441111111,15.8126666666,8.93222222221,24.3672222222,74.2847777778,6.89077777778,13.5383333333
598.18,16.4046666667,28.9094444445,47.1172222222,27.1215555556,28.5988444444,12.4702222222,15.8373333333,8.94544444446,24.3525555556,74.324,6.937,13.5964444445
598.52,16.3882222222,28.9271111111,46.9583333333,27.1566666667,28.502,12.4885555556,15.8401111111,8.96777777778,24.2435555556,74.2747777778,6.99977777778,13.6421111111
598.85,16.3591111111,28.9282222222,46.7478888889,27.1406666667,28.4010444445,12.508,15.8236666667,8.99855555557,24.1568888889,74.1998888889,7.08044444444,13.707
599.19,16.4268888889,28.9673333334,46.5287777778,27.1886666667,28.3116444444,12.566,15.8196666667,9.07366666668,24.1607777778,74.1651111111,7.146,13.856
599.53,16.288,28.8894444444,46.2512222222,27.1358888889,28.1540666667,12.5041111111,15.7615555556,9.00466666667,23.9225555555,74.0557777778,7.15122222222,13.7685555556
599.86,16.257,28.8807777778,45.9941111111,27.2103333333,28.0354,12.5706666667,15.7267777778,9.05522222223,23.7991111111,73.923,7.19744444445,13.8438888889
600.20,16.1527777778,28.802,45.7507777778,27.171,27.8583555556,12.4837777778,15.5893333333,8.98755555555,23.5932222222,73.756,7.14933333333,13.8018888889
600.53,16.0594444444,28.7282222222,45.4157777778,27.1281111111,27.7134888889,12.5052222222,15.58,9.04622222223,23.4107777778,73.4396666667,7.23322222222,13.8208888889
600.87,15.9345555556,28.5941111111,44.9416666667,26.981,27.4817111111,12.4107777778,15.4097777778,8.97766666667,23.1623333333,73.0705555556,7.17011111111,13.7514444445
601.21,15.8827777778,28.5072222222,44.5482222222,26.9058888889,27.3289777778,12.3841111111,15.3515555556,8.96366666667,23.0061111111,72.8117777778,7.119,13.7732222222
601.54,15.8213333333,28.4445555555,44.2536666667,26.8532222222,27.1816444444,12.3345555555,15.2695555555,8.8608888889,22.8136666667,72.6714444444,7.08077777778,13.6698888889
601.88,15.6974444444,28.3,43.8772222222,26.8033333333,26.9565555556,12.2706666667,15.1751111111,8.84233333334,22.5666666667,72.5151111111,7.02855555556,13.6065555556
602.21,15.5755555555,28.1844444444,43.5396666667,26.7104444444,26.7677111111,12.2011111111,15.0567777778,8.79322222221,22.4082222222,72.2493333333,6.96933333333,13.5691111111
602.55,15.5572222222,28.1448888889,43.3173333333,26.7221111111,26.6341777778,12.1793333333,14.9934444444,8.79633333334,22.2744444444,72.0802222222,6.91333333333,13.5365555556
602.88,15.4762222222,28.1054444445,42.9876666667,26.6791111111,26.4768,12.134,14.9174444445,8.80066666666,22.0536666667,71.8785555555,6.92144444444,13.4576666667
603.22,15.5007777778,28.0555555555,42.6795555556,26.634,26.3335555556,12.126,14.8551111111,8.82155555557,21.9757777778,71.6566666667,6.88866666667,13.5042222222
603.56,15.4035555556,27.9783333333,42.4225555556,26.523,26.124,12.081,14.8311111111,8.78155555557,21.8268888889,71.435,6.87344444445,13.4958888889
603.89,15.3937777778,27.905,42.1334444444,26.4704444444,26.0017555556,12.0835555556,14.7908888889,8.76155555556,21.7325555555,71.203,6.84266666667,13.5147777778
604.23,15.3722222222,27.8691111111,41.9647777778,26.4861111111,25.8906444444,12.0411111111,14.7474444444,8.73755555556,21.6403333334,71.1771111111,6.82511111111,13.5096666667
604.56,15.3618888889,27.8314444445,41.8143333333,26.4896666666,25.8356666667,12.0344444445,14.6957777778,8.71544444445,21.5954444444,71.1443333333,6.84744444444,13.4614444444
604.90,15.4236666667,27.9608888889,41.7585555556,26.5734444444,25.8294222222,12.1073333333,14.7696666667,8.81255555554,21.5875555556,71.1616666667,6.92844444445,13.5904444444
605.23,15.3575555556,27.904,41.5215555555,26.5525555555,25.6965777778,12.0711111111,14.7163333333,8.79211111112,21.475,71.0253333333,6.87088888889,13.6182222222
605.57,15.3542222222,27.8747777778,41.394,26.5645555556,25.6311111111,12.0826666667,14.6912222222,8.7928888889,21.4401111111,70.9071111111,6.89422222222,13.7011111111
605.90,15.3461111111,27.9008888889,41.2482222222,26.6186666667,25.5332444445,12.074,14.652,8.80466666668,21.3454444445,70.8344444444,6.94044444445,13.6886666667
606.24,15.2383333333,27.8387777778,40.9817777778,26.5798888889,25.3954666666,12.0087777778,14.5932222222,8.7718888889,21.1748888889,70.7004444444,6.91877777778,13.7018888889
606.58,15.2,27.7926666666,40.8078888889,26.583,25.2969333333,11.9861111111,14.5492222222,8.74788888889,21.1178888889,70.6406666667,6.89355555556,13.7353333333
606.91,15.0953333334,27.7931111111,40.6337777778,26.5842222222,25.1667555556,11.9788888889,14.4945555555,8.74922222223,20.9866666667,70.593,6.862,13.7262222222
607.25,15.0344444444,27.7583333333,40.3837777778,26.5782222222,25.0684222222,11.9393333333,14.4341111111,8.721,20.8445555556,70.4478888889,6.866,13.7186666667
607.58,15.0573333333,27.8198888889,40.1815555556,26.6257777778,25.0013777778,11.9682222222,14.4892222222,8.777,20.7854444444,70.3577777778,6.96377777778,13.805
607.92,15.0372222222,27.7935555556,39.9603333333,26.6224444444,24.8616444444,12.0191111111,14.4595555556,8.79799999999,20.6713333333,70.1963333333,6.99966666667,13.8606666667
608.25,14.9028888889,27.742,39.6772222222,26.5543333333,24.6816666667,11.9983333333,14.4372222222,8.84444444443,20.4778888889,69.9587777778,6.99655555556,13.855
608.59,14.8048888889,27.6134444445,39.4541111111,26.5146666667,24.5518,12.0154444445,14.355,8.8678888889,20.3808888889,69.7267777778,7.01644444444,13.8558888889
608.92,14.7736666667,27.6156666667,39.2505555555,26.518,24.4755333333,12.0193333333,14.3244444444,8.94566666668,20.3185555556,69.5892222222,7.05788888889,13.9452222222
609.26,14.6287777778,27.4941111111,38.946,26.3761111111,24.2577555556,11.8951111111,14.164,8.8828888889,20.0925555555,69.241,6.94411111111,13.789
609.59,14.5262222222,27.338,38.6522222222,26.2707777778,24.0714666667,11.8481111111,14.0647777778,8.83266666665,19.9271111111,68.9421111111,6.87055555556,13.7706666667
609.93,14.475,27.3021111111,38.4675555555,26.2156666667,23.9483777778,11.8647777778,13.9975555555,8.83222222221,19.8611111111,68.6682222222,6.90222222222,13.7714444444
610.26,14.3771111111,27.2292222222,38.25,26.1815555555,23.8247777778,11.8388888889,13.9492222222,8.84677777777,19.7208888889,68.41,6.91011111111,13.7441111111
610.60,14.3042222222,27.0955555555,37.994,26.0967777778,23.6801777778,11.7528888889,13.8958888889,8.82144444444,19.5537777778,68.0754444444,6.90222222222,13.7241111111
610.93,14.2714444445,27.056,37.81,26.1103333333,23.6007111111,11.7582222222,13.8503333334,8.86777777779,19.4718888889,67.9131111111,6.90688888889,13.7441111111
611.27,14.2014444445,26.9453333334,37.6597777778,26.0911111111,23.4780444444,11.7264444444,13.7683333333,8.85122222223,19.3504444444,67.7654444444,6.87411111111,13.7088888889
611.60,14.0852222222,26.8804444445,37.3425555556,26.0302222222,23.3241333333,11.6781111111,13.6826666666,8.83522222221,19.225,67.4822222222,6.79966666667,13.6325555556
611.93,14.1234444444,26.8812222222,37.2281111111,26.1247777778,23.2886,11.6851111111,13.6914444444,8.86633333335,19.2295555556,67.4121111111,6.79633333333,13.7165555556
612.27,14.0875555556,26.8614444444,37.0696666667,26.1372222222,23.1876,11.6513333333,13.6601111111,8.85466666668,19.1232222222,67.3802222222,6.77677777778,13.6688888889
612.60,14.0087777778,26.776,36.9215555556,26.0973333334,23.0331333333,11.5998888889,13.5857777778,8.76800000001,18.9701111111,67.2686666667,6.75177777778,13.6068888889
612.94,14.0137777778,26.8466666667,36.8017777778,26.1522222222,22.9777111111,11.6438888889,13.5867777778,8.77244444443,18.9793333333,67.4214444444,6.81277777778,13.665
613.27,14.0096666667,26.8852222222,36.6734444445,26.1904444444,22.8738222222,11.6431111111,13.5998888889,8.75800000001,18.8946666667,67.4604444444,6.84766666667,13.724
613.61,14.0138888889,26.901,36.5862222222,26.2822222222,22.8187333333,11.6491111111,13.6655555555,8.75855555555,18.8727777778,67.5857777778,6.85022222222,13.7443333333
613.94,14.1305555555,27.04,36.5662222222,26.3967777778,22.8503777778,11.7855555556,13.7563333333,8.88022222221,18.9735555556,67.6846666667,6.98477777778,13.8974444444
614.28,14.2552222222,27.1662222222,36.5758888889,26.5972222222,22.9276,11.9612222222,13.8721111111,8.99622222221,19.1035555555,67.8134444444,7.195,14.1006666667
614.61,14.1583333333,27.1104444444,36.3466666667,26.5888888889,22.8351555555,11.9347777778,13.818,8.97200000001,19.0454444445,67.7176666667,7.25055555556,14.0904444444
614.94,13.9888888889,27.0624444444,36.0536666667,26.4633333333,22.5959777778,11.8388888889,13.687,8.84988888888,18.8604444445,67.6487777778,7.13677777778,14.013
615.28,14.009,26.9888888889,35.9755555556,26.5235555556,22.5849555555,11.8034444445,13.722,8.83655555557,18.8184444444,67.686,7.15944444445,14.097
615.61,14.0137777778,27.0438888889,35.8721111111,26.5021111111,22.5104222222,11.8002222222,13.6781111111,8.81222222222,18.7228888889,67.6608888889,7.17233333333,14.1274444445
615.95,13.9722222222,27.0201111111,35.6421111111,26.4711111111,22.3503555555,11.7688888889,13.6593333333,8.776,18.6141111111,67.4454444444,7.15,14.1616666667
616.28,13.964,27.0346666667,35.4352222222,26.4832222222,22.2656666667,11.8008888889,13.675,8.84244444443,18.5486666667,67.3312222222,7.14955555555,14.157
616.61,13.922,26.9605555555,35.2368888889,26.4565555556,22.1657333333,11.8107777778,13.7197777778,8.86133333332,18.4403333333,67.0874444445,7.16822222222,14.1836666666
616.95,13.8913333333,27.0222222222,35.1482222222,26.4741111111,22.1748666667,11.8344444445,13.7437777778,8.93955555556,18.4072222222,67.0521111111,7.16988888889,14.1324444444
617.28,13.8773333333,26.9948888889,34.974,26.4523333333,22.0738,11.8246666667,13.642,8.93466666668,18.2483333333,66.9263333333,7.15844444445,14.1937777778
617.62,13.7407777778,26.8213333333,34.6984444444,26.3218888889,21.9003555556,11.7074444445,13.5252222222,8.82188888889,18.0091111111,66.6246666667,7.061,14.081
617.95,13.717,26.8066666667,34.5874444444,26.4034444445,21.8613111111,11.6928888889,13.5288888889,8.88233333332,17.9367777778,66.6173333333,6.99922222222,14.0301111111
618.28,13.816,26.8481111111,34.5971111111,26.4737777778,21.8593555555,11.7761111111,13.6203333333,9.00599999999,17.8951111111,66.7654444444,7.03733333333,14.1171111111
618.62,13.8892222222,26.8607777778,34.5231111111,26.5286666667,21.8295777778,11.7791111111,13.681,9.0818888889,17.8696666667,66.6498888889,7.12555555556,14.1605555556
618.95,13.8795555556,26.9616666667,34.4695555556,26.5458888889,21.7891777778,11.8887777778,13.7014444445,9.118,17.8488888889,66.7132222222,7.17977777778,14.2258888889
619.28,13.8032222222,26.837,34.2137777778,26.5046666667,21.6076,11.8327777778,13.6336666667,9.06333333333,17.7365555555,66.5872222222,7.13011111111,14.1925555556
619.62,13.7257777778,26.7982222222,34.0766666667,26.5092222222,21.5398888889,11.8034444445,13.5931111111,9.04355555556,17.6462222222,66.5615555555,7.13511111111,14.127
619.95,13.6055555556,26.6752222222,33.868,26.4414444444,21.3763777778,11.6736666667,13.4636666667,8.88144444445,17.5225555556,66.468,7.04433333334,14.0676666667
620.28,13.476,26.5663333333,33.6738888889,26.3774444445,21.2084666667,11.5278888889,13.334,8.79255555557,17.3593333333,66.3692222222,6.95477777778,13.9948888889
620.62,13.4304444444,26.4828888889,33.506,26.3693333333,21.1545777778,11.4725555556,13.2552222222,8.76688888889,17.2764444444,66.2965555555,6.991,14.0658888889
620.95,13.4413333333,26.4674444444,33.3613333333,26.3448888889,21.0792,11.4917777778,13.2725555555,8.82222222222,17.2816666667,66.1625555556,7.05444444444,14.0923333333
621.28,13.49,26.5021111111,33.2897777778,26.4498888889,21.0915333333,11.5412222222,13.3138888889,8.88655555554,17.2973333333,66.1548888889,7.141,14.209
621.62,13.3172222222,26.4566666667,33.0975555556,26.283,20.8883333333,11.406,13.123,8.76288888888,17.1412222222,66.0527777778,6.98811111111,14.19
621.95,13.2415555556,26.4272222222,32.8485555556,26.2465555555,20.7485777778,11.3573333333,13.0127777778,8.65455555557,17.0425555555,65.8097777778,6.91822222222,14.1114444444
622.28,13.2141111111,26.402,32.8065555556,26.3623333333,20.7676666667,11.3713333333,12.9946666667,8.69422222222,17.0702222222,65.8446666667,6.939,14.1844444444
622.62,13.1562222222,26.3478888889,32.6476666667,26.3665555556,20.6285333333,11.2571111111,12.8728888889,8.67011111112,16.949,65.7588888889,6.93166666667,14.1058888889
622.95,13.1055555556,26.3883333333,32.5138888889,26.3795555555,20.5902444445,11.253,12.8118888889,8.659,16.8802222222,65.7392222222,6.85355555556,14.1683333333
623.28,13.0185555556,26.3433333333,32.3806666667,26.3424444444,20.4764444444,11.1781111111,12.7602222222,8.59944444444,16.7484444444,65.6493333333,6.77666666667,14.17
623.62,13.1316666667,26.522,32.3671111111,26.4716666667,20.5646888889,11.3606666667,12.9182222222,8.81133333334,16.8377777778,65.6228888889,6.97277777778,14.3736666667
623.95,13.2183333333,26.5557777778,32.2507777778,26.5407777778,20.5746222222,11.4414444444,12.9738888889,8.88344444446,16.8198888889,65.6002222222,7.02833333333,14.4146666667
624.28,13.2356666667,26.5942222222,32.1654444445,26.5652222222,20.5134888889,11.4478888889,12.9701111111,8.88488888888,16.8036666667,65.6537777778,6.96233333333,14.4224444445
624.62,13.1974444444,26.6485555556,32.02,26.5983333333,20.4274,11.4303333333,12.9732222222,8.8641111111,16.7203333333,65.6381111111,6.929,14.4098888889
