wavelength,Back_PhrDorm,Belly_PhrDorm,Breast_PhrDorm,Crissum_PhrDorm,Crown_PhrDorm,DorTail_PhrDorm,Patch10_PhrDorm,Rump_PhrDorm,Throat_PhrDorm,WingTip_PhrDorm
794.86,32.3746666667,49.3100416667,23.2751041666,54.180125,17.9345416666,23.0019166667,17.4999166667,19.6415,43.4272083333,24.4804583333
795.16,33.0283333333,49.15225,23.7656770833,54.6374583333,18.330625,23.1072916667,17.3753333333,20.0424722222,43.7791666667,25.1839166666
795.47,34.1675833334,50.771625,24.8149583333,55.7230833333,19.348625,24.1075416667,18.2274166667,21.1697222222,44.725375,26.7985
795.78,33.1895833333,50.1213333333,23.8323229167,54.8767083333,18.0104583333,22.6355416667,16.6755833334,19.8877222222,43.8379166667,25.2336666667
796.09,32.92625,49.9274583334,23.76390625,55.03975,17.734125,22.167875,16.3319166666,19.6585277778,43.8337916667,24.601875
796.40,31.3518333334,48.448125,21.7019583333,53.3116666667,15.8071666667,20.3267083333,14.0428333333,17.3603888889,41.8521666667,22.7471666666
796.70,30.9266666667,47.7102916667,20.9354895833,53.0352916667,15.1806666666,19.562875,13.5416666667,16.6996111111,41.4780416667,21.7897083333
797.01,31.45925,47.6574583333,20.87878125,53.4071666667,15.0700833333,19.9826666667,13.5826666666,17.1610277778,41.9032916667,21.7976666667
797.32,33.26175,47.914375,22.2797708333,53.2247916667,16.7878333334,20.9589583333,15.1149166667,18.38,43.3755,23.371875
797.63,33.833,48.5322083333,22.5360625,53.9349583333,17.2346666666,21.3058333333,15.2215833333,18.6205277778,43.9249583333,23.7367916667
797.93,33.5411666667,48.6170416667,22.8002083333,53.1904583333,16.9739583333,21.86825,14.9495833333,17.8898611111,43.424625,23.9469166667
798.24,32.976,48.1939166666,22.3300833333,52.5303333333,16.0799583333,21.1175,13.4853333334,16.8989166667,43.14725,23.116
798.55,32.663,48.254125,21.6353645833,52.34625,15.9497083333,20.7075,13.622,16.1111666667,42.5791666667,22.8165
798.85,31.2715,47.296625,20.0647083333,51.064375,14.2437916667,19.203625,12.1056666667,14.63325,40.9207083333,20.7525416667
799.16,33.1630833333,48.3353333334,21.7023854166,52.308,16.2031666667,21.2212083333,14.4625833334,16.4205833333,42.2106666667,22.9237083333
799.47,34.3515833333,49.0657083333,22.5371666667,53.0221666667,17.5587916667,22.2254583333,15.62025,17.4296944444,42.7269583333,24.4302083333
799.78,35.6956666667,49.9204166667,24.2571770833,54.415125,18.8271666667,23.66425,17.426,19.1476111111,44.3473333334,26.115375
800.08,36.416,50.5657083333,25.2885625,55.0104166667,19.8199166667,24.953,18.6556666667,20.5159722222,45.0132916667,26.6874583333
800.39,36.398,50.6242083333,25.6289895833,55.0131666667,20.1049166667,25.5721666667,18.8704166667,20.2610277778,45.341375,27.2464166666
800.70,35.7384166667,50.1503333333,25.22903125,55.0217083333,19.67775,25.3334166667,18.54575,19.8516666667,44.1751666667,26.987125
801.00,35.1925833334,49.8302083334,25.3197604166,54.7045833333,19.22425,25.0992083333,18.3843333333,19.4255555555,43.625,26.882875
801.31,35.53325,49.3807916667,25.32028125,54.9000416667,19.2334166667,25.114125,18.7618333333,19.8761666667,43.5904583333,26.9189583333
801.62,35.839,49.5872916667,26.275375,55.2535,20.2782916667,26.4474583333,20.0455833333,20.8903333334,44.020625,27.8617916666
801.92,36.2671666666,49.30175,26.7786875,54.6399583333,20.584875,26.94525,20.1911666667,21.69725,43.7150416667,28.0044166667
