wavelength,Back_TanDesm,Belly_TanDesm,Breast_TanDesm,Crissum_TanDesm,Crown_TanDesm,DorTail_TanDesm,Patch10_TanDesm,Patch11_TanDesm,Patch12_TanDesm,Patch13_TanDesm,Patch14_TanDesm,Patch15_TanDesm,Patch16_TanDesm,Rump_TanDesm,Throat_TanDesm,WingTip_TanDesm
427.94,4.68216666667,14.309,5.04258333333,13.2740833333,4.80186111111,5.28991666667,4.63633333334,2.65316666667,5.22991666667,49.1155,5.11833333334,12.2358333333,20.08725,5.45470833333,5.75183333333,7.08770833333
428.30,4.67675,14.3131666667,5.043,13.2871666667,4.81494444444,5.27833333333,4.62591666667,2.6595,5.23416666667,49.0021666666,5.1235,12.2236666667,20.0369166667,5.44879166667,5.73516666667,7.074125
428.65,4.69816666667,14.35475,5.065,13.3204166667,4.83556944444,5.30345833333,4.67016666666,2.697,5.26291666666,48.9565,5.15083333333,12.2530833333,20.02475,5.47858333333,5.77058333333,7.10725
429.01,4.70441666667,14.3879166667,5.07075,13.3635833333,4.83176388889,5.29620833333,4.67883333333,2.69658333333,5.26566666667,48.9805,5.16475,12.2708333333,20.0376666667,5.473675,5.78475,7.10679166667
429.37,4.6835,14.38125,5.07908333333,13.38225,4.82286111111,5.27583333333,4.68008333333,2.69,5.26433333333,48.8896666667,5.15758333334,12.257,20.03775,5.457375,5.78725,7.10395833333
429.72,4.67266666667,14.3976666667,5.0735,13.4079166666,4.81123611111,5.25845833333,4.66366666667,2.65825,5.24775,48.8759166666,5.13241666667,12.2788333333,20.05125,5.44564166667,5.77133333333,7.09370833333
430.08,4.65975,14.43775,5.06691666666,13.4135,4.80134722222,5.25029166667,4.64833333333,2.63675,5.23766666667,48.8419166667,5.13075,12.3184166667,20.082,5.43823333333,5.77975,7.07758333334
430.44,4.65425,14.4519166666,5.07658333333,13.4388333333,4.80725,5.2585,4.63683333333,2.62291666667,5.23575,48.7763333333,5.12025,12.3405,20.1186666667,5.450375,5.80241666667,7.07141666667
430.79,4.65133333333,14.4955,5.07833333333,13.4785,4.82568055556,5.274875,4.62916666667,2.61708333333,5.24408333334,48.788,5.12175,12.409,20.1626666667,5.46333333333,5.79866666667,7.07133333333
431.15,4.677,14.5535833333,5.11058333333,13.5295,4.86113888889,5.30041666667,4.64891666667,2.64075,5.28508333333,48.793,5.16208333333,12.4859166667,20.2308333333,5.500525,5.84258333333,7.09516666666
431.50,4.65533333333,14.58175,5.0855,13.5474166667,4.84098611111,5.29854166666,4.63133333333,2.62083333334,5.26183333333,48.8109166667,5.14233333334,12.5273333333,20.2965,5.49126666667,5.83066666667,7.09725
431.86,4.64466666667,14.6259166667,5.07425,13.5820833333,4.83680555556,5.28875,4.61441666667,2.62075,5.26108333333,48.787,5.13325,12.5578333333,20.3475,5.50655,5.825,7.08195833333
432.22,4.65433333333,14.6530833333,5.09083333333,13.6225,4.83356944444,5.31745833333,4.618,2.62258333333,5.2695,48.7690833333,5.13416666667,12.5913333333,20.4300833333,5.52051666667,5.8445,7.096625
432.57,4.67375,14.6736666666,5.11725,13.6696666667,4.85001388889,5.34866666667,4.63308333333,2.62158333334,5.29808333333,48.75975,5.13425,12.6603333333,20.4946666666,5.53913333334,5.84825,7.11725
432.93,4.66183333334,14.6920833333,5.12216666667,13.6935,4.85190277777,5.36966666667,4.63633333333,2.62358333333,5.29358333333,48.7664166667,5.134,12.7091666667,20.5615,5.547575,5.84283333333,7.123
433.29,4.67166666667,14.7085,5.11225,13.7185833333,4.84384722222,5.37204166667,4.63141666667,2.62783333333,5.29983333334,48.7696666667,5.13175,12.7538333333,20.6181666667,5.56229166666,5.83683333333,7.11229166666
433.64,4.67783333334,14.7471666667,5.13483333333,13.7725833333,4.858625,5.400875,4.65241666667,2.66608333334,5.31408333333,48.7205,5.16441666666,12.81975,20.6658333333,5.58878333333,5.85275,7.122125
434.00,4.7015,14.766,5.15191666666,13.8219166667,4.88472222223,5.41508333333,4.66858333334,2.68641666667,5.34541666667,48.73925,5.18966666667,12.8700833333,20.7425833333,5.61738333333,5.86625,7.142625
434.35,4.68675,14.7705833333,5.14008333333,13.8389166667,4.86969444444,5.41125,4.65658333333,2.6875,5.34591666667,48.7148333334,5.19333333333,12.9,20.7969166667,5.62069166667,5.84808333333,7.12570833333
434.71,4.688,14.76775,5.134,13.84,4.85706944444,5.40041666667,4.64658333334,2.69058333334,5.33241666667,48.64875,5.18966666667,12.9208333333,20.8330833334,5.62434166667,5.83891666666,7.120625
435.07,4.64608333333,14.7601666667,5.10975,13.8481666667,4.82655555556,5.37575,4.61383333333,2.65766666667,5.30641666667,48.6271666667,5.1575,12.9335,20.88,5.59490833333,5.801,7.10291666667
435.42,4.62691666667,14.7591666666,5.10133333333,13.8631666667,4.82286111111,5.3545,4.59241666667,2.63333333333,5.29583333333,48.5985,5.14258333333,12.94875,20.9070833333,5.582675,5.7805,7.07725
435.78,4.63608333333,14.795,5.11341666667,13.8835,4.83080555556,5.37579166667,4.6175,2.62566666666,5.2995,48.5935,5.15125,13.0083333333,20.9770833333,5.59219166667,5.78741666667,7.08933333334
436.13,4.64241666667,14.7995,5.12158333333,13.90575,4.842,5.38470833334,4.63941666667,2.6275,5.30133333334,48.5765833333,5.16683333333,13.0769166667,21.0445833333,5.5976,5.8005,7.09341666667
436.49,4.65733333333,14.8519166667,5.13425,13.95225,4.86243055556,5.39133333333,4.65483333333,2.66366666667,5.30908333333,48.5776666667,5.20183333333,13.13275,21.1229166667,5.6211,5.82175,7.106875
436.84,4.67325,14.9118333333,5.1355,13.9931666667,4.88819444444,5.41841666667,4.66833333334,2.67641666667,5.33608333333,48.5885833334,5.21916666667,13.1851666667,21.1945,5.64174166667,5.83691666667,7.12691666667
437.20,4.6755,14.95325,5.15033333333,14.0106666667,4.89691666667,5.42091666667,4.67591666666,2.67183333333,5.34575,48.5655,5.2305,13.2288333333,21.233,5.643225,5.8375,7.13929166667
437.56,4.68683333333,14.9810833333,5.15291666667,14.0248333333,4.9065,5.40654166667,4.68466666667,2.66691666667,5.35925,48.618,5.24075,13.2644166667,21.3128333333,5.64826666667,5.83741666667,7.15175
437.91,4.68925,15.0359166667,5.16516666666,14.0693333333,4.919,5.439,4.70333333333,2.68058333333,5.38183333333,48.66525,5.25225,13.3028333333,21.3693333333,5.65598333333,5.844,7.15391666667
438.27,4.70016666666,15.1040833333,5.18583333333,14.1084166666,4.93315277777,5.453875,4.71566666667,2.68191666666,5.39983333333,48.7736666667,5.26308333333,13.3688333334,21.4209166667,5.66128333333,5.85983333334,7.16945833333
438.62,4.70008333333,15.1245,5.18916666667,14.1345,4.92327777778,5.43554166667,4.7255,2.67875,5.39775,48.7899166667,5.26266666667,13.3879166667,21.45175,5.65400833333,5.86875,7.17683333333
438.98,4.72283333334,15.1699166667,5.21483333333,14.1794166667,4.951875,5.45825,4.74633333333,2.70508333333,5.42225,48.78175,5.29083333333,13.429,21.4661666667,5.68331666667,5.88733333333,7.19891666667
439.33,4.75441666667,15.2120833333,5.24741666666,14.2119166667,4.98631944444,5.48166666667,4.79008333333,2.74066666667,5.45883333333,48.7746666666,5.32508333333,13.4724166667,21.50625,5.70724166667,5.91775,7.22291666667
439.69,4.75566666667,15.2164166666,5.25016666667,14.2429166667,4.98716666667,5.474,4.78208333334,2.74808333333,5.459,48.76525,5.32225,13.4710833334,21.5038333333,5.71050833333,5.90975,7.221
