wavelength,Back_TanPunm,Belly_TanPunm,Breast_TanPunm,Crissum_TanPunm,Crown_TanPunm,DorTail_TanPunm,Patch10_TanPunm,Patch11_TanPunm,Patch12_TanPunm,Rump_TanPunm,Throat_TanPunm,WingTip_TanPunm
385.22,7.52360000001,42.0033333333,23.9649333333,19.5073333333,8.93740000001,6.7082,7.3208,5.85173333333,7.14813333333,11.7769083333,18.244,6.875
385.58,7.45740000001,42.0818,23.9644,19.4548,8.92106666667,6.6346,7.22953333333,5.75633333333,7.09086666667,11.66515,18.21,6.8177
385.94,7.50013333333,42.2256,24.0427333333,19.5084,8.98159999999,6.645,7.2376,5.78353333333,7.10306666666,11.6737083333,18.2738,6.82996666667
386.30,7.4994,42.392,24.1281333333,19.5969333333,9.07766666667,6.63483333333,7.23606666667,5.77213333333,7.12586666667,11.6701833333,18.3536,6.82946666667
386.66,7.53740000001,42.5016666667,24.2004,19.6353333333,9.13473333333,6.6906,7.27533333333,5.8288,7.15366666667,11.7091,18.4198,6.85703333333
387.03,7.51506666667,42.5985333333,24.2540666666,19.6090666667,9.18600000001,6.69646666667,7.2658,5.81093333333,7.12013333333,11.7030666667,18.4700666667,6.8913
387.39,7.57219999999,42.6680666667,24.356,19.594,9.25000000001,6.69396666667,7.28133333333,5.80726666667,7.1524,11.6711166667,18.5112,6.90166666667
387.75,7.67013333334,42.8582,24.4734666667,19.6537333333,9.37993333333,6.7542,7.34446666667,5.84846666667,7.25406666667,11.738325,18.6456,6.96983333333
388.11,7.69926666666,42.9044,24.4936666667,19.6122666667,9.41266666666,6.7425,7.3122,5.86413333333,7.241,11.6619416667,18.6696666666,6.9502
388.47,7.63953333334,42.9648666666,24.5112,19.5256,9.37546666667,6.6786,7.2234,5.79533333333,7.18106666667,11.5682916667,18.6283333333,6.86993333333
388.83,7.63899999999,43.0900666667,24.5830666667,19.5404666667,9.4252,6.6865,7.24873333333,5.78366666667,7.1982,11.5475916667,18.7168666667,6.89093333333
389.19,7.60066666666,43.1566666667,24.6342,19.4842666667,9.48026666666,6.64166666667,7.21766666667,5.73946666667,7.17486666667,11.5057333333,18.7387333333,6.84813333333
389.55,7.67606666666,43.323,24.7232,19.5791333333,9.60753333335,6.71053333333,7.27466666667,5.82546666667,7.24293333333,11.553275,18.8406,6.9286
389.91,7.65893333333,43.3136666667,24.7609333333,19.5213333333,9.63113333333,6.7407,7.25186666667,5.82426666667,7.23966666667,11.5343583334,18.8213333334,6.93223333333
390.27,7.70113333334,43.4976,24.905,19.5558,9.73406666666,6.7958,7.28466666667,5.86846666666,7.3176,11.5667083333,18.9043333333,6.986
390.63,7.68693333333,43.6419333333,24.948,19.5384,9.80453333333,6.77993333333,7.2542,5.83526666667,7.32273333333,11.5520916667,18.9483333333,6.98933333333
391.00,7.73093333334,43.8352666667,25.0706,19.5535333333,9.89546666667,6.81103333333,7.26006666667,5.86073333333,7.37493333333,11.5849583333,19.0304,6.99566666667
391.36,7.74060000001,43.995,25.1333333333,19.5756,9.96893333332,6.83683333333,7.25073333333,5.89986666667,7.3998,11.5722083333,19.0733333333,7.01186666667
391.72,7.69920000001,44.1063333333,25.1701333333,19.5942666667,9.98433333333,6.81113333333,7.20773333333,5.89346666666,7.35213333333,11.5202083333,19.0646,6.98443333333
392.08,7.65959999999,44.2106666667,25.2236666667,19.6249333333,10.0291333333,6.8175,7.1854,5.87646666667,7.35686666667,11.5300416667,19.1216,6.9999
392.44,7.60126666666,44.2694,25.2457333333,19.5883333333,10.0345333333,6.76536666667,7.12693333333,5.84993333333,7.3146,11.456075,19.1431333333,6.96743333333
392.80,7.51220000001,44.3692666667,25.2614666667,19.5163333333,10.0062,6.66993333333,7.03513333333,5.77193333333,7.2252,11.3556166666,19.1000666667,6.8708
393.16,7.47013333333,44.498,25.2990666667,19.513,9.99713333333,6.633,6.96286666667,5.7354,7.18086666666,11.2605583333,19.1106,6.84576666667
393.52,7.47619999999,44.6181333333,25.4202,19.5135333334,10.1135333333,6.66733333333,6.98833333333,5.77113333333,7.23706666667,11.276625,19.1601333333,6.87776666667
393.88,7.46753333333,44.7526666667,25.4575333333,19.5461333333,10.1930666667,6.62656666667,6.96346666667,5.75006666667,7.2562,11.2372,19.2200666667,6.89253333333
394.24,7.41806666667,44.8375333333,25.4598666667,19.4988,10.2315333333,6.5818,6.91306666667,5.7474,7.21046666667,11.1956083334,19.2498,6.87923333333
394.60,7.38526666666,44.9046666667,25.5052,19.4778,10.2612666667,6.5337,6.87,5.71366666667,7.20113333333,11.1505583333,19.2447333333,6.86723333333
394.96,7.37393333334,44.9626666667,25.5079333333,19.4648666667,10.2983333333,6.51263333333,6.8424,5.7174,7.203,11.0917,19.2521333334,6.9003
395.32,7.3044,45.0771333333,25.5561333333,19.4248,10.3354,6.4574,6.78213333333,5.6624,7.14133333333,11.03285,19.2857333333,6.87536666667
