wavelength,Back_DigMajm,Belly_DigMajm,Breast_DigMajm,Crissum_DigMajm,Crown_DigMajm,DorTail_DigMajm,Patch10_DigMajm,Patch11_DigMajm,Rump_DigMajm,Throat_DigMajm,WingTip_DigMajm
775.98,9.92705543477,12.6655333333,13.0976,27.9068666667,10.3366666667,12.8899666667,13.513,9.90446666667,11.2757222222,14.2647333333,12.2867333333
776.30,10.0715876812,12.8496666667,12.9704333333,27.7413333333,10.5203333333,12.9422666667,13.4261,10.1264,11.4674777778,14.3290666667,12.3375333333
776.61,9.89535217392,12.3697333333,12.7501666667,27.6528,10.2789333333,12.1781666667,13.2234333333,9.89573333334,11.1874,14.0378,12.0427333333
776.92,9.83339999999,12.7709666667,13.0693666667,28.1010666667,10.5508,12.2718333333,13.3591333333,10.0917333333,11.2841,14.1250666667,12.1774
777.23,9.92822681159,12.8485666667,13.4722,28.101,10.8106,12.8543666667,13.3276666666,10.5385333333,11.3019777778,13.9568,12.4149666667
777.54,10.6108445652,13.4081666667,14.1659666667,28.5651333333,11.507,13.9967333333,13.9051,11.2904666667,11.8465111111,14.5600666667,12.9699
777.85,11.0848974638,13.7657666667,14.6914,28.9036666667,11.9780666667,14.4215666667,14.2396666667,11.4324666667,12.3324222222,14.9862,13.4463333333
778.16,10.343101087,12.5027333333,13.5595666667,27.8532,11.0265333333,13.4601,13.5153333333,10.5904666667,11.4559888889,14.3323333333,12.4751
778.47,10.4770858696,12.6827333333,14.1806,28.0234,11.0797333333,13.6157,13.7070666667,10.7199333333,11.4922444444,14.4240666666,12.5277
778.78,10.6049960145,12.9494,14.4088,28.1512666667,10.9286666667,13.6382,13.7766,10.6126,11.4696666667,14.4002,13.0596666667
779.09,10.3879663044,12.5907,13.9731333334,28.0206,10.1914666666,13.279,13.5075666667,9.68300000001,11.0483666667,13.6932,13.099
779.40,10.1407213768,12.0182333333,13.6461333333,28.0791333333,10.1062666667,12.9889666667,13.3909,9.41713333333,10.9160333333,13.4768,13.1351666667
779.71,10.0733554348,12.0750666667,13.4948666667,27.9539333333,9.9972,13.0447333333,13.0677,9.18333333333,10.8484444445,13.4141333333,13.0939666667
780.02,9.66034927535,11.7207333333,12.9059333333,27.4218,9.41173333333,12.9556333333,12.4114,8.7094,10.5950555556,12.8299333333,12.6281666667
780.33,10.1465231884,11.9257666667,12.9896,27.4184666667,9.51626666665,13.1322666667,12.6486666667,8.74713333333,10.9061444444,13.077,12.9020333333
780.64,10.7485304348,12.1519,13.1980333333,27.7306666667,9.87653333334,13.1569666667,13.2508666667,9.28279999999,11.4364333333,13.7800666667,13.5245333333
780.95,10.0667855073,11.3793,12.5588,27.0242,9.32979999999,12.1207666667,12.4308333333,8.91866666666,10.8717888889,13.2976,13.1965
781.26,9.71230036233,11.1593666667,12.3188,26.6907333333,9.06406666665,11.8357333333,12.1829,9.15453333334,10.8695222222,13.0616666667,12.7597
781.57,10.4120376811,12.2120333333,13.5273333333,27.3212666667,9.95760000002,12.6545,12.7393666667,10.091,11.6141,13.8424666666,13.4060666667
781.88,9.50938405797,10.9835666667,12.6159,26.8545333333,8.74066666667,11.7919333333,11.7950333333,8.92859999999,10.6275111111,13.2581333333,12.8225
782.19,8.7281807971,9.7265,12.0224666667,25.9520666667,8.21993333333,11.1121,11.3203333333,8.2448,9.85814444446,12.3206,12.128
782.50,8.1750423913,8.70786666667,11.7967,25.7779333334,8.25386666666,10.765,10.7015666667,7.98093333333,9.54713333333,11.9366,11.8634666667
782.81,7.81078224638,8.57786666667,11.5646,25.4681333333,8.31846666667,10.4503333333,10.6252,8.18273333333,9.28941111111,11.6748,11.4059
783.12,7.76710144927,8.65,11.54,25.8533333333,8.52666666666,10.35,10.9166666667,8.49333333333,9.51333333333,11.86,11.23
783.43,8.35747173913,9.32266666667,12.1093333333,26.6197333333,9.2018,10.7545333333,11.6835333333,9.16826666665,10.2035222222,12.6962666667,12.1597666667
783.74,7.20088405797,8.47746666667,11.2309666667,25.823,8.42939999999,10.1028333333,10.7029666666,8.07280000001,9.21,12.1194,11.1078333333
784.05,6.83659456522,8.2673,11.1691666667,25.5185333334,8.02360000001,9.93056666668,9.98606666666,7.25126666667,8.85292222221,11.6075333333,10.8316
