wavelength,Back_PhrAtrm,Belly_PhrAtrm,Breast_PhrAtrm,Crissum_PhrAtrm,Crown_PhrAtrm,DorTail_PhrAtrm,Rump_PhrAtrm,Throat_PhrAtrm,WingTip_PhrAtrm
611.93,14.6284666667,49.4096,27.184,39.3202666667,5.43353333333,7.59746666667,31.4332666667,5.79686666667,7.69319999999
612.27,14.6699333333,49.4033333333,27.1730666667,39.3254,5.4502,7.6168,31.4304,5.81526666667,7.7306
612.60,14.7294,49.4400666666,27.2339333333,39.3702,5.45953333333,7.65006666667,31.4738666667,5.81726666667,7.76279999999
612.94,14.7573333333,49.4416666667,27.2610666667,39.3614666667,5.47953333333,7.65926666667,31.4951333333,5.8036,7.78393333334
613.27,14.7868,49.4250666667,27.2667333333,39.3750666667,5.4884,7.6618,31.518,5.82066666667,7.79746666666
613.61,14.8278666667,49.5212,27.3062,39.4348666667,5.4888,7.65326666667,31.5518666667,5.8274,7.792
613.94,14.8726,49.605,27.3600666667,39.508,5.48066666667,7.6558,31.6194666667,5.80666666667,7.81073333333
614.28,14.8846666667,49.58,27.3397333333,39.4944,5.43713333334,7.63093333333,31.5952,5.76946666667,7.78420000001
614.61,14.9154666667,49.6193333333,27.4142,39.5412,5.42886666667,7.64146666667,31.6698666667,5.76333333333,7.76940000001
614.94,14.9760666667,49.6823333333,27.5094666667,39.6062,5.45146666667,7.659,31.7546,5.7822,7.80133333334
615.28,15.0559333333,49.841,27.6218,39.7144666667,5.48353333333,7.65166666667,31.8479333333,5.80546666667,7.84813333334
615.61,15.0685333333,49.8639333333,27.6487333333,39.7152,5.48206666667,7.657,31.8506,5.8082,7.86113333334
615.95,15.1266666667,49.8784,27.7185333333,39.7197333333,5.51393333333,7.67086666667,31.9249333334,5.83733333333,7.89533333334
616.28,15.1356,49.914,27.7404666667,39.6911333334,5.50066666667,7.63066666667,31.9333333334,5.8244,7.85946666666
616.61,15.1845333333,49.992,27.7977333333,39.7338,5.50433333333,7.6536,31.9796666667,5.82373333333,7.84960000001
616.95,15.1662,49.9857333333,27.8078,39.6858,5.4196,7.59653333333,31.9635333333,5.73193333333,7.76466666666
617.28,15.229,50.081,27.9018666667,39.7259333333,5.43853333333,7.63873333333,32.0528,5.74906666667,7.82059999999
617.62,15.3027333333,50.1422,27.9625333333,39.7623333334,5.4766,7.65773333333,32.1196666667,5.78733333334,7.84820000001
617.95,15.3506666667,50.1814,28.0350666667,39.7802,5.497,7.679,32.1682,5.7776,7.83766666667
618.28,15.33,50.1514,27.9989333333,39.7093333333,5.4714,7.63453333333,32.1388,5.74373333333,7.79719999999
618.62,15.2986666667,50.0792,27.9583333333,39.6388,5.44033333333,7.60306666667,32.1164,5.71773333333,7.74906666667
618.95,15.3114666667,50.0440666667,27.981,39.6151333333,5.41433333333,7.60926666667,32.1360666667,5.72406666667,7.73593333334
619.28,15.3542666667,50.0538,27.9904666666,39.6487333333,5.4158,7.61213333333,32.1856666667,5.7424,7.7424
619.62,15.3634,50.1993333333,28.0342,39.7072,5.37713333333,7.61993333333,32.2336666667,5.7042,7.72766666667
619.95,15.4238666667,50.279,28.1000666667,39.7687333333,5.3834,7.6464,32.3279333333,5.7162,7.77653333333
