wavelength,Back_MelMelm,Belly_MelMelm,Breast_MelMelm,Crissum_MelMelm,Crown_MelMelm,DorTail_MelMelm,Patch10_MelMelm,Patch11_MelMelm,Rump_MelMelm,Throat_MelMelm,WingTip_MelMelm
775.67,20.5376,44.9175384615,34.9067333333,51.0244666667,25.1244333333,20.5177333333,17.5126333333,41.2732,19.6001466667,12.9852333333,22.7618666667
775.98,19.9310666667,44.7343666667,34.5198666667,50.5589333333,25.0873333333,19.9313333333,16.9390333333,41.3355333333,19.14138,12.3532333333,22.4363333333
776.30,20.1879333334,45.0494025641,34.5526666667,50.5014,25.5128666667,19.795,17.4587333333,41.6466666667,19.3365166667,12.7949666667,22.5298666667
776.61,20.1149333333,45.0625307692,34.5278,50.6574666667,25.5038,20.3274333333,17.5625333333,41.6996,19.2176,12.8538,22.3198666667
776.92,20.2257333333,45.3988769231,34.6933333333,51.4120666667,25.8624,21.1025,18.1453,42.3958666667,19.4759933333,13.1886,23.1423333333
777.23,19.9011333333,44.5181820513,34.1352666667,50.8747333333,25.1379666667,20.5029,18.0005333333,41.7958666667,19.1876866667,12.8364333333,22.4122
777.54,19.7424,44.7495230769,34.7746,51.1893333333,25.5097666667,21.0456333333,18.4213,42.3434,19.2964466667,13.1018666667,22.8939333333
777.85,20.4548666667,44.9203179487,35.4749333333,51.1456666667,26.3241,21.9228333333,19.3954666667,42.5906666667,20.1698066667,14.5136333333,24.2082
778.16,21.0067333333,45.4938717949,36.0426666667,51.5214666667,26.8997333333,22.0306333333,19.8274333333,43.0256,20.78581,15.0504333333,24.5672
778.47,21.2230666667,45.6735076923,36.279,51.9552,27.1030333333,22.1273666667,20.3303,43.0777333333,21.3738766667,15.4895,24.8002666667
778.78,21.3528666667,45.704625641,36.2752,52.0782666667,26.6695333333,21.8911666667,20.193,43.0454666667,21.4508733333,15.5441,24.7724666667
779.09,21.1853333334,45.5905153846,36.0336,52.0091333333,26.6464,21.7576,20.1617333333,43.2552,21.4938266667,15.6575666667,24.8452666667
779.40,21.3720666667,45.9630871795,36.3956666667,52.3734666667,26.5224,21.97,20.4299,43.5806,21.7585433333,15.5624666667,24.7822
779.71,21.4374666666,46.2262358974,36.8432666667,52.5906666667,26.2863,22.0365666667,20.4522333333,43.7376666667,22.08886,15.4477333333,25.0194666667
780.02,21.0308,45.3174461539,35.8771333333,51.7178666667,25.2561666667,20.7986666667,19.5056333333,43.261,21.58824,14.4936,24.147
780.33,21.0942,45.1376153846,35.7369333333,51.3243333333,25.0464666667,20.5829666667,19.3424333333,42.6667333333,21.82036,14.5023,23.6113333333
780.64,21.421,45.3675538462,35.9976666667,51.3025333333,25.3434,20.8170333333,19.4849333333,42.6169333333,21.9689,15.0208666667,24.3102
780.95,21.4622,45.2153205128,35.3505333333,50.9460666667,24.9478,20.2446333333,19.4002333333,41.8680666667,21.7835466667,14.8611666667,23.7004666667
781.26,21.5254,45.7407615385,35.2294,51.3885333334,24.7006,20.5468333333,19.374,41.9143333333,21.6344,14.3784666667,23.5855333333
781.57,21.0904666667,45.8016128205,35.0279333333,51.5263333333,24.3923333333,20.1059,19.1743666667,41.7134,21.36568,14.2522333333,23.4268666667
781.88,20.9625333333,45.5135589744,34.5544,51.3372,23.6176333333,19.6026333333,18.4689333333,41.4857333333,20.9104733333,13.2623666667,22.6099333333
782.19,20.9176666667,45.2678974359,34.4147333333,51.1700666667,23.7888666667,19.8196,18.6431333333,41.1734,20.6676133333,13.2218,22.3598
782.50,20.9411333333,44.9278794872,34.3856,50.5816666667,23.5980333333,19.7973333333,18.7777,40.6993333333,20.7517466666,13.2583333333,22.2549333333
782.81,21.5511333334,44.7285897436,34.5576,50.4551333333,24.1955333333,20.4583,19.3558333333,40.7949333333,21.67755,14.3972666667,23.0322
783.12,21.5394666667,44.2243717949,33.8099333333,50.3446,23.9646,20.4863333333,19.1820333333,40.2510666667,20.88503,14.1513,22.1254
783.43,22.2178,44.9876538462,34.9558,51.5014666667,24.969,21.6356666667,20.2814666667,40.6674,21.8726833333,15.2732333333,22.9899333333
