wavelength,Back_LoxViof,Belly_LoxViof,Breast_LoxViof,Crissum_LoxViof,Crown_LoxViof,DorTail_LoxViof,Patch10_LoxViof,Rump_LoxViof,Throat_LoxViof,WingTip_LoxViof
185.63,-81.1538000001,-83.4615,-26.1537333333,-30.5129333333,-16.7948666667,-45.7692,-27.6922,-41.0256666667,-125.128333333,-37.9487333333
186.01,-96.1006666667,-92.9561,-31.9497333333,-39.7483333333,-29.5598000001,-59.8742000001,-42.3899333334,-47.9244666667,-132.075533333,-54.9684
186.39,-182.222066667,-175.050533333,-68.4848,-89.0908666666,-77.9797999999,-122.4242,-91.3131333334,-102.2222,-233.939266667,-107.4748
186.77,-132.631466667,-129.561466667,-30.0,-59.4736666667,-47.0174,-80.7017333332,-60.8772666666,-69.8246,-181.754466667,-80.877
187.15,-150.107466667,-151.935433333,-21.0751333333,-63.0107333334,-56.3441333335,-85.8064,-81.9355999999,-88.6021333333,-209.6774,-105.376533333
187.53,-120.0,-137.916666667,-10.4166666667,-45.6250000001,-49.7916666667,-77.9166666667,-81.0416666667,-70.4166666666,-176.666666667,-94.5833333334
187.91,-128.125,-146.979166667,-22.2916666667,-50.6249999999,-59.5833333334,-84.1666666667,-92.7083333333,-74.5833333333,-178.958333333,-105.0
188.29,-119.798,-133.5353,-16.3637999999,-53.1314666667,-59.596,-81.6163333333,-84.0403999999,-72.1211333333,-167.8788,-94.5455333335
188.67,-404.4444,-437.777733334,-134.4444,-242.2222,-232.7778,-314.444466667,-298.888866667,-282.777866667,-544.4446,-336.111066667
189.05,1021.11113333,978.888866667,435.555666666,679.999999999,676.666733333,854.444400001,777.777733334,737.777800001,1263.33326667,864.444400001
189.43,521.111133333,467.7778,217.7778,353.3334,351.6666,421.6666,402.777733333,362.7778,614.444466667,426.111266667
189.81,-1263.33333333,-1081.66666667,-385.0,-846.666666666,-734.999999999,-854.999999999,-951.666666668,-745.0,-1525.0,-863.333333333
190.19,1828.88886667,1692.2223,877.777933333,1486.66666667,1291.11113333,1188.88886667,1582.22213333,1246.66666667,2260.0,1384.44453333
190.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.95,554.545533333,552.424466666,352.727266667,461.212066667,438.181933333,358.787933333,506.666666667,370.303,687.878666667,435.151466667
191.33,-2866.66666667,-2856.66666667,-1890.0,-2416.66666667,-2266.66666666,-1733.33333333,-2756.66666667,-1776.66666666,-3566.66666666,-2206.66666667
191.71,1494.66666667,1530.66666667,1125.33333333,1348.0,1265.33333333,1025.33333333,1490.66666667,1088.0,1885.33333333,1256.0
192.09,-7320.00000001,-7096.66666667,-5159.99999999,-6966.66666667,-6106.66666666,-5000.0,-7220.0,-5240.0,-9380.00000001,-5973.33333333
192.47,477.647,468.627533333,358.039133333,482.7452,394.509666667,339.215733333,465.882333333,342.745066667,599.6078,407.450866667
192.85,-1590.66666666,-1489.33333333,-1133.33333333,-1581.33333333,-1210.66666667,-1044.0,-1518.66666667,-1025.33333333,-1860.0,-1242.66666667
193.23,-348.0702,-355.2632,-244.9122,-375.438666667,-263.158,-204.561466667,-337.193066667,-210.1754,-423.157933333,-258.5964
