wavelength,Back_DigCarm,Belly_DigCarm,Breast_DigCarm,Crissum_DigCarm,Crown_DigCarm,DorTail_DigCarm,Patch10_DigCarm,Rump_DigCarm,Throat_DigCarm,WingTip_DigCarm
365.66,4.29693333333,15.175,10.7016666667,4.1504,3.99773333333,6.10764074074,12.3586,7.20553333333,4.81966666667,6.05086666667
366.02,4.2034,15.0563333333,10.6338666667,4.07766666667,3.8998,5.98977407407,12.2403333333,7.08286666667,4.7084,5.98673333333
366.38,4.17226666667,15.0528,10.6304666667,4.0456,3.82853333334,5.94534074074,12.2318666667,7.03133333333,4.63653333333,5.9636
366.75,4.12913333333,14.9920666667,10.6122,3.98526666667,3.79766666666,5.90532962963,12.2358,6.9812,4.5798,5.8936
367.11,4.25513333334,15.1403333333,10.7670666667,4.17866666667,3.94726666667,6.04977037037,12.3676666666,7.11846666667,4.68053333333,6.0278
367.47,4.2714,15.1614666666,10.786,4.16226666667,3.92106666667,6.10913333333,12.3882666667,7.11873333333,4.68573333333,6.04926666667
367.84,4.2704,15.0912,10.7948666667,4.155,3.9116,6.08412592593,12.3816666667,7.09706666667,4.6528,6.01573333333
368.20,4.3614,15.1736,10.9028,4.26286666667,3.95366666667,6.17383333333,12.4832,7.19006666667,4.77306666667,6.1102
368.56,4.46006666667,15.2877333333,11.0162666667,4.33773333333,4.01353333333,6.26958518519,12.5632,7.24886666667,4.8102,6.17753333333
368.93,4.51693333333,15.2955333333,11.0132666667,4.37833333333,4.04953333333,6.27661111111,12.5974,7.2828,4.86133333333,6.17173333333
369.29,4.60153333334,15.3504666667,11.0776666667,4.44466666667,4.1544,6.30435555555,12.6370666667,7.29926666667,4.86373333333,6.1816
369.65,4.78966666667,15.5038666667,11.2445333333,4.58106666667,4.34966666667,6.42524074074,12.7976666667,7.45453333333,5.00913333333,6.28833333333
370.01,4.9242,15.6778,11.3786,4.66626666667,4.46953333333,6.5479962963,12.9801333333,7.55213333334,5.11566666667,6.3684
370.38,4.9806,15.7046,11.3916666667,4.695,4.54653333333,6.61232962963,13.0040666667,7.63213333333,5.16753333333,6.42466666667
370.74,5.07633333333,15.8104,11.4641333333,4.7662,4.61933333333,6.67442592593,13.0665333333,7.73313333333,5.2348,6.5242
371.10,5.01893333333,15.7578666667,11.3854,4.70066666667,4.5876,6.57695185185,13.0413333333,7.71366666667,5.21026666667,6.48993333334
371.46,4.98366666667,15.7854666667,11.3933333333,4.70426666667,4.60846666667,6.50438888889,13.0714,7.70666666666,5.194,6.49293333333
371.83,5.0534,15.8604666667,11.4426666667,4.78473333333,4.70166666667,6.58537407407,13.1289333333,7.76626666667,5.27046666667,6.60126666667
372.19,4.9984,15.8927333333,11.3884666667,4.7446,4.68626666667,6.50264814815,13.1182,7.71453333333,5.18906666667,6.51653333333
372.55,5.00713333333,15.9428666667,11.4126,4.7334,4.73333333333,6.49409629629,13.2093333333,7.75826666667,5.21606666667,6.50206666667
372.92,4.9904,15.9708666667,11.4313333333,4.69526666667,4.70926666667,6.48268888889,13.2041333333,7.72546666667,5.21766666667,6.49766666667
