wavelength,Back_HemParf,Belly_HemParf,Breast_HemParf,Crissum_HemParf,Crown_HemParf,DorTail_HemParf,Patch10_HemParf,Rump_HemParf,Throat_HemParf,WingTip_HemParf
557.50,13.1476666667,34.7548333333,29.0315,15.929,6.74233333333,11.7658333333,28.9415,13.9758333333,35.4483333333,10.9863333333
557.85,13.115,34.7765,28.9863333334,15.8826666667,6.68183333333,11.7206666667,28.9466666666,13.9526666666,35.3713333333,10.9765
558.19,13.0696666667,34.6788333333,28.9735,15.788,6.6195,11.6763333333,28.886,13.9313333334,35.2953333333,10.9703333333
558.53,13.0435,34.6543333333,28.9061666667,15.7466666667,6.56083333333,11.6116666667,28.8821666667,13.8771666667,35.2471666667,10.9098333334
558.87,13.0703333333,34.7103333333,28.9871666666,15.7753333333,6.5245,11.6285,28.9133333333,13.951,35.2613333333,10.9145
559.21,13.0358333333,34.7365,28.9911666667,15.7386666666,6.51533333333,11.6105,28.9903333333,13.9513333334,35.2918333333,10.9028333333
559.55,12.962,34.773,29.0035,15.718,6.47916666667,11.6188333334,28.9743333333,13.8913333333,35.298,10.9178333333
559.89,12.9573333334,34.8508333333,29.0563333334,15.7341666667,6.439,11.5988333334,29.0228333334,13.8931666667,35.3411666667,10.9088333333
560.23,12.973,34.9406666667,29.0841666667,15.7711666667,6.49266666667,11.6175,29.0195,13.9046666666,35.3996666666,10.9366666667
560.58,12.935,34.9255,29.0818333333,15.7373333333,6.45566666666,11.5775,29.0371666667,13.8743333333,35.3886666666,10.9051666667
560.92,12.8983333333,34.9226666667,29.0648333333,15.6961666667,6.42833333333,11.5156666666,29.0086666667,13.848,35.3576666667,10.8651666667
561.26,12.9211666666,34.8988333333,29.066,15.6733333334,6.4125,11.488,29.0825,13.857,35.4116666666,10.8408333333
561.60,12.9215,34.8818333334,29.0688333333,15.6798333334,6.435,11.4986666666,29.0938333333,13.8448333333,35.431,10.8473333334
561.94,12.9733333333,35.0113333333,29.1336666667,15.7846666667,6.49066666667,11.574,29.217,13.9186666666,35.516,10.902
562.28,12.9565,35.0643333333,29.211,15.7995,6.4805,11.5905,29.2155,13.9003333333,35.5683333333,10.914
562.62,12.933,35.0296666667,29.1676666666,15.787,6.47316666666,11.5728333334,29.2116666667,13.8385,35.5636666667,10.911
562.96,12.962,35.0001666667,29.1596666667,15.7855,6.4805,11.5405,29.2035,13.8593333333,35.5295,10.8998333333
563.30,13.0456666667,35.0558333334,29.2095,15.8461666666,6.52716666667,11.6018333333,29.3093333334,13.9548333334,35.5876666666,10.9508333333
563.64,13.0041666667,34.9918333333,29.1898333334,15.8613333334,6.53383333334,11.6505,29.3111666667,13.945,35.5445,10.9733333334
563.99,12.9648333333,34.9806666667,29.1675,15.839,6.4595,11.6498333333,29.3556666667,13.9163333333,35.4781666667,10.9288333333
564.33,13.0046666666,35.0256666667,29.2268333333,15.8713333333,6.51966666667,11.6875,29.3873333333,13.9688333333,35.48,10.9528333334
564.67,13.0265,35.046,29.2211666666,15.8956666667,6.50533333333,11.7286666667,29.3933333334,13.9601666667,35.5051666667,10.9458333333
565.01,13.0213333333,35.075,29.2291666666,15.894,6.50416666667,11.7418333333,29.3513333333,13.9665,35.4828333334,10.9683333333
565.35,13.0331666667,35.096,29.2763333333,15.9586666667,6.51916666666,11.7831666667,29.3746666667,14.001,35.5076666666,10.9993333334
565.69,13.046,35.1363333333,29.285,16.0193333333,6.5435,11.812,29.3583333334,13.9946666666,35.4996666667,11.0126666667
566.03,13.0743333333,35.1626666666,29.2643333333,16.071,6.58116666667,11.8503333334,29.4318333333,14.0656666666,35.4725,11.0643333333
566.37,13.063,35.1901666667,29.293,16.0636666667,6.5575,11.8235,29.4423333333,14.0805,35.4893333334,11.0658333333
566.71,13.0421666667,35.1936666667,29.3081666667,16.0793333333,6.548,11.8215,29.43,14.0403333334,35.504,11.079
567.05,13.0385,35.1986666666,29.2848333334,16.107,6.5495,11.7953333333,29.3961666667,14.0061666666,35.476,11.0686666666
567.39,13.0606666667,35.2396666667,29.3366666667,16.1255,6.5545,11.8088333334,29.414,14.005,35.5355,11.071
567.73,13.136,35.2788333333,29.3946666667,16.188,6.61716666666,11.8443333334,29.4331666667,14.0741666667,35.6311666667,11.132
568.07,13.1243333334,35.2656666667,29.4185,16.2065,6.6105,11.8615,29.4463333333,14.0626666667,35.6723333333,11.1573333333
568.41,13.1151666667,35.2715,29.4303333333,16.2013333334,6.60466666667,11.8616666666,29.4828333334,14.0576666667,35.691,11.1768333334
568.75,13.0678333333,35.2785,29.4416666667,16.2128333333,6.59533333334,11.843,29.498,14.0411666667,35.7195,11.1758333333
569.09,13.0808333333,35.3053333333,29.4506666667,16.1841666667,6.55033333333,11.824,29.5208333333,14.0451666667,35.7115,11.1636666667
569.43,13.0928333334,35.2935,29.4786666666,16.131,6.54533333333,11.8093333334,29.5723333333,14.0628333333,35.7578333333,11.1968333333
569.77,13.0575,35.2171666667,29.475,16.0981666667,6.5305,11.7893333334,29.5123333333,14.0363333333,35.7463333333,11.1856666667
570.11,13.0973333333,35.177,29.4528333334,16.1381666667,6.54933333333,11.8173333333,29.5358333333,14.0145,35.741,11.2235
570.45,13.1116666667,35.1491666667,29.4371666667,16.1308333334,6.50216666667,11.8065,29.5485,14.0281666667,35.7363333334,11.2293333333
570.79,13.0598333333,35.1233333333,29.4173333333,16.08,6.48833333334,11.7836666666,29.5495,14.0033333333,35.7376666667,11.234
571.13,13.1185,35.1726666667,29.4413333334,16.0746666666,6.52,11.7966666667,29.6253333333,14.0558333333,35.7778333334,11.2655
571.47,13.1595,35.1395,29.4355,16.059,6.5135,11.793,29.6411666667,14.0465,35.7421666666,11.247
571.81,13.2115,35.2168333333,29.4578333334,16.1066666667,6.543,11.8093333334,29.6893333333,14.0785,35.7473333333,11.2675
572.15,13.2683333333,35.2848333333,29.5271666667,16.1783333333,6.59966666667,11.8463333333,29.7548333333,14.1163333333,35.7698333334,11.2781666666
572.49,13.3366666667,35.3378333333,29.5608333333,16.214,6.622,11.9111666667,29.8268333333,14.1403333334,35.7953333334,11.305
572.83,13.3713333334,35.373,29.6166666667,16.2613333334,6.69283333333,11.933,29.899,14.1718333333,35.878,11.3383333333
573.17,13.3276666666,35.3923333334,29.6265,16.2676666667,6.64283333334,11.9026666666,29.9051666667,14.1281666667,35.8756666667,11.3201666667
