wavelength,Back_SpoSchf,Belly_SpoSchf,Breast_SpoSchf,Crissum_SpoSchf,Crown_SpoSchf,DorTail_SpoSchf,Patch10_SpoSchf,Patch11_SpoSchf,Rump_SpoSchf,Throat_SpoSchf,WingTip_SpoSchf
193.99,47.8946666666,6.31580000002,100.0877,15.7894666667,10.3508666666,-2.45613333331,95.0877333333,42.9824666667,-0.526266666682,-1.75446666668,3.33320000014
194.37,73.0436,17.1014666667,175.507233333,41.1594666668,22.6087333333,6.95653333333,168.695666667,67.1015666666,15.3623333333,2.89853333334,6.66653333332
194.75,255.555533334,57.7777333334,640.0,162.222333333,75.5555333334,7.7777333332,600.0,263.888866667,17.7779333333,-24.4444666666,48.8889999998
195.13,123.809533333,74.5238,217.3809,100.714266667,79.7619333333,64.2857333333,179.047533333,118.452233333,63.8095333333,45.2380666667,59.0475999999
195.51,106.666666667,69.2683333332,168.5365,97.5609999999,78.3739333333,71.5447999999,139.8374,97.3170666665,70.2438666666,54.3088,64.8780666667
195.89,122.982466667,75.4387333333,179.648966667,110.351,89.6490666667,82.1051999999,150.1754,100.3508,85.263,59.2982,74.2103333332
196.27,179.420333333,93.9130666667,258.840666667,160.000133333,110.724533333,121.449333333,220.8696,144.3478,129.275333333,62.8985333333,91.0144
196.65,157.193066667,49.1228000001,250.877133333,134.035133333,66.6666666666,99.2983333335,193.6842,120.0001,112.9824,12.9824666667,34.0350666668
197.03,156.470733333,26.6666666665,257.2549,132.156866667,63.5294000001,99.6078666667,192.549133333,124.117466667,127.058733333,-3.92153333332,14.9019333334
197.40,618.333333334,61.6666666672,1066.66666667,538.333333333,238.333333333,421.666666667,773.333333334,440.0,596.666666666,-71.6666666667,98.333333334
197.78,-98.3331333333,70.5556,-239.722233333,-57.7777999999,51.111,-39.9999333331,-133.3332,-7.77763333326,-110.0,143.333333333,65.0001333333
