wavelength,Back_PooOrnm,Belly_PooOrnm,Breast_PooOrnm,Crissum_PooOrnm,Crown_PooOrnm,DorTail_PooOrnm,Patch10_PooOrnm,Patch11_PooOrnm,Patch12_PooOrnm,Rump_PooOrnm,Throat_PooOrnm,WingTip_PooOrnm
782.81,29.823875,54.2519166667,43.2124166667,51.29825,21.3160833333,19.3727916666,44.888,48.17425,50.714,26.2821666667,42.0399166667,23.92075
783.12,29.592,53.62,42.7680833333,50.9718333334,21.47725,19.5740416667,44.9141666667,48.2668333334,50.75325,26.2553333333,41.9259166667,23.688
783.43,29.610875,53.3976666667,42.7072916667,51.1846666667,21.0759166666,18.9289583333,44.64475,48.3218333333,50.8226666667,25.8966666667,42.0123333333,24.4735833333
783.74,30.3092916667,53.2755833333,42.9495833333,51.4190833333,21.5099166667,19.5502916667,45.1155,48.5644166667,51.1055833333,26.1469166667,42.5743333333,25.2309166666
784.05,29.6627083333,52.7245,42.3099166667,50.4709166667,20.7956666667,18.5839166667,44.9545,48.1750833333,50.20175,25.8830833333,42.01125,24.0665833333
784.36,28.4374166667,52.08125,41.688,49.74425,20.0699166666,17.3746666667,43.9866666667,47.9955,49.275,25.0939166667,41.5216666667,23.8315
784.67,28.6475,51.8880833333,41.3832916667,49.8884166667,19.636,17.1472083333,43.8294166667,48.1033333333,49.116,24.9140833333,41.10025,24.23625
784.98,28.2438333334,51.6963333333,41.3986666667,50.167,19.3740833333,16.6974583333,44.2951666666,48.49675,49.5166666667,24.55175,40.9723333334,23.4969166667
785.29,27.5305833333,50.8115,41.1475,49.3019166667,18.5950833333,16.4093333333,43.8305833333,48.0105,49.04875,24.2670833333,40.12225,23.00175
785.60,26.57575,50.2825833333,40.3160833334,48.7554166667,17.1699166667,15.45725,43.3793333333,47.5016666666,48.4816666667,23.261,39.43325,22.27225
785.91,25.8134166666,49.1346666667,39.5160833333,47.9835833333,17.1771666666,14.8840416667,42.73975,47.05775,47.2568333334,22.64625,39.2003333334,22.2395
786.22,26.1200833333,49.2018333333,39.7958333333,48.0861666667,17.1215833333,15.3235416667,43.28025,46.84175,47.7258333333,22.7685,39.5380833333,22.331
786.53,27.197125,50.1716666666,40.4824166667,48.7041666666,17.276,15.5467083333,43.8980833334,47.3823333333,48.567,22.83725,40.57675,22.5970833333
786.84,26.6735416667,49.4139166666,39.2030833333,47.579,16.3864166667,14.5429166667,42.6944166666,46.3726666666,48.1565833333,22.1371666667,39.2456666667,21.32175
787.14,26.3709583333,49.03625,38.9457916666,46.7763333333,15.9438333333,14.1741666667,41.94075,45.9788333334,48.0475,22.1751666667,38.49275,21.2278333333
787.45,26.7679583333,49.3366666666,39.44175,47.2249166667,16.37525,15.0809166667,42.37875,46.3350833333,48.2200833334,22.5325,38.7783333333,22.38675
787.76,27.2672083333,49.888,39.3953333333,47.5446666667,16.7705833333,15.5189583333,43.0580833333,46.2813333333,48.4485,22.56875,39.2914166667,22.7605833333
788.07,26.8972083333,49.3021666667,39.299125,47.00525,16.5331666667,15.3534583334,42.6778333333,45.3434166667,47.79725,22.1308333334,38.8914166667,22.5855
788.38,27.3389583333,50.46475,39.78475,47.8778333333,17.0693333333,16.2910416667,43.2466666667,45.5466666667,47.7385833333,22.66875,39.0878333333,23.41225
788.69,28.0736666667,51.0966666667,40.349875,48.4940833333,17.9719166666,16.48125,43.7365833333,45.6364166666,48.3006666667,23.26225,39.5966666667,23.7103333334
789.00,28.714375,51.5891666667,40.499375,48.829,18.88675,17.518375,43.9249166667,46.0309166667,48.4793333333,23.7150833333,40.184,23.9583333334
789.31,28.0930833333,51.4828333333,40.2069583333,48.7101666667,18.11875,16.7787083333,43.3580833333,45.59775,48.10775,23.0613333333,39.1951666667,23.3936666667
789.62,28.236,51.4875833333,40.0779166666,48.9798333334,18.4189166666,16.8341666666,43.42675,45.5063333333,47.9440833333,23.3411666667,39.38475,24.01875
789.92,27.839625,52.0931666666,40.458,49.1865,18.6255833333,17.239375,43.3808333333,45.9399166667,47.59075,23.7755833333,39.3285833333,24.73925
790.23,28.9258333333,52.97,41.4930833333,50.316,19.9131666666,18.9415833333,44.5339166667,46.6903333333,48.3333333333,25.29225,40.7661666667,26.1295
790.54,29.0895,53.3706666667,41.756,50.72275,20.1104166667,18.977375,45.02925,46.49925,48.5460833333,25.1136666667,40.887,25.8774166666
790.85,28.1803333333,52.6495833333,40.7305,50.2005,19.2829166667,17.7697916667,44.2244166667,45.0516666667,48.00225,24.04725,39.8444166667,25.0836666667
791.16,29.115125,53.2749166667,41.7997083333,50.7200833333,19.8215833333,17.8240416667,44.6330833333,45.8934166667,48.8255,24.7514166667,40.1149166667,25.523
791.47,29.8604583333,54.7809166667,42.683,51.59075,20.4930833333,18.72575,45.7845,47.4815,49.9645833333,26.20175,41.3660833333,26.7674166667
791.78,29.4935416667,53.64,41.9935,50.5266666667,19.4080833333,17.7515416666,44.7893333334,46.6230833333,49.6005833334,25.3449166667,41.3670833333,26.3889166667
792.08,29.7914166667,53.8865,41.7217916666,51.0015,19.7079166667,18.4122916667,45.3875833333,47.0231666666,50.0733333333,25.15625,41.8136666667,27.3153333333
792.39,29.568875,53.3765,41.7322083334,50.73875,19.2199166667,18.0227916667,45.1925833333,46.53,49.95325,25.0000833333,41.6384166667,27.3101666667
792.70,29.739875,53.9565,41.9724583333,51.15625,19.2181666667,18.4967916667,45.5561666667,46.9611666667,50.5734166667,24.9619166667,41.9533333334,27.8383333333
793.01,30.14625,54.2495,42.3050833333,51.2575,19.2300833333,18.455125,45.3996666667,47.6414166667,51.31575,24.5225833333,41.8030833333,27.495
793.32,29.8966666667,53.07425,41.22675,50.6571666667,19.01575,17.8895,44.7600833333,46.09425,51.0925833333,24.1201666667,41.3574166667,26.8754166667
793.62,28.877375,52.8038333333,40.4411666666,50.0784166666,18.1666666666,17.0785416667,44.2450833333,45.7353333333,50.2450833334,22.86275,40.7450833333,25.7841666667
793.93,28.4555833333,52.8441666667,40.4683333333,50.4375833333,17.9394166667,16.9200833334,44.1626666667,46.0916666667,50.5370833333,22.6431666666,40.8909166666,25.6463333334
794.24,28.4214583333,53.0586666666,40.740375,50.3529166667,18.2351666666,17.5048333333,44.4606666667,47.10775,50.60775,23.1176666667,41.5294166667,25.55875
794.55,27.4025,52.7485,40.6139583333,49.9123333333,17.95325,17.6461666667,44.20075,46.618,50.4190833333,23.13825,41.35475,24.79525
794.86,27.8127083333,52.4895833333,40.7781666667,49.9715,18.7761666667,17.944625,44.54575,46.46525,50.6461666667,23.6413333333,41.40075,24.8479166667
795.16,27.322625,51.6704166667,40.456125,49.3148333334,18.5715833333,17.4829583334,44.1255,45.8240833333,50.3285,23.4796666667,40.8501666666,24.0616666666
795.47,27.916375,52.4823333333,41.694625,49.888,18.8224166667,17.8750833333,44.8956666667,46.65,51.0545833333,24.5614166667,41.3774166666,23.9455
795.78,28.17725,52.7406666667,42.5074166667,50.1111666667,19.3886666667,17.8882083333,45.52225,47.12925,51.2636666667,24.7955833333,42.0475833333,23.8665833333
796.09,28.04,52.03575,42.0664166666,48.9640833333,19.1293333334,17.6617083333,44.6563333333,46.1468333334,50.5635,25.0546666667,41.8575833334,23.2459166667
796.40,27.9345,52.3549166667,42.323875,49.2149166667,19.1035833333,17.2689583333,44.88875,46.2943333334,50.9403333333,24.9179166667,42.1595,23.0103333333
796.70,27.474125,51.9144166667,42.3972916667,49.1399166666,18.239,16.7035,44.7373333334,46.9293333334,50.888,24.8151666667,41.83325,21.6890833333
797.01,27.3809166667,51.3658333333,42.4695416667,48.9388333333,17.8294166666,16.4728333333,44.4075,46.8254166667,50.37825,24.84325,41.3251666667,21.484
797.32,28.6878333333,52.2008333333,42.9832916667,49.4383333333,18.41625,17.1270833334,45.5525,47.5966666667,50.9391666667,25.7825833333,42.5505,22.29275
797.63,29.7296666667,52.7593333333,43.5723333333,49.7046666667,19.4260833334,17.9124583333,45.9301666667,47.8314166667,51.7904166667,26.56875,43.0233333333,22.6465833333
797.93,30.409375,52.115,43.3657916666,50.0635,19.8661666667,18.60525,45.3360833333,47.3970833333,51.4913333333,26.7534166667,43.1218333333,23.6714166666
798.24,29.9249583333,52.2381666667,43.2064583333,50.2218333333,19.8575833333,18.5812083333,44.8668333333,47.07725,51.4520833333,26.5261666667,42.7765,22.7336666667
798.55,30.5116666667,53.2168333333,43.7454583333,51.0440833334,20.7393333333,19.051,45.5793333333,47.88375,52.2008333333,26.6555,43.6794166667,22.67675
798.85,29.8135416667,52.1595,42.8225416667,50.21875,20.5765,18.2697916667,44.1305,47.1271666666,51.22725,25.5708333333,43.4930833333,21.718
799.16,30.4923333333,52.3200833333,42.9024583333,50.3883333333,20.8616666667,19.1618333333,44.072,47.4810833333,51.6003333334,26.28775,43.22925,22.9829166667
799.47,30.5862083334,52.50975,43.459375,50.7655,20.6975833333,18.8905,44.2925833333,47.907,51.8315,25.6298333333,43.7403333333,22.94575
799.78,30.251625,52.0929166666,43.4092083333,50.4799166667,20.7949166667,19.45575,44.2875833333,47.68625,50.9120833333,25.9025,43.3275833333,22.4749166667
800.08,31.5095,52.9783333333,44.3392916667,51.038,21.9730833333,20.4016666667,45.489,48.3798333333,51.591,26.62,43.8688333333,24.059
800.39,31.5460833333,52.6614166667,44.2404583333,50.69925,22.3485833333,20.2990833334,44.9105833333,48.0476666667,51.8065,26.64125,43.7063333334,24.14525
800.70,31.3912083333,52.3948333333,44.07125,50.98325,22.8094166667,20.8966666667,44.3535833334,47.5078333333,52.0054166667,26.83025,43.1171666667,24.5035
801.00,31.007625,51.7430833333,43.4587916667,50.1958333333,21.6705833333,20.1967916667,43.4489166667,46.9349166667,51.15525,25.5779166667,42.264,24.37325
801.31,31.6505833333,53.84225,44.5001666666,50.9124166667,22.435,20.468375,45.0831666667,48.469,52.0174166667,26.0848333333,42.9745,25.3346666667
801.62,31.83075,53.5859166667,44.7332083333,50.2140833333,21.7500833333,19.63125,44.66175,48.11525,51.63,25.38725,42.9606666667,25.83525
801.92,32.131375,53.42425,44.575625,50.0201666667,21.81825,19.4949583333,44.8080833333,48.1616666666,51.0706666666,25.96975,42.5656666667,26.5251666667
802.23,32.1415,53.2379166667,44.706,50.0596666667,21.5533333333,20.6147916666,44.9145833333,48.1724166667,50.5364166666,26.619,42.491,27.4829166667
802.54,31.5878333334,53.2043333333,44.353875,49.85675,21.0789166667,19.7941666667,44.9630833333,48.05475,50.6960833333,26.085,42.3013333333,26.27975
802.84,33.1989583333,54.9463333333,45.0280416667,51.4146666667,22.8108333334,21.442375,46.6025833333,49.8555,52.5609166667,27.7364166667,43.515,27.3235
803.15,32.617875,54.3139166667,43.5027083334,50.0106666666,21.6225833333,20.0599166667,45.5176666667,48.5269166667,52.02025,26.473,42.63475,26.5153333333
803.46,31.7226666667,53.22125,42.3367916667,49.0025,21.1658333333,19.5345416667,44.441,47.4854166667,51.2365,26.2883333333,42.3005,25.4985833333
803.76,32.1983333333,54.0631666666,42.646,49.4920833333,22.14975,20.1907916667,45.6156666667,47.8545,52.0833333333,27.31125,43.439,26.29575
