wavelength,Back_ParGulm,Belly_ParGulm,Breast_ParGulm,Crissum_ParGulm,Crown_ParGulm,DorTail_ParGulm,Rump_ParGulm,Throat_ParGulm,WingTip_ParGulm
578.26,9.62780000001,60.2346666667,50.665,58.0955333333,7.54033333333,8.47753333333,7.85242222221,7.66991666666,9.47933333333
578.60,9.66555555555,60.1470666667,50.6117333333,58.0396666667,7.65896666667,8.5312,7.88102222221,7.74383333333,9.49996666667
578.94,9.67524444445,60.0923333333,50.5490666667,57.9815333333,7.72986666667,8.50223333333,7.87184444444,7.76408333333,9.46996666667
579.28,9.75986666667,60.2433666667,50.6629333334,58.1235333333,7.90156666666,8.55103333333,7.93656666666,7.86916666667,9.56120000001
579.61,9.76733333334,60.1962,50.6350666667,58.0514,7.99743333333,8.5583,7.94788888889,7.92283333333,9.56879999999
579.95,9.84946666666,60.2350333333,50.6409333334,58.1244666667,8.1401,8.64996666667,7.99831111111,7.99058333333,9.63416666666
580.29,9.83973333334,60.1971666667,50.6626,58.1094666666,8.25789999999,8.71926666667,8.01104444445,8.03741666666,9.63553333333
580.63,9.92344444445,60.2907666667,50.7444,58.2030666667,8.4185,8.78676666667,8.12347777777,8.12241666667,9.7107
580.97,10.0107333333,60.4782,50.8854,58.4128666667,8.57543333333,8.84836666667,8.25577777778,8.21741666667,9.82523333334
581.31,10.0435777778,60.5216666667,50.8699333333,58.4250666667,8.6955,8.89183333333,8.29794444445,8.26616666667,9.87633333333
581.65,10.0218666667,60.5964,50.9195333333,58.5213333333,8.75266666667,8.86593333333,8.25637777778,8.23466666666,9.88416666667
581.98,10.0369777778,60.5903666667,50.945,58.5705333333,8.84893333334,8.8808,8.27227777777,8.24141666666,9.8906
582.32,10.0733111111,60.7426,51.0535333333,58.7196,8.95676666667,8.90403333333,8.34574444444,8.287,9.94823333333
582.66,10.125,60.7610666667,51.0907333333,58.7264,9.0527,8.97243333333,8.36985555556,8.30916666667,9.96150000001
583.00,10.0844666667,60.7201,51.0328,58.6026666667,9.06426666666,8.95753333333,8.32347777778,8.24516666666,9.92483333333
583.34,10.0440444444,60.7594333333,51.0515333333,58.6818,9.12693333333,8.94473333333,8.30318888889,8.20708333333,9.89906666666
583.68,10.0680222222,60.7337666667,51.096,58.6907333333,9.23873333334,8.985,8.32936666667,8.26175,9.9332
584.01,10.0076444444,60.7172666667,51.0554,58.6988666667,9.26696666666,8.9062,8.26292222222,8.19933333333,9.87060000001
584.35,9.95082222223,60.6383,50.9944666667,58.638,9.31593333334,8.79636666667,8.21450000001,8.1925,9.85376666667
584.69,9.84071111112,60.4848,50.8854,58.4836,9.27813333333,8.73213333333,8.10585555555,8.09683333333,9.71386666666
585.03,9.76464444444,60.3664666667,50.7768,58.4206666667,9.31109999999,8.62813333333,8.04777777778,8.05175,9.65656666667
585.37,9.75286666667,60.3208666667,50.7284,58.3922,9.41826666667,8.64783333333,8.06883333333,8.01775,9.68633333333
585.70,9.66420000001,60.2255,50.66,58.2680666667,9.41926666667,8.587,8.01163333334,7.94308333334,9.63520000001
586.04,9.61246666667,60.0675,50.5568,58.1378666667,9.46343333333,8.54206666667,7.94046666666,7.83275,9.60100000001
586.38,9.56386666667,60.0608666667,50.5673333333,58.1596,9.51406666666,8.50886666667,7.93277777778,7.80933333333,9.61929999999
586.72,9.62648888889,60.1053333333,50.6875333333,58.3182666667,9.70706666667,8.55696666667,8.01038888889,7.90733333333,9.72263333333
587.06,9.62864444444,60.1574,50.6873333333,58.3365333333,9.80176666666,8.58673333333,8.00422222222,7.9055,9.74456666666
587.39,9.58086666667,60.1476,50.6898,58.3061333333,9.85066666667,8.53613333333,7.96734444445,7.85666666667,9.69746666667
587.73,9.62891111112,60.2860666667,50.7972,58.3955333333,10.0036,8.59106666667,8.05311111112,7.91925,9.76683333333
588.07,9.63604444445,60.3399333333,50.8053333333,58.429,10.0997333333,8.65246666667,8.04523333334,7.89466666667,9.73766666667
588.41,9.67831111112,60.4153333333,50.8499333333,58.451,10.2590333333,8.67676666667,8.05760000001,7.95341666667,9.76696666667
588.74,9.75637777778,60.4989666667,50.9643333333,58.5236,10.4581333333,8.7654,8.14635555556,8.04758333333,9.82276666667
589.08,9.80182222223,60.4622666667,50.9314,58.4616666667,10.6022666667,8.78646666667,8.19382222221,8.11783333333,9.8068
589.42,9.74831111112,60.5084333333,50.947,58.4440666667,10.6913,8.73406666667,8.13581111111,8.08858333334,9.74593333334
589.76,9.76562222222,60.6237333333,50.9803333333,58.5301333333,10.8180333333,8.75493333333,8.15055555555,8.165,9.75056666667
590.09,9.74739999999,60.7024333333,51.038,58.5651333333,10.9543,8.72823333333,8.14632222223,8.16616666667,9.74213333333
590.43,9.63988888889,60.6466333333,50.9165333333,58.4834666667,10.9387666667,8.63623333333,8.03471111111,8.04241666667,9.60749999999
590.77,9.65684444444,60.5743666667,50.8572666667,58.4276,11.0745333333,8.6448,8.05921111111,8.08875,9.58909999999
591.11,9.65522222223,60.5688333333,50.7828666667,58.3848,11.2141,8.659,8.05070000001,8.1025,9.56183333333
591.44,9.65404444444,60.5565666667,50.7836666667,58.3825333333,11.3108333333,8.6527,8.01274444445,8.09083333334,9.54620000001
591.78,9.62802222222,60.5848,50.7918666667,58.3875333333,11.4399333333,8.64666666667,8.00901111111,8.11016666667,9.53399999999
592.12,9.62917777778,60.6198333333,50.8146,58.4059333333,11.574,8.63756666667,7.99741111112,8.10583333333,9.57769999999
592.46,9.5512888889,60.6471666667,50.8076,58.3988666667,11.6202333333,8.56993333333,7.89685555556,8.02058333333,9.51403333334
