wavelength,Back_IriPorm,Belly_IriPorm,Breast_IriPorm,Crissum_IriPorm,Crown_IriPorm,DorTail_IriPorm,Patch10_IriPorm,Patch11_IriPorm,Rump_IriPorm,Throat_IriPorm,WingTip_IriPorm
360.57,9.45077777779,9.45200000001,11.613,4.18644444444,10.1324444444,6.99766666667,11.067,7.44688888889,8.50977777778,14.939,7.62922222222
360.93,9.55233333332,9.5878888889,11.7447777778,4.27077777778,10.2494444445,7.02544444444,11.1918888889,7.545,8.62588888889,15.0508888889,7.76088888889
361.29,9.44911111112,9.55977777779,11.6523333333,4.202,10.1931111111,7.05322222222,11.1412222222,7.49822222222,8.61411111111,15.0023333333,7.76833333333
361.66,9.48288888888,9.63022222223,11.6814444445,4.25788888889,10.3136666667,7.09122222222,11.2054444445,7.63311111111,8.70533333333,15.0494444445,7.79455555556
362.02,9.68133333333,9.82900000002,11.8837777778,4.42233333333,10.5002222222,7.34488888889,11.4088888889,7.83933333333,8.93188888889,15.1738888889,7.94988888889
362.39,9.69911111112,9.88722222223,11.8678888889,4.46788888889,10.479,7.34233333334,11.3937777778,7.85455555556,8.97955555556,15.1854444444,7.98955555556
362.75,9.67244444446,9.89488888889,11.8258888889,4.44066666667,10.4251111111,7.31,11.396,7.80711111111,8.93688888889,15.1425555555,7.957
363.11,9.69855555556,9.88355555553,11.8423333334,4.42655555555,10.4018888889,7.262,11.3887777778,7.86244444445,8.93833333333,15.0885555556,8.00033333333
363.48,9.73466666668,9.97466666666,11.9037777778,4.51377777778,10.475,7.264,11.442,7.93277777778,8.94066666667,15.0973333333,8.05911111111
363.84,9.76311111111,10.0676666667,11.9146666667,4.51188888889,10.5213333333,7.22,11.4692222222,7.96622222222,8.95344444445,15.1312222222,8.02111111111
364.20,9.69922222222,10.0088888889,11.822,4.39911111111,10.4576666667,7.17433333334,11.421,7.86544444445,8.90044444444,15.0492222222,7.96544444445
364.57,9.72022222221,10.0141111111,11.8041111111,4.35244444445,10.4281111111,7.13177777778,11.4085555556,7.82233333333,8.89344444445,15.0283333333,7.89677777778
364.93,9.73388888888,10.059,11.8345555555,4.38122222222,10.519,7.16722222222,11.4664444444,7.879,8.91988888889,15.108,7.94344444445
365.29,9.82744444445,10.1148888889,11.9067777778,4.42266666667,10.5912222222,7.13144444445,11.5184444444,7.917,8.94633333333,15.1355555556,7.945
365.66,9.60911111112,9.91333333333,11.6887777778,4.16666666667,10.3027777778,6.91911111111,11.3573333333,7.63033333333,8.71344444445,14.8818888889,7.709
366.02,9.49111111111,9.87366666667,11.617,4.04311111111,10.2316666667,6.78777777778,11.2875555556,7.61033333333,8.70633333333,14.9038888889,7.631
366.38,9.45188888888,9.77500000002,11.6113333333,3.96077777778,10.1785555556,6.693,11.2647777778,7.55411111111,8.686,14.8698888889,7.60222222222
366.75,9.48566666668,9.86377777779,11.6634444444,4.00722222222,10.3178888889,6.71922222222,11.3415555556,7.60233333333,8.73566666667,14.9313333333,7.70322222222
367.11,9.39055555556,9.84533333336,11.6132222222,3.95111111111,10.2673333333,6.64988888889,11.3108888889,7.537,8.70966666667,14.881,7.57122222222
