wavelength,Back_TanArtm,Belly_TanArtm,Breast_TanArtm,Crissum_TanArtm,Crown_TanArtm,DorTail_TanArtm,Patch10_TanArtm,Patch11_TanArtm,Patch12_TanArtm,Patch13_TanArtm,Rump_TanArtm,Throat_TanArtm,WingTip_TanArtm
250.92,1.35733333333,1.18541666667,0.758750000001,-0.331916666667,-0.966083333332,3.82275,1.055,-0.575,-1.23720833333,-0.24875,0.0946666666668,1.01341666666,4.76533333333
251.29,1.52783333333,1.53729166667,1.05433333333,-0.265166666667,-0.846,3.81308333333,1.40758333333,-0.612416666666,-1.198,-0.290583333333,0.505166666667,1.20591666667,4.981
251.66,1.71183333333,1.72816666667,0.898000000001,-0.0775000000002,-0.613583333333,3.61108333333,1.48575,-0.31,-1.21775,-0.303666666666,0.716916666667,1.35016666667,5.01925
252.04,1.937,1.88370833333,0.951750000001,0.02,-0.4195,3.581,1.45108333333,-0.37925,-1.35958333333,-0.173083333334,0.785333333332,1.61075,4.9255
252.41,1.30391666667,0.940708333333,0.122166666667,-0.760666666666,-1.3785,2.87941666667,0.801500000001,-1.16116666667,-2.23277083333,-0.753833333334,-0.0678333333334,0.794499999999,4.16316666667
252.79,2.19266666667,1.383125,0.853833333332,0.122916666667,-0.444,3.75683333333,1.56425,-0.375749999998,-1.81866666667,-0.0955833333336,0.642,1.18858333333,5.10258333333
253.16,2.19875,0.948,0.682333333334,0.1515,-0.537583333333,3.8945,1.18558333333,-0.710083333333,-2.110875,-0.275583333333,0.544499999999,1.19241666667,4.64583333334
253.54,2.73841666667,1.58170833333,1.47725,0.585416666667,-0.0766666666667,4.54991666667,1.74191666667,-0.404000000002,-1.49272916667,0.0905833333332,1.20525,2.00666666667,5.14216666667
253.91,2.78975,1.65458333333,1.759,0.598416666666,-0.0144166666668,4.664,2.177,-0.706499999999,-1.37147916667,0.0431666666668,1.0525,2.18416666667,5.07491666666
254.28,3.21825,2.25875,2.56116666667,1.49083333333,0.7675,5.39566666667,3.0705,-0.369083333333,-0.58125,0.509416666666,1.51316666667,2.87116666667,5.55066666667
254.66,3.318,2.12954166667,2.608,1.08025,0.501416666667,5.70975,2.95525,-0.678999999998,-0.736916666668,0.0850000000008,1.466,2.90116666667,5.10025
255.03,3.81666666667,2.46108333333,2.966,1.56641666667,0.827083333332,6.34558333333,3.51458333333,0.135333333334,-0.294229166668,0.413583333332,2.13108333333,3.64983333333,5.3675
255.41,4.286,2.59541666667,3.69375,2.09775,1.46441666667,7.17341666667,4.07208333333,1.09408333333,0.411416666668,1.26691666667,2.59975,4.30241666667,5.64325
255.78,3.49725,1.75708333333,3.41166666666,1.288,0.716416666667,6.89183333333,3.42041666667,0.409416666667,0.136541666668,0.852916666666,1.94466666667,3.80416666667,5.04091666667
256.15,3.90941666666,2.05420833333,4.08375,1.88408333333,1.15366666667,7.41191666667,4.00058333334,1.13708333333,0.589458333335,1.2535,2.6725,3.95908333333,5.20416666667
256.53,4.85908333333,3.11816666667,5.15991666666,3.34766666667,2.31091666667,8.32525,4.98583333333,2.54825,2.1150625,2.23958333334,4.04391666667,5.08858333333,5.95925
256.90,4.054,2.36866666666,4.42941666667,2.80766666667,1.33625,7.75525,4.03916666667,1.68183333333,1.81302083333,1.20116666667,3.34841666667,4.79725,4.93241666667
257.28,4.46658333333,2.92266666667,4.86633333333,3.1155,1.73016666666,8.07833333333,4.42516666666,2.28841666667,2.19872916667,1.79216666667,3.74291666667,5.3075,5.838
257.65,3.60841666667,2.21433333333,4.08958333333,2.492,0.882083333333,6.89008333334,3.60216666667,1.51141666667,1.46645833333,1.38166666667,2.87433333333,4.29333333333,5.4405
