wavelength,Back_CyaCysf,Belly_CyaCysf,Breast_CyaCysf,Crissum_CyaCysf,Crown_CyaCysf,DorTail_CyaCysf,Patch10_CyaCysf,Rump_CyaCysf,Throat_CyaCysf,WingTip_CyaCysf
240.79,4.40166666667,6.966,4.5556,5.0428,3.87173333333,7.26491666667,6.59836666667,5.11953333334,6.66673333333,7.87173333333
241.17,4.64733333333,7.1046,4.80326666667,5.16706666667,4.38013333333,7.53541666667,7.22349999999,5.65706666667,6.68893333333,8.05499999999
241.54,3.6962,6.27686666667,4.3012,4.30766666667,3.582,6.49358333333,6.23643333333,4.65053333334,5.21506666667,7.4328
241.92,2.92753333333,5.7134,4.12046666666,3.7578,3.18573333333,5.87316666667,5.59346666667,3.89313333333,4.49573333333,6.87566666667
242.29,3.09313333333,5.71673333333,4.354,3.74326666666,3.26833333333,5.73933333333,5.89776666667,4.22393333333,4.3934,6.88153333333
242.67,3.77206666667,5.66366666667,4.49713333333,4.05573333333,3.4124,6.13925,6.07783333333,4.4916,4.70973333333,7.29906666667
243.05,4.21666666667,6.16193333333,4.72673333333,4.2114,3.6488,6.61158333334,6.46673333332,4.8054,5.19446666667,7.72353333333
243.42,4.27113333333,6.19906666667,4.59146666667,4.01373333333,3.53553333333,6.86233333333,6.73233333333,5.10646666667,5.18,7.43893333334
243.80,4.36206666667,6.17206666667,4.4672,3.98326666667,3.63593333333,6.99149999999,6.69826666667,5.00906666666,4.85133333333,7.07706666667
244.17,4.42893333333,6.2688,4.52706666667,4.06186666667,3.51946666667,6.96383333333,6.77516666667,5.20406666667,4.7596,7.01293333333
244.55,5.49193333333,6.98713333333,5.29873333333,5.10553333333,4.50546666667,7.89466666666,7.8769,6.08193333333,5.57333333333,7.7548
244.92,4.29213333333,5.4744,3.7258,3.89466666667,3.12473333333,6.74375,6.53256666667,4.79393333333,4.13813333333,6.4382
245.30,3.88026666666,5.05886666667,3.26266666667,3.32386666667,2.381,6.14691666667,5.75916666667,3.9886,3.4654,5.74733333333
245.67,3.76566666667,5.1232,3.00046666667,3.28573333333,2.07086666667,6.27975,5.83,4.02506666667,3.62293333333,5.74586666667
246.05,4.59926666667,5.83166666667,3.48886666667,4.08353333333,2.78406666667,6.88116666667,6.62326666667,4.79633333333,4.47326666667,6.6588
246.42,4.66666666667,6.10806666667,3.6254,4.51173333333,2.98373333333,7.23875,6.9026,5.15326666666,4.92246666667,6.9622
246.79,4.774,6.46033333333,4.00466666667,4.9246,3.28426666667,7.47366666667,7.2856,5.42893333333,5.21933333333,7.15453333333
247.17,4.64433333334,6.04546666666,3.9192,4.8218,3.02886666667,7.30075,7.07346666667,5.15526666667,4.96866666667,6.9268
247.54,5.03886666667,6.34113333333,4.2986,5.2262,3.38533333333,7.49791666667,7.36976666666,5.23193333333,5.27213333333,7.29466666667
247.92,4.73593333333,5.97026666667,4.21233333333,5.09,3.1202,7.15275,7.10690000001,4.86133333333,5.12053333333,7.0456
