wavelength,Back_MelRicm,Belly_MelRicm,Breast_MelRicm,Crissum_MelRicm,Crown_MelRicm,DorTail_MelRicm,Rump_MelRicm,Throat_MelRicm,WingTip_MelRicm
747.18,9.72633333333,7.04233333333,9.39933333333,9.59,9.60366666667,8.18666666667,9.53533333333,6.157,17.0823333333
747.49,9.69033333333,7.329,9.256,9.89433333333,9.731,8.86266666667,9.799,6.29733333333,16.9786666667
747.81,9.74933333333,7.47266666667,9.65566666667,9.72266666667,9.88366666667,9.21366666667,10.245,6.254,17.1016666667
748.12,9.314,7.606,9.16733333333,9.24733333333,9.54066666667,8.84666666667,10.0743333333,6.17833333333,17.2536666667
748.44,9.01233333333,7.29466666667,8.44,8.98566666667,9.06533333333,8.97233333333,9.93066666667,5.724,16.973
748.75,8.57266666667,6.76266666667,8.04033333333,8.77233333333,8.546,8.85233333333,9.71766666667,5.35166666667,16.8926666667
749.07,8.29333333333,6.661,7.882,8.745,8.121,8.811,9.60733333333,5.09566666667,17.0916666667
749.38,8.46833333333,6.859,7.74333333333,9.049,7.91433333333,8.69266666667,9.69533333333,5.22366666667,16.9636666667
749.70,8.84533333333,7.113,8.35966666667,9.475,8.07066666667,8.70033333333,10.0393333333,5.761,17.2966666667
750.01,8.81466666667,6.94166666667,8.26466666667,9.43033333333,7.96333333333,8.31733333333,9.74466666667,5.33066666667,17.1053333333
750.33,9.13266666667,7.60633333333,8.79066666667,9.89566666667,8.10633333333,8.264,9.98833333333,5.73766666667,17.5286666667
750.64,9.08133333333,7.77633333333,8.89666666667,9.925,8.64633333333,8.093,10.175,5.60166666667,17.8596666667
750.96,9.15433333333,7.90166666667,8.983,10.091,8.60033333333,7.86166666667,10.1043333333,5.949,18.428
751.27,9.163,7.94166666667,8.566,10.3853333333,8.49933333333,7.66266666667,9.628,5.80333333333,18.247
751.59,9.42666666667,7.84,8.61333333333,10.5866666667,8.57333333333,7.98666666667,9.28,5.88,18.2
751.90,9.75866666667,7.78266666667,9.10433333333,11.0666666667,8.54333333333,8.10333333333,9.171,5.927,18.4353333333
752.22,9.646,7.50833333333,8.804,10.7283333333,8.02966666667,7.61533333333,8.203,5.638,17.969
752.53,10.098,7.76266666667,8.73166666667,10.5226666667,8.04133333333,7.922,8.267,5.77233333333,17.7416666667
752.85,9.75766666667,7.561,8.307,10.3033333333,7.90733333333,7.94733333333,8.067,5.56433333333,17.7316666667
753.16,9.94266666667,7.71266666667,8.00466666667,10.62,8.16433333333,8.38966666667,8.151,5.58866666667,18.0536666667
753.47,10.1503333333,8.11733333333,8.22333333333,10.602,8.675,9.287,8.383,6.19133333333,18.52
753.79,10.012,7.78266666667,7.63566666667,10.1186666667,8.65033333333,9.278,7.66266666667,5.7,17.928
754.10,10.241,7.67066666667,7.40266666667,10.0,8.19266666667,9.85266666667,7.59066666667,5.609,17.617
754.42,10.6303333333,7.653,7.72066666667,10.1993333333,8.313,10.361,7.734,5.48366666667,17.5693333333
754.73,10.7716666667,7.801,7.65166666667,10.27,7.99066666667,10.6633333333,7.706,5.63,17.7996666667
755.05,10.7863333333,7.82233333333,7.51133333333,10.1906666667,7.74133333333,10.8673333333,7.836,5.61633333333,17.8913333333
755.36,10.6676666667,7.84466666667,7.20666666667,9.799,7.65466666667,11.0746666667,7.709,5.91733333333,17.861
755.67,10.824,8.241,7.47566666667,10.2226666667,8.077,11.644,8.37766666667,6.36866666667,18.3133333333
755.99,10.8856666667,8.45733333333,7.69866666667,10.637,8.002,11.424,8.14,6.49833333333,18.5983333333
756.30,10.8883333333,8.424,7.658,10.401,7.602,11.2923333333,7.44933333333,6.405,18.2123333333
756.62,10.7476666667,7.98033333333,7.575,10.2026666667,7.30966666667,11.1253333333,7.212,6.317,17.9176666667
756.93,10.4193333333,7.64266666667,7.138,10.0966666667,6.465,10.658,6.577,6.10033333333,17.5713333333
757.24,10.0423333333,7.201,6.68066666667,9.789,5.72433333333,10.3233333333,6.24466666667,5.682,17.2153333333
757.56,8.90766666667,6.057,5.77266666667,9.078,4.61,9.50366666667,5.27633333333,4.908,16.695
757.87,8.42966666667,5.46266666667,4.84966666667,8.52966666667,4.07933333333,8.70066666667,4.59266666667,4.56433333333,16.3456666667
758.18,7.757,4.96733333333,4.341,8.04166666667,3.857,8.369,4.18433333333,4.341,15.9263333333
758.50,7.477,4.766,4.20966666667,8.148,3.78133333333,7.891,3.767,4.36633333333,15.3393333333
758.81,6.953,4.20633333333,3.527,8.008,2.90566666667,7.15533333333,3.05,3.94633333333,15.0333333333
759.13,7.16433333333,4.024,3.37233333333,8.07633333333,2.46066666667,7.063,2.83666666667,4.096,14.908
759.44,6.886,3.306,2.62733333333,7.62233333333,1.96333333333,7.348,2.42533333333,3.68166666667,14.754
759.75,6.756,2.82333333333,2.14633333333,6.828,1.858,7.087,2.132,3.515,14.578
760.07,6.60633333333,2.61066666667,1.45666666667,6.404,1.58633333333,6.83666666667,1.457,3.231,13.9913333333
760.38,6.64066666667,2.35733333333,1.466,6.224,1.969,6.66933333333,1.61,3.16233333333,13.914
760.69,6.76,2.69266666667,1.786,6.59,2.30966666667,7.14266666667,1.913,3.869,14.3
761.01,7.009,3.143,1.82166666667,6.43833333333,2.41966666667,7.14766666667,2.04433333333,4.18566666667,14.56
761.32,6.68033333333,3.13866666667,1.65,6.184,2.21333333333,6.90833333333,1.98533333333,4.07766666667,14.5673333333
761.63,6.78333333333,2.848,1.644,6.13566666667,1.90266666667,6.434,1.44966666667,3.71533333333,14.369
761.94,6.72933333333,2.63433333333,1.448,5.99233333333,1.81,6.40433333333,1.38566666667,3.69533333333,14.332
762.26,6.80833333333,2.85266666667,1.594,5.82533333333,2.26533333333,6.688,1.64233333333,3.548,14.2156666667
762.57,6.61633333333,3.021,1.51633333333,5.44433333333,2.458,6.50166666667,1.562,3.12433333333,13.99
762.88,6.413,3.14,1.53633333333,5.36633333333,2.78366666667,6.157,1.29133333333,3.084,13.783
763.20,6.25133333333,3.29433333333,1.82666666667,5.75166666667,2.92466666667,6.36,1.46766666667,3.25066666667,14.1116666667
763.51,6.308,3.73566666667,2.39066666667,5.99833333333,3.149,6.66033333333,1.836,3.87433333333,14.4623333333
763.82,6.24066666667,3.931,2.41533333333,5.90133333333,2.99833333333,6.73833333333,1.81166666667,3.97333333333,14.505
764.14,6.14366666667,3.77366666667,2.15766666667,5.54866666667,2.82733333333,6.69666666667,1.65833333333,3.55,14.445
764.45,6.33433333333,3.82633333333,2.401,5.56266666667,3.22633333333,6.47366666667,1.78966666667,3.687,14.448
764.76,6.268,3.77866666667,2.59966666667,5.23233333333,3.382,6.53233333333,1.67466666667,3.61333333333,14.2873333333
765.07,6.30033333333,3.86666666667,2.66133333333,5.095,3.55966666667,7.062,2.19466666667,3.901,14.58
765.39,5.86133333333,3.777,2.71166666667,4.66533333333,3.36266666667,6.99833333333,2.07233333333,3.659,14.6713333333
765.70,5.128,3.53066666667,2.341,3.97633333333,2.92333333333,6.51566666667,1.51133333333,3.29466666667,14.2943333333
766.01,4.58566666667,2.90366666667,1.813,3.416,2.32566666667,5.939,0.841,3.232,13.822
766.32,4.594,2.71233333333,2.034,3.058,2.02,5.81133333333,1.19,3.29333333333,13.5463333333
766.64,4.58933333333,2.608,1.85033333333,2.72433333333,1.74833333333,5.259,1.07833333333,3.234,13.3156666667
766.95,4.268,2.27233333333,1.22833333333,2.30333333333,1.27466666667,4.77466666667,0.736666666667,2.51833333333,13.3883333333
767.26,3.862,2.03533333333,0.945333333333,2.13133333333,1.00966666667,4.26266666667,0.497,2.17933333333,13.3493333333
767.57,3.34,1.55333333333,0.634333333333,1.553,0.601,3.073,0.05,2.004,13.0096666667
767.88,2.801,1.29666666667,0.207666666667,1.193,0.000333333333333,2.801,-0.795333333333,1.36566666667,12.5866666667
768.20,2.818,0.998666666667,0.018,1.14133333333,-0.553,2.39,-1.73,1.23066666667,12.324
768.51,2.403,0.924333333333,-0.332666666667,0.481,-1.294,1.25733333333,-2.64366666667,0.924333333333,11.8876666667
768.82,3.23866666667,1.212,-0.283666666667,0.738333333333,-0.928,1.02266666667,-2.538,1.25,11.799
769.13,3.517,1.01566666667,0.215,1.407,-0.742333333333,1.11366666667,-2.286,1.622,12.0946666667
769.44,3.50166666667,1.56033333333,0.800333333333,1.70033333333,-0.240333333333,1.62066666667,-1.72066666667,1.721,12.565
769.76,3.59966666667,2.11533333333,0.325666666667,1.973,0.223666666667,1.932,-2.03366666667,1.76933333333,12.9956666667
770.07,4.019,2.56866666667,0.600666666667,2.19566666667,0.518,2.87966666667,-1.968,1.80233333333,13.093
770.38,3.23866666667,1.43,0.021,1.409,-0.252333333333,2.06133333333,-2.46066666667,1.17766666667,11.861
770.69,2.92533333333,0.854,-0.683,1.153,-0.683,1.60133333333,-2.94666666667,0.726,11.36
771.00,2.54933333333,0.281,-0.950666666667,0.950666666667,-0.54,1.83633333333,-3.19733333333,0.367,10.8663333333
