wavelength,Back_PooCinm,Belly_PooCinm,Breast_PooCinm,Crissum_PooCinm,Crown_PooCinm,DorTail_PooCinm,Patch10_PooCinm,Rump_PooCinm,Throat_PooCinm,WingTip_PooCinm
246.05,2.50513333333,2.8674,2.70713333333,3.00386666667,2.73953333333,6.01073333334,11.3267333333,3.04933333333,2.62996666667,4.56513333333
246.42,2.95666666667,3.24933333333,2.99993333333,3.40653333333,3.05146666667,6.44446666667,11.7887333333,3.5122,3.13686666666,5.08126666667
246.79,2.9506,3.39306666667,3.02013333333,3.57193333333,3.15693333334,6.59966666667,12.0334666667,3.67066666667,3.16436666667,5.22753333333
247.17,2.85393333333,3.3332,3.1374,3.54773333333,3.10733333333,6.61133333334,12.1669333333,3.61764444445,3.00953333333,5.23273333333
247.54,2.468,2.84166666667,2.734,3.0792,2.67693333333,6.29713333334,11.9212,3.26684444445,2.60083333333,4.81246666667
247.92,2.53553333333,2.87426666667,2.8314,3.2646,2.7242,6.32353333333,12.1491333333,3.50922222222,2.6833,4.96573333333
248.29,2.4616,2.9122,2.89533333333,3.33333333333,2.67853333333,6.32133333334,12.171,3.60226666667,2.76696666667,4.98633333333
248.67,2.90126666667,3.344,3.28913333333,3.713,2.91593333333,6.59953333334,12.5824666667,4.06551111111,3.18123333333,5.40786666667
249.04,2.79353333333,3.2578,3.08066666666,3.4844,2.62953333333,6.33633333333,12.3747333333,3.83706666667,3.03963333333,5.2092
249.42,2.7812,3.36073333333,3.12206666667,3.6104,2.52906666667,6.40979999999,12.4267333333,3.97175555556,3.1015,5.19893333333
249.79,2.7664,3.26286666667,2.89293333333,3.52313333333,2.416,6.40873333333,12.3795333334,4.03237777778,3.1387,5.0998
250.17,2.32313333333,2.82633333333,2.41546666666,3.11606666667,1.9834,5.91086666667,11.8426,3.53495555555,2.713,4.49886666667
250.54,1.9488,2.61173333333,2.12013333333,2.9008,1.7044,5.53773333334,11.5754,3.11893333334,2.38403333333,4.03553333333
250.92,2.21426666667,2.6188,2.31006666667,3.02013333333,1.74393333334,5.50406666666,11.7243333333,3.15202222222,2.5005,4.0958
251.29,2.4256,2.73546666667,2.41946666667,3.17366666667,1.8122,5.40846666667,11.4584666667,3.34791111111,2.7481,4.0814
251.66,3.17193333333,3.64346666667,3.17186666667,4.09233333333,2.48386666667,6.03033333334,12.3158,4.11284444445,3.42856666667,4.79006666667
252.04,2.51433333333,3.0614,2.75166666666,3.42726666667,1.89806666667,5.599,11.745,3.54377777778,2.79133333333,4.12926666667
252.41,2.73733333333,3.27606666667,2.89573333333,3.4882,2.1246,5.8452,11.9528666667,3.62413333333,2.93426666667,4.148
252.79,2.60993333333,3.12293333333,2.83226666667,3.4582,2.34293333333,5.90060000001,11.9514,3.57677777778,2.81003333333,4.03966666667
253.16,2.83293333333,3.3264,3.13673333333,3.83713333333,2.8884,6.29399999999,12.3948666667,3.79688888889,2.9589,4.35813333333
253.54,2.7894,3.1798,3.0264,3.59473333333,2.9392,6.30746666667,12.5732666667,3.78426666667,3.00556666667,4.16666666667
253.91,2.57106666667,2.96366666666,2.98873333333,3.4886,2.69593333333,6.10626666666,12.4584666667,3.45533333333,2.8532,3.81366666667
254.28,2.43773333333,2.8328,2.84386666667,3.53093333333,2.445,5.98353333334,12.3879333334,3.24171111111,2.6888,3.78206666667
254.66,2.50533333333,3.01886666667,3.08813333333,3.68653333333,2.62886666667,6.10679999999,12.4648,3.50648888889,2.90293333333,3.89893333333
255.03,2.6348,3.26953333333,3.1856,4.01186666667,2.82626666667,6.25546666667,12.6466,3.96655555555,3.19346666667,3.9042
255.41,2.7792,3.4888,3.33766666667,4.0806,2.95119999999,6.48193333334,13.1191333333,4.00077777778,3.2745,4.001
255.78,2.59926666667,3.06873333333,3.00893333333,3.48266666667,2.5736,6.0392,12.4669333333,3.4926,3.03446666666,3.6706
256.15,2.95966666667,3.52013333333,3.14646666667,3.8344,2.78986666667,6.34806666667,12.6410666667,3.46637777778,3.47116666667,4.09773333333
256.53,2.71506666667,3.2874,2.79026666667,3.66333333333,2.59826666667,6.16540000001,12.3767333333,3.20926666667,3.2811,4.02253333333
256.90,2.20906666667,3.08713333333,2.42173333333,3.2368,2.15,5.82386666667,11.8683333333,2.76955555555,2.9099,3.65826666667
257.28,2.4088,3.5572,2.88193333333,3.56806666667,2.56773333333,6.17546666667,12.1488,3.16597777778,3.38036666667,4.0158
257.65,2.64853333333,3.78973333333,3.05033333333,3.8992,2.73226666667,6.33553333333,12.2048666667,3.34924444445,3.45536666667,4.41986666667
258.02,3.2192,4.08246666667,3.37513333333,4.1884,3.066,6.69719999999,12.6817333333,3.8428,3.80406666667,4.95686666667
258.40,3.42033333333,4.1522,3.54886666667,4.17586666667,3.32733333333,6.91453333333,13.0545333333,4.06466666667,4.05083333333,5.22473333333
258.77,3.65686666667,4.13846666666,3.64246666667,4.30793333333,3.5162,7.10699999999,13.2589333333,4.23506666667,4.1146,5.4778
259.15,3.47146666667,3.88326666667,3.4752,4.12426666667,3.4122,6.9708,13.1758,4.06502222222,3.8889,5.402
