wavelength,Back_SalAtef,Belly_SalAtef,Breast_SalAtef,Crissum_SalAtef,Crown_SalAtef,DorTail_SalAtef,Patch10_SalAtef,Rump_SalAtef,Throat_SalAtef,WingTip_SalAtef
431.15,2.77066666667,17.5715897436,17.626,4.92822222222,2.72444444445,3.73488888889,3.02644444445,3.08122222222,38.0688888889,7.00544444444
431.50,2.75766666667,17.5608974359,17.6076666667,4.91266666666,2.70033333333,3.70455555555,3.02633333333,3.07511111111,38.0751111111,6.98122222222
431.86,2.76244444444,17.5734786325,17.616,4.95011111111,2.70655555555,3.717,3.04011111111,3.07433333333,38.0996666667,6.99266666667
432.22,2.75977777778,17.5615897436,17.6045555555,4.94455555556,2.69044444445,3.70244444444,3.04411111111,3.07822222222,38.0923333333,6.96611111111
432.57,2.75622222222,17.5562820513,17.6005555555,4.94822222222,2.68588888889,3.69444444445,3.04566666666,3.08822222222,38.114,6.94666666667
432.93,2.77277777778,17.5551965812,17.6123333333,4.99111111111,2.70988888889,3.71911111111,3.06677777778,3.09955555556,38.1338888889,6.953
433.29,2.78144444444,17.5528205128,17.6162222222,5.01555555556,2.72466666667,3.735,3.08955555556,3.12022222222,38.1698888889,6.96255555555
433.64,2.804,17.5657350427,17.6197777778,5.06388888889,2.74722222222,3.746,3.11144444445,3.15666666667,38.1734444445,6.99522222222
434.00,2.83077777778,17.5795042735,17.6253333333,5.09011111111,2.77066666667,3.76244444444,3.11688888889,3.18911111111,38.1918888889,7.00577777778
434.35,2.83055555556,17.6138888889,17.6461111111,5.10933333333,2.77688888889,3.77355555556,3.12055555556,3.20722222222,38.2453333333,7.01322222222
434.71,2.82844444445,17.6325811966,17.6761111111,5.11333333333,2.77755555556,3.76033333333,3.11166666667,3.21322222222,38.2938888889,7.02511111111
435.07,2.82244444444,17.6537777778,17.6681111111,5.13144444444,2.77522222222,3.74822222222,3.11544444445,3.21111111111,38.3154444444,7.00866666667
435.42,2.81788888889,17.6354444444,17.6483333333,5.11988888889,2.76011111111,3.75077777778,3.09477777778,3.18666666667,38.2831111111,6.98777777778
435.78,2.80611111111,17.6242393162,17.6271111111,5.09211111111,2.73611111111,3.72211111111,3.07755555556,3.16411111111,38.2844444444,6.94466666667
436.13,2.825,17.6614615384,17.6381111111,5.13277777778,2.74755555555,3.75433333334,3.08866666667,3.17811111111,38.3393333333,6.968
436.49,2.858,17.7086666666,17.6577777778,5.18566666667,2.77822222222,3.80533333333,3.11522222222,3.21022222222,38.3846666667,7.00433333333
436.84,2.86788888889,17.746017094,17.6706666667,5.178,2.76966666667,3.81122222222,3.12488888889,3.21844444444,38.4062222222,7.01733333333
437.20,2.88377777778,17.7806153846,17.6777777778,5.20133333334,2.77555555556,3.82388888889,3.12777777778,3.22211111111,38.4323333333,7.031
437.56,2.86355555556,17.7752564103,17.6587777778,5.19744444444,2.75466666667,3.82077777778,3.11555555555,3.19333333333,38.4311111111,7.01377777778
437.91,2.84444444444,17.7882991453,17.6472222222,5.20755555555,2.73388888889,3.80855555556,3.122,3.18633333333,38.4231111111,7.01522222222
438.27,2.86722222222,17.7899059829,17.6543333334,5.24411111111,2.74888888889,3.82177777778,3.14777777778,3.20788888889,38.4375555556,7.02922222222
438.62,2.86033333333,17.7834786325,17.6445555556,5.25088888889,2.729,3.81111111111,3.15355555556,3.20233333333,38.4048888889,7.00666666667
