wavelength,Back_IriAnaf,Belly_IriAnaf,Breast_IriAnaf,Crissum_IriAnaf,Crown_IriAnaf,DorTail_IriAnaf,Patch10_IriAnaf,Rump_IriAnaf,Throat_IriAnaf,WingTip_IriAnaf
337.94,5.41193333333,7.21473333333,6.88793333333,5.54346666667,6.48833333333,7.1918,4.495,6.243,8.61913333333,6.92093333333
338.31,5.46546666667,7.2708,6.95080000001,5.59946666667,6.51953333333,7.23706666667,4.51933333333,6.3258,8.72673333333,6.97373333333
338.67,5.61133333333,7.4666,7.15280000001,5.77066666667,6.67266666667,7.39633333333,4.67573333333,6.4984,8.88906666667,7.11013333333
339.04,5.76173333333,7.70566666667,7.35173333333,5.96093333333,6.8726,7.57466666667,4.82926666667,6.7356,9.07886666666,7.329
339.40,5.67546666667,7.60113333333,7.27186666666,5.84166666667,6.79473333333,7.44586666667,4.7076,6.66773333334,9.00693333333,7.21686666667
339.77,5.62833333333,7.64013333333,7.25393333333,5.85866666667,6.76726666667,7.39626666667,4.6722,6.6492,9.03580000001,7.20766666666
340.14,5.7046,7.62973333334,7.3602,5.88393333333,6.81153333333,7.46766666667,4.67526666667,6.68786666667,9.0964,7.23726666667
340.50,5.56173333333,7.49946666667,7.23973333334,5.7404,6.64466666667,7.314,4.51526666667,6.57306666667,9.00813333333,7.05133333333
340.87,5.36066666667,7.31653333333,7.11760000001,5.57453333333,6.4468,7.11,4.31693333333,6.4088,8.8946,6.85893333333
341.23,5.46953333333,7.43726666667,7.25006666667,5.62006666667,6.50593333334,7.18,4.424,6.52486666667,9.00200000001,6.91053333333
341.60,5.58946666667,7.57966666667,7.35566666667,5.72646666667,6.60846666667,7.273,4.567,6.6414,9.11226666667,6.99006666667
341.96,5.62886666667,7.61926666667,7.34953333333,5.7092,6.64813333333,7.28193333333,4.6126,6.6556,9.08846666667,7.02333333333
342.33,5.46366666667,7.44353333333,7.17406666666,5.49646666667,6.46506666667,7.08746666667,4.4478,6.46313333333,8.92553333333,6.83186666667
342.70,5.4036,7.32886666667,7.06913333333,5.4242,6.36586666667,7.0286,4.34173333333,6.39533333333,8.83979999999,6.76986666667
343.06,5.42973333333,7.23453333333,7.07406666666,5.38026666667,6.30433333333,7.04846666667,4.302,6.3396,8.79953333334,6.7318
343.43,5.4772,7.29626666667,7.08746666667,5.41806666666,6.3206,7.11966666667,4.33806666667,6.36133333333,8.811,6.77966666667
343.79,5.53753333333,7.31373333334,7.10653333333,5.43453333333,6.35213333333,7.1848,4.40346666667,6.39093333333,8.87573333333,6.83513333333
344.16,5.55533333333,7.31046666667,7.06033333334,5.42433333333,6.2814,7.18113333333,4.4168,6.37253333333,8.94313333333,6.8342
344.52,5.62073333333,7.3892,7.13720000001,5.49773333333,6.3428,7.22926666667,4.47873333333,6.4256,9.00540000001,6.91286666667
