wavelength,Back_SpoMinm,Belly_SpoMinm,Breast_SpoMinm,Crissum_SpoMinm,Crown_SpoMinm,DorTail_SpoMinm,Patch10_SpoMinm,Rump_SpoMinm,Throat_SpoMinm,WingTip_SpoMinm
763.20,17.3056666667,53.2187333333,47.1857333333,46.5465333333,19.6614,18.5338,37.5076666667,44.5786,41.624,15.9402
763.51,17.5703333333,53.2134,47.2954,46.7114666667,19.8404666667,18.6827960784,37.705,44.6977333333,41.806,16.1855333333
763.82,17.631,53.2228,47.3765333333,46.879,19.8287333333,18.704372549,37.8396,44.8506666667,41.9178666667,16.0736666667
764.14,17.6542,53.2939333333,47.4772,46.9083333333,19.7745333334,18.8083372549,37.9066666667,44.9902666666,42.1254,16.0456666667
764.45,17.7590666667,53.1828,47.3956,46.9131333333,19.797,18.8284509804,37.8842666667,45.0077333333,42.0905333334,15.9858666667
764.76,17.8444,53.4137333333,47.5658666667,47.1246,19.9588,18.9416627451,38.0444,45.1654,42.2414,16.0498
765.07,17.8473333333,53.708,47.8552,47.3086666667,20.0782,18.9288313725,38.351,45.2791333333,42.5293333333,15.9933333333
765.39,18.0715333333,54.0428666667,48.1738,47.8098666667,20.2208,19.2988039216,38.6666666667,45.6728666667,42.7689333333,16.1984
765.70,18.8234,54.6276,48.5738666667,48.2546666667,20.9450666667,19.9131058824,39.3165333333,46.3174,43.1993333333,16.7662
766.01,18.5107333333,54.1984666667,48.0995333333,47.7593333333,20.6692666667,19.5666470588,38.9162666667,45.842,42.5255333333,16.4515333333
766.32,18.7944666667,54.278,48.1665333333,47.7322666667,20.8189333333,19.7186039216,39.0126666667,45.9048666667,42.5275333333,16.6822666667
766.64,18.9731333333,54.6632666667,48.4748666667,48.0741333333,20.9241333333,19.873454902,39.4892666667,46.1508,42.825,16.7392666667
766.95,18.9180666667,54.8621333333,48.5222,48.0882666667,20.9016666667,19.7989960784,39.2657333333,46.2197333333,42.6551333333,16.7098666667
767.26,18.6802,54.7019333333,48.1656666667,47.9538666667,20.6652666667,19.4812431373,39.0822,46.1154,42.2837333333,16.5349333333
767.57,18.3242666667,54.212,47.6518666667,47.3374666667,20.4940666667,19.1781411765,38.6106,45.6728666667,41.8048666667,16.1909333333
767.88,18.5210666667,54.4990666667,47.9427333333,47.7658666667,20.8757333333,19.4060156863,38.9359333333,46.0286666667,42.0184,16.5288666667
768.20,18.1843333333,54.2904666667,47.8234,47.5700666667,20.7305333333,19.4093098039,38.7416666667,45.6885333333,41.8127333333,16.2878666667
768.51,18.37,54.0354666667,47.7991333333,47.555,20.8241333333,19.7377176471,38.5501333333,45.7508,41.6757333333,16.5689333333
768.82,18.4901333333,54.0819333333,47.5059333333,47.2220666667,20.8111333333,19.6441019608,38.2905333333,45.6466,41.4256666667,16.5714666667
769.13,17.7884,53.1058,46.6154666667,46.6538666667,20.0865333333,18.8076352941,37.5543333333,45.0512666667,40.6217333333,15.6602
769.44,17.5638666667,53.1094,46.5646,46.739,19.7662666667,18.790572549,37.3398666667,45.205,40.5562666667,15.5193333333
769.76,17.309,53.1081333333,46.4278,46.6129333333,19.7006,18.7064745098,37.2384,45.2472666667,40.5448666667,15.1395333333
770.07,16.9990666667,52.7371333333,46.0363333333,46.3174,19.3046,18.4102156863,36.8207333333,45.1182,40.2088,14.7687333333
770.38,16.8386,52.828,45.7368666667,46.2561333333,19.186,18.3990784314,36.8069333333,44.9403333333,40.3578,14.5368
770.69,16.5168666667,52.5053333334,45.4924,45.8495333333,18.8722,18.1955803922,36.4346666667,44.5218,40.1891333333,14.0935333333
771.00,16.2782666667,52.8900666667,45.7947333333,45.9998666667,18.4321333333,17.9481098039,36.4027333333,44.6298666667,40.2380666667,13.9633333333
771.32,15.442,52.1928666667,45.1262,45.1374666667,17.3154,16.9286078431,35.4420666667,43.7202666667,39.4876666667,13.1127333334
